,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,2020-08-13 11:00:53,au.gov.health.covidsafe,COVIDSafe,en,Bradley Lloyd Jones,1.0,This app provides minimal data... Why are we only informing people who come within Bluetooth range of a carrier.... Carriers should have this app installed as a system app on their phone... And fined if they leave quarantine... This app is craptacular... It does not even upload data to a central database to track carriers... It just tells people if they have been near someone who should be in quarentene....,  This app provides minimal data... Why are we only informing people who come within Bluetooth range of a carrier.... Carriers should have this app installed as a system app on their phone... And fined if they leave quarantine... This app is craptacular... It does not even upload data to a central database to track carriers... It just tells people if they have been near someone who should be in quarentene.... ,en,  This app provides minimal data    Why are we only informing people who come within Bluetooth range of a carrier     Carriers should have this app installed as a system app on their phone    And fined if they leave quarantine    This app is craptacular    It does not even upload data to a central database to track carriers    It just tells people if they have been near someone who should be in quarentene     ,Privacy,"data, track",0.05405405405405406,Negative,0,0,0,0,0,0,0,1,0
2,2020-08-13 10:44:40,au.gov.health.covidsafe,COVIDSafe,en,Chris,1.0,Location with update? No thanks,  Location with update? No thanks ,en,  Location with update  No thanks ,"Domain_Specific, Privacy","locat, locat",0.6666666666666666,Negative,0,0,1,0,0,0,0,1,0
4,2020-08-13 10:09:55,au.gov.health.covidsafe,COVIDSafe,en,Mick Taylor,1.0,App was rushed out to apease the masses that this Goverment had any idea on how to deal with this virus. APP has not appeated to be useful in this regard. Therefore i will remove it.,  App was rushed out to apease the masses that this Goverment had any idea on how to deal with this virus. APP has not appeated to be useful in this regard. Therefore i will remove it. ,en,  App was rushed out to apease the masses that this Goverment had any idea on how to deal with this virus  APP has not appeated to be useful in this regard  Therefore i will remove it  ,Domain_Specific,"remov, gover",0.13333333333333333,Positive,0,0,1,0,0,0,0,0,0
5,2020-08-13 09:18:25,au.gov.health.covidsafe,COVIDSafe,en,Ken Williams,1.0,"Caused so many problems with my phone and interfered with my bluetooth earbubs, fitness watch and notifications. Plus my Samsung Pay keeps opening randomly when the phone locked.",  Caused so many problems with my phone and interfered with my bluetooth earbubs  fitness watch and notifications. Plus my Samsung Pay keeps opening randomly when the phone locked. ,en,  Caused so many problems with my phone and interfered with my bluetooth earbubs  fitness watch and notifications  Plus my Samsung Pay keeps opening randomly when the phone locked  ,Socio_economic_Status,pay,0.05555555555555555,Negative,0,0,0,0,0,0,0,0,1
8,2020-08-13 06:20:29,au.gov.health.covidsafe,COVIDSafe,en,Fiona Hore-Lacy,2.0,"As of today (13/8) I get alerts that the app isn't active. When I open the app, it decides it's active. When I go into settings, I ensure that it can access location at all times. But I still keep getting this alert. It stops being active when I lock the phone.",  As of today (13/8) I get alerts that the app isn't active. When I open the app  it decides it's active. When I go into settings  I ensure that it can access location at all times. But I still keep getting this alert. It stops being active when I lock the phone. ,en,  As of today        I get alerts that the app isn t active  When I open the app  it decides it s active  When I go into settings  I ensure that it can access location at all times  But I still keep getting this alert  It stops being active when I lock the phone  ,"Domain_Specific, Privacy","locat, locat",0.08695652173913043,Positive,0,0,1,0,0,0,0,1,0
9,2020-08-12 23:47:11,au.gov.health.covidsafe,COVIDSafe,en,Mick A,1.0,"Quick way to have everyone uninstall this. ""Only needs bluetooth to run"" 👎Not anymore, was already battery killer now 'gps' required also!? Wait for the conspiracy fire on this update.","  Quick way to have everyone uninstall this. ""Only needs bluetooth to run"" 👎Not anymore  was already battery killer now 'gps' required also!? Wait for the conspiracy fire on this update. ",en,  Quick way to have everyone uninstall this   Only needs bluetooth to run   Not anymore  was already battery killer now  gps  required also   Wait for the conspiracy fire on this update  ,"Domain_Specific, Privacy","gps, killer, run",0.15789473684210525,Negative,0,0,1,0,0,0,0,1,0
10,2020-08-12 22:24:38,au.gov.health.covidsafe,COVIDSafe,en,Mihiri Alexander,1.0,"Best example of how to waste public money. How many contact traces done with this? App needed location access all time. But main purpose is to identify anybody come closer to 1.5m distance.. No logic at all. Battery drains rapidly, So need to charge phone one more time during the day. So many updates since first release, but no evidence of this app is working. Only good thing is keeping few people in job who built this app and staff working for the companies who ran 60+million campaign.",  Best example of how to waste public money. How many contact traces done with this? App needed location access all time. But main purpose is to identify anybody come closer to 1.5m distance.. No logic at all. Battery drains rapidly  So need to charge phone one more time during the day. So many updates since first release  but no evidence of this app is working. Only good thing is keeping few people in job who built this app and staff working for the companies who ran 60+million campaign. ,en,  Best example of how to waste public money  How many contact traces done with this  App needed location access all time  But main purpose is to identify anybody come closer to    m distance   No logic at all  Battery drains rapidly  So need to charge phone one more time during the day  So many updates since first release  but no evidence of this app is working  Only good thing is keeping few people in job who built this app and staff working for the companies who ran    million campaign  ,"Domain_Specific, Privacy","locat, identifi, locat, staff, campaign",0.09259259259259259,Neutral,0,0,1,0,0,0,0,1,0
11,2020-08-12 12:46:16,au.gov.health.covidsafe,COVIDSafe,en,Barbra Wilson,1.0,"Update 12/08 Oh goody, you added location tracking, eating into my battery life even further 🙄 Would be better if it didn't chew through my battery life. Also while the 'oh no your bluetooth is off!' Warning is cute, it's annoying. Turning off my Bluetooth when at home because I prefer to only charge my phone once a day",  Update 12/08 Oh goody  you added location tracking  eating into my battery life even further 🙄 Would be better if it didn't chew through my battery life. Also while the 'oh no your bluetooth is off!' Warning is cute  it's annoying. Turning off my Bluetooth when at home because I prefer to only charge my phone once a day ,en,  Update       Oh goody  you added location tracking  eating into my battery life even further   Would be better if it didn t chew through my battery life  Also while the  oh no your bluetooth is off   Warning is cute  it s annoying  Turning off my Bluetooth when at home because I prefer to only charge my phone once a day ,"Domain_Specific, Emotional, Privacy","annoy, locat, track, locat",0.12903225806451613,Negative,0,0,1,1,0,0,0,1,0
12,2020-08-12 12:34:35,au.gov.health.covidsafe,COVIDSafe,en,Marco W.,5.0,Thank you Australia for this great initiative. (Edited) Previous bug I experienced seems to be fixed in the latest version.,  Thank you Australia for this great initiative. (Edited) Previous bug I experienced seems to be fixed in the latest version. ,en,  Thank you Australia for this great initiative   Edited  Previous bug I experienced seems to be fixed in the latest version  ,Location,australia,0.08333333333333333,Positive,0,0,0,0,0,0,1,0,0
14,2020-08-12 08:54:26,au.gov.health.covidsafe,COVIDSafe,en,Luke Emrose,1.0,Unusable. The recent update requiring location services be turned on makes the battery usage unacceptable and defies the entire point of the app in the first place. Needs major work or no one will use it.,  Unusable. The recent update requiring location services be turned on makes the battery usage unacceptable and defies the entire point of the app in the first place. Needs major work or no one will use it. ,en,  Unusable  The recent update requiring location services be turned on makes the battery usage unacceptable and defies the entire point of the app in the first place  Needs major work or no one will use it  ,"Domain_Specific, Privacy","locat, servic, servic, locat",0.18181818181818182,Negative,0,0,1,0,0,0,0,1,0
15,2020-08-12 08:28:49,au.gov.health.covidsafe,COVIDSafe,en,Lenny Kahric,5.0,I can't see a reason why people avoid using this app. Yes is using battery but if it helps following virus is too small price to pay. We are in this together.,  I can't see a reason why people avoid using this app. Yes is using battery but if it helps following virus is too small price to pay. We are in this together. ,en,  I can t see a reason why people avoid using this app  Yes is using battery but if it helps following virus is too small price to pay  We are in this together  ,"Domain_Specific, Socio_economic_Status","pay, price, follow",0.17647058823529413,Positive,0,0,1,0,0,0,0,0,1
16,2020-08-12 07:52:03,au.gov.health.covidsafe,COVIDSafe,en,Andrew Thomas,1.0,"Edit: added mandatory location tracking, deleted",  Edit: added mandatory location tracking  deleted ,en,  Edit  added mandatory location tracking  deleted ,"Domain_Specific, Privacy","locat, track, locat",0.5,Positive,0,0,1,0,0,0,0,1,0
17,2020-08-12 06:30:45,au.gov.health.covidsafe,COVIDSafe,en,Geoff Lohrere,1.0,The app misses most people because of the 15 minute delay. Total incompetence from the government as usual. No point having it on unless they remove the 15 minute delay.,  The app misses most people because of the 15 minute delay. Total incompetence from the government as usual. No point having it on unless they remove the 15 minute delay. ,en,  The app misses most people because of the    minute delay  Total incompetence from the government as usual  No point having it on unless they remove the    minute delay  ,Domain_Specific,remov,0.06666666666666667,Negative,0,0,1,0,0,0,0,0,0
