,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
2,2020-08-09 10:30:05,1509242894.0,COVIDSafe,au,1.9,Flixstix,1.0,Useless with lock screen issue,I uninstalled this app because there has not been enough transparency about protecting my data. The issue with having the app always on and turning off my lock screen basically makes my iPhone a useless brick when I go out. What if I want to read or write something on my phone while in a cafe? Am I able to take a photo? Is my data safe? What happened to the concept of open government and giving people more options to protect their data? These questions haven’t been answered and so the IT industry disapproves so it’s a PR disaster. Stop telling us we have to use it prescriptively! Just fix it!, Useless with lock screen issue I uninstalled this app because there has not been enough transparency about protecting my data. The issue with having the app always on and turning off my lock screen basically makes my iPhone a useless brick when I go out. What if I want to read or write something on my phone while in a cafe? Am I able to take a photo? Is my data safe? What happened to the concept of open government and giving people more options to protect their data? These questions haven’t been answered and so the IT industry disapproves so it’s a PR disaster. Stop telling us we have to use it prescriptively! Just fix it! ,en, Useless with lock screen issue I uninstalled this app because there has not been enough transparency about protecting my data  The issue with having the app always on and turning off my lock screen basically makes my iPhone a useless brick when I go out  What if I want to read or write something on my phone while in a cafe  Am I able to take a photo  Is my data safe  What happened to the concept of open government and giving people more options to protect their data  These questions haven t been answered and so the IT industry disapproves so it s a PR disaster  Stop telling us we have to use it prescriptively  Just fix it  ,"Domain_Specific, Privacy","data, transpar, protect, answer",0.07272727272727272,Negative,0,0,1,0,0,0,0,1,0
3,2020-08-09 04:57:59,1509242894.0,COVIDSafe,au,1.9,Nignaj,1.0,Only intermittently works.,"There has been no evidence this actually helps with contact tracing. 
The only reason I have this is Dam the Man insisted we download this.
They had a tracing app in the UK which was a failure. Do w3 have the same ."," Only intermittently works. There has been no evidence this actually helps with contact tracing. 
The only reason I have this is Dam the Man insisted we download this.
They had a tracing app in the UK which was a failure. Do w3 have the same . ",en, Only intermittently works  There has been no evidence this actually helps with contact tracing   The only reason I have this is Dam the Man insisted we download this  They had a tracing app in the UK which was a failure  Do w  have the same   ,"Gender, Location","man, uk",0.10526315789473684,Negative,0,0,0,0,1,0,1,0,0
4,2020-08-09 00:48:23,1509242894.0,COVIDSafe,au,1.9,Sultans favorite,5.0,Amazon Empress,"Great app , but wish it could give info  by state / territories and or suburbs eg Indooroopilly 
And overall state of the nation ..."," Amazon Empress Great app   but wish it could give info  by state / territories and or suburbs eg Indooroopilly 
And overall state of the nation ... ",en, Amazon Empress Great app   but wish it could give info  by state   territories and or suburbs eg Indooroopilly  And overall state of the nation     ,Location,territori,0.0625,Positive,0,0,0,0,0,0,1,0,0
5,2020-08-08 04:24:59,1509242894.0,COVIDSafe,au,1.9,ElusiveT,1.0,If you want More Australian’s to download the app,You need to explainHow the app works in detail. Where uses data resides. How it’s possible for an app which supposedly runs in the background to be able to obtain information from other users of the app on other devices., If you want More Australian’s to download the app You need to explainHow the app works in detail. Where uses data resides. How it’s possible for an app which supposedly runs in the background to be able to obtain information from other users of the app on other devices. ,en, If you want More Australian s to download the app You need to explainHow the app works in detail  Where uses data resides  How it s possible for an app which supposedly runs in the background to be able to obtain information from other users of the app on other devices  ,"Domain_Specific, Privacy","data, run",0.08695652173913043,Positive,0,0,1,0,0,0,0,1,0
6,2020-08-07 02:14:59,1509242894.0,COVIDSafe,au,1.9,Meh145,1.0,Broke my iPhone,"After installing this application my iPhone X started randomly restarting. I uninstall the application, restarts stopped.", Broke my iPhone After installing this application my iPhone X started randomly restarting. I uninstall the application  restarts stopped. ,en, Broke my iPhone After installing this application my iPhone X started randomly restarting  I uninstall the application  restarts stopped  ,Domain_Specific,applic,0.07692307692307693,Negative,0,0,1,0,0,0,0,0,0
7,2020-08-06 06:40:12,1509242894.0,COVIDSafe,au,1.9,OzNevil,1.0,Worst app ever,"This app has to be the worst designed app ever, considering what it is for, you would think it worked better.

Every time I open the app, it has been off and I’ve been to a dozen places. What’s the point of an app to run in the background if it doesn’t run in the background??

Also, if you want people to keep track of where they go (bars, shops, etc.) then have a QR code system so people can store locations in the app and upload them if needed.

Sort your sh!t out Australian Health/Govt."," Worst app ever This app has to be the worst designed app ever  considering what it is for  you would think it worked better.

Every time I open the app  it has been off and I’ve been to a dozen places. What’s the point of an app to run in the background if it doesn’t run in the background??

Also  if you want people to keep track of where they go (bars  shops  etc.) then have a QR code system so people can store locations in the app and upload them if needed.

Sort your sh!t out Australian Health/Govt. ",en, Worst app ever This app has to be the worst designed app ever  considering what it is for  you would think it worked better   Every time I open the app  it has been off and I ve been to a dozen places  What s the point of an app to run in the background if it doesn t run in the background    Also  if you want people to keep track of where they go  bars  shops  etc   then have a QR code system so people can store locations in the app and upload them if needed   Sort your sh t out Australian Health Govt  ,"Domain_Specific, Privacy","locat, track, locat, run",0.08333333333333333,Negative,0,0,1,0,0,0,0,1,0
15,2020-08-03 02:49:17,1509242894.0,COVIDSafe,au,1.9,haha yr kidding,3.0,Clarification,"Reports are abound about the App not working while phone is locked. Well about time you come clean in this as it’s supposed to be helping people feel a bit secure in the knowledge it’s tracking but only to hear it doesn’t. A disgrace and giving people a false security is shameful.
About time you clarify this before people just delete it as a useless App. Do you job and we’ll accept the App."," Clarification Reports are abound about the App not working while phone is locked. Well about time you come clean in this as it’s supposed to be helping people feel a bit secure in the knowledge it’s tracking but only to hear it doesn’t. A disgrace and giving people a false security is shameful.
About time you clarify this before people just delete it as a useless App. Do you job and we’ll accept the App. ",en, Clarification Reports are abound about the App not working while phone is locked  Well about time you come clean in this as it s supposed to be helping people feel a bit secure in the knowledge it s tracking but only to hear it doesn t  A disgrace and giving people a false security is shameful  About time you clarify this before people just delete it as a useless App  Do you job and we ll accept the App  ,"Domain_Specific, Privacy","track, secur, secur, clarifi",0.10810810810810811,Neutral,0,0,1,0,0,0,0,1,0
20,2020-08-02 14:56:45,1509242894.0,COVIDSafe,au,1.9,Kalifire,5.0,Shares nothing not already known,"Don’t be put off by the fearful and ill-informed. For all the paranoid conspiracy theories, the fact is this app shares nothing not already known. This will help Australia get back on track. I’m happy and confident to use this app.", Shares nothing not already known Don’t be put off by the fearful and ill-informed. For all the paranoid conspiracy theories  the fact is this app shares nothing not already known. This will help Australia get back on track. I’m happy and confident to use this app. ,en, Shares nothing not already known Don t be put off by the fearful and ill informed  For all the paranoid conspiracy theories  the fact is this app shares nothing not already known  This will help Australia get back on track  I m happy and confident to use this app  ,"Emotional, Location, Privacy","fear, australia, track",0.11538461538461539,Positive,0,0,0,1,0,0,1,1,0
24,2020-08-02 03:03:36,1509242894.0,COVIDSafe,au,1.8,vonhelping,5.0,Yvonne,I was concerned about this app. But now it is getting to close to home and if we want to win this war we must fight together., Yvonne I was concerned about this app. But now it is getting to close to home and if we want to win this war we must fight together. ,en, Yvonne I was concerned about this app  But now it is getting to close to home and if we want to win this war we must fight together  ,Emotional,concern,0.08333333333333333,Negative,0,0,0,1,0,0,0,0,0
25,2020-08-01 02:19:56,1509242894.0,COVIDSafe,au,1.8,Powder_hound!!!,1.0,This app is pointless,"It doesn’t actually do anything. 

It has not saved any lives or built a network of infected people to track down. It’s effectively a pointless existence, plus the contract to build was uncompetitive and ridicules expensive cost to build. $12m?? To some liberal party donor $$.

Other than the points above it’s great and I feel totally safe now.

FFS just use the Apple or google tracking app. The USA government already know everything about me."," This app is pointless It doesn’t actually do anything. 

It has not saved any lives or built a network of infected people to track down. It’s effectively a pointless existence  plus the contract to build was uncompetitive and ridicules expensive cost to build. $12m?? To some liberal party donor $$.

Other than the points above it’s great and I feel totally safe now.

FFS just use the Apple or google tracking app. The USA government already know everything about me. ",en, This app is pointless It doesn t actually do anything    It has not saved any lives or built a network of infected people to track down  It s effectively a pointless existence  plus the contract to build was uncompetitive and ridicules expensive cost to build     m   To some liberal party donor      Other than the points above it s great and I feel totally safe now   FFS just use the Apple or google tracking app  The USA government already know everything about me  ,"Domain_Specific, Location, Privacy, Socio_economic_Status","expens, cost, usa, track, network",0.11627906976744186,Negative,0,0,1,0,0,0,1,1,1
27,2020-07-30 09:49:03,1509242894.0,COVIDSafe,au,1.8,Freya Bao,4.0,Should provide more languages,More languages should be provided to encourage people who have different culture background to download this app., Should provide more languages More languages should be provided to encourage people who have different culture background to download this app. ,en, Should provide more languages More languages should be provided to encourage people who have different culture background to download this app  ,"Language, Location","languag, cultur",0.18181818181818182,Positive,0,0,0,0,0,1,1,0,0
29,2020-07-29 09:12:25,1509242894.0,COVIDSafe,au,1.8,jhagsdhs,1.0,Hasn’t advice on local outbreak in Logan Brisbane,Basic!, Hasn’t advice on local outbreak in Logan Brisbane Basic! ,en, Hasn t advice on local outbreak in Logan Brisbane Basic  ,Location,local,0.16666666666666666,Neutral,0,0,0,0,0,0,1,0,0
31,2020-07-28 04:44:31,1509242894.0,COVIDSafe,au,1.8,Charles--O,4.0,Great App But Re-Registering?,Please update the bug where you have to register once or twice a week - this is a public health tool and critical. Thanks for your efforts Gov team!, Great App But Re-Registering? Please update the bug where you have to register once or twice a week - this is a public health tool and critical. Thanks for your efforts Gov team! ,en, Great App But Re Registering  Please update the bug where you have to register once or twice a week   this is a public health tool and critical  Thanks for your efforts Gov team  ,Domain_Specific,critic,0.05555555555555555,Positive,0,0,1,0,0,0,0,0,0
32,2020-07-27 02:19:08,1509242894.0,COVIDSafe,au,1.8,CJ-Lou-Lou,1.0,Drains battery and don’t know if it’s working,"My iPhone SE battery has been running down very quickly over the past few months (having to charge it multiple times a day) and I finally worked out that it’s due to the COVIDSafe app. I now keep the app turned off when I’m at home and the battery has been back to normal when it’s off.

Also, I’m still confused about how to run COVIDSafe properly! Does it run in the background or do you have to have it open with your iPhone unlocked (I won’t be keeping mine open and unlocked when I’m out and about!)?"," Drains battery and don’t know if it’s working My iPhone SE battery has been running down very quickly over the past few months (having to charge it multiple times a day) and I finally worked out that it’s due to the COVIDSafe app. I now keep the app turned off when I’m at home and the battery has been back to normal when it’s off.

Also  I’m still confused about how to run COVIDSafe properly! Does it run in the background or do you have to have it open with your iPhone unlocked (I won’t be keeping mine open and unlocked when I’m out and about!)? ",en, Drains battery and don t know if it s working My iPhone SE battery has been running down very quickly over the past few months  having to charge it multiple times a day  and I finally worked out that it s due to the COVIDSafe app  I now keep the app turned off when I m at home and the battery has been back to normal when it s off   Also  I m still confused about how to run COVIDSafe properly  Does it run in the background or do you have to have it open with your iPhone unlocked  I won t be keeping mine open and unlocked when I m out and about    ,"Domain_Specific, Emotional","confus, run, normal",0.06818181818181818,Positive,0,0,1,1,0,0,0,0,0
33,2020-07-26 12:08:51,1509242894.0,COVIDSafe,au,1.8,small kitten of love,1.0,This app is completely useless,"I just got a notification for the second time that I had not had a connection for 48 hours and I should make sure the app was running.I have had Bluetooth on the whole time, today I went to Westfield ffs plenty of people in Aldi, the hairdressers and Kmart must have had the app. I also caught the train. Yesterday I went to Mecca Cosmetica in Pitt st and caught 3 trains. Most week days I catch a minimum of 4 trains from one side of the city to another in peak hour. I downloaded it for this specific reason. My Jacinda Ardern Style paper log is much more accurate. #fail", This app is completely useless I just got a notification for the second time that I had not had a connection for 48 hours and I should make sure the app was running.I have had Bluetooth on the whole time  today I went to Westfield ffs plenty of people in Aldi  the hairdressers and Kmart must have had the app. I also caught the train. Yesterday I went to Mecca Cosmetica in Pitt st and caught 3 trains. Most week days I catch a minimum of 4 trains from one side of the city to another in peak hour. I downloaded it for this specific reason. My Jacinda Ardern Style paper log is much more accurate. #fail ,en, This app is completely useless I just got a notification for the second time that I had not had a connection for    hours and I should make sure the app was running I have had Bluetooth on the whole time  today I went to Westfield ffs plenty of people in Aldi  the hairdressers and Kmart must have had the app  I also caught the train  Yesterday I went to Mecca Cosmetica in Pitt st and caught   trains  Most week days I catch a minimum of   trains from one side of the city to another in peak hour  I downloaded it for this specific reason  My Jacinda Ardern Style paper log is much more accurate   fail ,Domain_Specific,"run, paper, hairdress",0.05,Negative,0,0,1,0,0,0,0,0,0
