,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
4,2020-07-20 15:43:37,at.roteskreuz.stopcorona,Stopp Corona,de,gertraud mocharitsch,1.0,"Die app verbraucht zusammen mit den dafür benötigten Bluetooth und Standort Daten soviel Strom, dass ich sie nur selektiv nutzen kann, da ich den ganzen Tag unterwegs bin. Das führt aber dazu, dass sie die meiste Zeit inaktiv und somit nutzlos ist",Together with the Bluetooth and location data required for this  the app consumes so much power that I can only use it selectively because I am on the go all day. However  this means that it is inactive most of the time and therefore useless,de,Together with the Bluetooth and location data required for this  the app consumes so much power that I can only use it selectively because I am on the go all day  However  this means that it is inactive most of the time and therefore useless,"Domain_Specific, Privacy","data, locat, locat",0.14285714285714285,Negative,0,0,1,0,0,0,0,1,0
5,2020-07-20 06:31:46,at.roteskreuz.stopcorona,Stopp Corona,de,Michael Kohlfürst,5.0,"Die Idee selbst ist begrüssenswert. Ich denke, dass der Ärger aus der ersten Zeit nun vorüber ist. Es wäre jedoch toll, wenn es so eine Art Test Modus gäbe, der einem zeigt, dass es geht. Ob die App nun funktioniert oder nicht kann ich nicht sagen. Sie macht auf jeden Fall keine Probleme und hält sich an den Datenschutz.",The idea itself is to be welcomed. I think the anger from the first time is over now. However  it would be great if there was some kind of test mode that shows you that it works. I can't say whether the app works or not. In any case  it does not cause any problems and adheres to data protection.,de,The idea itself is to be welcomed  I think the anger from the first time is over now  However  it would be great if there was some kind of test mode that shows you that it works  I can t say whether the app works or not  In any case  it does not cause any problems and adheres to data protection ,Privacy,"data, protect",0.07407407407407407,Positive,0,0,0,0,0,0,0,1,0
7,2020-07-19 20:23:05,at.roteskreuz.stopcorona,Stopp Corona,en,Franz Weberberger,5.0,"Wäre cool, wenn irgendwo darauf hingewiesen werden würde, dass die App den Bluetooth-Namen des Telefons bei jedem Start einfach mit einem Zufalls-Namen überschreibt. Klar, ist wohl zum Anonymisieren, aber ohne Hinweis bzw. Frage des Users nicht so gut. EDIT: Macht sie nun (seit sie den Google-COVID19-Dienst nutzt) nicht mehr.",Would be cool if it would be pointed out somewhere that the app simply overwrites the phone's Bluetooth name with a random name every time it starts. Sure  it's probably for anonymizing  but not so good without a hint or question from the user. EDIT: She doesn't do it anymore (since she uses the Google COVID19 service).,de,Would be cool if it would be pointed out somewhere that the app simply overwrites the phone s Bluetooth name with a random name every time it starts  Sure  it s probably for anonymizing  but not so good without a hint or question from the user  EDIT  She doesn t do it anymore  since she uses the Google COVID   service  ,Domain_Specific,"servic, servic",0.06451612903225806,Negative,0,0,1,0,0,0,0,0,0
8,2020-07-19 19:22:49,at.roteskreuz.stopcorona,Stopp Corona,de,Just for Tango,1.0,"Funktioniert nicht ... 4 Freunde alle App installiert mehr als 3 Stunden zusammen ... App aktiv ! Wir alle haben Samsung (Note10+,M30s,S20Ultra) mit Android 10 mit aktuellen Security-Patch. KEINE Treffer! Somit irgendwie sinnloser Akkuverbrauch - Deinstallation!",Does not work ... 4 friends all app installed together for more than 3 hours ... App active! We all have Samsung (Note10 +  M30s  S20Ultra) with Android 10 with the latest security patch. No matches! So somehow senseless battery consumption - deinstallation!,de,Does not work       friends all app installed together for more than   hours     App active  We all have Samsung  Note      M  s  S  Ultra  with Android    with the latest security patch  No matches  So somehow senseless battery consumption   deinstallation ,Privacy,"secur, secur",0.09090909090909091,Positive,0,0,0,0,0,0,0,1,0
14,2020-07-18 17:41:16,at.roteskreuz.stopcorona,Stopp Corona,de,Oliver Spreitzer,5.0,"Update 17.07.2020. Nachdem ich nun weiss, daß man unter Google-Einstellungen die Anzahl der Handshakes sieht und ein Test positiv Verlaufen ist, revidiere ich meine Meinung und werde die App ab jetzt nutzen. Die Entwickler hätten ruhig offensiver kommunizieren können, wie man die Anzahl der Handshakes ansehen kann...",Update 07/17/2020. Now that I know that you can see the number of handshakes under Google settings and that a test was positive  I am revising my opinion and will use the app from now on. The developers could have communicated more offensively  as you can see the number of handshakes ...,de,Update             Now that I know that you can see the number of handshakes under Google settings and that a test was positive  I am revising my opinion and will use the app from now on  The developers could have communicated more offensively  as you can see the number of handshakes    ,Domain_Specific,communic,0.05,Neutral,0,0,1,0,0,0,0,0,0
15,2020-07-18 17:22:49,at.roteskreuz.stopcorona,Stopp Corona,de,Fabian Stern,3.0,"Die Benachrichtigung wenn Bluetooth deaktiviert ist ist nicht wegzubekommen ohne die Benachrichtigungen komplett zu deaktivieren, das nervt! Bitte macht für diese eine extra Kategorie und hört auf den User zu bevormunden!",The notification when Bluetooth is deactivated cannot be removed without completely deactivating the notifications  which is annoying! Please make an extra category for them and stop patronizing the user!,de,The notification when Bluetooth is deactivated cannot be removed without completely deactivating the notifications  which is annoying  Please make an extra category for them and stop patronizing the user ,"Domain_Specific, Emotional","annoy, remov",0.125,Negative,0,0,1,1,0,0,0,0,0
17,2020-07-18 07:36:25,at.roteskreuz.stopcorona,Stopp Corona,de,glit android,1.0,"Sofort wieder gelöscht - verlangt, dass Standortermittlung eingeschaltet ist! Wird zwar damit argumentiert, dass in Android Bluetooth mit GPS zusammenhängt, ist aber nur ein Google Trick, um im Hintergrund mit Android Systemapps GPS-Daten zu sammeln. Verwende seit Jahren keine Standortermittlung, und Bluetooth funktioniert und findet auch andere Geräte problemlos!",Immediately deleted again - requires that location detection is switched on! It is argued that Bluetooth is related to GPS in Android  but it is just a Google trick to collect GPS data in the background with Android system apps. Haven't used geolocation in years  and bluetooth works and finds other devices with no problem!,de,Immediately deleted again   requires that location detection is switched on  It is argued that Bluetooth is related to GPS in Android  but it is just a Google trick to collect GPS data in the background with Android system apps  Haven t used geolocation in years  and bluetooth works and finds other devices with no problem ,"Domain_Specific, Privacy","data, locat, gps, locat",0.14285714285714285,Positive,0,0,1,0,0,0,0,1,0
18,2020-07-17 15:16:18,at.roteskreuz.stopcorona,Stopp Corona,de,Hannes Wattmann,3.0,"Offenbar muss die Standortbestimmung eingeschaltet sein. Ist das korrekt? Gibt es da keine Lösung ohne Standortbestimmung? Immerhin wird der Standort von der App selbst nicht ausgelesen. Ich schalte aus Gründen der Datensparsamkeit die Standortbestimmung nur dann ein, wenn ich sie brauche. Möchte nicht, dass irgendwelche Apps im Hintergrund mittracken. Deshalb ist die Stopp-Corona-App für mich derzeit keine Option, so sehr ich ansonsten auch die grundsätzliche Idee und Umsetzung befürworte.",Obviously  the location must be switched on. Is that correct? Is there no solution without location determination? After all  the location is not read by the app itself. For reasons of data economy  I only turn on the location determination when I need it. Don't want any apps to track in the background. Therefore  the Stop Corona app is currently not an option for me  as much as I otherwise support the basic idea and implementation.,de,Obviously  the location must be switched on  Is that correct  Is there no solution without location determination  After all  the location is not read by the app itself  For reasons of data economy  I only turn on the location determination when I need it  Don t want any apps to track in the background  Therefore  the Stop Corona app is currently not an option for me  as much as I otherwise support the basic idea and implementation ,"Domain_Specific, Privacy","data, locat, track, locat",0.10810810810810811,Positive,0,0,1,0,0,0,0,1,0
26,2020-07-15 19:53:07,at.roteskreuz.stopcorona,Stopp Corona,de,Gottfried Watzinger,1.0,Irgendetwas stimmt da nicht wenn ich durchgehend 24 Stunden alleine in einer Wohnung ohne Kontakt zu jemand anderen bin wie kommen dann die 4 Kontakte die mir angezeigt werden auf der App zustande??,Something is wrong if I am alone in an apartment 24 hours a day without contact to anyone else how do the 4 contacts that are displayed to me on the app come about?,de,Something is wrong if I am alone in an apartment    hours a day without contact to anyone else how do the   contacts that are displayed to me on the app come about ,Domain_Specific,display,0.07142857142857142,Negative,0,0,1,0,0,0,0,0,0
27,2020-07-15 17:58:07,at.roteskreuz.stopcorona,Stopp Corona,de,spongebob6061,4.0,"App läuft seit 1 Woche problemlos. Allerdings werden die Tage mit den erfassten ID's chaotisch angezeigt, warum das? Da wurde eine chronologische Auflistung der Tage mehr Sinn machen.",App has been running for 1 week without any problems. However  the days with the recorded IDs are displayed chaotically  why is that? A chronological listing of the days would make more sense.,de,App has been running for   week without any problems  However  the days with the recorded IDs are displayed chaotically  why is that  A chronological listing of the days would make more sense ,Domain_Specific,"record, display, run",0.15789473684210525,Positive,0,0,1,0,0,0,0,0,0
