,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
4,6/18/20 12:12,1503717224,Stopp Corona,at,1.2.1,Frank Luzifer,3,Nicht in den iOS-Einstellungen einstellbar,"das weckt Zweifel.... 

Unter Settings->Privacy->Health gibt's ja bekanntermaßen ein toggle für covid-19 contact tracing apps. Das lässt sich nicht betätigen, weil ""no installed app"" Warum ist das so?","Not adjustable in the iOS settings that raises doubts ...

As you know  there is a toggle for covid-19 contact tracing apps under Settings-> Privacy-> Health. This cannot be activated because ""no installed app"" Why is that?",de,Not adjustable in the iOS settings that raises doubts      As you know  there is a toggle for covid    contact tracing apps under Settings   Privacy   Health  This cannot be activated because  no installed app  Why is that ,Privacy,privaci,0.052631579,Negative,0,,0,0,0,0,0,1,0
5,6/17/20 20:35,1503717224,Stopp Corona,at,1.2.1,Markus3465,1,Sinnfrei,"Nach wie vor keine Unterstützung des Apple Dienstes und damit die sinnloseste App im Store, da keine automatische Erfassung möglich ist. Grandiose Leistung!",No sense As before  no support for the Apple service and thus the most senseless app in the store  as automatic recording is not possible. Great performance!,de,No sense As before  no support for the Apple service and thus the most senseless app in the store  as automatic recording is not possible  Great performance ,Domain_Specific,"perform, servic, servic, record",0.285714286,Negative,0,,1,0,0,0,0,0,0
6,6/17/20 20:01,1503717224,Stopp Corona,at,1.2.1,Hengi05,1,Warum,Warum muss man das mikrofon aktivieren!?? um uns auszuspionieren???,Why Why do you have to activate the microphone? to spy on us ???,de,Why Why do you have to activate the microphone  to spy on us    ,"Domain_Specific, Privacy","spi, spi",0.333333333,Neutral,0,,1,0,0,0,0,1,0
11,6/16/20 14:10,1503717224,Stopp Corona,at,1.2.1,soemse,1,Vor über zwei Monaten erschienen ...,... und noch immer unbrauchbar. Sowohl praktisch als auch aus Datenschutzgründen.,Released over two months ago ... ... and still unusable. Both practical and for privacy reasons.,de,Released over two months ago         and still unusable  Both practical and for privacy reasons ,Privacy,privaci,0.111111111,Neutral,0,,0,0,0,0,0,1,0
13,6/16/20 10:37,1503717224,Stopp Corona,at,1.2.1,ichbinhansilein,4,Grundsätzlich Gut,"Hallo, die App ist Grundsätzlich ganz gut, allerdings sollte die Schnittstelle die Apple in Zusammenarbeit mit Google und co zur Verfügung steht, ausgenutzt werden. So könnte auch aufgezeichnet werden, wenn ich mich mit einem Deutschen und deren Corona App treffe. Die App war gut, bevor die Schnittstelle veröffentlicht wurde, jetzt nur noch so ok. Tut mir leid. Updatefähig!",Basically good Hello  the app is basically very good  but the interface that Apple provides in cooperation with Google and co should be used. It could also be recorded when I meet a German and their Corona app. The app was good before the interface was released  just ok now. I'm sorry. Updatable!,de,Basically good Hello  the app is basically very good  but the interface that Apple provides in cooperation with Google and co should be used  It could also be recorded when I meet a German and their Corona app  The app was good before the interface was released  just ok now  I m sorry  Updatable ,"Domain_Specific, Language","german, record, cooper, cooper",0.137931034,Positive,0,,1,0,0,1,0,0,0
15,6/15/20 19:52,1503717224,Stopp Corona,at,1.2.1,bürger1967,1,Mist hoch drei,Zeichnet in drei Monaten genau 0 digitale Handshakes auf. Das nutzloseste App dieses Planeten.,Crap to the power of three Records exactly 0 digital handshakes in three months. The most useless app on the planet.,de,Crap to the power of three Records exactly   digital handshakes in three months  The most useless app on the planet ,Domain_Specific,record,0.083333333,Negative,0,,1,0,0,0,0,0,0
17,6/15/20 10:04,1503717224,Stopp Corona,at,1.2.1,turicum,3,Hoffentlich war’s nicht allzu teuer ...,"... denn praxistauglich ist die App offenbar nicht. Nach mehreren Wochen noch kein einziger digitaler Handshake verzeichnet, dabei zufällig auch schon in die Riesendemo in Wien geraten. Auf der “Habenseite” also null. Auf der Sollseite offenbar ein arger Akkuverbrauch wohl wegen Bluetooth. Gesamteindruck bisher: Nette Idee und Spielerei, mehr leider nicht.",Hopefully it wasn't too expensive ... ... because the app is obviously not practical. After several weeks  not a single digital handshake was recorded  and it happened to be part of the giant demo in Vienna. So zero on the “credit side”. On the downside  a bad battery consumption  probably because of Bluetooth. Overall impression so far: Nice idea and gimmick  unfortunately not more.,de,Hopefully it wasn t too expensive         because the app is obviously not practical  After several weeks  not a single digital handshake was recorded  and it happened to be part of the giant demo in Vienna  So zero on the  credit side   On the downside  a bad battery consumption  probably because of Bluetooth  Overall impression so far  Nice idea and gimmick  unfortunately not more ,"Domain_Specific, Socio_economic_Status","expens, record",0.058823529,Positive,0,,1,0,0,0,0,0,1
20,6/12/20 12:47,1503717224,Stopp Corona,at,1.2.1,erichc,1,Apple Google Entwicklung,"Warum gibt es keine Reaktion auf diese Entwicklung, viele Fragen danach aber es kommt keine Antwort? Und daher funktioniert die App auch nicht in der Apple Welt ?
So wird die Verbreitung der App nicht sehr weit sein. Schade!!!","Apple Google Development Why is there no response to this development  many questions afterwards but no answer? And that's why the app doesn't work in the Apple world?
So the spread of the app will not be very far. What a shame!!!",de,Apple Google Development Why is there no response to this development  many questions afterwards but no answer  And that s why the app doesn t work in the Apple world  So the spread of the app will not be very far  What a shame   ,Domain_Specific,answer,0.05,Negative,0,,1,0,0,0,0,0,0
21,6/11/20 15:24,1503717224,Stopp Corona,at,1.2.1,1990winner,1,Autom. Handshake funktioniert leider nicht,Leider funktioniert der automatische Austausch bei Kontakten nicht. Außerdem sind die Abstandsregel und Mindestdauer für eine mMn effizienten Nachverfolgung zu streng.,Unfortunately  automatic handshake does not work. Unfortunately  the automatic exchange of contacts does not work. In addition  the distance rule and minimum duration are too strict for a mMn efficient follow-up.,de,Unfortunately  automatic handshake does not work  Unfortunately  the automatic exchange of contacts does not work  In addition  the distance rule and minimum duration are too strict for a mMn efficient follow up ,Domain_Specific,follow,0.05,Positive,0,,1,0,0,0,0,0,0
22,6/11/20 2:30,1503717224,Stopp Corona,at,1.2.1,Dr. M. Sederik,3,COVID-19 Kontaktprotokoll,"Liebes Entwicklerteam,

seit iOS 13.5 hat Apple die Schnittstelle für das COVID-19 Kontaktprotokoll für Apps bereitgestellt.

Unter Systemeinstellungen > Datenschutz > Bluetooth > COVID-19 Kontaktprotokoll erscheint jedoch ""Stopp Corona"" nicht auf und es lässt sich auch nicht aktivieren. Daher funktioniert (meiner Erfahrung nach) auch nicht der automatische Handshake.

Wann wird es hierfür ein Update geben?

LG","COVID-19 contact log Dear development team 

Since iOS 13.5  Apple has provided the interface for the COVID-19 contact protocol for apps.

Under System Settings> Data Protection> Bluetooth> COVID-19 Contact Log  however  ""Stop Corona"" does not appear and it cannot be activated. Therefore (in my experience) the automatic handshake does not work either.

When will there be an update for this?

LG",de,COVID    contact log Dear development team   Since iOS       Apple has provided the interface for the COVID    contact protocol for apps   Under System Settings  Data Protection  Bluetooth  COVID    Contact Log  however   Stop Corona  does not appear and it cannot be activated  Therefore  in my experience  the automatic handshake does not work either   When will there be an update for this   LG,Privacy,"data, protect",0.052631579,Positive,0,,0,0,0,0,0,1,0
