,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,13/08/2020 16:47,bh.bahrain.corona.tracker,BeAware Bahrain,en,ahmed saad,3,"The notification to take a photo should be of high sound or vibration, as I keep missing them although my mobile is next to me all the time .",  The notification to take a photo should be of high sound or vibration  as I keep missing them although my mobile is next to me all the time . ,en,  The notification to take a photo should be of high sound or vibration  as I keep missing them although my mobile is next to me all the time   ,Domain_Specific,vibrat,0.083333333,Negative,0,0,1,0,,0,0,0,0
9,11/8/20 0:25,bh.bahrain.corona.tracker,BeAware Bahrain,en,Alex fcb10,5,برنامج مفيد جدا من ضمن الخدمات الي يقدمها الوطن .,A very useful program among the services provided by the country.,ar,A very useful program among the services provided by the country ,"Domain_Specific, Language, Location","countri, countri, servic, servic",0.571428571,Positive,0,0,1,0,,1,1,0,0
11,10/8/20 19:11,bh.bahrain.corona.tracker,BeAware Bahrain,en,salman abdulla Salman,2,Suddenly It's showing i don't have internet but other applications is wotking fine please fix it.,  Suddenly It's showing i don't have internet but other applications is wotking fine please fix it. ,en,  Suddenly It s showing i don t have internet but other applications is wotking fine please fix it  ,Domain_Specific,applic,0.125,Positive,0,0,1,0,,0,0,0,0
14,10/8/20 10:32,bh.bahrain.corona.tracker,BeAware Bahrain,en,Bashir Ahmed,5,Fantastic performance,  Fantastic performance ,en,  Fantastic performance ,Domain_Specific,perform,0.5,Positive,0,0,1,0,,0,0,0,0
15,9/8/20 11:53,bh.bahrain.corona.tracker,BeAware Bahrain,en,Kashif Shabbir,4,"App needs modification as follows 1.Constant GPS activation alerts 2.PHOTOUPLOAD does not alerts with a notification tone 3. Gps coordination error. Got a warning message that i have left the isolation area while i was in my own bed. 4. Alerts and warning message needs to be shown in separate tab, so the user can know what she/he missed",  App needs modification as follows 1.Constant GPS activation alerts 2.PHOTOUPLOAD does not alerts with a notification tone 3. Gps coordination error. Got a warning message that i have left the isolation area while i was in my own bed. 4. Alerts and warning message needs to be shown in separate tab  so the user can know what she/he missed ,en,  App needs modification as follows   Constant GPS activation alerts   PHOTOUPLOAD does not alerts with a notification tone    Gps coordination error  Got a warning message that i have left the isolation area while i was in my own bed     Alerts and warning message needs to be shown in separate tab  so the user can know what she he missed ,"Domain_Specific, Location, Privacy","area, gps, coordin, separ, follow",0.151515152,Negative,0,0,1,0,,0,1,1,0
18,8/8/20 3:09,bh.bahrain.corona.tracker,BeAware Bahrain,ar,سامي سوفت,5,انا من لبنان قلت بلكي تزبط شكرا,I am from Lebanon  I said to be disappointed  thank you,ar,I am from Lebanon  I said to be disappointed  thank you,Location,lebanon,0.25,Negative,0,0,0,0,,0,1,0,0
19,7/8/20 20:45,bh.bahrain.corona.tracker,BeAware Bahrain,ar,RAEEQ 1,5,الله يحفظ البحرين وحكومتهها وشيوخا وشعبها الكريم,May God protect Bahrain  its government  the sheikhs  and its honorable people,ar,May God protect Bahrain  its government  the sheikhs  and its honorable people,"Location, Privacy","bahrain, protect",0.25,Positive,0,0,0,0,,0,1,1,0
20,7/8/20 14:58,bh.bahrain.corona.tracker,BeAware Bahrain,ar,S0omaa Twins,5,انه تطبيق جميل جداً و من خلاله تعرفت على نتائج فحص كورونا,It is a very nice application through which I got to know the results of the Corona examination,ar,It is a very nice application through which I got to know the results of the Corona examination,Domain_Specific,applic,0.125,Positive,0,0,1,0,,0,0,0,0
26,2/8/20 14:56,bh.bahrain.corona.tracker,BeAware Bahrain,ar,عبدالاله الزهراني,1,شي غريب انا في الحجر و العداد يوم يشتغل ويوم لا ولا اقدر اشوف طلبات الصور تختفي مع العداد وتبونا نصور لكم كل يوم كيف !!!,Something strange  I am in stone  and the counter works day and day  no  and I cannot see requests for pictures that disappear with the counter  and let us photograph for you every day  how !!!,ar,Something strange  I am in stone  and the counter works day and day  no  and I cannot see requests for pictures that disappear with the counter  and let us photograph for you every day  how    ,Domain_Specific,photograph,0.058823529,Negative,0,0,1,0,,0,0,0,0
29,31/07/2020 10:09,bh.bahrain.corona.tracker,BeAware Bahrain,en,Jonnie Park,3,"The app is a positive contribution to the fight against CV, but there really needs to be an audible notification for the photo requests. Without one, users are likely to miss the requests unless they are prepared to stare at their phones all day.",  The app is a positive contribution to the fight against CV  but there really needs to be an audible notification for the photo requests. Without one  users are likely to miss the requests unless they are prepared to stare at their phones all day. ,en,  The app is a positive contribution to the fight against CV  but there really needs to be an audible notification for the photo requests  Without one  users are likely to miss the requests unless they are prepared to stare at their phones all day  ,Domain_Specific,"prepar, prepar",0.090909091,Positive,0,0,1,0,,0,0,0,0
