,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,10/8/20 7:36,1501478858,BeAware Bahrain,us,0.19.0,Nani??!,1,Spying app,"Fake app made to spy on you, you should not download this app no matter what happens.", Spying app Fake app made to spy on you  you should not download this app no matter what happens. ,en, Spying app Fake app made to spy on you  you should not download this app no matter what happens  ,"Domain_Specific, Privacy","spi, spi",0.2,Negative,0,,1,0,,0,0,1,0
1,3/8/20 16:05,1501478858,BeAware Bahrain,bh,0.19.0,Hasan Hujairi,5,Thanks 🇧🇭 BahrainTeam,تطبيق مهم جداً في ظل هذه الظروف الصعبة ، و تطويره بشكل مستمر دليل على فعالية الشعب البحريني والمقيمين كافة على هذه الارض الطيبة 🌷🌺 نعجز عن شكر فريق البحرين,Thanks 🇧🇭 BahrainTeam is a very important application in these difficult circumstances  and its continuous development is evidence of the effectiveness of the Bahraini people and all residents on this good land الارض We cannot thank the Bahrain team,ar,Thanks    BahrainTeam is a very important application in these difficult circumstances  and its continuous development is evidence of the effectiveness of the Bahraini people and all residents on this good land       We cannot thank the Bahrain team,"Domain_Specific, Location","bahrain, land, import, applic",0.210526316,Positive,0,,1,0,,0,1,0,0
5,25/06/2020 14:18,1501478858,BeAware Bahrain,bh,0.16.0,hi and dis is mr donkey,5,Best goverment,There is no other country (maybe) that made an app like this!, Best goverment There is no other country (maybe) that made an app like this! ,en, Best goverment There is no other country  maybe  that made an app like this  ,"Domain_Specific, Language, Location","countri, countri, gover",0.428571429,Positive,0,,1,0,,1,1,0,0
6,19/06/2020 19:03,1501478858,BeAware Bahrain,bh,0.15.0,9oo9a.95,4,Review for the app,"Thank you for the app its wonderful 
But i wish if you remove the expire date of the id card because i cant see the result because my card is expired. Other than that the app is great."," Review for the app Thank you for the app its wonderful 
But i wish if you remove the expire date of the id card because i cant see the result because my card is expired. Other than that the app is great. ",en, Review for the app Thank you for the app its wonderful  But i wish if you remove the expire date of the id card because i cant see the result because my card is expired  Other than that the app is great  ,Domain_Specific,remov,0.05,Positive,0,,1,0,,0,0,0,0
7,15/06/2020 14:04,1501478858,BeAware Bahrain,bh,0.15.0,Mohamed.84,4,مقترح,"التطبيق يحتاج لتحديث
حيث لايمكن حجز مواعيد للاطفال لنهاية الحجر المنزلي وهم من لايملكون هواتف محموله ويمكن الحجز فقط لمن لديهم الهاتف والتطبيق ...","The application proposal needs an update
As it is not possible to book appointments for children at the end of the home quarantine  and they do not have cell phones  and it is possible to book only for those who have the phone and the application ...",ar,The application proposal needs an update As it is not possible to book appointments for children at the end of the home quarantine  and they do not have cell phones  and it is possible to book only for those who have the phone and the application    ,"Age, Domain_Specific","children, applic",0.111111111,Neutral,1,,1,0,,0,0,0,0
10,9/6/20 18:22,1501478858,BeAware Bahrain,bh,0.15.0,Adel_bin_hasan,3,البرنامج يحتاج الى تحديث بسيط,"السلام عليكم 
أقترح ان يكون برنامج BeAware فيه تنبيهات بصوت اقوى او ان يمكنه ان نختار صوت التنبيه ، لانه صوت المسج العادي لا يمكننه ان نسمعه ونحن بعيدين او نائمين او بالحمام مما يجعلنا نفوت طلب التصوير اكثر من مره.
وبخصوص الموقع اعتقد انه غير دقيق بسبب الاشعارات التي تبين عدم دقه المكان مع انه نفس المكان في كل مره اصور فيها؟!! وشكرا","The program needs a simple update  peace be upon you
I suggest that BeAware has more powerful alerts  or that we can choose the alarm sound  because it is the normal recording sound that we cannot hear while we are away or asleep or in the bathroom  which makes us miss the request for photography more than once.
Regarding the site  I think it is inaccurate due to the notices that show the inaccuracy of the place  even though it is the same place every time I photograph it? !! Thank you",ar,The program needs a simple update  peace be upon you I suggest that BeAware has more powerful alerts  or that we can choose the alarm sound  because it is the normal recording sound that we cannot hear while we are away or asleep or in the bathroom  which makes us miss the request for photography more than once  Regarding the site  I think it is inaccurate due to the notices that show the inaccuracy of the place  even though it is the same place every time I photograph it     Thank you,Domain_Specific,"record, photograph, normal",0.069767442,Positive,0,,1,0,,0,0,0,0
11,9/6/20 7:36,1501478858,BeAware Bahrain,us,0.14.0,MsIchigo,5,مقترح لتطبيق الحظر الكلي بطريقة مبتكرة,ليش ما يتم تطبيق الحظر الكلي بشكل تدريجي على مستوى المحافظات بحيث ما يأثر على سير الحياة في البحرين. فيمكن وضع خطة لتشمل جميع المحافظات كل فترة زمنية تشمل محافظة او محافظتين فيتم ارسال تنبيه قبل بفترة اسبوع لتنبيه سكان المحافظة للتجهيز للحظر الكلي لمدة اسبوعين وتكون باقي المحافظات ع الوضع الطبيعي في فترة الحظر بيكون بالامكان حصر جميع الحالات على مستوى المحافظة وبعدها يمنع دخول اي سكان المحافظات الثانية عشان نضمن عدم استحداث اي حالات جديدة. بهالطريقة يمكن في خلال شهر واحد احتواء جميع الحالات في البحرين اذا تم تطبيق الحظر على محافظتين في نفس الوقت.,A proposal to implement the total ban in an innovative way Why is the total ban not to be gradually applied at the governorate level  so that it affects the course of life in Bahrain. A plan can be developed to include all governorates every time period that includes one or two governorates  so an alert is sent a week before to alert the residents of the governorate to prepare for the total ban for a period of two weeks  and the rest of the governorates will be in the normal situation during the ban period  so it is possible to limit all cases at the governorate level and after that  entry of any governorate population is prohibited. The second is to ensure that no new cases are created. In this way  it is possible within one month to contain all cases in Bahrain if the ban is applied to two governorates at the same time.,ar,A proposal to implement the total ban in an innovative way Why is the total ban not to be gradually applied at the governorate level  so that it affects the course of life in Bahrain  A plan can be developed to include all governorates every time period that includes one or two governorates  so an alert is sent a week before to alert the residents of the governorate to prepare for the total ban for a period of two weeks  and the rest of the governorates will be in the normal situation during the ban period  so it is possible to limit all cases at the governorate level and after that  entry of any governorate population is prohibited  The second is to ensure that no new cases are created  In this way  it is possible within one month to contain all cases in Bahrain if the ban is applied to two governorates at the same time ,"Domain_Specific, Location","bahrain, prepar, prepar, governor, level, normal",0.078947368,Negative,0,,1,0,,0,1,0,0
17,25/04/2020 5:29,1501478858,BeAware Bahrain,bh,0.11.0,Khalid Hesham 16,5,احسن تطبيق,الصراحة، احسن تطبيق إستعملته. 💯💯💯,The best application of honesty  the best application I used. 💯💯💯,ar,The best application of honesty  the best application I used     ,Domain_Specific,applic,0.166666667,Positive,0,,1,0,,0,0,0,0
18,25/04/2020 2:29,1501478858,BeAware Bahrain,us,0.11.0,juhmhtytthh,1,اختراق للخصوصية,اول ما طلع الخبر عن البرنامج نزلته لما دخلت عليه يطلب منك ان يأخذ موقعك و تحركاتك هاي الشي نرفزني بس قلت يلا معليه و بعدين اجوف البرنامج و يقولون حق الأوادم روح صور لنا رقم البيت حق نتأكد انك قاعد في البيت؟؟؟؟ لايكون عبالهم ان الاوادم ما عندهم شغل ولا أغراض البيت بتيي بروحها؟؟؟عبالهم كل شخص يطلع من البيت يطلع حق الوناسة,A breach of privacy  the first thing that came out about the program  I downloaded it  when I entered it  it asked you to take your position and your movements. This is something that jolts me  but I said  “Come on  go with it.” It is not their minds that the servants do not have work or the things of the house to bring with their spirit ???,ar,A breach of privacy  the first thing that came out about the program  I downloaded it  when I entered it  it asked you to take your position and your movements  This is something that jolts me  but I said   Come on  go with it   It is not their minds that the servants do not have work or the things of the house to bring with their spirit    ,"Domain_Specific, Privacy","privaci, enter, servant",0.125,Positive,0,,1,0,,0,0,1,0
19,24/04/2020 22:30,1501478858,BeAware Bahrain,bh,0.11.0,Honwysug,5,Thank u,I want to thank u all for the great work you are doing really thank u sooo much hope we get through this together thank u team Bahrain 🇧🇭💪🏻❤️, Thank u I want to thank u all for the great work you are doing really thank u sooo much hope we get through this together thank u team Bahrain 🇧🇭💪🏻❤️ ,en, Thank u I want to thank u all for the great work you are doing really thank u sooo much hope we get through this together thank u team Bahrain        ,Location,bahrain,0.052631579,Positive,0,,0,0,,0,1,0,0
