,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,29/10/2020 13:29,bg.government.virusafe,ViruSafe,bg,Maxim lu,5,"Приложението работи,безотказно,бързо и коректно.Ще изпращам информация ежедневно.Благодаря за удобството!"," The application works, flawlessly, quickly and correctly. I will send information daily. Thank you for the convenience! ",bg, The application works  flawlessly  quickly and correctly  I will send information daily  Thank you for the convenience  ,Domain_Specific,applic,0.1,Positive,0,,1,0,,0,0,0,0
4,20/10/2020 20:28,bg.government.virusafe,ViruSafe,en,G Kolev,1,Освен всички линии данни ще Ви дам и фекална проба.," In addition to all data lines, I will give you a fecal sample. ",bg, In addition to all data lines  I will give you a fecal sample  ,Privacy,data,0.166666667,Neutral,0,,0,0,,0,0,1,0
7,6/10/20 1:02,bg.government.virusafe,ViruSafe,bg,Mihail Langov,1,"За толкова време развитието на статистиката в апликацията е full zero ... Моля, не ни занимавайте с такива недодялано-студентско-трудово-обученски апликации... Обичам🇧🇬 и вярвам на кадърните...."," For so long the development of statistics in the application is full zero ... Please, do not bother us with such unfinished-student-labor-training applications ... I love and trust the staff .... ",bg, For so long the development of statistics in the application is full zero     Please  do not bother us with such unfinished student labor training applications     I love and trust the staff      ,"Age, Domain_Specific, Privacy","student, trust, staff, applic, student",0.294117647,Positive,1,,1,0,,0,0,1,0
8,2/10/20 8:50,bg.government.virusafe,ViruSafe,en,Val IO,1,The app requires to sensitive information in the registration process,   The app requires to sensitive information in the registration process  ,en,   The app requires to sensitive information in the registration process  ,Domain_Specific,sensit,0.166666667,Neutral,0,,1,0,,0,0,0,0
14,8/8/20 16:43,bg.government.virusafe,ViruSafe,en,Atanaska Peneva,1,"Няма никалъв начин да се въведат данни за развитие на заболяването в дните преди регистрацията. Не се събира важна информация от първите симптоми до момента на регистрацията, който може да е в.ден с подобрение и част от симптомите да са преминали. Добра идея, но недовършена..."," There is no way to enter data on the development of the disease in the days before registration. No important information is collected from the first symptoms until the time of registration, which may be a day of improvement and some of the symptoms have passed. Good idea, but unfinished ... ",bg, There is no way to enter data on the development of the disease in the days before registration  No important information is collected from the first symptoms until the time of registration  which may be a day of improvement and some of the symptoms have passed  Good idea  but unfinished     ,"Domain_Specific, Privacy","data, enter, import",0.130434783,Positive,0,,1,0,,0,0,1,0
17,23/07/2020 16:35,bg.government.virusafe,ViruSafe,bg,адв. Благовеста Ганчева,1,"За последните три месеца статистическите данни тук не се обновяват (следя за Варна, където за последния месец заразените следват София). Приложението черпи много от енергията на батерията при следенето на местоположението на регистриралия се. Приносът се обезсмисля."," For the last three months the statistics here are not updated (I follow for Varna, where for the last month the infected follow Sofia). The application draws a lot of battery power when tracking the location of the registrant. The contribution is meaningless. ",bg, For the last three months the statistics here are not updated  I follow for Varna  where for the last month the infected follow Sofia   The application draws a lot of battery power when tracking the location of the registrant  The contribution is meaningless  ,"Domain_Specific, Privacy","locat, track, locat, follow, applic",0.227272727,Negative,0,,1,0,,0,0,1,0
19,27/06/2020 8:12,bg.government.virusafe,ViruSafe,bg,Левент Аладънски,1,"Как мога да инсталирам приложението на телефон Huawei P40, който няма достъп до услугите на google?", How can I install the application on a Huawei P40 phone that does not have access to google services? ,bg, How can I install the application on a Huawei P   phone that does not have access to google services  ,Domain_Specific,"servic, servic, applic",0.333333333,Neutral,0,,1,0,,0,0,0,0
22,18/06/2020 12:04,bg.government.virusafe,ViruSafe,en,Jordan Borisov,3,"Не работи нещо приложение в частта за отчитане на симптомите, прехвърля ме да обновя данните си, правя го и пак не ме пуска да продължа към симптомите."," An application in the symptom reporting part doesn't work, it transfers me to update my data, I do it and again it doesn't let me continue with the symptoms. ",bg, An application in the symptom reporting part doesn t work  it transfers me to update my data  I do it and again it doesn t let me continue with the symptoms  ,"Domain_Specific, Privacy","data, applic",0.181818182,Neutral,0,,1,0,,0,0,1,0
23,17/06/2020 16:09,bg.government.virusafe,ViruSafe,de,Klaus Ackerman,1,"Wieso bekomme ich eine COVID-19 app fuer Bulgarien, was soll der Q uatsch?"," Why do I get a COVID-19 app for Bulgaria, what's the Q uatsch? ",de, Why do I get a COVID    app for Bulgaria  what s the Q uatsch  ,Location,bulgaria,0.142857143,Neutral,0,,0,0,,0,1,0,0
24,17/06/2020 4:50,bg.government.virusafe,ViruSafe,bg,Maria Kuleva,1,Не съм съгласна да давам личните си данни на някакво си приложение., I do not agree to give my personal data to any application. ,bg, I do not agree to give my personal data to any application  ,"Domain_Specific, Privacy","data, applic",0.333333333,Negative,0,,1,0,,0,0,1,0
25,16/06/2020 4:03,bg.government.virusafe,ViruSafe,bg,Polina Karakoleva,3,"Опцията '' Как се чувстваш днес"" проработи отново след нова инсталация на приложението."," The ""How do you feel today"" option worked again after a new installation of the application. ",bg, The  How do you feel today  option worked again after a new installation of the application  ,Domain_Specific,applic,0.142857143,Neutral,0,,1,0,,0,0,0,0
26,11/6/20 8:46,bg.government.virusafe,ViruSafe,bg,Стефан Марков,5,"Да, и на мен ми върти в кръг личните данни и неможе изобщо да се ползва. Счупихте го определено. А дано и да си го оправите скоро."," Yes, I also have personal data in a circle and it cannot be used at all. You definitely broke it. And I hope you fix it soon. ",bg, Yes  I also have personal data in a circle and it cannot be used at all  You definitely broke it  And I hope you fix it soon  ,Privacy,data,0.090909091,Positive,0,,0,0,,0,0,1,0
