,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,18/08/2020 10:02,1506362170,ViruSafe,bg,1.0.4,sbtfmyt,1,This app fakes statistics,It steals your data and then it puts you in the national registry as a sick person in order for the Bulgarian government to pretend Bulgaria is affected badly.,  This app fakes statistics It steals your data and then it puts you in the national registry as a sick person in order for the Bulgarian government to pretend Bulgaria is affected badly.  ,en,  This app fakes statistics It steals your data and then it puts you in the national registry as a sick person in order for the Bulgarian government to pretend Bulgaria is affected badly   ,"Domain_Specific, Emotional, Language, Location, Privacy","sick, bulgarian, bulgaria, data, order",0.294117647,Negative,0,,1,1,,1,1,1,
2,3/6/20 2:11,1506362170,ViruSafe,bg,1.0.4,bateto,3,iOS updates cause loss of registration,After every IOS update application lose registration - you need to enter phone again. What is the reason this happen?,  iOS updates cause loss of registration After every IOS update application lose registration - you need to enter phone again. What is the reason this happen?  ,en,  iOS updates cause loss of registration After every IOS update application lose registration   you need to enter phone again  What is the reason this happen   ,Domain_Specific,"enter, applic",0.125,Negative,0,,1,0,,0,0,0,
3,1/6/20 19:34,1506362170,ViruSafe,bg,1.0.4,Tony Stаrk,3,Посредствено,"Приложението е полезно единствено в случай на докладване на симптоми по предварително зададените въпроси. Оттук нататък: ъпдейтите са толкова малки, че се чудя защо изобщо ги пускат. Може би като мина извънредното положение, патриотичния и дарителски дух на българския ИТ бизнес се изпари. Приложението има нужда от профили, за да мога да докладвам симптоми и на хора, които нямат или не могат да ползват съзнателно Смарт устройства - деца и пенсионери. Приложението е добре да изпраща нотификации, че днес съм забравил да си изпратя симптомите и да има настройки дали да ме нотифицира по време на епидемии или винаги, или никога. Добре ще е в информационната част, данните да се представят като за мобилен екран, а не все едно ще ги гледам на 22 инчов монитор. Да не говорим, че е безсмислено да има разширяващи се графични елементи, които само да ми показват същото число, но със шрифт 100 пъти по-голям. Скоро ще се въведе ли contact tracing фреймуърка на Епъл и Гугъл?"," Medium The application is useful only in case of reporting symptoms on pre-asked questions. From now on: the updates are so small that I wonder why they release them at all. Perhaps as the state of emergency passed, the patriotic and charitable spirit of the Bulgarian IT business evaporated. The application needs profiles so that I can report symptoms to people who do not have or cannot consciously use Smart devices - children and retirees. The app is good to send notifications that today I forgot to send my symptoms and have settings whether to notify me during epidemics or always or never. It will be good in the information part to present the data as for a mobile screen, and not as if I will look at them on a 22-inch monitor. Not to mention that it's pointless to have expandable graphics that only show me the same number, but in a font 100 times larger. Will the Apple and Google contact tracing framework be introduced soon? ",bg, Medium The application is useful only in case of reporting symptoms on pre asked questions  From now on  the updates are so small that I wonder why they release them at all  Perhaps as the state of emergency passed  the patriotic and charitable spirit of the Bulgarian IT business evaporated  The application needs profiles so that I can report symptoms to people who do not have or cannot consciously use Smart devices   children and retirees  The app is good to send notifications that today I forgot to send my symptoms and have settings whether to notify me during epidemics or always or never  It will be good in the information part to present the data as for a mobile screen  and not as if I will look at them on a    inch monitor  Not to mention that it s pointless to have expandable graphics that only show me the same number  but in a font     times larger  Will the Apple and Google contact tracing framework be introduced soon  ,"Age, Domain_Specific, Language, Privacy","children, bulgarian, data, evapor, expand, profil, applic, present",0.101265823,Positive,1,,1,0,,1,0,1,
4,6/5/20 21:45,1506362170,ViruSafe,bg,1.0.3,ivanovaeelena,1,"Не е това, което очаквах","Всеки път като го отворя и ми иска тел номер, въвеждам, получавам СМС и това всеки път! Същото се получава и като се опитам да си запаметя и въведената информация. Някой работи ли върху него изобщо? От месец е така..."," It's not what I expected Every time I open it and it asks for my phone number, I enter, I receive an SMS and every time! The same happens when I try to memorize the entered information. Does anyone work on it at all? It's been like this for a month ... ",bg, It s not what I expected Every time I open it and it asks for my phone number  I enter  I receive an SMS and every time  The same happens when I try to memorize the entered information  Does anyone work on it at all  It s been like this for a month     ,Domain_Specific,"enter, receiv",0.090909091,Positive,0,,1,0,,0,0,0,
5,24/04/2020 0:23,1506362170,ViruSafe,bg,1.0.1,DenislavSt,1,на мутафа и боко фостата,"бъдете тъпи  и си давайте егн-то и номера, приложението е абсолютно с цел събиране на данни, но не и информиране за каквото и да е."," on the mutafa and boko fosta be dumb and give yourself your egn and number, the application is absolutely for the purpose of collecting data, but not informing about anything. ",bg, on the mutafa and boko fosta be dumb and give yourself your egn and number  the application is absolutely for the purpose of collecting data  but not informing about anything  ,"Domain_Specific, Privacy","data, applic",0.142857143,Negative,0,,1,0,,0,0,1,
8,16/04/2020 16:19,1506362170,ViruSafe,bg,1.0.1,shelvey33,1,Невъзможна регистрация,Приложението не позволява регистрация с ЕГН или ЛНЧ!, Unable to register The application does not allow registration with PIN or PIN! ,bg, Unable to register The application does not allow registration with PIN or PIN  ,Domain_Specific,applic,0.125,Negative,0,,1,0,,0,0,0,
9,16/04/2020 12:28,1506362170,ViruSafe,bg,1.0.1,J_dani,3,Допълнителни лица,"Не мога да въведа данни за непълнолетните си деца.
Като цяло не е добре разработена частта за въвеждане на друго лице."," Additional persons I cannot enter data for my minor children.
In general, the part for introducing another person is not well developed. ",bg, Additional persons I cannot enter data for my minor children  In general  the part for introducing another person is not well developed  ,"Age, Domain_Specific, Privacy","children, data, enter",0.230769231,Negative,1,,1,0,,0,0,1,
10,16/04/2020 11:12,1506362170,ViruSafe,bg,1.0.1,Petya D.,4,Предложение за функционалност,"Здравейте. 
Текущо се попълват симптоми за деня в “Как се чувстваш днес?”, след което няма индикация подсказваща, че вече сме попълнили за деня. Може да стане объркване: дали изобщо попълних днес или е било предния ден (случва се). 

Предложение: след като попълниш данни за деня, то “Как се чувстваш днес?”, да се променя на “Промени симптоми за деня”, в случай че се почувстваш различно, за да не попълваш няколко пъти. Като с това също ще знаеш, че вече си попълнил за деня. 

На следващия ден отново да е наличен бутон “Как се чувстваш днес?”."," Functionality suggestion Hello.
Symptoms for the day are currently being filled in ""How are you feeling today?"", After which there is no indication that we have already filled in for the day. There may be confusion: did I fill in today at all or was it the day before (it happens).

Suggestion: after filling in the data for the day, ""How do you feel today?"", Change to ""Change symptoms for the day"", in case you feel different, so as not to fill in several times. As with this, you will also know that you have already filled in for the day.

The next day, the ""How do you feel today?"" Button should be available again. ",bg, Functionality suggestion Hello  Symptoms for the day are currently being filled in  How are you feeling today    After which there is no indication that we have already filled in for the day  There may be confusion  did I fill in today at all or was it the day before  it happens    Suggestion  after filling in the data for the day   How do you feel today    Change to  Change symptoms for the day   in case you feel different  so as not to fill in several times  As with this  you will also know that you have already filled in for the day   The next day  the  How do you feel today   Button should be available again  ,"Domain_Specific, Emotional, Privacy","confus, data, button",0.063829787,Negative,0,,1,1,,0,0,1,
11,15/04/2020 10:15,1506362170,ViruSafe,bg,1.0.1,nmetos,1,Изнервящо и безполезно,Поиска ми верификация чрез смс на номера сигурно около 20 пъти... Логвах си информацията всеки ден чинно докато накрая ми писна и го изтрих... Провал, Annoying and useless He asked me to verify via SMS the number probably about 20 times ... I logged my information every day until I finally got tired and deleted it ... Failure ,bg, Annoying and useless He asked me to verify via SMS the number probably about    times     I logged my information every day until I finally got tired and deleted it     Failure ,Emotional,annoy,0.055555556,Negative,0,,0,1,,0,0,0,
13,14/04/2020 20:39,1506362170,ViruSafe,bg,1.0.1,ElliePetrova,1,ЕГН,"За съжаление приложението не може да се използва без попълване на ЕГН, което не бих направила, поради липсата на висока защита на държавните сайтове/приложения."," PIN Unfortunately, the application cannot be used without filling in the PIN, which I would not do due to the lack of high protection of government sites / applications. ",bg, PIN Unfortunately  the application cannot be used without filling in the PIN  which I would not do due to the lack of high protection of government sites   applications  ,"Domain_Specific, Privacy","protect, applic",0.133333333,Negative,0,,1,0,,0,0,1,
