,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
4,30/10/2020 4:29,1520284227,COVID Alert,ca,1.1.0,Sazthe,1,Sooo... what’s the point?,All this app has ever done is tell me it’s not available in my province or territory.,  Sooo... what’s the point? All this app has ever done is tell me it’s not available in my province or territory.  ,en,  Sooo    what s the point  All this app has ever done is tell me it s not available in my province or territory   ,Location,"territori, provinc",0.222222222,Neutral,0,0,0,0,0,0,1,0,0
5,30/10/2020 3:59,1520284227,COVID Alert,ca,1.1.0,Arctic Trooper,5,ARZ,"I am an Albertan. I am disappointed with the Alberta app. Let’s join the Canada’s, not “Trudeau’s spp” COVID Alert. Let’s not politicize the health of Albertans. Premier Kenny get on with it.","  ARZ I am an Albertan. I am disappointed with the Alberta app. Let’s join the Canada’s, not “Trudeau’s spp” COVID Alert. Let’s not politicize the health of Albertans. Premier Kenny get on with it.  ",en,  ARZ I am an Albertan  I am disappointed with the Alberta app  Let s join the Canada s  not  Trudeau s spp  COVID Alert  Let s not politicize the health of Albertans  Premier Kenny get on with it   ,Location,canada,0.052631579,Positive,0,0,0,0,0,0,1,0,0
8,29/10/2020 13:31,1520284227,COVID Alert,ca,1.0.13,sprebs,1,Enabling an issue,"I have an iPhone 10
I have tried many time to enable notifications and it will not. 
I have removed app multiple times to reload, updated iOS, restarted phone and it will not allow to enable notifications or do what it is supposed to.  My wife and kids have the app on the same phone , it works for them, the steps for enabling and function is obvious.

Wish I could get it to work!!","  Enabling an issue I have an iPhone 10
I have tried many time to enable notifications and it will not. 
I have removed app multiple times to reload, updated iOS, restarted phone and it will not allow to enable notifications or do what it is supposed to.  My wife and kids have the app on the same phone , it works for them, the steps for enabling and function is obvious.

Wish I could get it to work!!  ",en,  Enabling an issue I have an iPhone    I have tried many time to enable notifications and it will not   I have removed app multiple times to reload  updated iOS  restarted phone and it will not allow to enable notifications or do what it is supposed to   My wife and kids have the app on the same phone   it works for them  the steps for enabling and function is obvious   Wish I could get it to work    ,"Age, Domain_Specific","kid, kid, remov",0.088235294,Positive,1,0,1,0,0,0,0,0,0
9,28/10/2020 22:48,1520284227,COVID Alert,ca,1.0.13,djh2525,5,Enthusiastic User,"I wish there was more messaging from the governments of Canada and Ontario to encourage the use of this app.

I’d be curious to know how many people actually have it running on their phones rather than just the total number of downloads.","  Enthusiastic User I wish there was more messaging from the governments of Canada and Ontario to encourage the use of this app.

I’d be curious to know how many people actually have it running on their phones rather than just the total number of downloads.  ",en,  Enthusiastic User I wish there was more messaging from the governments of Canada and Ontario to encourage the use of this app   I d be curious to know how many people actually have it running on their phones rather than just the total number of downloads   ,"Domain_Specific, Emotional, Location","curious, canada, run",0.142857143,Positive,0,0,1,1,0,0,1,0,0
10,28/10/2020 16:22,1520284227,COVID Alert,ca,1.0.13,Toronto-06,5,Keep Canadians Safe,"Please spread the word about this app and get your siblings or kids to download it. It’s an amazing idea and the more people that use it, the better it works. When I heard about this app it was a no brainer for me to download it but I was disappointed to see that a lot of my peers didn’t care. Please do your part to keep our community safe.","  Keep Canadians Safe Please spread the word about this app and get your siblings or kids to download it. It’s an amazing idea and the more people that use it, the better it works. When I heard about this app it was a no brainer for me to download it but I was disappointed to see that a lot of my peers didn’t care. Please do your part to keep our community safe.  ",en,  Keep Canadians Safe Please spread the word about this app and get your siblings or kids to download it  It s an amazing idea and the more people that use it  the better it works  When I heard about this app it was a no brainer for me to download it but I was disappointed to see that a lot of my peers didn t care  Please do your part to keep our community safe   ,"Age, Domain_Specific","kid, kid, brainer",0.096774194,Positive,1,0,1,0,0,0,0,0,0
11,28/10/2020 12:51,1520284227,COVID Alert,ca,1.0.13,1b45ggg7,5,App popularity,"This app would be much more popular and downloaded more if you added the case counts. New daily cases, new recovered etc.
People would be more involved and use it as a tool, instead of thinking that it’s just a way for the government to track you. 

I downloaded this app because I feel it is important, but would like to see the additional information added","  App popularity This app would be much more popular and downloaded more if you added the case counts. New daily cases, new recovered etc.
People would be more involved and use it as a tool, instead of thinking that it’s just a way for the government to track you. 

I downloaded this app because I feel it is important, but would like to see the additional information added  ",en,  App popularity This app would be much more popular and downloaded more if you added the case counts  New daily cases  new recovered etc  People would be more involved and use it as a tool  instead of thinking that it s just a way for the government to track you    I downloaded this app because I feel it is important  but would like to see the additional information added  ,"Domain_Specific, Privacy","track, import",0.054054054,Positive,0,0,1,0,0,0,0,1,0
12,28/10/2020 1:57,1520284227,COVID Alert,ca,1.0.13,johnacalgary,5,Explicit technical low energy privacy make this a winner.,"This is exactly what we need, a low energy app that uses the new OS level frameworks. It doesn’t ask for any private information and doesn’t need GPS access. I hope anyone I come in contact with who has the virus is running this app!","  Explicit technical low energy privacy make this a winner. This is exactly what we need, a low energy app that uses the new OS level frameworks. It doesn’t ask for any private information and doesn’t need GPS access. I hope anyone I come in contact with who has the virus is running this app!  ",en,  Explicit technical low energy privacy make this a winner  This is exactly what we need  a low energy app that uses the new OS level frameworks  It doesn t ask for any private information and doesn t need GPS access  I hope anyone I come in contact with who has the virus is running this app   ,"Domain_Specific, Privacy, Socio_economic_Status","technic, privaci, gps, run, level",0.161290323,Positive,0,0,1,0,0,0,0,1,1
16,26/10/2020 0:57,1520284227,COVID Alert,ca,1.0.13,Nimble1918,3,Tell the date of exposure,"The app and concept is great. But I got an alert that I’ve been exposed. Since I rarely go out, it would make a huge difference if the app could at least share what date I was exposed so I could narrow down the places I had been and assess how risky it was or if my kids were with me.","  Tell the date of exposure The app and concept is great. But I got an alert that I’ve been exposed. Since I rarely go out, it would make a huge difference if the app could at least share what date I was exposed so I could narrow down the places I had been and assess how risky it was or if my kids were with me.  ",en,  Tell the date of exposure The app and concept is great  But I got an alert that I ve been exposed  Since I rarely go out  it would make a huge difference if the app could at least share what date I was exposed so I could narrow down the places I had been and assess how risky it was or if my kids were with me   ,Age,"kid, kid",0.071428571,Positive,1,0,0,0,0,0,0,0,0
29,21/10/2020 20:41,1520284227,COVID Alert,ca,1.0.13,Rockin'86,1,Why isn’t this Canada wide yet?,How is it this app has been out for as long as it’s been and you still don’t have BC able to report?  What’s the point in having a reporting app for Canada if the whole country isn’t able to report?!,  Why isn’t this Canada wide yet? How is it this app has been out for as long as it’s been and you still don’t have BC able to report?  What’s the point in having a reporting app for Canada if the whole country isn’t able to report?!  ,en,  Why isn t this Canada wide yet  How is it this app has been out for as long as it s been and you still don t have BC able to report   What s the point in having a reporting app for Canada if the whole country isn t able to report    ,"Language, Location","countri, countri, canada",0.166666667,Neutral,0,0,0,0,0,1,1,0,0
30,21/10/2020 15:36,1520284227,COVID Alert,ca,1.0.12,I Think I’m Fair,5,Anonymous and Secure,Do your part downloading this app. The framework powering it for contact tracing is anonymous.,  Anonymous and Secure Do your part downloading this app. The framework powering it for contact tracing is anonymous.  ,en,  Anonymous and Secure Do your part downloading this app  The framework powering it for contact tracing is anonymous   ,Privacy,"secur, secur",0.2,Positive,0,0,0,0,0,0,0,1,0
