,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/7/20 10:49,cz.covid19cz.erouska,eRouška - part of smart quarantine,en,Ed Snowden,2,"Either everyone stopped using it, or the app is broken. Reinstalled recently and haven't had any contacts. Edit re the reply: I live in Brno, travel from the north of the city to the center every day, in close contact with hundreds of people, on bus, tram, walking, in office... Every day. Still zero contacts. I don't think it has to do with social distancing, which isn't even really a thing here in Czech Republic lol.",  Either everyone stopped using it  or the app is broken. Reinstalled recently and haven't had any contacts. Edit re the reply: I live in Brno  travel from the north of the city to the center every day  in close contact with hundreds of people  on bus  tram  walking  in office... Every day. Still zero contacts. I don't think it has to do with social distancing  which isn't even really a thing here in Czech Republic lol. ,en,  Either everyone stopped using it  or the app is broken  Reinstalled recently and haven t had any contacts  Edit re the reply  I live in Brno  travel from the north of the city to the center every day  in close contact with hundreds of people  on bus  tram  walking  in office    Every day  Still zero contacts  I don t think it has to do with social distancing  which isn t even really a thing here in Czech Republic lol  ,"Language, Location","czech, czech republ",0.071428571,Negative,0,0,0,0,0,1,1,0,0
1,8/2/20 20:02,cz.covid19cz.erouska,eRouška - part of smart quarantine,en,MAS,5,"It is good, but how it is possible if you out of czechia and change your region and not be able to download something equally for the other country. That should be not happen in the EU and is for me just another example how the EU works for the people living in it.",  It is good  but how it is possible if you out of czechia and change your region and not be able to download something equally for the other country. That should be not happen in the EU and is for me just another example how the EU works for the people living in it. ,en,  It is good  but how it is possible if you out of czechia and change your region and not be able to download something equally for the other country  That should be not happen in the EU and is for me just another example how the EU works for the people living in it  ,"Domain_Specific, Language, Location","countri, countri, region, equal",0.222222222,Positive,0,0,1,0,0,1,1,0,0
2,7/27/20 11:09,cz.covid19cz.erouska,eRouška - part of smart quarantine,en,Richard Franěk,4,"Aplikaci nelze zcela vyřadit z android notifikací (to, že běží), bude překážet i kdyby jednom při swipe down.",The app cannot be completely excluded from android notifications (the fact that it runs) will interfere even if one swipe down.,cs,The app cannot be completely excluded from android notifications  the fact that it runs  will interfere even if one swipe down ,Domain_Specific,run,0.090909091,Positive,0,0,1,0,0,0,0,0,0
4,7/20/20 20:11,cz.covid19cz.erouska,eRouška - part of smart quarantine,en,Anthony Dach,5,Corona wouldn't have a chance if only government would approve this.,  Corona wouldn't have a chance if only government would approve this. ,en,  Corona wouldn t have a chance if only government would approve this  ,Domain_Specific,approv,0.166666667,Positive,0,0,1,0,0,0,0,0,0
5,7/19/20 21:34,cz.covid19cz.erouska,eRouška - part of smart quarantine,cs,Zita Šindlerová,2,"Jak zjistím, že jsem se setkala s pozitivně nakaženým člověkem, i když nemá nainstalovanou aplikaci erouška? To asi nikdo, nikdy nezjistí, to by musela být povinnost, si aplikaci zaktivovat...",How do I know that I have met a positively infected person even if they do not have the erouška application installed? Probably no one will ever find out  it would have to be an obligation to activate the application ...,cs,How do I know that I have met a positively infected person even if they do not have the erou ka application installed  Probably no one will ever find out  it would have to be an obligation to activate the application    ,Domain_Specific,applic,0.055555556,Negative,0,0,1,0,0,0,0,0,0
6,7/18/20 7:56,cz.covid19cz.erouska,eRouška - part of smart quarantine,cs,Hana Šubrtová,4,E rouška je dobrý prostŕedek ???? k ochraně šiřeni nakazy.,Erouška is a good means ???? to protect the spread of infection.,cs,Erou ka is a good means      to protect the spread of infection ,Privacy,protect,0.142857143,Positive,0,0,0,0,0,0,0,1,0
7,7/18/20 5:40,cz.covid19cz.erouska,eRouška - part of smart quarantine,cs,Uživatel Googlu,5,Líbí se mi vyšší přesnost aplikace oproti mapy.cz. Rozhodně je nedostatečná propagace aplikace. O aplikaci jsem se dozvěděl náhodou v rozhlasové diskuzi kde padla zmínka.,I like the higher accuracy of the application compared to mapy.cz. There is definitely insufficient promotion of the application. I learned about the application by chance in a radio discussion where it was mentioned.,cs,I like the higher accuracy of the application compared to mapy cz  There is definitely insufficient promotion of the application  I learned about the application by chance in a radio discussion where it was mentioned ,Domain_Specific,applic,0.058823529,Positive,0,0,1,0,0,0,0,0,0
8,7/15/20 20:27,cz.covid19cz.erouska,eRouška - part of smart quarantine,cs,Jiří Vondruš,1,"Fajn nápad, ale na to že jde o oficiální aplikaci Ministerstva, tak nemá vůbec žádnou propagaci. K samotné aplikaci, koncepce sbírání ""sousedů"" přes bluetooth je absolutně nevhodná => vysoká spotřeba baterie. Nechápu proč neukládá polohu jako jiné aplikace (mapy google či seznam), to má minimální nároky a výsledek by byl stejný. Takto abych každý den nabíjel telefon.","Nice idea  but since it is an official application of the Ministry  it has no promotion at all. For the application itself  the concept of collecting ""neighbors"" via bluetooth is absolutely inappropriate => high battery consumption. I do not understand why it does not save the location like other applications (google maps or list)  it has minimal requirements and the result would be the same. This is how I charge my phone every day.",cs,Nice idea  but since it is an official application of the Ministry  it has no promotion at all  For the application itself  the concept of collecting  neighbors  via bluetooth is absolutely inappropriate    high battery consumption  I do not understand why it does not save the location like other applications  google maps or list   it has minimal requirements and the result would be the same  This is how I charge my phone every day ,"Domain_Specific, Privacy","locat, locat, applic",0.083333333,Negative,0,0,1,0,0,0,0,1,0
11,7/12/20 17:53,cz.covid19cz.erouska,eRouška - part of smart quarantine,cs,Jan Bezvoda,3,Mám nainstalovanou aplikaci erouska nezaznamenala blízké setkání a to běží na pozadí! Supermarketu BILA v Horicich lidi nedodrzuji bezpecnostni odstupy! Týká se Horic v okresu Jicin!,I have installed the application erouska did not notice a close encounter and it runs in the background! At the BILA supermarket in Horice  people do not observe safety distances! It concerns Horice in the Jicin district!,cs,I have installed the application erouska did not notice a close encounter and it runs in the background  At the BILA supermarket in Horice  people do not observe safety distances  It concerns Horice in the Jicin district ,"Domain_Specific, Emotional, Location","concern, district, run, applic",0.210526316,Negative,0,0,1,1,0,0,1,0,0
13,7/12/20 11:45,cz.covid19cz.erouska,eRouška - part of smart quarantine,cs,Lukáš Vápeník,3,"Aplikace nefunguje správně na Android 10. V seznamu notifikací se zobrazuje prázdná notifikace. Když na ni kliknete, otevře se aplikace eRouška. Když následně kliknete na tlačítko zpět, notifikace se již jeví normálně. Jakmile ale zhasne displej, notifikace se opět změní na prázdnou. Reinstal aplikace nepomohl, před upgradem telefonu na Android 10 se toto nedělo. (Motorola G7)",The application does not work properly on Android 10. An empty notification is displayed in the list of notifications. When you click on it  the eRouška application will open. When you then click the back button  the notification no longer appears normal. However  as soon as the display goes out  the notification changes to blank again. Reinstalling the application did not help  this did not happen before upgrading the phone to Android 10. (Motorola G7),cs,The application does not work properly on Android     An empty notification is displayed in the list of notifications  When you click on it  the eRou ka application will open  When you then click the back button  the notification no longer appears normal  However  as soon as the display goes out  the notification changes to blank again  Reinstalling the application did not help  this did not happen before upgrading the phone to Android      Motorola G  ,Domain_Specific,"display, button, normal, applic",0.102564103,Negative,0,0,1,0,0,0,0,0,0
