,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,6/19/20 13:32,1509210215,eRouška,cz,1.1,Byper,1,Nefunkčí,V nastavení pro sdílení dat COVID-19 není eRouška vidět. Udržovat aplikaci zapnoutou na popředí je nesmysl nedá se pak s telefonem  pracovat.,Not working The eRoad is not visible in the COVID-19 data sharing settings. Keeping the application turned on in the foreground is nonsense then you can't work with your phone.,cs,Not working The eRoad is not visible in the COVID    data sharing settings  Keeping the application turned on in the foreground is nonsense then you can t work with your phone ,"Domain_Specific, Privacy","data, applic",0.142857143,Neutral,0,,1,0,0,0,0,1,0
2,6/17/20 6:08,1509210215,eRouška,cz,,M44J,1,Pozadí,"Může mi vývojář vysvětlit, k čemu je ta aplikace dobrá, když nefunguje na pozadí?!",Background Can the developer explain to me what the application is good for if it doesn't work in the background ?!,cs,Background Can the developer explain to me what the application is good for if it doesn t work in the background   ,Domain_Specific,applic,0.142857143,Positive,0,,1,0,0,0,0,0,0
5,6/8/20 21:45,1509210215,eRouška,cz,,Michal___,1,Nefunkcni,"Proc stat zaplatil za neco, co nefunguje a fungovat nebude ?! 🖕",Broken Why did the state pay for something that doesn't work and won't work ?! 🖕,cs,Broken Why did the state pay for something that doesn t work and won t work     ,Socio_economic_Status,pay,0.142857143,Positive,0,,0,0,0,0,0,0,1
7,6/6/20 11:02,1509210215,eRouška,cz,,M-zatím-trpělivý,1,Nepoužitelná aplikace,Aplikace při je současných podmínkách provozu zcela nepoužitelná. Doporučuji ať ji vývojáři raději stáhnou s AppStore.,Unusable application The application is completely unusable under current operating conditions. I recommend that developers prefer to download it with the AppStore.,cs,Unusable application The application is completely unusable under current operating conditions  I recommend that developers prefer to download it with the AppStore ,Domain_Specific,applic,0.076923077,Positive,0,,1,0,0,0,0,0,0
10,6/3/20 9:41,1509210215,eRouška,cz,,jchalupny,1,Data,Poslední záznam je dle historie z 25.5. i když jsem každý den v kontaktu s minimálně 5 lidmi (v domácnosti a kanceláři) s aktivovanou aplikaci...,Dates The last record is according to the history from 25.5. even though I am in contact with at least 5 people (at home and in the office) every day with the application activated ...,cs,Dates The last record is according to the history from       even though I am in contact with at least   people  at home and in the office  every day with the application activated    ,Domain_Specific,"record, applic",0.125,Neutral,0,,1,0,0,0,0,0,0
13,6/1/20 11:14,1509210215,eRouška,cz,,Verca Z.,1,"Spotřeba baterie, irelevantní data","Množství spotřebované energie se naprosto nevyplatí v poměru k riziku nákazy. Dnes jsem s pozitivními v kontaktu byla a jelikož se nejedná o lidi, kteří by byli takovou aplikaci schopní používat, postrádám smysl.",Battery consumption  irrelevant data The amount of energy consumed does not pay off in proportion to the risk of infection. Today I have been in contact with the positive and since these are not people who would be able to use such an application  I make no sense.,cs,Battery consumption  irrelevant data The amount of energy consumed does not pay off in proportion to the risk of infection  Today I have been in contact with the positive and since these are not people who would be able to use such an application  I make no sense ,"Domain_Specific, Privacy, Socio_economic_Status","pay, data, applic",0.130434783,Positive,0,,1,0,0,0,0,1,1
14,5/31/20 23:41,1509210215,eRouška,cz,,Ferdinando55,3,Nefunguje při zamčené obrazovce?!? Nové oficiální API?,"Pokud nefunguje i při zamčené obrazovce, je bohužel spíš na nic! Takovou aplikaci nemohu používat, i když bych moc chtěl. Budete podporovat nové trasovací API Googlu i Apple? To by to snad mohlo řešit. Pokud ne, tak nechápu smysl.
Jinak aplikace se hodně špatně aktivuje - mnohokrát mi nereagovala na stisknutí tlačítka pokračovat, klávesnice na zadání tel. čísla se nezobrazovala, aktivace se povedla až po týdnu. Jistě, to mohlo být i chybou iOS, nevím.

EDIT: Diky za odpoved, snad se podari. V principu se minto libi a vasi prace si vazim. Chapu, ze to neni tak uplne jednoduche s ruznymi verzemi (hmm, neumel Appstore automaticky nabizet starsi verze appek pro starsi iOS?)","Does not work when the screen is locked?!? New official API? If it doesn't work even when the screen is locked  it's unfortunately useless! I can't use such an application  even if I really want to. Will you support the new Google and Apple tracing APIs? Maybe that could solve it. If not  I don't understand the point.
Otherwise  the application activates very badly - many times it did not respond to pressing the continue button  the keypad for entering the phone number was not displayed  the activation was successful only after a week. Sure  it could have been an iOS error  I don't know.

EDIT: Thanks for the answer  maybe we can. In principle  I like this and I appreciate your work. I understand that it is not so easy with different versions (hmm  the Appstore could not automatically offer older versions of apps for older iOS?)",cs,Does not work when the screen is locked    New official API  If it doesn t work even when the screen is locked  it s unfortunately useless  I can t use such an application  even if I really want to  Will you support the new Google and Apple tracing APIs  Maybe that could solve it  If not  I don t understand the point  Otherwise  the application activates very badly   many times it did not respond to pressing the continue button  the keypad for entering the phone number was not displayed  the activation was successful only after a week  Sure  it could have been an iOS error  I don t know   EDIT  Thanks for the answer  maybe we can  In principle  I like this and I appreciate your work  I understand that it is not so easy with different versions  hmm  the Appstore could not automatically offer older versions of apps for older iOS  ,"Age, Domain_Specific","older, respond, enter, display, button, answer, applic",0.092105263,Positive,1,,1,0,0,0,0,0,0
15,5/31/20 20:59,1509210215,eRouška,cz,,BlackCZ,1,Beh na pozadi,Bez moznosti pouzivani na pozadi je aplikce bohuzel nepouzitelna pro uzivatele ktery telefon pouziva casto pro jine ucely. Jinak by mela samozrejme vyuziti dle ocekavani.,Running in the background Without the possibility of using it in the background  the application is unfortunately unusable for users who often use the phone for other purposes. Otherwise  of course  it should be used as expected.,cs,Running in the background Without the possibility of using it in the background  the application is unfortunately unusable for users who often use the phone for other purposes  Otherwise  of course  it should be used as expected ,Domain_Specific,"run, applic",0.111111111,Negative,0,,1,0,0,0,0,0,0
17,5/30/20 10:18,1509210215,eRouška,cz,,Zllo,1,Příliš mnoho omezení pro využití,"mám iOS - jak nechat odemknuty telefon aby aplikace bezele???
příliš mnoho podmínek jak mobil používat (telefon pokládat displejem dolů, konektorem nahoru) a aplikace tak pro mě nemá smysl.
 je to jen dobrý nápad ale ne moc funkční...","Too many restrictions for use I have iOS - how to leave the phone unlocked to make the application bezele ???
too many conditions for using a mobile phone (place the phone with the display facing down  the connector facing up) and the application does not make sense to me.
 it's just a good idea but not very functional ...",cs,Too many restrictions for use I have iOS   how to leave the phone unlocked to make the application bezele     too many conditions for using a mobile phone  place the phone with the display facing down  the connector facing up  and the application does not make sense to me   it s just a good idea but not very functional    ,Domain_Specific,"display, connector, applic",0.103448276,Positive,0,,1,0,0,0,0,0,0
18,5/30/20 0:55,1509210215,eRouška,cz,,Foxcross,4,iOS 13.5,Těšíme se na podporu naivního monitoringu od iOS 13.5.,iOS 13.5 We look forward to supporting naive monitoring from iOS 13.5.,cs,iOS      We look forward to supporting naive monitoring from iOS      ,Domain_Specific,forward,0.142857143,Positive,0,,1,0,0,0,0,0,0
