,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/13/20 22:17,com.netcompany.smittestop_exposure_notification,Smittestop,en,Stella,2,Make it available in English as well? If you really care all people in dk to stay safe,  Make it available in English as well? If you really care all people in dk to stay safe ,en,  Make it available in English as well  If you really care all people in dk to stay safe ,Language,english,0.1,Positive,0,0,0,0,,1,0,0,0
2,8/10/20 16:12,com.netcompany.smittestop_exposure_notification,Smittestop,en,Bo Hejselbaek,1,"Nedjusterer fra 2 til 1 stjerne, da den fortsat kun findes på dansk. En engelsk version er muligvis (!) stadig på vej her snart to måneder, og alt for sent. Tror ikke den kommer. Og hvad med andre sprog? Arabisk, urdu mfl? Jeg er sikker på at I kan finde de anbefalede sprog hos sundhedsmyndighederne Det tager et par dage at oversætte. I betragtning af situationens alvor håber jeg en version på flere sprog kommer om få dage. Så meget er der altså heller ikke at oversætte. Det er en ommer.",Downgrades from 2 to 1 star  as it is still only available in Danish. An English version is possibly (!) Still on the way here soon two months  and far too late. Do not think it will come. And what about other languages? Arabic  Urdu and others? I'm sure you can find the recommended languages ​​at the health authorities It takes a few days to translate. Given the seriousness of the situation  I hope a version in several languages ​​will come in a few days. So there is not much to translate either. That is a redo.,da,Downgrades from   to   star  as it is still only available in Danish  An English version is possibly     Still on the way here soon two months  and far too late  Do not think it will come  And what about other languages  Arabic  Urdu and others  I m sure you can find the recommended languages   at the health authorities It takes a few days to translate  Given the seriousness of the situation  I hope a version in several languages   will come in a few days  So there is not much to translate either  That is a redo ,"Domain_Specific, Language","urdu, translat, arab, english, languag, translat, danish, author, translat, author",0.23255814,Positive,0,0,1,0,,1,0,0,0
3,8/9/20 12:14,com.netcompany.smittestop_exposure_notification,Smittestop,en,Stefan Horvath,4,"Works, I guess. Needs english version asap for the students and other internationals, though",  Works  I guess. Needs english version asap for the students and other internationals  though ,en,  Works  I guess  Needs english version asap for the students and other internationals  though ,"Age, Domain_Specific, Language","student, english, student",0.333333333,Neutral,1,0,1,0,,1,0,0,0
4,8/8/20 20:15,com.netcompany.smittestop_exposure_notification,Smittestop,en,Andrei Olarasu,3,English version would be useful,  English version would be useful ,en,  English version would be useful ,Language,english,0.25,Positive,0,0,0,0,,1,0,0,0
5,8/8/20 15:34,com.netcompany.smittestop_exposure_notification,Smittestop,en,Big Mann,5,"very good app, use it to track hot singles nearby",  very good app  use it to track hot singles nearby ,en,  very good app  use it to track hot singles nearby ,Privacy,track,0.125,Positive,0,0,0,0,,0,0,1,0
7,8/7/20 6:44,com.netcompany.smittestop_exposure_notification,Smittestop,en,Cláudio Gomes,4,"To increase trust and adoption this app should be made open source. That way, we all could have a look at the code to see if there's any privacy breach, and could even contribute with an English translation for the app. Plus, Denmark would set the example and other countries would follow. You might think that an open source app is more vuneravle to attacks but this is a very naïve arguments: vulnerabilities are exposed and fixed faster.",  To increase trust and adoption this app should be made open source. That way  we all could have a look at the code to see if there's any privacy breach  and could even contribute with an English translation for the app. Plus  Denmark would set the example and other countries would follow. You might think that an open source app is more vuneravle to attacks but this is a very naïve arguments: vulnerabilities are exposed and fixed faster. ,en,  To increase trust and adoption this app should be made open source  That way  we all could have a look at the code to see if there s any privacy breach  and could even contribute with an English translation for the app  Plus  Denmark would set the example and other countries would follow  You might think that an open source app is more vuneravle to attacks but this is a very na ve arguments  vulnerabilities are exposed and fixed faster  ,"Domain_Specific, Language, Location, Privacy","countri, translat, english, translat, countri, denmark, privaci, trust, translat, follow",0.23255814,Negative,0,0,1,0,,1,1,1,0
8,8/5/20 7:31,com.netcompany.smittestop_exposure_notification,Smittestop,en,Paw Mullit,1,"Requires location to be turned on. And I am not interested in sharing my location constantly with Google! Bluetooth is fine, location no-go.",  Requires location to be turned on. And I am not interested in sharing my location constantly with Google! Bluetooth is fine  location no-go. ,en,  Requires location to be turned on  And I am not interested in sharing my location constantly with Google  Bluetooth is fine  location no go  ,"Domain_Specific, Privacy","locat, locat",0.166666667,Negative,0,0,1,0,,0,0,1,0
9,8/4/20 16:50,com.netcompany.smittestop_exposure_notification,Smittestop,en,Jörg Asmussen,4,"App'en driller, når telefonen sættes i flytilstand og app'en ikke kører helt i baggrunden. Når app'en har et GUI åben, når bluetooth forsvinder, kommer en dialogboks frem, som kræver ny godkendelse af BT. Hvis app'en derimod kører uden GUI, så tåler den fint at BT forsvinder og dukker op igen. Den dialogboks i GUI.-tilstand bør rettes.",The app teases when the phone is put in flight mode and the app does not run completely in the background. When the app has a GUI open  when bluetooth disappears  a dialog box appears  which requires new approval of BT. If  on the other hand  the app runs without a GUI  then it tolerates well that BT disappears and reappears. The dialog box in GUI mode should be fixed.,da,The app teases when the phone is put in flight mode and the app does not run completely in the background  When the app has a GUI open  when bluetooth disappears  a dialog box appears  which requires new approval of BT  If  on the other hand  the app runs without a GUI  then it tolerates well that BT disappears and reappears  The dialog box in GUI mode should be fixed ,Domain_Specific,"approv, run",0.052631579,Positive,0,0,1,0,,0,0,0,0
10,8/1/20 10:32,com.netcompany.smittestop_exposure_notification,Smittestop,en,Sirqarsoon Channel,1,English please,  English please ,en,  English please ,Language,english,0.5,Positive,0,0,0,0,,1,0,0,0
11,7/31/20 20:46,com.netcompany.smittestop_exposure_notification,Smittestop,en,Tristan Bendixen,5,Useful without being needlessly complicated. The FAQ section gives really good responses to questions and concerns people might have.,  Useful without being needlessly complicated. The FAQ section gives really good responses to questions and concerns people might have. ,en,  Useful without being needlessly complicated  The FAQ section gives really good responses to questions and concerns people might have  ,"Domain_Specific, Emotional","concern, section",0.142857143,Positive,0,0,1,1,,0,0,0,0
