,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,7/6/20 19:12,1516581736,Smitte|stop,dk,,hamibe,5,Anbefales,"Virker fornuftig med databeskyttelse.
Vigtigt værktøj i kamp mod covid19","Recommended Seems sensible with data protection.
Important tool in the fight against covid19",da,Recommended Seems sensible with data protection  Important tool in the fight against covid  ,"Domain_Specific, Privacy","data, protect, import",0.333333333,Neutral,0,,1,0,0,0,0,1,
4,7/5/20 11:31,1516581736,Smitte|stop,dk,1.0.2,Sjamus,1,Hvorfor kun sidste nye iOS?,"Ville da gerne installere app’en, men man skyder da sig selv i foden fra start, ved ikke at give folk med ældre styresystemer muligheden. Det bør laves om.",Why only the latest iOS? Would like to install the app  but you then shoot yourself in the foot from the start  by not giving people with older operating systems the opportunity. It should be redone.,da,Why only the latest iOS  Would like to install the app  but you then shoot yourself in the foot from the start  by not giving people with older operating systems the opportunity  It should be redone ,Age,older,0.055555556,Negative,1,,0,0,0,0,0,0,
5,7/5/20 7:56,1516581736,Smitte|stop,dk,,Anonymous111118,4,Typisk dansk,Hvor er det typisk lige at glemme muligheden for engelsk. #pinligt,Typical Danish Where is it typically just to forget the possibility of English. #pinligt,da,Typical Danish Where is it typically just to forget the possibility of English   pinligt,Language,"english, danish",0.285714286,Negative,0,,0,0,0,1,0,0,
6,7/4/20 10:24,1516581736,Smitte|stop,gb,1.0.2,crystalpalace2001,5,Endeligt kan udenlandsdanskere være med!,Vi er mange der bor i udlandet men rejser til og fra Danmark så det er herligt at vi endeligt må være med.,Finally  foreign Danes can join! We are many who live abroad but travel to and from Denmark so it is great that we finally get to join.,da,Finally  foreign Danes can join  We are many who live abroad but travel to and from Denmark so it is great that we finally get to join ,Location,denmark,0.076923077,Positive,0,,0,0,0,0,1,0,
8,7/3/20 4:14,1516581736,Smitte|stop,dk,,Triis1,2,bruger meget batteri,Jeg oplever desværre at App dræner Iphone for strøm og telefon bliver meget varm. Jeg kan se den står for 20-25 % af dagens batteriforbrug.,uses a lot of battery I unfortunately experience that the App drains the Iphone for power and the phone gets very hot. I can see it accounts for 20-25% of today's battery consumption.,da,uses a lot of battery I unfortunately experience that the App drains the Iphone for power and the phone gets very hot  I can see it accounts for        of today s battery consumption ,Domain_Specific,account,0.055555556,Negative,0,,1,0,0,0,0,0,
10,7/2/20 16:54,1516581736,Smitte|stop,dk,,dsbæ,1,Batteriforbrug er absurd!,20% af batterforbruget på en iPhone xs? Uden i øvrigt nogensinde at åbne app’en? Det bliver sgu godt nok et nej tak herfra. Stram op!,Battery consumption is absurd! 20% of battery consumption on an iPhone xs? Without ever opening the app by the way? It will be damn good enough a no thank you from here. Tighten up!,da,Battery consumption is absurd      of battery consumption on an iPhone xs  Without ever opening the app by the way  It will be damn good enough a no thank you from here  Tighten up ,Domain_Specific,tighten,0.058823529,Negative,0,,1,0,0,0,0,0,
11,7/1/20 6:37,1516581736,Smitte|stop,dk,,CKRavn,5,Fedt koncept,Godt koncept. Har endnu ikke modtaget meldinger om smittede nær mig.,Fat concept Good concept. Have not yet received reports of infection near me.,da,Fat concept Good concept  Have not yet received reports of infection near me ,Domain_Specific,receiv,0.111111111,Positive,0,,1,0,0,0,0,0,
14,6/29/20 16:25,1516581736,Smitte|stop,dk,1.0.2,s_panayotov,1,Translation & Open sourcing,"Only available in Danish. 
For an app target towards everybody residing in Denmark, this is a huge failure. No matter how short the project deadline is, accessibility for such a simple app is #1

Update: But most importantly - publish it as Open Source!"," Translation & Open sourcing Only available in Danish. 
For an app target towards everybody residing in Denmark  this is a huge failure. No matter how short the project deadline is  accessibility for such a simple app is #1

Update: But most importantly - publish it as Open Source! ",en, Translation   Open sourcing Only available in Danish   For an app target towards everybody residing in Denmark  this is a huge failure  No matter how short the project deadline is  accessibility for such a simple app is     Update  But most importantly   publish it as Open Source  ,"Domain_Specific, Language, Location","translat, translat, danish, denmark, translat, import, target",0.269230769,Positive,0,,1,0,0,1,1,0,
15,6/28/20 21:37,1516581736,Smitte|stop,dk,1.0.2,jes00jes,5,Med på vognen,Håber MANGE flere installere og bruger denne app fremover. Der intet at tabe og alt at vinde. Frygter dog alt for få personer vil bruge den.,With on the cart HOPE MANY more will install and use this app in the future. There is nothing to lose and everything to gain. Fear  however  far too few people will use it.,da,With on the cart HOPE MANY more will install and use this app in the future  There is nothing to lose and everything to gain  Fear  however  far too few people will use it ,Emotional,fear,0.0625,Positive,0,,0,1,0,0,0,0,
16,6/28/20 20:44,1516581736,Smitte|stop,dk,1.0.2,tuzem_2,3,Consumes too much battery,I applaud the idea but it’s useless if my phone is running out of power in mid afternoon., Consumes too much battery I applaud the idea but it’s useless if my phone is running out of power in mid afternoon. ,en, Consumes too much battery I applaud the idea but it s useless if my phone is running out of power in mid afternoon  ,Domain_Specific,run,0.090909091,Negative,0,,1,0,0,0,0,0,
17,6/28/20 7:17,1516581736,Smitte|stop,dk,1.0.2,Adina88,1,English version,"I know it’s for Denmark, but it would be nice to have an option to switch language to English", English version I know it’s for Denmark  but it would be nice to have an option to switch language to English ,en, English version I know it s for Denmark  but it would be nice to have an option to switch language to English ,"Language, Location","english, languag, denmark",0.3,Positive,0,,0,0,0,1,1,0,
20,6/26/20 12:22,1516581736,Smitte|stop,dk,1.0.2,Abdalrahman Attya,5,English version is good to have,Could you add English version. Thanks, English version is good to have Could you add English version. Thanks ,en, English version is good to have Could you add English version  Thanks ,Language,english,0.125,Positive,0,,0,0,0,1,0,0,
21,6/26/20 6:28,1516581736,Smitte|stop,dk,1.0.2,Rene Thorarinsson,3,En app alle bør have,Denne app er en selvfølgelighed på min telefon af hensyn til at vi kan få styr på COVID-19 spredningen. Dog kunne jeg tænke mig noget optimering af app’en på strømstyringen. Den kræver meget hyppige opladninger af min smartphone.,An app everyone should have This app is a matter of course on my phone for the sake of us being able to control the COVID-19 spread. However  I would like some optimization of the app on the power management. It requires very frequent charging of my smartphone.,da,An app everyone should have This app is a matter of course on my phone for the sake of us being able to control the COVID    spread  However  I would like some optimization of the app on the power management  It requires very frequent charging of my smartphone ,Domain_Specific,"manag, manag, optim",0.125,Positive,0,,1,0,0,0,0,0,
24,6/25/20 10:58,1516581736,Smitte|stop,dk,1.0.1,David kasia,5,Dejlig privat.,God løsning der måske også vil kunne være god til andre sygdomme end COVID-19. God at privatlivet forbliver privat.,Lovely private. Good solution that may also be good for diseases other than COVID-19. Good that privacy remains private.,da,Lovely private  Good solution that may also be good for diseases other than COVID     Good that privacy remains private ,Privacy,privaci,0.076923077,Positive,0,,0,0,0,0,0,1,
27,6/24/20 7:17,1516581736,Smitte|stop,dk,1.0.1,KB Nielsen,1,Bruger voldsomt meget batteri,"Efter jeg har installeret app’en, løber jeg hurtigt tør for strøm. Fx kan 40 procentpoint forsvinde om natten, selvom jeg har flytilstand slået til, så det er slut med at bruge telefonen som vækkeur. Jeg kan under batteriindstillingerne se, at Apples Sundheds-app nu står for uforholdsmæssigt stort strømforbrug (indsamler data til Corona-app’en). Jeg har en ny iPhone 8 og nyeste version af iOS.",Uses a lot of battery After installing the app  I quickly run out of power. For example  40 percentage points can disappear at night  even if I have flight mode turned on  so I have to stop using the phone as an alarm clock. I can see under the battery settings that Apple's Health app now accounts for disproportionate power consumption (collects data for the Corona app). I have a new iPhone 8 and latest version of iOS.,da,Uses a lot of battery After installing the app  I quickly run out of power  For example     percentage points can disappear at night  even if I have flight mode turned on  so I have to stop using the phone as an alarm clock  I can see under the battery settings that Apple s Health app now accounts for disproportionate power consumption  collects data for the Corona app   I have a new iPhone   and latest version of iOS ,"Domain_Specific, Privacy","data, run, account",0.073170732,Negative,0,,1,0,0,0,0,1,
28,6/24/20 7:04,1516581736,Smitte|stop,dk,1.0.1,vjshenoy,5,A good app to be cautious,A very good move by Sundhed to get this app to the people. It could be great if there is a possibility of having to select English as a language too in the settings., A good app to be cautious A very good move by Sundhed to get this app to the people. It could be great if there is a possibility of having to select English as a language too in the settings. ,en, A good app to be cautious A very good move by Sundhed to get this app to the people  It could be great if there is a possibility of having to select English as a language too in the settings  ,Language,"english, languag",0.117647059,Positive,0,,0,0,0,1,0,0,
30,6/23/20 6:45,1516581736,Smitte|stop,dk,1.0.1,8800 Viborg,1,Drop den - det er en strømsluger.,"Derudover virker det ikke logisk, at den ikke registrere udlændinge (som jeg tilfældigvis kan sidde 3 timer sammen med i et tog).",Drop it - it's a power eater. In addition  it does not seem logical that it does not register foreigners (who I happen to be able to sit with in a train for 3 hours).,da,Drop it   it s a power eater  In addition  it does not seem logical that it does not register foreigners  who I happen to be able to sit with in a train for   hours  ,Domain_Specific,eater,0.066666667,Negative,0,,1,0,0,0,0,0,
32,6/22/20 17:00,1516581736,Smitte|stop,dk,1.0.1,Husam ej,4,Only in Danish,I wish it’s also in English it will help a lot of none danish leaves in Denmark., Only in Danish I wish it’s also in English it will help a lot of none danish leaves in Denmark. ,en, Only in Danish I wish it s also in English it will help a lot of none danish leaves in Denmark  ,"Language, Location","english, danish, denmark",0.272727273,Positive,0,,0,0,0,1,1,0,
