,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,14/10/2020 23:25,fj.gov.carefiji,careFIJI,en,Joji Waqata,1,Download it two times send my phone number receive the verification code but couldn't send verification code because not enough time were given .,   Download it two times send my phone number receive the verification code but couldn't send verification code because not enough time were given .  ,en,   Download it two times send my phone number receive the verification code but couldn t send verification code because not enough time were given    ,Domain_Specific,receiv,0.0625,Neutral,,,1,,,0,0,0,0
3,27/09/2020 2:06,fj.gov.carefiji,careFIJI,en,Imran Ali,5,To protect fiji, To protect fiji ,sl, To protect fiji ,"Location, Privacy","fiji, protect",1,Positive,,,0,,,0,1,1,0
5,19/09/2020 0:59,fj.gov.carefiji,careFIJI,en,Zayan Ali,3,When it says enter no number for a code the code doesn't get sent,   When it says enter no number for a code the code doesn't get sent  ,en,   When it says enter no number for a code the code doesn t get sent  ,Domain_Specific,enter,0.142857143,Negative,,,1,,,0,0,0,0
6,17/09/2020 6:45,fj.gov.carefiji,careFIJI,en,vanisha signorina,1,Pathetic..all my other apps are workin fine as i have 4G+ network...yet message says ''check internet connection'' when i try to log in to the fiji care app...,   Pathetic..all my other apps are workin fine as i have 4G+ network...yet message says ''check internet connection'' when i try to log in to the fiji care app...  ,en,   Pathetic  all my other apps are workin fine as i have  G  network   yet message says   check internet connection   when i try to log in to the fiji care app     ,"Domain_Specific, Location","fiji, network",0.117647059,Positive,,,1,,,0,1,0,0
8,11/9/20 21:09,fj.gov.carefiji,careFIJI,en,Sheetal Nand,1,"Unable to receive verification code. Uninstalled and reinstalled a few times. Emailed developers, still no help. Hopeless.","   Unable to receive verification code. Uninstalled and reinstalled a few times. Emailed developers, still no help. Hopeless.  ",en,   Unable to receive verification code  Uninstalled and reinstalled a few times  Emailed developers  still no help  Hopeless   ,Domain_Specific,receiv,0.083333333,Positive,,,1,,,0,0,0,0
15,12/8/20 22:31,fj.gov.carefiji,careFIJI,en,Joshua Singh Patricia Romika Singh,1,Hi Sorry...trying to download but it's not working in my phone... cant enter my cell phone number...any help.....,   Hi Sorry...trying to download but it's not working in my phone... cant enter my cell phone number...any help.....  ,en,   Hi Sorry   trying to download but it s not working in my phone    cant enter my cell phone number   any help       ,Domain_Specific,enter,0.076923077,Positive,,,1,,,0,0,0,0
19,7/8/20 0:53,fj.gov.carefiji,careFIJI,en,Aklesh Kumar,1,Waited 2 hours to receive pin code. Got tired of waiting and Uninstaller app.,   Waited 2 hours to receive pin code. Got tired of waiting and Uninstaller app.  ,en,   Waited   hours to receive pin code  Got tired of waiting and Uninstaller app   ,Domain_Specific,receiv,0.1,Negative,,,1,,,0,0,0,0
40,25/06/2020 11:21,fj.gov.carefiji,careFIJI,en,vipin krishna,5,"Unique app targetted at ensuring Fiji remains COVID Free. Well done. God bless. All users, please download the app and assist in keeping Fiji COVID Free.","   Unique app targetted at ensuring Fiji remains COVID Free. Well done. God bless. All users, please download the app and assist in keeping Fiji COVID Free.  ",en,   Unique app targetted at ensuring Fiji remains COVID Free  Well done  God bless  All users  please download the app and assist in keeping Fiji COVID Free   ,"Domain_Specific, Location, Socio_economic_Status","free, fiji, target",0.142857143,Positive,,,1,,,0,1,0,1
42,25/06/2020 4:25,fj.gov.carefiji,careFIJI,en,Sumeer Shahid,3,Introduction of dark mode may help reduce battery drainage.😊,   Introduction of dark mode may help reduce battery drainage.😊  ,en,   Introduction of dark mode may help reduce battery drainage    ,Domain_Specific,reduc,0.125,Positive,,,1,,,0,0,0,0
43,25/06/2020 2:57,fj.gov.carefiji,careFIJI,en,shabana begum,3,Care Fiji App notification is dissapears from the notification panel even if we restart the device please find the solution for this people...,   Care Fiji App notification is dissapears from the notification panel even if we restart the device please find the solution for this people...  ,en,   Care Fiji App notification is dissapears from the notification panel even if we restart the device please find the solution for this people     ,Location,fiji,0.071428571,Positive,,,0,,,0,1,0,0
