,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/14/20 0:43,fr.gouv.android.stopcovid,StopCovid France,en,Gina Kingston,4,"Assuming it's working it's a great app, you don't have to do anything. Just have it running. However some way to know its working would be nice. Even just a counter of how many other apps it's discovered in that day, just to know its doing something.",  Assuming it's working it's a great app  you don't have to do anything. Just have it running. However some way to know its working would be nice. Even just a counter of how many other apps it's discovered in that day  just to know its doing something. ,en,  Assuming it s working it s a great app  you don t have to do anything  Just have it running  However some way to know its working would be nice  Even just a counter of how many other apps it s discovered in that day  just to know its doing something  ,Domain_Specific,run,0.05,Positive,0,0,1,0,0,0,0,0,0
1,8/13/20 6:31,fr.gouv.android.stopcovid,StopCovid France,fr,Jean-Louis GERAY,1,"Elle ne fonctionne pas sur mon téléphone (Nexus 5x). Encore une preuve de la nullité de nos gouvernants qui dépensent l'argent du contribuable sans compter pour enrichir leurs amis incapables. Je suis curieux de connaître l'entreprise qui a vendu stop covid au gouvernement. Sûrement le beau frère d'un(e) ministre. Les quelques minutes où elle a fonctionné, j'ai noté une consommation excessive de la batterie, la surchauffe du téléphone, et des difficultés à utiliser le blue-tooth (voiture, casque",It does not work on my phone (Nexus 5x). Another proof of the nullity of our rulers who spend the taxpayer's money without counting to enrich their incompetent friends. I'm curious about the company that sold stop covid to the government. Surely the brother-in-law of a minister. The few minutes it was running  I noticed excessive battery consumption  overheating of the phone  and difficulty using blue-tooth (car  headphones,fr,It does not work on my phone  Nexus  x   Another proof of the nullity of our rulers who spend the taxpayer s money without counting to enrich their incompetent friends  I m curious about the company that sold stop covid to the government  Surely the brother in law of a minister  The few minutes it was running  I noticed excessive battery consumption  overheating of the phone  and difficulty using blue tooth  car  headphones,"Domain_Specific, Emotional","curious, ruler, brother, run",0.097560976,Positive,0,0,1,1,0,0,0,0,0
5,8/12/20 21:54,fr.gouv.android.stopcovid,StopCovid France,fr,Mathieu Marquer,2,"Troisième fois depuis son installation que l'application plante systématiquement à l'activation, et qu'il faut donc effacer les données (et perdre les contacts enregistrés) pour qu'elle refonctionne.",Third time since its installation that the application systematically crashes on activation  and it is therefore necessary to erase the data (and lose the saved contacts) for it to work again.,fr,Third time since its installation that the application systematically crashes on activation  and it is therefore necessary to erase the data  and lose the saved contacts  for it to work again ,"Domain_Specific, Privacy","data, applic",0.125,Neutral,0,0,1,0,0,0,0,1,0
10,8/12/20 18:24,fr.gouv.android.stopcovid,StopCovid France,en,Dieter Dobras,1,App keeps stopping moto Z2 merci la france,App keeps stopping moto Z2 thanks France,it,App keeps stopping moto Z  thanks France,Location,franc,0.142857143,Positive,0,0,0,0,0,0,1,0,0
16,8/12/20 8:11,fr.gouv.android.stopcovid,StopCovid France,fr,Florent PERRIN,1,"L'idée de départ était bonne mais a vite été limitée par la peur de big brother ... L'application fonctionnait bien au début mais ensuite elle a planté lors de son activation et désormais elle plante dès son démarrage, donc inutilisable...",The initial idea was good but was quickly limited by the fear of big brother ... The application worked well at the beginning but then it crashed when it was activated and now it crashes when it starts up  therefore unusable ...,fr,The initial idea was good but was quickly limited by the fear of big brother     The application worked well at the beginning but then it crashed when it was activated and now it crashes when it starts up  therefore unusable    ,"Domain_Specific, Emotional","fear, brother, applic",0.166666667,Negative,0,0,1,1,0,0,0,0,0
20,8/11/20 19:55,fr.gouv.android.stopcovid,StopCovid France,fr,Muriel Keignaert,4,POUR L'INSTANT pas recu d'alerte et tant 😉😷,FOR THE MOMENT no alert received and so much 😉😷,fr,FOR THE MOMENT no alert received and so much   ,Domain_Specific,receiv,0.25,Negative,0,0,1,0,0,0,0,0,0
24,8/11/20 16:25,fr.gouv.android.stopcovid,StopCovid France,fr,Cyril CHARLIER,2,"Franchement pour une appli officielle c'est lamentable. Version 1, plante plusieurs fois par jour. Version 2 ok fonctionne mais impossible de relancer après une mise a jour fait rebooter le tel... j'espère que vous êtes pas payer cher pour faire une telle appli...",Frankly for an official app it's lamentable. Version 1  plant several times a day. Version 2 ok works but impossible to relaunch after an update reboots the phone ... I hope you are not paying a lot to make such an application ...,fr,Frankly for an official app it s lamentable  Version    plant several times a day  Version   ok works but impossible to relaunch after an update reboots the phone     I hope you are not paying a lot to make such an application    ,"Domain_Specific, Socio_economic_Status","pay, applic",0.090909091,Positive,0,0,1,0,0,0,0,0,1
29,8/11/20 10:02,fr.gouv.android.stopcovid,StopCovid France,fr,Kiki Rousseau,5,"Bonne application, surtout en ce moment 😉",Good application  especially at the moment 😉,fr,Good application  especially at the moment  ,Domain_Specific,applic,0.25,Positive,0,0,1,0,0,0,0,0,0
32,8/11/20 5:35,fr.gouv.android.stopcovid,StopCovid France,fr,Beatrice Plaza,2,"Je suis partie avec un a priori positif sur l'application, même si peu de personnes l'a, il faut bien commencer. En revanche, je dois réinstaller l'appli à chaque passage en mode avion (le ré démarrage est impossible). Si les données ne sont pas conservées (comment le seraient-elles...) il y a un gros bug !",I left with a positive outlook on the application  even if few people have it  you have to start well. However  I have to reinstall the app each time I switch to airplane mode (restarting is impossible). If the data is not kept (how would it be ...) there is a big bug!,fr,I left with a positive outlook on the application  even if few people have it  you have to start well  However  I have to reinstall the app each time I switch to airplane mode  restarting is impossible   If the data is not kept  how would it be      there is a big bug ,"Domain_Specific, Privacy","data, applic",0.090909091,Positive,0,0,1,0,0,0,0,1,0
43,8/10/20 11:23,fr.gouv.android.stopcovid,StopCovid France,en,Frank Versteegen,2,App is nice and in English too. The main issue is that it keeps on deactivating itself (which renders the app useless of course),  App is nice and in English too. The main issue is that it keeps on deactivating itself (which renders the app useless of course) ,en,  App is nice and in English too  The main issue is that it keeps on deactivating itself  which renders the app useless of course  ,"Domain_Specific, Language","english, render",0.181818182,Neutral,0,0,1,0,0,1,0,0,0
