,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/12/20 16:44,1511279125,StopCovid France,fr,1.1.3,zeclochettee,3,Carte masque obligatoire,"Bonjour, 
Essayez d’ajouter une carte de France avec les villes ou le port du masque est obligatoire, cela serait très utile ! Merci","Mask card required Hello 
Try to add a map of France with the cities where the wearing of a mask is compulsory  that would be very useful! Thank you",fr,Mask card required Hello  Try to add a map of France with the cities where the wearing of a mask is compulsory  that would be very useful  Thank you,Location,franc,0.0625,Positive,0,0,0,0,,0,1,0,0
1,8/12/20 6:51,1511279125,StopCovid France,fr,1.1.3,2sab,2,"Initialement motivant , finalement décevant","Bonjour 
Très belle initiative qui a mon sens n’est pas encore aboutie.
- nécessité de fonctionner en Bluetooth
- nécessité de laisser activé l’actualisation en arrière-plan 
- si le téléphone s’éteint, à l’allumage il faut la réactiver 
- pour des personnes pas toujours habituées à maîtriser ces détails de parametrage, cela devient vite compliqué voire anxiogène au regard du contexte (personnes âgées...)
De fait, devant l’utilité partielle de l’application, je l’ai supprimée....
Je reste néanmoins attentive si des améliorations devaient être apportées, car je reste convaincue de l’utilité d’une application de ce type qui serait mieux opérationnelle","Initially motivating  ultimately disappointing Hello
Very nice initiative which  in my opinion  has not yet been completed.
- need to operate in Bluetooth
- need to leave the background refresh enabled
- if the phone switches off  when switching it on  it must be reactivated
- for people not always accustomed to mastering these configuration details  it quickly becomes complicated or even anxious with regard to the context (elderly people  etc.)
In fact  given the partial utility of the application  I deleted it ....
I nevertheless remain attentive if improvements should be made  because I remain convinced of the usefulness of an application of this type which would be more operational.",fr,Initially motivating  ultimately disappointing Hello Very nice initiative which  in my opinion  has not yet been completed    need to operate in Bluetooth   need to leave the background refresh enabled   if the phone switches off  when switching it on  it must be reactivated   for people not always accustomed to mastering these configuration details  it quickly becomes complicated or even anxious with regard to the context  elderly people  etc   In fact  given the partial utility of the application  I deleted it      I nevertheless remain attentive if improvements should be made  because I remain convinced of the usefulness of an application of this type which would be more operational ,"Age, Domain_Specific","elder, elder, applic",0.050847458,Positive,1,0,1,0,,0,0,0,0
5,8/10/20 10:46,1511279125,StopCovid France,fr,1.1.3,Papinao,4,Problème de désactivation,"L’application est simple à installer mais j’ai un problème, l’application se désactive toute seule et pour la réactiver je suis obligé d’arrêter et de relancer le Bluetooth. Je suis avec iPhone 6s. Dernier iOS à jour.",Deactivation problem The application is easy to install but I have a problem  the application deactivates itself and to reactivate it I have to stop and restart Bluetooth. I am with iPhone 6s. Latest updated iOS.,fr,Deactivation problem The application is easy to install but I have a problem  the application deactivates itself and to reactivate it I have to stop and restart Bluetooth  I am with iPhone  s  Latest updated iOS ,Domain_Specific,applic,0.0625,Negative,0,0,1,0,,0,0,0,0
6,8/9/20 19:25,1511279125,StopCovid France,fr,1.1.3,cesar666cu,1,Nul,"Le Bluetooth se déconnecte à chaque fois. C’est à se demander si il y a un quelconque enregistrement des contacts.
L’utilisation de l’API d’Apple aurais résolu cela et permis une compatibilité avec les solutions internationales","None Bluetooth disconnects each time. It makes you wonder if there is any contact record.
Using Apple's API would have solved this and enabled compatibility with international solutions",fr,None Bluetooth disconnects each time  It makes you wonder if there is any contact record  Using Apple s API would have solved this and enabled compatibility with international solutions,Domain_Specific,record,0.055555556,Positive,0,0,1,0,,0,0,0,0
9,8/8/20 9:50,1511279125,StopCovid France,fr,1.1.3,Saphirisyhgdskvfdnhd,2,Mise à jour en arrière plan,"La mise à jour en arrière plan indispensable au fonctionnement n’est pas possible en mode économie d’énergie de l’iPhone. Vu la durée de batterie de l’iPhone je suis toujours en économie d’énergie donc l’application ne sert absolument à rien.
Quel dommage pour une application aussi importante de ne pas la rendre accessible à tous, y compris ceux qui n’ont pas un iPhone neuf avec une batterie neuve. S’il vous plaît modifier ça pour que tout le monde puisse en bénéficier c’est un minimum","Background Update The background update required for operation is not possible in the iPhone's power saving mode. Considering the battery life of the iPhone I am always in energy saving mode so the app is absolutely useless.
What a shame for such an important application not to make it accessible to everyone  including those who don't have a new iPhone with a new battery. Please modify this so that everyone can benefit this is a minimum",fr,Background Update The background update required for operation is not possible in the iPhone s power saving mode  Considering the battery life of the iPhone I am always in energy saving mode so the app is absolutely useless  What a shame for such an important application not to make it accessible to everyone  including those who don t have a new iPhone with a new battery  Please modify this so that everyone can benefit this is a minimum,Domain_Specific,"import, applic",0.052631579,Positive,0,0,1,0,,0,0,0,0
10,8/8/20 9:15,1511279125,StopCovid France,fr,1.1.3,samvla,5,Très bonne initiative ! MERCI !!!,"Très bonne appli.  Dommage que je doive la réactiver souvent. De plus lorsque je la réactive je ne sais pas depuis combien de temps elle était désactivée. 
Sinon j’ai pleinement confiance sur le niveau de sécurisation des données. 
Et je ne râle pas systématiquement dès que l’on fait quelque chose pour moi et les autres !!! Content de payer mes impôts en France !","Very good initiative ! THANK YOU !!! Very good app. Too bad I have to reactivate it often. In addition  when I reactivate it  I don't know how long it was deactivated.
Otherwise I have full confidence in the level of data security.
And I don't always complain when something is done for me and others !!! Happy to pay my taxes in France!",fr,Very good initiative   THANK YOU     Very good app  Too bad I have to reactivate it often  In addition  when I reactivate it  I don t know how long it was deactivated  Otherwise I have full confidence in the level of data security  And I don t always complain when something is done for me and others     Happy to pay my taxes in France ,"Domain_Specific, Location, Privacy, Socio_economic_Status","pay, franc, data, secur, secur, level",0.206896552,Positive,0,0,1,0,,0,1,1,1
12,8/6/20 4:11,1511279125,StopCovid France,fr,1.1.2,isa.b.,2,L'application se désactive seule,"Cela fait plusieurs fois que je trouve l'application désactivée. Pourtant je ne désactive jamais le Bluetooth, puisque j'ai une montre connectée. C'est dommage et dangereux.",The application is deactivated on its own I have found the application deactivated several times. However  I never deactivate Bluetooth  since I have a connected watch. It is a pity and dangerous.,fr,The application is deactivated on its own I have found the application deactivated several times  However  I never deactivate Bluetooth  since I have a connected watch  It is a pity and dangerous ,Domain_Specific,applic,0.0625,Negative,0,0,1,0,,0,0,0,0
13,8/5/20 21:41,1511279125,StopCovid France,fr,1.1.2,Mika000089,1,Pas d’interoperabilité avec l’Europe !,A quand l’intégration de l’APi Exposure de Google/Apple ? Quelle honte pour la France de faire preuve d’un tel manque d’humilité !,No interoperability with Europe! When will the Google / Apple Exposure API be integrated? What a shame for France to show such a lack of humility!,fr,No interoperability with Europe  When will the Google   Apple Exposure API be integrated  What a shame for France to show such a lack of humility ,Location,franc,0.083333333,Negative,0,0,0,0,,0,1,0,0
14,8/5/20 14:56,1511279125,StopCovid France,fr,1.1.2,Antoine D.,1,L’illusion de la sécurité,"Absolument inutile, le gouvernement a voulu faire le malin en n’utilisant pas l’API proposée par Apple, donc pas d’interopérabilité avec les app de nos voisins européens... très utile en cette période de vacances...",The illusion of security Absolutely useless  the government wanted to play smart by not using the API offered by Apple  so no interoperability with the apps of our European neighbors ... very useful during this holiday period ...,fr,The illusion of security Absolutely useless  the government wanted to play smart by not using the API offered by Apple  so no interoperability with the apps of our European neighbors     very useful during this holiday period    ,Privacy,"secur, secur",0.095238095,Positive,0,0,0,0,,0,0,1,0
15,8/5/20 4:01,1511279125,StopCovid France,fr,1.1.2,Julbut62000,1,Les français et les europeene d’abord,"Comme l’indique la constitution de la Vème République, ce sont les français et les européens qui doivent être protégés. 
Avec la police et la gendarmerie, faisons respecter toutes les lois de la république et ce avec la tolérance zéro.
Pour la France et l’union européenne, make europe great again","French and Europeans first As the constitution of the Fifth Republic indicates  it is the French and Europeans who must be protected.
With the police and the gendarmerie  enforce all the laws of the republic with zero tolerance.
For France and the European Union  make europe great again",fr,French and Europeans first As the constitution of the Fifth Republic indicates  it is the French and Europeans who must be protected  With the police and the gendarmerie  enforce all the laws of the republic with zero tolerance  For France and the European Union  make europe great again,"Language, Location, Privacy","french, franc, protect",0.125,Positive,0,0,0,0,,1,1,1,0
