,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,8/13/20 20:57,1512595757,Corona-Warn-App,de,1.2.1,T.Alf,1,Eigentlich ist die App sinnvoll und wichtig,Mittlerweile lässt sich die App wieder aktivieren aber sämtliche Aufzeichnungsdaten beziehungsweise Kontaktdaten sind weg. Also fange ich wieder von vorne an ob ich jetzt in den letzten 14 Tagen eine Risiko Begegnung hatte steht in den Sternen. Wir sollten wieder dem alten Grundsatz folgen „never Change a Running System“,"Actually  the app is useful and important. The app can now be reactivated  but all recording data and contact details are gone. So I'll start all over again  whether I've had a risk encounter in the last 14 days is in the stars. We should follow the old principle ""never change a running system"" again",de,Actually  the app is useful and important  The app can now be reactivated  but all recording data and contact details are gone  So I ll start all over again  whether I ve had a risk encounter in the last    days is in the stars  We should follow the old principle  never change a running system  again,"Domain_Specific, Privacy","data, record, import, run, follow",0.2,Negative,0,0,1,0,0,0,0,1,0
6,8/13/20 20:12,1512595757,Corona-Warn-App,de,1.2.1,DBI2020,1,"Idee gut, Umsetzung schlecht",Testergebnisse wird nicht angezeigt. Laut Gesundheitsamt ist der Fehler bekannt... das gibt Vertrauen.,Good idea  bad implementation Test results are not displayed. According to the health department  the error is known ... that gives confidence.,de,Good idea  bad implementation Test results are not displayed  According to the health department  the error is known     that gives confidence ,Domain_Specific,display,0.071428571,Neutral,0,0,1,0,0,0,0,0,0
7,8/13/20 20:03,1512595757,Corona-Warn-App,de,1.2.1,Kiki4711,2,Leider klappts mit den Testergebnissen nicht...,"Ich warte seit 4 Tagen darauf, dass mein Ergebnis in der App angezeigt wird. Nachdem ich mal bei meinem Arzt angerufen habe, weiß ich, dass es vorliegt. Die App sagt mir jedoch immer noch „Ergebnis steht noch aus“. 
Schade!","Unfortunately it doesn't work with the test results ... I have been waiting for 4 days for my result to be displayed in the app. After calling my doctor  I know it's there. However  the app still tells me ""Result is pending"".
Pity!",de,Unfortunately it doesn t work with the test results     I have been waiting for   days for my result to be displayed in the app  After calling my doctor  I know it s there  However  the app still tells me  Result is pending   Pity ,Domain_Specific,display,0.052631579,Negative,0,0,1,0,0,0,0,0,0
8,8/13/20 19:54,1512595757,Corona-Warn-App,de,1.2.1,Swot2k,4,Mehr Daten,"Baut doch mal mehr dem Nutzer angezeigte Informationen ein, eine App die nur einen Risikostatus anzeigt ist in meinen Augen zu wenig. Warum kann z.B nicht angezeigt werden mit wieviel anderen Geräten Codes ausgetauscht wurden (insgesamt/in letzten 24h). Würde das ganze noch mehr Transparenz geben statt so eine Blackbox (ja auch wenn der sourcecode offen ist).",More data Incorporate more information displayed to the user  an app that only shows a risk status is not enough in my opinion. Why  for example  cannot be displayed with how many other devices codes were exchanged (in total / in the last 24 hours). Would the whole thing give even more transparency instead of such a black box (yes  even if the source code is open).,de,More data Incorporate more information displayed to the user  an app that only shows a risk status is not enough in my opinion  Why  for example  cannot be displayed with how many other devices codes were exchanged  in total   in the last    hours   Would the whole thing give even more transparency instead of such a black box  yes  even if the source code is open  ,"Domain_Specific, Privacy","data, transpar, display",0.083333333,Positive,0,0,1,0,0,0,0,1,0
16,8/13/20 17:55,1512595757,Corona-Warn-App,de,1.2.1,wassnup,1,Und wieder nicht zu gebrauchen,"Die App ist zum zweiten Mal auf dem iPhone X unbrauchbar. Beim ersten Mal bekam ich über Tage nur noch die Info, dass die Risikoermittlung nicht aktiviert ist. Beim Klick auf die Einstellungen war alles aktiv. Dienste im Hintergrund waren auch aktiv.
Also App deinstalliert und wieder von 0 begonnen.
3 Wochen lief alles einwandfrei, jetzt stürzt die App seit Tagen direkt nach dem Öffnen ab und lässt sich nicht mehr öffnen...","And again unusable The app is unusable on the iPhone X for the second time. The first time I only got the information for days that the risk determination is not activated. Everything was active when you clicked on the settings. Background services were also active.
So uninstalled the app and started again from 0.
Everything went perfectly for 3 weeks  now the app has been crashing for days immediately after opening and can no longer be opened ...",de,And again unusable The app is unusable on the iPhone X for the second time  The first time I only got the information for days that the risk determination is not activated  Everything was active when you clicked on the settings  Background services were also active  So uninstalled the app and started again from    Everything went perfectly for   weeks  now the app has been crashing for days immediately after opening and can no longer be opened    ,Domain_Specific,"servic, servic",0.052631579,Positive,0,0,1,0,0,0,0,0,0
18,8/13/20 17:04,1512595757,Corona-Warn-App,de,1.2.1,JuliaA80,2,Testergebnis wird nicht angezeigt,"An einem Montag Morgen Test beim Kinderarzt gemacht, von ihm zwei Zettel für die Ergebnismitteilung erhalten-einen zum nachschauen bei dem Labor auf der HomePage, einen zum Download eines QR Codes für diese Warn App. Das Ergebnis war innerhalb von 24 Stunden auf der Homepage abrufbar. Bei der Warn App warten wir nun seit vier Tagen vergeblich. Der Test wird zwar angezeigt, aber angeblich ist das Ergebnis noch nicht abrufbar... 

Wenn es mit den Risikowarnungen genauso läuft, ist die App unbrauchbar!","Test result is not displayed On a Monday morning test at the pediatrician  he received two slips of paper for reporting the result - one to look at the laboratory on the home page  one to download a QR code for this warning app. The result was available on the homepage within 24 hours. We have been waiting in vain for the warning app for four days. The test is displayed  but the result is supposedly not yet available ...

If the risk warnings work the same way  the app is unusable!",de,Test result is not displayed On a Monday morning test at the pediatrician  he received two slips of paper for reporting the result   one to look at the laboratory on the home page  one to download a QR code for this warning app  The result was available on the homepage within    hours  We have been waiting in vain for the warning app for four days  The test is displayed  but the result is supposedly not yet available      If the risk warnings work the same way  the app is unusable ,Domain_Specific,"pediatrician, display, receiv, paper",0.085106383,Negative,0,0,1,0,0,0,0,0,0
19,8/13/20 16:55,1512595757,Corona-Warn-App,de,1.2.1,d3lar3,1,Funktioniert leider zu oft NICHT,"die App ist nicht ausgereift genug, um zuverlässig eingesetzt zu werden, denn bereits die Erkennung der aktiven Internetverbindung funktioniert nur bei manueller Betätigung pro App-Ausführung auf technisch identischen Geräten inkonsistent und daher bezweifle ich, dass die Kontaktverfolgung überhaupt funktioniert. Mehrmalige Neuinstallationen und diverse Fehlerbilder im Appverhalten sind selbst bei großer Geduldigkeit nicht mehr hinnehmbar und die App wurde von mir daher endgültig gelöscht, keine weiteren Experimente mehr.",Unfortunately  it does NOT work too often  the app is not mature enough to be used reliably  because the detection of the active internet connection only works inconsistently with manual activation per app execution on technically identical devices and therefore I doubt that the contact tracking works at all. Repeated reinstallations and various error patterns in the app behavior are no longer acceptable  even with great patience  and I therefore permanently deleted the app  no more experiments.,de,Unfortunately  it does NOT work too often  the app is not mature enough to be used reliably  because the detection of the active internet connection only works inconsistently with manual activation per app execution on technically identical devices and therefore I doubt that the contact tracking works at all  Repeated reinstallations and various error patterns in the app behavior are no longer acceptable  even with great patience  and I therefore permanently deleted the app  no more experiments ,"Domain_Specific, Privacy, Socio_economic_Status","technic, track, execut",0.063829787,Negative,0,0,1,0,0,0,0,1,1
20,8/13/20 16:53,1512595757,Corona-Warn-App,de,1.2.1,Mann ey!,2,"Nach Update Risiko Ermittlung nicht möglich, obwohl an","Ich frage mich wie es gehen soll. 
Wenn der der Corona hat es nicht einträgt. Dann nützt es doch auch nichts. Oder wenn ich mein Handy nicht überall mit hinnehme. 
Meine Umgebung hat schon soviel Test gemacht und nie die App dazu genutzt. 
Ich dachte jeder Test läuft immer über die App.","After update  risk determination not possible  although I wonder how it should work.
If the Corona does not enter it. Then it's no use either. Or when I don't take my cell phone with me everywhere.
My environment has already done so many tests and never used the app.
I thought every test always runs through the app.",de,After update  risk determination not possible  although I wonder how it should work  If the Corona does not enter it  Then it s no use either  Or when I don t take my cell phone with me everywhere  My environment has already done so many tests and never used the app  I thought every test always runs through the app ,Domain_Specific,"enter, run",0.066666667,Negative,0,0,1,0,0,0,0,0,0
23,8/13/20 15:11,1512595757,Corona-Warn-App,de,1.2.1,Lykos85lykos,1,1.2.1,"Die Version 1.2.1 hätte ich mir gestern sparen können.Heute den ganzen Tag mit der Bahn unterwegs gewesen, Bluetooth ganze Zeit an gehabt, nach Hause gekommen und sehe da...die letzte Ermittlung war gestern um 20uhr- ja, genau nach dem ich die Update gemacht habe. Also wenn’s weiter so läuft dann kommen wir mit der App genau so weit wie die in Bayern mit den Tests... 👎 von wegen Sicherheit",1.2.1 I could have saved version 1.2.1 yesterday: I was on the train all day today  had Bluetooth on all the time  came home and I see ... the last investigation was yesterday at 8 p.m. - yes  exactly after I made the update. So if things keep going  we'll get as far with the app as the ones in Bavaria with the tests ... 👎 because of security,de,      I could have saved version       yesterday  I was on the train all day today  had Bluetooth on all the time  came home and I see     the last investigation was yesterday at   p m    yes  exactly after I made the update  So if things keep going  we ll get as far with the app as the ones in Bavaria with the tests       because of security,Privacy,"secur, secur",0.064516129,Positive,0,0,0,0,0,0,0,1,0
25,8/13/20 14:48,1512595757,Corona-Warn-App,de,1.2.1,Tobi010882,5,Nach dem update ist vor dem Update,Geht bei mir leider trotzdem nicht (Update 12.08.2020). Nach der Neuinstallation ging sie wieder. Der Neustart hat leider nichts gebracht. Die popups zum Datenschutz kamen erst gar nicht.,After the update is before the update Unfortunately  it still doesn't work for me (update 08/12/2020). After the reinstallation it went again. Unfortunately  the restart didn't bring anything. The popups on data protection didn't even come.,de,After the update is before the update Unfortunately  it still doesn t work for me  update              After the reinstallation it went again  Unfortunately  the restart didn t bring anything  The popups on data protection didn t even come ,Privacy,"data, protect",0.111111111,Negative,0,0,0,0,0,0,0,1,0
