,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,31/10/2020 14:43,hu.gov.virusradar,VírusRadar,hu,Judit Nagy,4,"Nagyon hasznos alkalmazás, de jobban kéne reklámozni, hogy minél többen használják! Én még egy fertőzöttel se találkoztam az applikáció segítségével."," It is a very useful application, but it should be better advertised to get more people to use it! I haven’t even encountered an infected one using the app. ",hu, It is a very useful application  but it should be better advertised to get more people to use it  I haven t even encountered an infected one using the app  ,Domain_Specific,applic,0.071428571,Positive,0,,1,0,0,0,0,0,0
3,30/10/2020 10:46,hu.gov.virusradar,VírusRadar,hu,László Baranyi,1,Igazoltan pozitív felhasználó a környezetemben az adatok elküldése folyamatot végig csinálta. Az én készülékem nem jelzett hogy bármi gond lenne!!!, A proven positive user in my environment has done the data submission process throughout. My device did not indicate that there was any problem !!! ,hu, A proven positive user in my environment has done the data submission process throughout  My device did not indicate that there was any problem     ,Privacy,data,0.076923077,Positive,0,,0,0,0,0,0,1,0
8,25/10/2020 13:49,hu.gov.virusradar,VírusRadar,hu,János G. NAGY,3,"Jó lenne továbbfejleszteni, várom a frissítéseket!"," It would be nice to improve, I look forward to updates! ",hu, It would be nice to improve  I look forward to updates  ,Domain_Specific,forward,0.166666667,Positive,0,,1,0,0,0,0,0,0
9,22/10/2020 22:54,hu.gov.virusradar,VírusRadar,en,Endre x,2,"Nagyon nem világos a leírás, hogy mikor milyen adatot gyűjtenek. Fel van tételesen sorolva, hogy milyen adatok vannak gyűjtve és beküldve de ebből a listából hiányzik az előzőleg épp megadott telefonszám. Felmerül, hogy milyen egyéb személyes adatot felejtett ki a fejlesztő megemlíteni? Feltelepítés után az adatok küldése gomb jelent meg ami nem értettem mit csinál, szerencsére amikor megnyomtam figyelmeztetett, hogy csak akkor 'küldjek el' adatot ha fertőzött voltam. Használom a német appot de annak sokkal világosabb az adatvédelmi leírása meg a működése is, plusz van egy kockázati értesítője szóval az appot kinyitva mindjárt érthetőbb és hasznosabb, plusz bizalomgerjesztőbb is. Talán azért használja az ország 15-20%-a, és még ez is kevés, hogy igazán hasznos legyen. Az ötletet értékelem de nem tűnik se hasznosnak és kicsit zavaros is, rendbe kellene tenni, majd a hatóság kellene reklámozza valami értelmes és egyszerű módon elmondva mit csinál és miért jó. Véletlenül kerestem rá, igaz tv-t nem nézek meg nyomtatott sajtót sem látok sűrűn (ha esetleg ott reklámozzák) de eddig nem is tudtam, hogy létezik magyar app, hamarabb olvastam más európai országok appjairól. Erre igazán kellene social media kampány meg tv-rádió-Győrfi Pál mémek stb."," It is very unclear when what data is collected. It lists item by item what data is collected and submitted but the phone number just entered is missing from this list. Any other personal information the developer forgot to mention? After installation, the send data button appeared which I didn't understand what it was doing, luckily when I pressed it it warned me to 'send' data only if I was infected. I use the German app but it also has a much clearer privacy description and operation, plus it has a risk notice so opening the app is immediately more understandable and useful, plus more trusting. Maybe 15-20% of the country uses it, and even that is not enough to be really useful. I appreciate the idea but it doesn’t seem useful either and is a bit confusing as well, it should be sorted out and then the authority should advertise in some meaningful and simple way telling what it does and why it’s good. I accidentally searched for it, I don't watch TV, I don't see print media (if it is advertised there), but so far I didn't even know that there was a Hungarian app, I read about apps from other European countries sooner. This would really require a social media campaign and TV-radio-Győrfi Pál memes, etc. ",hu, It is very unclear when what data is collected  It lists item by item what data is collected and submitted but the phone number just entered is missing from this list  Any other personal information the developer forgot to mention  After installation  the send data button appeared which I didn t understand what it was doing  luckily when I pressed it it warned me to  send  data only if I was infected  I use the German app but it also has a much clearer privacy description and operation  plus it has a risk notice so opening the app is immediately more understandable and useful  plus more trusting  Maybe        of the country uses it  and even that is not enough to be really useful  I appreciate the idea but it doesn t seem useful either and is a bit confusing as well  it should be sorted out and then the authority should advertise in some meaningful and simple way telling what it does and why it s good  I accidentally searched for it  I don t watch TV  I don t see print media  if it is advertised there   but so far I didn t even know that there was a Hungarian app  I read about apps from other European countries sooner  This would really require a social media campaign and TV radio Gy rfi P l memes  etc  ,"Domain_Specific, Emotional, Language, Location, Privacy","confus, countri, german, hungarian, countri, data, privaci, trust, author, enter, clearer, author, campaign, button",0.127272727,Positive,0,,1,1,0,1,1,1,0
13,11/10/20 14:22,hu.gov.virusradar,VírusRadar,hu,Balázs Gerencsér,1,"Igazi hacker csemege: egy alkalmazás, amit egyáltalán nem frissítenek (biztonsági sem, már kb 5 honapja), de be kell állítani, hogy folyamatosan fusson a háttérben :("," A real hacker treat: an app that isn't updated at all (no security, it's been about 5 months) but needs to be set to run continuously in the background ( ",hu, A real hacker treat  an app that isn t updated at all  no security  it s been about   months  but needs to be set to run continuously in the background   ,"Domain_Specific, Privacy","secur, secur, hacker, run",0.333333333,Positive,0,,1,0,0,0,0,1,0
16,8/10/20 9:41,hu.gov.virusradar,VírusRadar,hu,Karesz Bakos,1,"mióta fent van, naponta többször merül a telefon, pedig nincs Bluetooth bekapcsolva és elvben az alkalmazás is piros power gombbal bekapcsolásra vár.."," since it is upstairs, the phone dives several times a day, even though Bluetooth is not turned on and in principle the app is also waiting to turn on with a red power button. ",hu, since it is upstairs  the phone dives several times a day  even though Bluetooth is not turned on and in principle the app is also waiting to turn on with a red power button  ,Domain_Specific,button,0.052631579,Neutral,0,,1,0,0,0,0,0,0
17,5/10/20 14:06,hu.gov.virusradar,VírusRadar,hu,Fulop Csaba,1,Ha nem hasznaljak az emberek nem er semmit. Mintha egy ember kozeleben sem jartam volna. Gondolom csak azokat erzekeli akiknel telepitve az app. es be is kapcsoljak a bluetooth-ot., If I don’t use it people won’t force anything. It was as if I hadn't walked near a man. I guess I only care about those with whom I installed the app. and also turn on bluetooth. ,hu, If I don t use it people won t force anything  It was as if I hadn t walked near a man  I guess I only care about those with whom I installed the app  and also turn on bluetooth  ,Gender,man,0.066666667,Positive,0,,0,0,1,0,0,0,0
20,4/10/20 5:28,hu.gov.virusradar,VírusRadar,hu,Peter Berlinszky,3,"Ha nem kötelező használni, akkor értelmetlen. Kötelezővé tenni meg nem lehet, mert senkit nem lehet rákényszeríteni, hogy vegyen telefont és fizessen elő mobilinternetre. A svédeknél mindenkinek ingyenesen elérhető a wifi, ott életképesebb lenne az app, ők viszont a nyájimmunitásban bíznak."," If it is not mandatory to use, it is meaningless. It cannot be made mandatory because no one can be forced to buy a phone and subscribe to mobile internet. The Swedes have free wifi for everyone, the app would be more viable there, but they trust the flock. ",hu, If it is not mandatory to use  it is meaningless  It cannot be made mandatory because no one can be forced to buy a phone and subscribe to mobile internet  The Swedes have free wifi for everyone  the app would be more viable there  but they trust the flock  ,"Privacy, Socio_economic_Status","buy, free, trust",0.136363636,Positive,0,,0,0,0,0,0,1,1
26,30/09/2020 6:12,hu.gov.virusradar,VírusRadar,en,Ádám Peterdi,3,Jó lenne ha a Google covid exposure szolgáltatásával működne., It would be nice to work with Google's covid exposure service. ,hu, It would be nice to work with Google s covid exposure service  ,Domain_Specific,"servic, servic",0.285714286,Positive,0,,1,0,0,0,0,0,0
29,29/09/2020 16:16,hu.gov.virusradar,VírusRadar,hu,Kovács Zoltán,2,"Kérnék egy kis segítséget. Tömegközlekedési eszközön vagyok és közben telepítettem az appot. Meglepődve látom, hogy elég rendesen jelez, hogy a közvetlen közelemben vannak. Kérdés. Most akkor fertőzöttek vannak a közelemben, vagy csak app felhasználók? Köv kérdés: miért nem változnak a telefon forgatásával a közelemben lévő pontok helyei? Így csak azt mutatja, hogy a közelemben vannak, de, hogy melyik irányban azt nem. Ez azért is kiborító, mert vannak sokan akiken még maszk sincsen."," I'd like some help. I’m on a public transportation device while installing the app. I am surprised to see that it is quite a normal indication that they are in my immediate vicinity. Question. Are you infected now near me or just app users? Stone question: why don't I rotate my phone to change the locations of points near me? So it just shows that they are near me, but in which direction it is not. This is also frustrating because there are many who don’t even have a mask. ",hu, I d like some help  I m on a public transportation device while installing the app  I am surprised to see that it is quite a normal indication that they are in my immediate vicinity  Question  Are you infected now near me or just app users  Stone question  why don t I rotate my phone to change the locations of points near me  So it just shows that they are near me  but in which direction it is not  This is also frustrating because there are many who don t even have a mask  ,"Domain_Specific, Emotional, Privacy","frustrat, locat, locat, normal",0.108108108,Negative,0,,1,1,0,0,0,1,0
