,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
5,7/26/20 21:46,is.landlaeknir.rakning,Rakning C-19,en,Tristan Overney,2,"it ""requires"" a notification to always be present to function... This is a clear lack of understanding of how Android works and how background taks can be executed. Extremely annoying and polluting.","  it ""requires"" a notification to always be present to function... This is a clear lack of understanding of how Android works and how background taks can be executed. Extremely annoying and polluting. ",en,  it  requires  a notification to always be present to function    This is a clear lack of understanding of how Android works and how background taks can be executed  Extremely annoying and polluting  ,"Domain_Specific, Emotional","annoy, present, execut",0.1875,Negative,0,,1,1,0,0,0,0,0
8,7/23/20 22:43,is.landlaeknir.rakning,Rakning C-19,en,Alex Monge,1,"BLANK SCREEN as many other reviewers commented. Not very professional for an app that is designed to save lives, frankly.",  BLANK SCREEN as many other reviewers commented. Not very professional for an app that is designed to save lives  frankly. ,en,  BLANK SCREEN as many other reviewers commented  Not very professional for an app that is designed to save lives  frankly  ,Domain_Specific,comment,0.083333333,Positive,0,,1,0,0,0,0,0,0
10,7/22/20 15:02,is.landlaeknir.rakning,Rakning C-19,en,Sindri Jóelsson,2,"White screen covers content after opening, not usable.",  White screen covers content after opening  not usable. ,en,  White screen covers content after opening  not usable  ,Domain_Specific,cover,0.166666667,Neutral,0,,1,0,0,0,0,0,0
11,7/21/20 17:35,is.landlaeknir.rakning,Rakning C-19,en,Anna Engedy,3,Battery eater. I used my phone in flight mode throughout my stay in Iceland. :/,  Battery eater. I used my phone in flight mode throughout my stay in Iceland. :/ ,en,  Battery eater  I used my phone in flight mode throughout my stay in Iceland     ,"Domain_Specific, Language, Location","iceland, iceland, eater",0.333333333,Neutral,0,,1,0,0,1,1,0,0
20,7/15/20 18:01,is.landlaeknir.rakning,Rakning C-19,de,FRAU F.,1,It worked till yesterday. Now the screen is white. You see the normal Screen for half a Second....an then.....white. Nothing is working.,  It worked till yesterday. Now the screen is white. You see the normal Screen for half a Second....an then.....white. Nothing is working. ,en,  It worked till yesterday  Now the screen is white  You see the normal Screen for half a Second    an then     white  Nothing is working  ,Domain_Specific,normal,0.076923077,Neutral,0,,1,0,0,0,0,0,0
22,7/13/20 7:58,is.landlaeknir.rakning,Rakning C-19,fr,ghislain lecomte,2,"The app was ok. Today after arriving in Iceland and getting tested for Covid-19, I received an SMS (in Icelandic!) telling me that I'm not infected. Now the Rakning application opens to a white page instead of displaying the results pop up, and is stuck there... I uninstalled and reinstalled and now it's mostly working but the fonts are gigantic.",  The app was ok. Today after arriving in Iceland and getting tested for Covid-19  I received an SMS (in Icelandic!) telling me that I'm not infected. Now the Rakning application opens to a white page instead of displaying the results pop up  and is stuck there... I uninstalled and reinstalled and now it's mostly working but the fonts are gigantic. ,en,  The app was ok  Today after arriving in Iceland and getting tested for Covid     I received an SMS  in Icelandic   telling me that I m not infected  Now the Rakning application opens to a white page instead of displaying the results pop up  and is stuck there    I uninstalled and reinstalled and now it s mostly working but the fonts are gigantic  ,"Domain_Specific, Language, Location","iceland, iceland, display, receiv, applic",0.178571429,Positive,0,,1,0,0,1,1,0,0
23,7/12/20 14:43,is.landlaeknir.rakning,Rakning C-19,en,Wiktor Urbanowicz,1,"App crashes (white screen) instead of showing test results. Restarting phone, clearing catche or reinstalling the app does not fix the issue. My travel companion has the same problem on different android phone. That's very bad given how important it is.",  App crashes (white screen) instead of showing test results. Restarting phone  clearing catche or reinstalling the app does not fix the issue. My travel companion has the same problem on different android phone. That's very bad given how important it is. ,en,  App crashes  white screen  instead of showing test results  Restarting phone  clearing catche or reinstalling the app does not fix the issue  My travel companion has the same problem on different android phone  That s very bad given how important it is  ,Domain_Specific,"import, companion",0.074074074,Negative,0,,1,0,0,0,0,0,0
24,7/10/20 20:47,is.landlaeknir.rakning,Rakning C-19,en,Hlöðver Þór,1,Appið er brotið hjá mér eftir að hafa fengið tilkynningu um niðurstöðu skimunar þar sem ég var að koma til landsins í dag. Búinn að prófa á fleiri símum.,The app is broken by me after receiving notification of the result of the screening where I was coming to the country today. Already tried on more phones.,no,The app is broken by me after receiving notification of the result of the screening where I was coming to the country today  Already tried on more phones ,"Domain_Specific, Language, Location","countri, countri, receiv",0.25,Negative,0,,1,0,0,1,1,0,0
25,6/26/20 6:00,is.landlaeknir.rakning,Rakning C-19,de,M G,2,"Looks nice with daily information on Covid 19 restrictions, travel information and more. However, it doesn't run properly on my Android 10 version. No background tracking available. On my daughters' older phone versions it installed properly instantly.",  Looks nice with daily information on Covid 19 restrictions  travel information and more. However  it doesn't run properly on my Android 10 version. No background tracking available. On my daughters' older phone versions it installed properly instantly. ,en,  Looks nice with daily information on Covid    restrictions  travel information and more  However  it doesn t run properly on my Android    version  No background tracking available  On my daughters  older phone versions it installed properly instantly  ,"Age, Domain_Specific, Privacy","older, track, run",0.130434783,Positive,1,,1,0,0,0,0,1,0
26,6/24/20 14:30,is.landlaeknir.rakning,Rakning C-19,en,Valdimar Helgason,5,"It is not intrusive for my privacy. All info is locally on my phone and I have to give permission to use it. That I would do because it is more important to keep the virus at bay and save lives then my personal privacy. I do not mind giving up info on my travels if it helps to find possible infected people or let me know if I was near an infected person so I could be quarantined until it is known if I got infected or not so I will not infect others possible even if I don't get symptoms or not. It is not because I am concerned for my own life but I am concerned that I could possibly infect people in “so-called RISK groups” that some seem to think is justifiable to sacrifice because it is too costly or even too inconvenient for those not at risk. Who are these people the “so-called RISK groups” that some think are not worth saving from Covid-19 because it is too costly or inconvenient for so many and justified as dispensable because they are “mostly” elderly or with “underlying conditions”. The so-called RISK groups, sometimes referred to as the vulnerable often “LABELED” as people with ""underlying conditions"" and; That includes; cancer patients, diabetes, hypertension, obesity, people on various immunosuppressant medicines for various reasons such as people that have undergone organ transplant, people with BEHCET'S disease, Crohn's disease or various other common autoimmune diseases that have to take immunosuppressant medicines and people with suppressed immune system for different reasons and group that is mostly mentioned as if that JUSTIFIES not taking radical approach the elderly (senior citizens). That is the group that is mostly mentioned by decision makers as the people with ""underlying conditions"" .","  It is not intrusive for my privacy. All info is locally on my phone and I have to give permission to use it. That I would do because it is more important to keep the virus at bay and save lives then my personal privacy. I do not mind giving up info on my travels if it helps to find possible infected people or let me know if I was near an infected person so I could be quarantined until it is known if I got infected or not so I will not infect others possible even if I don't get symptoms or not. It is not because I am concerned for my own life but I am concerned that I could possibly infect people in “so-called RISK groups” that some seem to think is justifiable to sacrifice because it is too costly or even too inconvenient for those not at risk. Who are these people the “so-called RISK groups” that some think are not worth saving from Covid-19 because it is too costly or inconvenient for so many and justified as dispensable because they are “mostly” elderly or with “underlying conditions”. The so-called RISK groups  sometimes referred to as the vulnerable often “LABELED” as people with ""underlying conditions"" and; That includes; cancer patients  diabetes  hypertension  obesity  people on various immunosuppressant medicines for various reasons such as people that have undergone organ transplant  people with BEHCET'S disease  Crohn's disease or various other common autoimmune diseases that have to take immunosuppressant medicines and people with suppressed immune system for different reasons and group that is mostly mentioned as if that JUSTIFIES not taking radical approach the elderly (senior citizens). That is the group that is mostly mentioned by decision makers as the people with ""underlying conditions"" . ",en,  It is not intrusive for my privacy  All info is locally on my phone and I have to give permission to use it  That I would do because it is more important to keep the virus at bay and save lives then my personal privacy  I do not mind giving up info on my travels if it helps to find possible infected people or let me know if I was near an infected person so I could be quarantined until it is known if I got infected or not so I will not infect others possible even if I don t get symptoms or not  It is not because I am concerned for my own life but I am concerned that I could possibly infect people in  so called RISK groups  that some seem to think is justifiable to sacrifice because it is too costly or even too inconvenient for those not at risk  Who are these people the  so called RISK groups  that some think are not worth saving from Covid    because it is too costly or inconvenient for so many and justified as dispensable because they are  mostly  elderly or with  underlying conditions   The so called RISK groups  sometimes referred to as the vulnerable often  LABELED  as people with  underlying conditions  and  That includes  cancer patients  diabetes  hypertension  obesity  people on various immunosuppressant medicines for various reasons such as people that have undergone organ transplant  people with BEHCET S disease  Crohn s disease or various other common autoimmune diseases that have to take immunosuppressant medicines and people with suppressed immune system for different reasons and group that is mostly mentioned as if that JUSTIFIES not taking radical approach the elderly  senior citizens   That is the group that is mostly mentioned by decision makers as the people with  underlying conditions    ,"Age, Domain_Specific, Emotional, Location, Privacy, Socio_economic_Status","elder, senior, concern, cost, local, privaci, elder, import, label, transplant",0.072463768,Negative,1,,1,1,0,0,1,1,1
