,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/8/20 16:40,1504655876,Rakning C-19,gb,2.1.2,galeforce9,1,Links don’t work,"Tourist link, detailed q&a links, new links.  All don’t work.", Links don’t work Tourist link  detailed q&a links  new links.  All don’t work. ,en, Links don t work Tourist link  detailed q a links  new links   All don t work  ,Location,tourist,0.1,Neutral,0,,0,0,,0,1,0,
2,8/3/20 19:37,1504655876,Rakning C-19,gb,2.1.2,Spenthoursfindinganickname,1,None of the links work,The buttons and links to articles do not work., None of the links work The buttons and links to articles do not work. ,en, None of the links work The buttons and links to articles do not work  ,Domain_Specific,button,0.142857143,Neutral,0,,1,0,,0,0,0,
3,7/20/20 18:06,1504655876,Rakning C-19,dk,2.1.0,Stangeland,1,App crashes,"I installed the app before arriving, but after the test I am getting the start screen for a few seconds and then white screen. 
Annoying."," App crashes I installed the app before arriving  but after the test I am getting the start screen for a few seconds and then white screen. 
Annoying. ",en, App crashes I installed the app before arriving  but after the test I am getting the start screen for a few seconds and then white screen   Annoying  ,Emotional,annoy,0.071428571,Negative,0,,0,1,,0,0,0,
4,7/19/20 9:08,1504655876,Rakning C-19,dk,2.1.0,5dx47,2,Bug!,"I have made the registration and done the test, but the app crashes and ends with a white screen. Have tried to reload, but with same result. I installed the app before traveling to Iceland with no problems.", Bug! I have made the registration and done the test  but the app crashes and ends with a white screen. Have tried to reload  but with same result. I installed the app before traveling to Iceland with no problems. ,en, Bug  I have made the registration and done the test  but the app crashes and ends with a white screen  Have tried to reload  but with same result  I installed the app before traveling to Iceland with no problems  ,"Language, Location","iceland, iceland",0.105263158,Positive,0,,0,0,,1,1,0,
6,7/16/20,1504655876,Rakning C-19,gb,2.1.0,JilrzmKhkiSpuroiXcsbxs,5,How to raise downloads by 10 timaes?  ,"service, daily installs can reach 3000+. Ping me at Skype and Whatsapp: +8615282351612  . Every one can get a test promtoin fot 3 days now!", How to raise downloads by 10 timaes?   service  daily installs can reach 3000+. Ping me at Skype and Whatsapp: +8615282351612  . Every one can get a test promtoin fot 3 days now! ,en, How to raise downloads by    timaes    service  daily installs can reach        Ping me at Skype and Whatsapp                    Every one can get a test promtoin fot   days now  ,Domain_Specific,"servic, servic",0.117647059,Neutral,0,,1,0,,0,0,0,
7,7/15/20 17:47,1504655876,Rakning C-19,gb,2.1.0,AEDAMOD MBHELLA,5,How to raise downloads by 10 timaes?  ,"service, daily installs can reach 3000+. Ping me at Skype and Whatsapp: +8615282351612  . Every one can get a test promtoin fot 3 days now!", How to raise downloads by 10 timaes?   service  daily installs can reach 3000+. Ping me at Skype and Whatsapp: +8615282351612  . Every one can get a test promtoin fot 3 days now! ,en, How to raise downloads by    timaes    service  daily installs can reach        Ping me at Skype and Whatsapp                    Every one can get a test promtoin fot   days now  ,Domain_Specific,"servic, servic",0.117647059,Neutral,0,,1,0,,0,0,0,
8,7/13/20 23:03,1504655876,Rakning C-19,dk,2.1.0,Bagjo,1,Error in App..,"I am on visit in Iceland. 
I had the app working before i went to Iceland. And the day i got here..
I got the test and got an answer on my phone. So all good. 
Now i try looking in the app.. it opens in half sec.. then goes to a white screen... tryed reinstall and several times during the day."," Error in App.. I am on visit in Iceland. 
I had the app working before i went to Iceland. And the day i got here..
I got the test and got an answer on my phone. So all good. 
Now i try looking in the app.. it opens in half sec.. then goes to a white screen... tryed reinstall and several times during the day. ",en, Error in App   I am on visit in Iceland   I had the app working before i went to Iceland  And the day i got here   I got the test and got an answer on my phone  So all good   Now i try looking in the app   it opens in half sec   then goes to a white screen    tryed reinstall and several times during the day  ,"Domain_Specific, Language, Location","iceland, iceland, answer",0.09375,Positive,0,,1,0,,1,1,0,
10,7/13/20 12:01,1504655876,Rakning C-19,it,2.1.0,Diego Pia,2,Test result functionality not working,"Interesting and useful concept but the app is still very buggy! I received the notification of the test results but they are not visible in the app. Also some of the links don’t work, especially the link “important announcements”. Hopefully the next update will fix the issues.", Test result functionality not working Interesting and useful concept but the app is still very buggy! I received the notification of the test results but they are not visible in the app. Also some of the links don’t work  especially the link “important announcements”. Hopefully the next update will fix the issues. ,en, Test result functionality not working Interesting and useful concept but the app is still very buggy  I received the notification of the test results but they are not visible in the app  Also some of the links don t work  especially the link  important announcements   Hopefully the next update will fix the issues  ,Domain_Specific,"receiv, import, announc",0.103448276,Positive,0,,1,0,,0,0,0,
13,7/9/20 9:39,1504655876,Rakning C-19,gb,2.0.0,itsdarrenhall,2,"Tracking and reporting works, all other functions broken.",All buttons and links in the app are broken except the “I have symptoms” button., Tracking and reporting works  all other functions broken. All buttons and links in the app are broken except the “I have symptoms” button. ,en, Tracking and reporting works  all other functions broken  All buttons and links in the app are broken except the  I have symptoms  button  ,"Domain_Specific, Privacy","track, button",0.166666667,Negative,0,,1,0,,0,0,1,
14,7/7/20 17:09,1504655876,Rakning C-19,dk,2.0.0,Andrioid,3,Ekki mögulegt að finna niðurstöur neinstaðar,"Ég fékk push skilaboð með neikvæðum niðurstöum en get hvergi fundið þær núna. Ekki á sms, ekki á email og ekki í appinu.",Unable to find results anywhere I received a push message with negative results but can not find them anywhere now. Not on sms  not on email and not in the app.,no,Unable to find results anywhere I received a push message with negative results but can not find them anywhere now  Not on sms  not on email and not in the app ,Domain_Specific,receiv,0.071428571,Negative,0,,1,0,,0,0,0,
