,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/13/20 6:23,nic.goi.aarogyasetu,Aarogya Setu,en,Mukta Sraj,1,I have been trying to download it for past two days.... Despite being in full network area its not downloading...... What should i do?????,  I have been trying to download it for past two days.... Despite being in full network area its not downloading...... What should i do????? ,en,  I have been trying to download it for past two days     Despite being in full network area its not downloading       What should i do      ,"Domain_Specific, Location","area, network",0.2,Neutral,0,0,1,0,0,0,1,0,0
2,8/13/20 6:19,nic.goi.aarogyasetu,Aarogya Setu,en,Avijit B,5,Good. Data on Covid status should also include number of unique individuals tested and data on positive in last 3 & 7 days. Helps to assess situation better.,  Good. Data on Covid status should also include number of unique individuals tested and data on positive in last 3 & 7 days. Helps to assess situation better. ,en,  Good  Data on Covid status should also include number of unique individuals tested and data on positive in last       days  Helps to assess situation better  ,Privacy,data,0.055555556,Positive,0,0,0,0,0,0,0,1,0
6,8/13/20 6:11,nic.goi.aarogyasetu,Aarogya Setu,en,Kushagra Joshi,1,"I don't think that it is important,if you are taking care of yourself and do your work carefully you don't need to install this app.And all the pictures and location are going to the government, this app is by government but this is not safe.",  I don't think that it is important if you are taking care of yourself and do your work carefully you don't need to install this app.And all the pictures and location are going to the government  this app is by government but this is not safe. ,en,  I don t think that it is important if you are taking care of yourself and do your work carefully you don t need to install this app And all the pictures and location are going to the government  this app is by government but this is not safe  ,"Domain_Specific, Privacy","locat, locat, import",0.1875,Negative,0,0,1,0,0,0,0,1,0
12,8/13/20 6:00,nic.goi.aarogyasetu,Aarogya Setu,en,Vinaydatta SV,4,Nearby cases data isn't loading.,  Nearby cases data isn't loading. ,en,  Nearby cases data isn t loading  ,Privacy,data,0.25,Neutral,0,0,0,0,0,0,0,1,0
14,8/13/20 5:58,nic.goi.aarogyasetu,Aarogya Setu,en,MM PRASANTH,5,Good application,  Good application ,en,  Good application ,Domain_Specific,applic,0.5,Positive,0,0,1,0,0,0,0,0,0
16,8/13/20 5:53,nic.goi.aarogyasetu,Aarogya Setu,en,vishnu,1,not give the real time data,not give the real time data,it,not give the real time data,Privacy,data,0.25,Neutral,0,0,0,0,0,0,0,1,0
24,8/13/20 5:35,nic.goi.aarogyasetu,Aarogya Setu,en,Sudam Meher,1,"Useless in So called protection. Although govt has told to install this... I'm going to uninstall this. People are COVID +Ve, but it's unable to warn us.... Can't trust this",  Useless in So called protection. Although govt has told to install this... I'm going to uninstall this. People are COVID +Ve  but it's unable to warn us.... Can't trust this ,en,  Useless in So called protection  Although govt has told to install this    I m going to uninstall this  People are COVID  Ve  but it s unable to warn us     Can t trust this ,Privacy,"trust, protect",0.133333333,Positive,0,0,0,0,0,0,0,1,0
44,8/13/20 5:07,nic.goi.aarogyasetu,Aarogya Setu,en,Misra Rao,5,It is most important app,  It is most important app ,en,  It is most important app ,Domain_Specific,import,0.5,Positive,0,0,1,0,0,0,0,0,0
61,8/13/20 4:34,nic.goi.aarogyasetu,Aarogya Setu,en,SAHAB SINGH,5,This is very important app,  This is very important app ,en,  This is very important app ,Domain_Specific,import,0.333333333,Positive,0,0,1,0,0,0,0,0,0
76,8/13/20 4:00,nic.goi.aarogyasetu,Aarogya Setu,en,aparna potdar,1,Willing to use this Application but it always seems gives me error while launching Application.. error is like you can't use this Application due to security restrictions (rooted device) But my device is not rooted.. I have checked it with multiple root checker apps.,  Willing to use this Application but it always seems gives me error while launching Application.. error is like you can't use this Application due to security restrictions (rooted device) But my device is not rooted.. I have checked it with multiple root checker apps. ,en,  Willing to use this Application but it always seems gives me error while launching Application   error is like you can t use this Application due to security restrictions  rooted device  But my device is not rooted   I have checked it with multiple root checker apps  ,"Domain_Specific, Privacy","secur, secur, applic",0.125,Negative,0,0,1,0,0,0,0,1,0
100,8/13/20 2:20,nic.goi.aarogyasetu,Aarogya Setu,en,Shrishti Kumar,5,this is very use ful app . it protect all people,  this is very use ful app . it protect all people ,en,  this is very use ful app   it protect all people ,Privacy,protect,0.166666667,Positive,0,0,0,0,0,0,0,1,0
102,8/13/20 2:07,nic.goi.aarogyasetu,Aarogya Setu,en,Jagdish Chander,5,Sir how to ragistered name of icmr approved covid testing centre at app,  Sir how to ragistered name of icmr approved covid testing centre at app ,en,  Sir how to ragistered name of icmr approved covid testing centre at app ,Domain_Specific,approv,0.111111111,Positive,0,0,1,0,0,0,0,0,0
127,8/12/20 19:11,nic.goi.aarogyasetu,Aarogya Setu,en,Yashasvi Mohandas,1,You require this download as mandate when travelling back to India but don't allow intl numbers. I don't know how to register without a local number.,  You require this download as mandate when travelling back to India but don't allow intl numbers. I don't know how to register without a local number. ,en,  You require this download as mandate when travelling back to India but don t allow intl numbers  I don t know how to register without a local number  ,Location,"local, india",0.142857143,Positive,0,0,0,0,0,0,1,0,0
