,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
3,2020-08-13 03:15:41,1505825357.0,AarogyaSetu,in,2.0.0,NG sharma,1.0,Not providing Right data,It should be right data.  And it would be good if provided location on maps with GPS location so it would be easy to identify affected area, Not providing Right data It should be right data.  And it would be good if provided location on maps with GPS location so it would be easy to identify affected area ,en, Not providing Right data It should be right data   And it would be good if provided location on maps with GPS location so it would be easy to identify affected area ,"Domain_Specific, Location, Privacy","area, data, locat, gps, identifi, locat",0.35294117647058826,Positive,0,0,1,0,0,0,1,1,0
6,2020-08-13 01:16:05,1505825357.0,AarogyaSetu,in,2.0.0,Jansi Rani,1.0,Not receiving OTP and not able to register now,We are currently in USA and leaving to India in few days I tried to register with arogya Setu app with my Indian phone number but not receiving otp to complete registration. How to solve this?, Not receiving OTP and not able to register now We are currently in USA and leaving to India in few days I tried to register with arogya Setu app with my Indian phone number but not receiving otp to complete registration. How to solve this? ,en, Not receiving OTP and not able to register now We are currently in USA and leaving to India in few days I tried to register with arogya Setu app with my Indian phone number but not receiving otp to complete registration  How to solve this  ,"Domain_Specific, Location","usa, india, receiv",0.13636363636363635,Positive,0,0,1,0,0,0,1,0,0
8,2020-08-12 21:14:39,1505825357.0,AarogyaSetu,in,2.0.0,NK100290,1.0,Whts the credibility of my data?,Are you guys confident that the data which fetching frm our that will not use for other purposes which can help financial or political... we want a assurance with firm letter as you know if you buy a smart with this you get one yr warranty with 100% assurance... are you guys are ready to share the assurance? If tht happened n our data will compromise with any manner for self interest or political interest what step you will do and what will be our right being as a Indian..! As I can see app is pulling complete data with other related stuff !!!, Whts the credibility of my data? Are you guys confident that the data which fetching frm our that will not use for other purposes which can help financial or political... we want a assurance with firm letter as you know if you buy a smart with this you get one yr warranty with 100% assurance... are you guys are ready to share the assurance? If tht happened n our data will compromise with any manner for self interest or political interest what step you will do and what will be our right being as a Indian..! As I can see app is pulling complete data with other related stuff !!! ,en, Whts the credibility of my data  Are you guys confident that the data which fetching frm our that will not use for other purposes which can help financial or political    we want a assurance with firm letter as you know if you buy a smart with this you get one yr warranty with      assurance    are you guys are ready to share the assurance  If tht happened n our data will compromise with any manner for self interest or political interest what step you will do and what will be our right being as a Indian    As I can see app is pulling complete data with other related stuff     ,"Domain_Specific, Privacy, Socio_economic_Status","buy, data, financi, letter",0.08,Positive,0,0,1,0,0,0,0,1,1
9,2020-08-12 19:44:15,1505825357.0,AarogyaSetu,in,2.0.0,vicky vohra,5.0,Vikram vohra,Good app ..enable us to keep track  on day to day basis  hats off to creators 👍, Vikram vohra Good app ..enable us to keep track  on day to day basis  hats off to creators 👍 ,en, Vikram vohra Good app   enable us to keep track  on day to day basis  hats off to creators   ,"Domain_Specific, Privacy","track, creator",0.15384615384615385,Positive,0,0,1,0,0,0,0,1,0
13,2020-08-12 09:32:42,1505825357.0,AarogyaSetu,in,2.0.0,against modi,1.0,KAT Char,Useless application no use with this application, KAT Char Useless application no use with this application ,en, KAT Char Useless application no use with this application ,Domain_Specific,applic,0.16666666666666666,Negative,0,0,1,0,0,0,0,0,0
14,2020-08-12 08:02:05,1505825357.0,AarogyaSetu,in,2.0.0,Sankarakumar,4.0,Very good keep it up,To know exactly what is going on in our India, Very good keep it up To know exactly what is going on in our India ,en, Very good keep it up To know exactly what is going on in our India ,Location,india,0.14285714285714285,Positive,0,0,0,0,0,0,1,0,0
15,2020-08-12 07:57:36,1505825357.0,AarogyaSetu,in,2.0.0,sskhatkar,1.0,Inconsistent data,Not convenient to read live data and also wrong data, Inconsistent data Not convenient to read live data and also wrong data ,en, Inconsistent data Not convenient to read live data and also wrong data ,Privacy,data,0.1111111111111111,Negative,0,0,0,0,0,0,0,1,0
16,2020-08-12 07:20:16,1505825357.0,AarogyaSetu,in,2.0.0,klux1999,1.0,"This app is useless, it doesn’t works at all","One of the worst issues is, even you enter the OTP number it says login failed 
What kind of app is this? It is very hard to enter malls when you want to purchase something important , but people won’t allow you, 
This is not good and it’s not fair , doesn’t matter how many times u try, it never works"," This app is useless  it doesn’t works at all One of the worst issues is  even you enter the OTP number it says login failed 
What kind of app is this? It is very hard to enter malls when you want to purchase something important   but people won’t allow you  
This is not good and it’s not fair   doesn’t matter how many times u try  it never works ",en, This app is useless  it doesn t works at all One of the worst issues is  even you enter the OTP number it says login failed  What kind of app is this  It is very hard to enter malls when you want to purchase something important   but people won t allow you   This is not good and it s not fair   doesn t matter how many times u try  it never works ,Domain_Specific,"enter, import",0.058823529411764705,Negative,0,0,1,0,0,0,0,0,0
17,2020-08-12 07:14:40,1505825357.0,AarogyaSetu,in,2.0.0,RameshEs,1.0,Details of the contacts of infected person,It should either share the infected person details or the local officials should come and ask for the details of the contacts of infected person, Details of the contacts of infected person It should either share the infected person details or the local officials should come and ask for the details of the contacts of infected person ,en, Details of the contacts of infected person It should either share the infected person details or the local officials should come and ask for the details of the contacts of infected person ,Location,local,0.058823529411764705,Negative,0,0,0,0,0,0,1,0,0
19,2020-08-11 23:31:52,1505825357.0,AarogyaSetu,us,2.0.0,sureshtcrpkd,1.0,OTP not working for NRI traveling with USA phone number,"With NRIs coming home for emergencies it is frustrating to see we need to install this App but does work for phone numbers here. Please fix it, and can tell you from the NRIs, we will thank you a lot for this.", OTP not working for NRI traveling with USA phone number With NRIs coming home for emergencies it is frustrating to see we need to install this App but does work for phone numbers here. Please fix it  and can tell you from the NRIs  we will thank you a lot for this. ,en, OTP not working for NRI traveling with USA phone number With NRIs coming home for emergencies it is frustrating to see we need to install this App but does work for phone numbers here  Please fix it  and can tell you from the NRIs  we will thank you a lot for this  ,"Emotional, Location","frustrat, usa",0.07692307692307693,Positive,0,0,0,1,0,0,1,0,0
20,2020-08-11 16:44:38,1505825357.0,AarogyaSetu,in,2.0.0,Adas42,1.0,No data visible in App,The App doesn’t show any data for iPhone.Version of the app is latest and iPhone OS is also at latest version., No data visible in App The App doesn’t show any data for iPhone.Version of the app is latest and iPhone OS is also at latest version. ,en, No data visible in App The App doesn t show any data for iPhone Version of the app is latest and iPhone OS is also at latest version  ,Privacy,data,0.0625,Negative,0,0,0,0,0,0,0,1,0
