,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/12/20 17:11,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Ruth Apter-Gabriel,1,"I don't understand how Hamagen ""protects "" me. From time to time I receive identical meaningless messages , although I live in the ""red"" city of Jerusalem. I want to delete it.","  I don't understand how Hamagen ""protects "" me. From time to time I receive identical meaningless messages   although I live in the ""red"" city of Jerusalem. I want to delete it. ",en,  I don t understand how Hamagen  protects   me  From time to time I receive identical meaningless messages   although I live in the  red  city of Jerusalem  I want to delete it  ,"Domain_Specific, Privacy","protect, receiv",0.125,Negative,0,0,1,0,0,0,0,1,0
1,8/12/20 16:14,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Aviv Shitreet,3,זולל סוללה בקצב שיא. כמעט 8 אחוז מתוך שימוש יומי בזמן שזה ברקע. בבקשה עבדו על תיקון,Devours a battery at a record pace. Nearly 8 percent of daily use while it's in the background. Please work on a repair,he,Devours a battery at a record pace  Nearly   percent of daily use while it s in the background  Please work on a repair,Domain_Specific,record,0.083333333,Positive,0,0,1,0,0,0,0,0,0
2,8/12/20 13:17,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,מישל עידן,1,"אפליקציה גרועה ,אין בפני מי לערער על דיווח של האפליקציה,היום קיבלתי הודעה שביום 4.8 הייתי במול הים באילת,לא הצלחתי לקבל כמה זמן הייתי קרוב לחולה קורונה,שהיתי במקום פחות מחצי שעה,לפי האפליקציה כל עובדי מול הים אמורים להיכנס לבידוד,חבר העובד במקום,איתו גם דיברתי באוןתו יום ,לא קיבל הודעת בידוד מי שלא התקין,ממליץ לא להתקין אותה,אני הסרתי אותה",Bad app  I have no one to appeal the report of the app  today I received a message that on 4.8 I was in front of the sea in Eilat  I could not accept how long I was close to Corona patient  I was there less than half an hour  according to the app Instead  I also talked to him on the day  did not receive an isolation message from those who did not install  recommend not installing it  I removed it,he,Bad app  I have no one to appeal the report of the app  today I received a message that on     I was in front of the sea in Eilat  I could not accept how long I was close to Corona patient  I was there less than half an hour  according to the app Instead  I also talked to him on the day  did not receive an isolation message from those who did not install  recommend not installing it  I removed it,Domain_Specific,"remov, receiv",0.058823529,Negative,0,0,1,0,0,0,0,0,0
5,8/10/20 12:54,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Eric Weissmann,2,How long should it take to get the location history? Been spinning 45 minutes...,  How long should it take to get the location history? Been spinning 45 minutes... ,en,  How long should it take to get the location history  Been spinning    minutes    ,"Domain_Specific, Privacy","locat, locat",0.285714286,Neutral,0,0,1,0,0,0,0,1,0
6,8/9/20 14:24,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Arkadiy Katz,3,"The idea behind the app js awesome, but the implementation is awful, currently its the only app that drains 25% of my battery, while I need to use my phone for work, I cannot leave such app tp run, so I had to enable battery optimization back, and disable the Bluetooth tracking. If this issue is fixed in the future might consider in enabling it again. Or might remove the app due to irrelevance, had a contact with a COVID carrier, app didn't notify... Discovered by other means...",  The idea behind the app js awesome  but the implementation is awful  currently its the only app that drains 25% of my battery  while I need to use my phone for work  I cannot leave such app tp run  so I had to enable battery optimization back  and disable the Bluetooth tracking. If this issue is fixed in the future might consider in enabling it again. Or might remove the app due to irrelevance  had a contact with a COVID carrier  app didn't notify... Discovered by other means... ,en,  The idea behind the app js awesome  but the implementation is awful  currently its the only app that drains     of my battery  while I need to use my phone for work  I cannot leave such app tp run  so I had to enable battery optimization back  and disable the Bluetooth tracking  If this issue is fixed in the future might consider in enabling it again  Or might remove the app due to irrelevance  had a contact with a COVID carrier  app didn t notify    Discovered by other means    ,"Disability, Domain_Specific, Privacy","track, disabl, remov, optim, run",0.111111111,Positive,0,1,1,0,0,0,0,1,0
7,8/9/20 12:06,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,avishay l,1,"נתוני המיקום שלי מלפני 15 ימים תקינים, החל מ 14 ימים אחורה ועד להווה כל המידע נעלם לאחר התקנת האפליקציה, זה קשר נסיבתי חזק, לא ?",My location data from 15 days ago is correct  from 14 days back to the present all the information disappeared after installing the app  it's a strong circumstantial connection  no?,he,My location data from    days ago is correct  from    days back to the present all the information disappeared after installing the app  it s a strong circumstantial connection  no ,"Domain_Specific, Privacy","data, locat, locat, present",0.266666667,Positive,0,0,1,0,0,0,0,1,0
13,8/3/20 17:31,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,V I P Ξ R,1,Basically made to spy on you. I'd rather install an app from the North Korean government than this. Reply to the person who replied to me: That's not the point. It sends false messages. It's useless and makes me feel unsafe.,  Basically made to spy on you. I'd rather install an app from the North Korean government than this. Reply to the person who replied to me: That's not the point. It sends false messages. It's useless and makes me feel unsafe. ,en,  Basically made to spy on you  I d rather install an app from the North Korean government than this  Reply to the person who replied to me  That s not the point  It sends false messages  It s useless and makes me feel unsafe  ,"Domain_Specific, Language, Privacy","korean, spi, spi",0.15,Negative,0,0,1,0,0,1,0,1,0
15,8/3/20 8:53,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Assaf Akiva,2,"The fact that it's displaying a consistent notification without an option to dismiss, is: 1. Annoying; 2. When I'll get a real notification about being exposed to a sick person, I won't bother checking what's in the notification, because I always ignore the app notifications as they are redundant.",  The fact that it's displaying a consistent notification without an option to dismiss  is: 1. Annoying; 2. When I'll get a real notification about being exposed to a sick person  I won't bother checking what's in the notification  because I always ignore the app notifications as they are redundant. ,en,  The fact that it s displaying a consistent notification without an option to dismiss  is     Annoying     When I ll get a real notification about being exposed to a sick person  I won t bother checking what s in the notification  because I always ignore the app notifications as they are redundant  ,"Domain_Specific, Emotional","sick, annoy, display",0.130434783,Negative,0,0,1,1,0,0,0,0,0
17,8/3/20 7:37,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Alon Eshet,1,"התקנתי ואתה בשמחה לאור חשיבות הנושא ולאחר שקראתי שרוב בעיות הפרטיות נפתרו. בתהליך ההתקנה ניסיתי, כפי שניתן באפליקציה, להגדיר אותה כך שהיא תעקוב אחרי רק כאשר אני מפעיל. לצערי כל פעם הוחזרתי לאותו הודעה ולאחר מספר חזרות כאלו התייאשתי והסרתי אותה מהמכשיר. אני עדיין משוכנעשזה כלי חשוב אבל לא אתקין אותו אם הבאג הזה לא יתוקן",I installed and you are happy in light of the importance of the issue and after reading that most of the privacy issues have been resolved. During the installation process I tried  as possible in the app  to configure it so that it will only follow me when I run. Unfortunately every time I was returned to the same message and after several such repetitions I gave up and removed it from the device. I'm still convinced it's an important tool but I'll not install it if this bug is not fixed,he,I installed and you are happy in light of the importance of the issue and after reading that most of the privacy issues have been resolved  During the installation process I tried  as possible in the app  to configure it so that it will only follow me when I run  Unfortunately every time I was returned to the same message and after several such repetitions I gave up and removed it from the device  I m still convinced it s an important tool but I ll not install it if this bug is not fixed,"Domain_Specific, Privacy","privaci, remov, import, run, follow",0.138888889,Positive,0,0,1,0,0,0,0,1,0
18,8/3/20 5:33,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Anton Wolkov,3,Too bad this app is not using the Google apple sdk for contact tracing and instead opts to check my GPS coordinates and not Bluetooth identifiers.,  Too bad this app is not using the Google apple sdk for contact tracing and instead opts to check my GPS coordinates and not Bluetooth identifiers. ,en,  Too bad this app is not using the Google apple sdk for contact tracing and instead opts to check my GPS coordinates and not Bluetooth identifiers  ,"Domain_Specific, Privacy","gps, identifi, coordin",0.2,Negative,0,0,1,0,0,0,0,1,0
19,8/2/20 22:13,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Lior Knaany,2,Battery drainer,  Battery drainer ,en,  Battery drainer ,Domain_Specific,drainer,0.5,Neutral,0,0,1,0,0,0,0,0,0
20,8/2/20 20:51,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,David Wachtfogel,2,מבחינת חווית המשתמש המגן2 הוא שינמוך רציני לעומת המגן1. העבודה שיש התראה מתמדת על כך שהאפליקציה רצה ברקע מאד מעצבנת והאפליקציה עכשיו זוללת יותר סוללה.,In terms of user experience the Shield 2 is a serious downside compared to the Shield 1. The work of having a constant alert that the app was running in the background is very annoying and the app is now devouring more battery.,he,In terms of user experience the Shield   is a serious downside compared to the Shield    The work of having a constant alert that the app was running in the background is very annoying and the app is now devouring more battery ,"Domain_Specific, Emotional","annoy, run",0.105263158,Negative,0,0,1,1,0,0,0,0,0
27,8/2/20 10:06,com.hamagen,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,en,Erika Vermes El Hashahar,4,It was working fine. At least I trusted it. Since yesterday a 1/4 of the information (screen) is to be seen. Somebody knows what the problem is?,  It was working fine. At least I trusted it. Since yesterday a 1/4 of the information (screen) is to be seen. Somebody knows what the problem is? ,en,  It was working fine  At least I trusted it  Since yesterday a     of the information  screen  is to be seen  Somebody knows what the problem is  ,Privacy,trust,0.083333333,Positive,0,0,0,0,0,0,0,1,0
