,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,7/20/20,1503224314,המגן - אפליקציה למלחמה בקורונה,ru,1.4.7,ninadiv,2,Приложение не работает,"Приложение не работает! Я 6-й день нахожусь в одной квартире с мужем, у которого положит серологической анализ и бактериальная пневмония. Приложение показывает, что у меня нет контактов",Application not working Application not working! For the 6th day I am in the same apartment with my husband  who has a serological test and bacterial pneumonia. The app shows that I have no contacts,ru,Application not working Application not working  For the  th day I am in the same apartment with my husband  who has a serological test and bacterial pneumonia  The app shows that I have no contacts,Domain_Specific,applic,0.066666667,Negative,,,1,0,,0,0,0,0
2,6/20/20 10:00,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.4.7,finalBidder,1,Drain my battery!!!,"The App requires an access to my GPS always even when it’s closed which causes a battery drain very fast.
Also the app not accurate and and not safe in terms of privacy..."," Drain my battery!!! The App requires an access to my GPS always even when it’s closed which causes a battery drain very fast.
Also the app not accurate and and not safe in terms of privacy... ",en, Drain my battery    The App requires an access to my GPS always even when it s closed which causes a battery drain very fast  Also the app not accurate and and not safe in terms of privacy    ,Privacy,"privaci, gps",0.1,Negative,,,0,0,,0,0,1,0
4,6/6/20 2:46,1503224314,המגן - אפליקציה למלחמה בקורונה,us,1.3.8,yuvalt,1,יובל,בעוד שבוע אני מכבה את הרשאות המיקום. מקווה שתעברו ל-Exposure Notification API.,Yuval In a week I'll turn off the location permissions. Hope you move to the Exposure Notification API.,he,Yuval In a week I ll turn off the location permissions  Hope you move to the Exposure Notification API ,"Domain_Specific, Privacy","locat, locat",0.2,Positive,,,1,0,,0,0,1,0
6,5/4/20 5:09,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.2.4,Gdalewicz,5,Location service,Does the location service have to be on all the time in order to collect my movements ? Or is it working even when it’s off? I am asking because my battery is draining very quickly when it’s on., Location service Does the location service have to be on all the time in order to collect my movements ? Or is it working even when it’s off? I am asking because my battery is draining very quickly when it’s on. ,en, Location service Does the location service have to be on all the time in order to collect my movements   Or is it working even when it s off  I am asking because my battery is draining very quickly when it s on  ,"Domain_Specific, Privacy","locat, servic, servic, locat, order",0.294117647,Neutral,,,1,0,,0,0,1,0
7,5/1/20 14:34,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.2.4,daniel daniel 44,1,Daniel Daniel,יש תקלה באפלקציה לא מקבלים התראות צריכים להכניס לאפלקציה כידי לראות שהינו במקום שהיה בוא חולה קורונה האפלקציה לא שולחת התראות לטלפון,Daniel Daniel has a malfunction in the app Do not receive alerts  need to enter the app to see that he is in a place where he was sick Corona The app does not send alerts to the phone,he,Daniel Daniel has a malfunction in the app Do not receive alerts  need to enter the app to see that he is in a place where he was sick Corona The app does not send alerts to the phone,"Domain_Specific, Emotional","sick, enter, receiv",0.166666667,Negative,,,1,1,,0,0,0,0
8,4/26/20 19:05,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.2.4,x011r,5,Danny,"Update : thanks for the link ,but you can easily implant it into the app :)
I have updated the rating anyway ,good work afterall ,very useful :)

Easy setup ,but seems like some features are missing ,it would be nice to see a map of sick people paths and locations to avoid going to that area"," Danny Update : thanks for the link  but you can easily implant it into the app :)
I have updated the rating anyway  good work afterall  very useful :)

Easy setup  but seems like some features are missing  it would be nice to see a map of sick people paths and locations to avoid going to that area ",en, Danny Update   thanks for the link  but you can easily implant it into the app    I have updated the rating anyway  good work afterall  very useful     Easy setup  but seems like some features are missing  it would be nice to see a map of sick people paths and locations to avoid going to that area ,"Domain_Specific, Emotional, Location, Privacy","sick, area, locat, locat",0.125,Positive,,,1,1,,0,1,1,0
9,4/23/20 11:40,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.2.4,דניאל1989,4,דניאל,"היי
מתי תשחררו את הקוד? שנוכל לראות?
זה חשוב בשביל השקיפות והאמון וכתבתם שתעשו את זה","Daniel Hi
When will you release the code? That we can see?
This is important for transparency and trust and you wrote that you will do it",he,Daniel Hi When will you release the code  That we can see  This is important for transparency and trust and you wrote that you will do it,"Domain_Specific, Privacy","transpar, trust, import",0.333333333,Positive,,,1,0,,0,0,1,0
11,4/16/20 21:41,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.1.3,Stasikevich,1,Don’t install,The worse application spy’s after customers, Don’t install The worse application spy’s after customers ,en, Don t install The worse application spy s after customers ,"Domain_Specific, Privacy","spi, custom, spi, applic",0.8,Negative,,,1,0,,0,0,1,0
12,4/10/20 8:06,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.1.3,אורי בובליל,5,אורי בובליל,אולי תורידו את ה “לא חולה ״ לשורה נפרדת זה קצת מבלבל,"Uri Bublil Maybe dropping the ""not sick"" to a separate line is a bit confusing",he,Uri Bublil Maybe dropping the  not sick  to a separate line is a bit confusing,"Domain_Specific, Emotional","sick, confus, separ",0.333333333,Positive,,,1,1,,0,0,0,0
15,4/2/20 19:35,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.1.3,erezv,4,ארז,"אייפון SE אחרי התקנת גרסה 1.0.20 וסימון ״קראתי את תנאי השימוש״ לא קורה כלום.
עדכון - עכשיו עובד, יישר כח על העדכונים","Packed iPhone SE after installing version 1.0.20 and checking ""I have read the terms of use"" nothing happens.
Update - Now working  align power with updates",he,Packed iPhone SE after installing version        and checking  I have read the terms of use  nothing happens  Update   Now working  align power with updates,Domain_Specific,align,0.0625,Neutral,,,1,0,,0,0,0,0
16,4/1/20 21:56,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.1.2,Alan Holt,5,Developers response,"I change my rating to this app to 5 stars, due to honest and clear feedback from developers. 
Code is open. Location stored on device."," Developers response I change my rating to this app to 5 stars  due to honest and clear feedback from developers. 
Code is open. Location stored on device. ",en, Developers response I change my rating to this app to   stars  due to honest and clear feedback from developers   Code is open  Location stored on device  ,"Domain_Specific, Privacy","locat, locat",0.125,Positive,,,1,0,,0,0,1,0
17,4/1/20 21:35,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.1.2,talbarn,3,Tallll,"I got some notifications on spots that I’ve never been. Also, you should mention the exact address of the place and not mention “dr. John due - dentist”.", Tallll I got some notifications on spots that I’ve never been. Also  you should mention the exact address of the place and not mention “dr. John due - dentist”. ,en, Tallll I got some notifications on spots that I ve never been  Also  you should mention the exact address of the place and not mention  dr  John due   dentist   ,Domain_Specific,"dentist, address",0.133333333,Neutral,,,1,0,,0,0,0,0
20,3/31/20 22:04,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.1.2,achriqui,5,נתוני מיקום גוגל,"זאת אפליקציה לאייפון, לרוב אין פה נתוני מיקום שנשמרים בגוגל אלא על האייפון עצמו. תבקשו גישה לנתונים האלו (נמצאים על גבי המכשיר). בטוח שיש API לזה",Google location data is an application for the iPhone  usually there is no location data stored in Google but on the iPhone itself. Request access to this data (located on the device). Sure there is an API for that,he,Google location data is an application for the iPhone  usually there is no location data stored in Google but on the iPhone itself  Request access to this data  located on the device   Sure there is an API for that,"Domain_Specific, Privacy","data, locat, locat, applic",0.222222222,Positive,,,1,0,,0,0,1,0
21,3/31/20 14:48,1503224314,המגן - אפליקציה למלחמה בקורונה,us,1.0.22,טוניShalom,5,“ Awesome “,🇮🇱 עם ישראל חי 🇮🇱,"""Awesome"" 🇮🇱 The people of Israel are alive 🇮🇱",he, Awesome     The people of Israel are alive   ,Location,israel,0.25,Positive,,,0,0,,0,1,0,0
22,3/29/20 4:48,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.0.22,User3468542,2,User,מיקום ומשך זמן המגע עם ״החולה״ - לא מדויקים.,"User Location and duration of contact with the ""patient"" - inaccurate.",he,User Location and duration of contact with the  patient    inaccurate ,"Domain_Specific, Privacy","locat, locat",0.333333333,Neutral,,,1,0,,0,0,1,0
23,3/28/20 13:57,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.0.22,Avih74,1,False location reports,"False reports by the App!
Sending me locations that a wasn't there...
Not even close..."," False location reports False reports by the App!
Sending me locations that a wasn't there...
Not even close... ",en, False location reports False reports by the App  Sending me locations that a wasn t there    Not even close    ,"Domain_Specific, Privacy","locat, locat",0.2,Neutral,,,1,0,,0,0,1,0
24,3/28/20 12:29,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.0.22,Mark_Gan,1,זבל,"הממשלה מנסה להקים אפליקציית ביג דאטה שאמורה להיות משוכללת ורצינית ולהשפיע על חייהם של מאות אלפי אזרחים. כמובן שמדובר כאן בכישלון חרוץ, כי אפילו אתר נורמאלי ונגיש משרד הבריאות לא מסוגל להקים.",Government junk is trying to set up a Big Data app that is supposed to be sophisticated and serious and affect the lives of hundreds of thousands of citizens. Of course this is a diligent failure  because even a normal and accessible website the Ministry of Health is unable to set up.,he,Government junk is trying to set up a Big Data app that is supposed to be sophisticated and serious and affect the lives of hundreds of thousands of citizens  Of course this is a diligent failure  because even a normal and accessible website the Ministry of Health is unable to set up ,"Domain_Specific, Privacy","data, normal",0.074074074,Neutral,,,1,0,,0,0,1,0
25,3/28/20 7:45,1503224314,המגן - אפליקציה למלחמה בקורונה,il,1.0.22,danitbk,2,דנית,"פרט אחד שלא ברור לי: האם משווים למיקומים של אנשים אחרים שהורידו את היישום או לנתוני האיכון שאוסף השב״כ?
אם א׳, צריך לפרסם ביישום את מספר המשתמשים וליידע אותנו שזה בערבון מוגבל, כלומר זה משווה למעט מאוד אנשים. 
אם ב׳, במה זה שונה מהאיכון שכבר מתבצע ממילא?","Danish One detail that is not clear to me: Are we comparing the locations of other people who downloaded the application or the location data collected by the GSS?
If A  we need to publish the number of users in the application and let us know that it is on a limited guarantee  which means that it compares very few people.
If B  how is it different from the positioning that is already being done anyway?",he,Danish One detail that is not clear to me  Are we comparing the locations of other people who downloaded the application or the location data collected by the GSS  If A  we need to publish the number of users in the application and let us know that it is on a limited guarantee  which means that it compares very few people  If B  how is it different from the positioning that is already being done anyway ,"Domain_Specific, Language, Privacy","danish, data, locat, locat, applic",0.151515152,Negative,,,1,0,,1,0,1,0
26,3/28/20 7:17,1503224314,המגן - אפליקציה למלחמה בקורונה,us,1.0.22,l0la&0lla,1,Buggy,"I wanted to see the terms of use before I approve and when you click on the “use terms” button nothing happens. You wait, and wait and nothing. Please hire professional programmers and make the app fully functioning.", Buggy I wanted to see the terms of use before I approve and when you click on the “use terms” button nothing happens. You wait  and wait and nothing. Please hire professional programmers and make the app fully functioning. ,en, Buggy I wanted to see the terms of use before I approve and when you click on the  use terms  button nothing happens  You wait  and wait and nothing  Please hire professional programmers and make the app fully functioning  ,Domain_Specific,"approv, button",0.083333333,Negative,,,1,0,,0,0,0,0
