,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,13/08/2020 15:20,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,SoftBankゆーざー,2,バグが多い,"インストールしてから約2ヶ月、その間3回ほどアプリが落ち、リスタートになりました。
使用開始日を起点に陽性者との接触を探すのに、リスタートすると当然使用開始日もリセットされてしまうので全く意味を成しません。

極め付けは通知で「陽性者との接触がありました」と出たので驚いてアプリを起動しましたが、接触を確認するボタンを押下しても陽性者との接触はありませんと表示されます。
何度やっても接触無しと表示され、不安になって時間を置いて再度トライするとアプリが落ちてリスタート。

一体なんなんでしょうか。
導入したことは評価ですが、こんなポンコツでは全く意味はないですし、混乱しか生まないのでは。","There are many bugs About 2 months after installation  during that time  the app dropped about 3 times and restarted.
It doesn't make any sense because restarting will naturally reset the start date of use  even if you search for contact with a positive person from the start date of use.

I was surprised to start the application because the notification was ""There was a contact with a positive person"" in the notification  but it is displayed that there is no contact with a positive person even if the button to confirm the contact is pressed.
No contact is displayed no matter how many times I try it  and when I feel uneasy and try again after a while  the app drops and restarts.

What is it?
It's an evaluation that I introduced it  but it doesn't make any sense in this kind of trick  and it only creates confusion.",ja,There are many bugs About   months after installation  during that time  the app dropped about   times and restarted  It doesn t make any sense because restarting will naturally reset the start date of use  even if you search for contact with a positive person from the start date of use   I was surprised to start the application because the notification was  There was a contact with a positive person  in the notification  but it is displayed that there is no contact with a positive person even if the button to confirm the contact is pressed  No contact is displayed no matter how many times I try it  and when I feel uneasy and try again after a while  the app drops and restarts   What is it  It s an evaluation that I introduced it  but it doesn t make any sense in this kind of trick  and it only creates confusion ,"Domain_Specific, Emotional","confus, display, button, applic",0.058823529,Neutral,0,0,1,1,0,0,0,0,0
7,13/08/2020 11:09,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,Carsくん,2,勤務中に携帯電話持ち歩けないのが難点。,"リハビリスタッフとして働いていますが、1番接触の危険があるであろう仕事中に携帯電話を常時身に付けることができないため、勿体無い機能だと思う。
スマートウォッチを含め、時計の着用は許されているため、スマートウォッチにも対応していると良いと思った。
うちは外科のみなのでコロナに対する受け入れ態勢はないが、通常通り稼働していて、患者数も例年の9割ほどまで戻ってきてリハビリ職は特に患者様と密な関係であるため不安は絶えません。","The difficulty is that I can't carry my cell phone with me while I work. I'm working as a rehabilitation staff  but I think it's a wasteful function because I can't always wear a cell phone during work  where there is a danger of being the first contact person.
Since it is allowed to wear watches  including smart watches  I thought it would be good to support smart watches.
Since we are only a surgeon  we are not prepared to accept corona  but it is operating normally  the number of patients has returned to about 90% of the usual year  and rehabilitation work is closely related to patients  so I am constantly worried ..",ja,The difficulty is that I can t carry my cell phone with me while I work  I m working as a rehabilitation staff  but I think it s a wasteful function because I can t always wear a cell phone during work  where there is a danger of being the first contact person  Since it is allowed to wear watches  including smart watches  I thought it would be good to support smart watches  Since we are only a surgeon  we are not prepared to accept corona  but it is operating normally  the number of patients has returned to about     of the usual year  and rehabilitation work is closely related to patients  so I am constantly worried   ,"Domain_Specific, Emotional","worri, prepar, staff, rehabilit, prepar, normal",0.109090909,Positive,0,0,1,1,0,0,0,0,0
8,13/08/2020 10:56,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,キャシュレスに追いつきたい俺,5,流行らせコラ！,"これがもっと流行ってみんなのやわらかスマホに入れて欲しいゾ。
これならコロナも軽減しそうだよ。","Fashionable Photoshop! This is more popular and I want you to put it in everyone's soft phones.
This will also reduce corona.",ja,Fashionable Photoshop  This is more popular and I want you to put it in everyone s soft phones  This will also reduce corona ,Domain_Specific,reduc,0.090909091,Positive,0,0,1,0,0,0,0,0,0
9,13/08/2020 9:48,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,syokugyougenjin,5,落ちた,"インストール後にプライバシーポリシーを読んでいたら途中でアプリが落ちました。（2020/06/19）
ヘルスケアのログには7月分も含めて過去のデータがあるのにアプリの使用日数がゼロと表示されます。（2020/08/06）
8月7日に使用日数「1」になったが8月8日になっても「1」のままです。（2020/08/08）
アプリを起動すると利用規約が表示され初期化された。利用日数もゼロになってしまっている。（2020/08/13）","The application fell down while reading the privacy policy after installation. (2020/06/19)
Even though there are past data including those for July in the healthcare log  the number of days used by the app is displayed as zero. (2020/08/06)
The number of usage days reached ""1"" on August 7  but it remains ""1"" on August 8. (2020/08/08)
When the application was started  the terms of use were displayed and initialized. The number of days used is also zero. (2020/08/13)",ja,The application fell down while reading the privacy policy after installation               Even though there are past data including those for July in the healthcare log  the number of days used by the app is displayed as zero               The number of usage days reached     on August    but it remains     on August                 When the application was started  the terms of use were displayed and initialized  The number of days used is also zero              ,"Domain_Specific, Privacy","data, privaci, display, applic",0.105263158,Positive,0,0,1,0,0,0,0,1,0
10,13/08/2020 9:04,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,テンニスキ,1,リセットばかり,6月末から入れているのに、勝手にリセットを繰り返されるのて、使い始めて0日目を繰り返してます。これで追跡できるのでしょうか？,I've been resetting everything since the end of June  but I've been resetting it on my own  so I've started using it for 0 days. Can this be tracked?,ja,I ve been resetting everything since the end of June  but I ve been resetting it on my own  so I ve started using it for   days  Can this be tracked ,Privacy,track,0.1,Neutral,0,0,0,0,0,0,0,1,0
11,13/08/2020 8:39,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,オリックスファンの者,5,大事なアプリだけど...,バッテリーを消費しやすいかもしれないんで改善して欲しい、それ以外は完璧,It's an important app  but it might be easy to drain the battery  so please improve it  otherwise it's perfect,ja,It s an important app  but it might be easy to drain the battery  so please improve it  otherwise it s perfect,Domain_Specific,import,0.1,Positive,0,0,1,0,0,0,0,0,0
14,13/08/2020 3:49,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,aabcc2,1,通知バグ,"COVID-19にさらされたって通知がきて、アプリ内は接触確認なしって、どっち？

あちこちで不具合報告多いし、ただ無駄に不安煽るだけ。","Notification bug I got a notification that I was exposed to COVID-19  and I didn't confirm the contact in the app  which one?

There are a lot of bug reports here and there  and it's just annoying.",ja,Notification bug I got a notification that I was exposed to COVID     and I didn t confirm the contact in the app  which one   There are a lot of bug reports here and there  and it s just annoying ,Emotional,annoy,0.071428571,Negative,0,0,0,1,0,0,0,0,0
15,13/08/2020 2:49,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,MAR!KO,2,濃厚接触の可能性ありの通知が来ました,"通知が来たので見ようとしたら、アプリが突然落ちてリセットされてしまいました。
これでは確認もできず不安が募るばかりです。
個別のアカウントなどあれば再ログインも可能だと思います。
不具合解消をお願いいたします。","I received a notification that there is a possibility of heavy contact. When I tried to view the notification  the app suddenly fell and was reset.
I can't confirm this and I'm just worried.
If you have an individual account  you can log in again.
Please fix the problem.",ja,I received a notification that there is a possibility of heavy contact  When I tried to view the notification  the app suddenly fell and was reset  I can t confirm this and I m just worried  If you have an individual account  you can log in again  Please fix the problem ,"Domain_Specific, Emotional","worri, receiv, account",0.15,Negative,0,0,1,1,0,0,0,0,0
16,13/08/2020 1:37,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,えいえいオウ〜〜,1,なぜ is １３からの対応？,"広くインストールを願うのであれば、OSバージョンを考慮して最低でも１２の対応は必要条件と考えます。役人の作るアプリとは、得てしてこんなモンなのでしょう！よく考えて世に協力を求めて下さい。頭脳優秀集団である以上情け無いです。
早急に対処してください。","Why is the response from 13? If you want to install widely  consider at least 12 OS versions and consider it a necessary condition. The app made by the official is such a monument! Please think carefully and ask the world for cooperation. It is pitiful because it is an excellent group of brains.
Please take immediate action.",ja,Why is the response from     If you want to install widely  consider at least    OS versions and consider it a necessary condition  The app made by the official is such a monument  Please think carefully and ask the world for cooperation  It is pitiful because it is an excellent group of brains  Please take immediate action ,Domain_Specific,"cooper, cooper",0.064516129,Positive,0,0,1,0,0,0,0,0,0
17,13/08/2020 1:17,1516764458,COCOA - COVID-19 Contact App,jp,1.1.2,Ray Vipper,1,通知はOFFに,通知ONにしていると「0件の接触の可能性が特定され〜」という通知が来るのでOFFにしましょう。,"Notification is turned off. If notification is turned on  the notification ""0 contacts may have been identified"" will be sent  so turn it off.",ja,Notification is turned off  If notification is turned on  the notification    contacts may have been identified  will be sent  so turn it off ,Domain_Specific,identifi,0.1,Neutral,0,0,1,0,0,0,0,0,0
