,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
3,31/10/2020 18:05,com.healthcarekw.app,Shlonik - شلونك,ar,حسانين علام,1,البرنامج بش شغل عندي يقوال لي الرقم غير صحيح او غير مسجل وبقالي ٥ يوم داخل الكويت افدوان ايه الحل في غاية الاهميه," The program does not work for me. It tells me the number is incorrect or not registered, and I have 5 days inside Kuwait. ",ar, The program does not work for me  It tells me the number is incorrect or not registered  and I have   days inside Kuwait  ,Location,kuwait,0.1,Positive,,,0,0,0,0,1,0,0
6,30/10/2020 22:43,com.healthcarekw.app,Shlonik - شلونك,ar,Gfdggd Gfdffg,1,بعد تنزيل التطبيق لا يمكن فتحه؛؛؛؛, After downloading the application it cannot be opened ;;;; ,ar, After downloading the application it cannot be opened      ,Domain_Specific,applic,0.333333333,Neutral,,,1,0,0,0,0,0,0
7,30/10/2020 17:18,com.healthcarekw.app,Shlonik - شلونك,ar,محمد حجاج,1,بش عايز يفتح اي الحل يا جماعه ممكن حد يرد عليه," I want any solution, group, can anyone respond to it ",ar, I want any solution  group  can anyone respond to it ,Domain_Specific,respond,0.166666667,Positive,,,1,0,0,0,0,0,0
16,28/10/2020 7:00,com.healthcarekw.app,Shlonik - شلونك,ar,محمد محمد,5,الله يعطيكم العافيه و يزيح الغمة عن بلاد المسلمين, May Allah grant you wellness and remove the agony from Muslim countries ,ar, May Allah grant you wellness and remove the agony from Muslim countries ,"Domain_Specific, Language, Location","countri, countri, remov",0.375,Positive,,,1,0,0,1,1,0,0
20,26/10/2020 16:02,com.healthcarekw.app,Shlonik - شلونك,en,Rahul Bharti,5,Supar., Upset. ,id, Upset  ,Emotional,upset,1,Negative,,,0,1,0,0,0,0,0
24,25/10/2020 13:18,com.healthcarekw.app,Shlonik - شلونك,ar,احمد قرنى عبد الوهاب منصور,5,التطبيق لا يعمل هناك مشكله فى تحميل الصوره الشخصيه . ارجوا الرد," The application does not work, there is a problem in uploading the personal picture. Please answer ",ar, The application does not work  there is a problem in uploading the personal picture  Please answer ,Domain_Specific,"answer, applic",0.222222222,Negative,,,1,0,0,0,0,0,0
25,25/10/2020 8:55,com.healthcarekw.app,Shlonik - شلونك,en,Md Monower,5,Monowr Kuwait, Kuwait Monowr ,sw, Kuwait Monowr ,Location,kuwait,0.5,Neutral,,,0,0,0,0,1,0,0
32,22/10/2020 19:54,com.healthcarekw.app,Shlonik - شلونك,en,adel shaikh,2,"It is a flawed app... It gives silent reminders and always we have ""check in"" which is not ideal for everyone... What if someone misses a check in when he's in a bathroom? It's THAT annoying... Rest all it's an OK app for residents..","   It is a flawed app... It gives silent reminders and always we have ""check in"" which is not ideal for everyone... What if someone misses a check in when he's in a bathroom? It's THAT annoying... Rest all it's an OK app for residents..  ",en,   It is a flawed app    It gives silent reminders and always we have  check in  which is not ideal for everyone    What if someone misses a check in when he s in a bathroom  It s THAT annoying    Rest all it s an OK app for residents    ,Emotional,annoy,0.055555556,Negative,,,0,1,0,0,0,0,0
35,22/10/2020 11:52,com.healthcarekw.app,Shlonik - شلونك,ar,sameh fahmy,1,البرنامج مش بيفتح عندي بيعطي شاشه بيضاء ومش عارف اعمل ايه بالله عليكم اعطوني حل مع العلم انا داخل الكويت كمان اسبوع," The program will not open for me, I will be given a white screen, and I don’t know what to do with God. You should give me a solution, knowing that I’m in Kuwait also a week ",ar, The program will not open for me  I will be given a white screen  and I don t know what to do with God  You should give me a solution  knowing that I m in Kuwait also a week ,Location,kuwait,0.076923077,Positive,,,0,0,0,0,1,0,0
39,22/10/2020 2:47,com.healthcarekw.app,Shlonik - شلونك,en,Syed Munvar basha,5,It works perfectly after i complaining its error on airport authorities to give them my details which when i arrived in kuwait and my number and my location in kuwait After that they was send me notifications to register in this app on same number which i gave them to airport authorities and i was able to register within seconds (I REPEAT THOSE WHO SUFFERS FOR ERRORS CALL THE AIRPORT AUTHORITIES AND GIVE THEM YOUR FULL DETAILS THEY WILL FIX IT INSTANTLY,   It works perfectly after i complaining its error on airport authorities to give them my details which when i arrived in kuwait and my number and my location in kuwait After that they was send me notifications to register in this app on same number which i gave them to airport authorities and i was able to register within seconds (I REPEAT THOSE WHO SUFFERS FOR ERRORS CALL THE AIRPORT AUTHORITIES AND GIVE THEM YOUR FULL DETAILS THEY WILL FIX IT INSTANTLY  ,en,   It works perfectly after i complaining its error on airport authorities to give them my details which when i arrived in kuwait and my number and my location in kuwait After that they was send me notifications to register in this app on same number which i gave them to airport authorities and i was able to register within seconds  I REPEAT THOSE WHO SUFFERS FOR ERRORS CALL THE AIRPORT AUTHORITIES AND GIVE THEM YOUR FULL DETAILS THEY WILL FIX IT INSTANTLY  ,"Domain_Specific, Location, Privacy","kuwait, locat, author, locat, author",0.138888889,Negative,,,1,0,0,0,1,1,0
41,21/10/2020 12:04,com.healthcarekw.app,Shlonik - شلونك,ar,سالم الراجحي,1,احاول ارسل الصورة مايستقبلها البرنامج يقولي خطٱ اتصلت علي الدعم الفني لم يردو علي وشاشة الخريطة لاتظهر لي," I am trying to send the picture what the program is receiving, tell me a line ",ar, I am trying to send the picture what the program is receiving  tell me a line ,Domain_Specific,receiv,0.142857143,Neutral,,,1,0,0,0,0,0,0
42,21/10/2020 11:46,com.healthcarekw.app,Shlonik - شلونك,en,Othman Alabdulhadi,1,يدقون على ١٠٠ مره و ١٠٠ مره يدزون مسجات تقول سجل فى تطبيق شلونك. ادق عليهم على ١٥١ و على كل ارقامهم بعد ٤٩ دقيقه ردو على ١٥١ و سالت اذا مو مخالط و لا مسافر و لا مسحه ايجابيه ليش اسجل الموظفه قالت احطلك شكوى على البؤنامج الكلام الاسبوع تاة طاف و تستمر المسجات والاتصالات و دقيت ١٠.مرات و بعد انتظار ٣٠ دقيقه ردو و قالو نفس الفلم و تلفونى ما يسكت مكالمات و مسجات. يرجى الى عنده السالفه يساعدنى.," They tick 100 times and 100 times they record messages that say a record in the Shlonak app. I tell them on 151 and on all their numbers. After 49 minutes, respond to 151 and ask if there is no contact, no traveler, and no positive scan. Why do I record the employee? 30 minutes they answered and said the same movie and phone me that does not silence calls and messages. Please to have an ancestor help me. ",ar, They tick     times and     times they record messages that say a record in the Shlonak app  I tell them on     and on all their numbers  After    minutes  respond to     and ask if there is no contact  no traveler  and no positive scan  Why do I record the employee     minutes they answered and said the same movie and phone me that does not silence calls and messages  Please to have an ancestor help me  ,Domain_Specific,"record, respond, answer",0.090909091,Positive,,,1,0,0,0,0,0,0
54,17/10/2020 13:23,com.healthcarekw.app,Shlonik - شلونك,ar,abdelrahman elgammal,1,التطبيق اتحذف بدون إرادتي ويدخل رقم الموبيل والرقم المدني بيظهر خطأ ف الرقم," I delete the app without my will and enter the mobile number and the civil number, showing an error in the number ",ar, I delete the app without my will and enter the mobile number and the civil number  showing an error in the number ,Domain_Specific,enter,0.090909091,Negative,,,1,0,0,0,0,0,0
