,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,30/10/2020,1503978984,Shlonik - شلونك,us,2,Malakal,5,Nice new interface,Nice new interface.  The app does what is expected from it to do. Good home tracking while under quarantine.,  Nice new interface Nice new interface.  The app does what is expected from it to do. Good home tracking while under quarantine.  ,en,  Nice new interface Nice new interface   The app does what is expected from it to do  Good home tracking while under quarantine   ,Privacy,track,0.076923077,Positive,,,0,0,0,0,0,1,0
2,27/10/2020 13:06,1503978984,Shlonik - شلونك,kw,1.0.5,Amer Hdad,3,تطبيق إشلونك الكويت,"التطبيق لا يعمل وعاتفى أيفون ٥ 
ومناسب للتطبيق ولكن التطبيق بعد تثبيته أكثر من مرة لا يفتح معى لإستكمال ادخال البيانات المطلوبة ... ما الحل ؟؟؟"," The iPhone 5 application does not work
It is suitable for the application, but the application after installing it more than once does not open with me to complete entering the required data ... What is the solution ??? ",ar, The iPhone   application does not work It is suitable for the application  but the application after installing it more than once does not open with me to complete entering the required data     What is the solution     ,"Domain_Specific, Privacy","data, enter, applic",0.1875,Positive,,,1,0,0,0,0,1,0
5,15/10/2020 13:21,1503978984,Shlonik - شلونك,sa,1.0.5,FaSsOoLe,1,للاسف,انا سعودي ودخلت الكويت ومطلوب مني احمل التطبيق ولما احمله يطلب مني بطاقة مدنية كويتية ؟؟؟؟ طيب انا سعودي .. احط رقم بطاقة مدنية كويتية كيف ؟؟," Unfortunately, I am Saudi and I entered Kuwait, and I am required to download the application, and when I carry it, I am asked for a Kuwaiti civil card ???? Ok, I am a Saudi .. I put a Kuwaiti civil card number, how ?? ",ar, Unfortunately  I am Saudi and I entered Kuwait  and I am required to download the application  and when I carry it  I am asked for a Kuwaiti civil card      Ok  I am a Saudi    I put a Kuwaiti civil card number  how    ,"Domain_Specific, Location","kuwait, enter, applic",0.157894737,Neutral,,,1,0,0,0,1,0,0
9,8/10/20 18:27,1503978984,Shlonik - شلونك,sa,1.0.5,الذئب 🎩,1,الكويت,"التطبيق يحتاج شرح وإظافة ميزات جديده وإعلانات تتحدث عن الفائده المرجوه منه وكيفية الحصول عليها ""شرح أهميته"""," Kuwait The application needs an explanation and adding new features and advertisements that talk about the desired benefit of it and how to obtain it. ""Explain its importance"" ",ar, Kuwait The application needs an explanation and adding new features and advertisements that talk about the desired benefit of it and how to obtain it   Explain its importance  ,"Domain_Specific, Location","kuwait, import, applic",0.214285714,Positive,,,1,0,0,0,1,0,0
12,1/10/20 13:23,1503978984,Shlonik - شلونك,us,1.0.5,AnonymousHopingForABetterWorld,1,Violation of basic rights,"Government basically said, show us pictures of where you are every couple of hours and give us permission to track your location all the time. If you don’t want to accept, no worries, we will forcefully quarantine you in a place of our choosing for 14-28 days.","  Violation of basic rights Government basically said, show us pictures of where you are every couple of hours and give us permission to track your location all the time. If you don’t want to accept, no worries, we will forcefully quarantine you in a place of our choosing for 14-28 days.  ",en,  Violation of basic rights Government basically said  show us pictures of where you are every couple of hours and give us permission to track your location all the time  If you don t want to accept  no worries  we will forcefully quarantine you in a place of our choosing for       days   ,"Domain_Specific, Emotional, Privacy","worri, locat, track, locat",0.153846154,Positive,,,1,1,0,0,0,1,0
14,17/09/2020 16:43,1503978984,Shlonik - شلونك,kw,1.0.5,ا.لاشين,3,الكويت,هل يدعم البرنامج ios14, Kuwait Does the program support ios14 ,ar, Kuwait Does the program support ios   ,Location,kuwait,0.2,Positive,,,0,0,0,0,1,0,0
17,22/08/2020 12:16,1503978984,Shlonik - شلونك,us,1.0.5,MEAman86,1,This is unethical app,"I understand the government want to minimize the spread of the virus but you should not force us for taking personal photos everyday and asking for our location all the day, my phone is on fire and they collect very sensitive data. This app did not mention for Motion & Fitness Activity yet they request it from us. And if we do not use it we will go to jail. I disagree for the terms & condition but I must use it because they force us to use it.","  This is unethical app I understand the government want to minimize the spread of the virus but you should not force us for taking personal photos everyday and asking for our location all the day, my phone is on fire and they collect very sensitive data. This app did not mention for Motion & Fitness Activity yet they request it from us. And if we do not use it we will go to jail. I disagree for the terms & condition but I must use it because they force us to use it.  ",en,  This is unethical app I understand the government want to minimize the spread of the virus but you should not force us for taking personal photos everyday and asking for our location all the day  my phone is on fire and they collect very sensitive data  This app did not mention for Motion   Fitness Activity yet they request it from us  And if we do not use it we will go to jail  I disagree for the terms   condition but I must use it because they force us to use it   ,"Domain_Specific, Privacy","data, locat, locat, sensit",0.093023256,Negative,,,1,0,0,0,0,1,0
20,11/8/20 15:27,1503978984,Shlonik - شلونك,tr,1.0.5,c2star,2,Notifications,"I have this problem , where it notifies me to take a picture but is not allowing me to take the picture as it notifies me to do so but yet it shows that “No Check in is required “ so frustrating. Please help me to sort this out .","  Notifications I have this problem , where it notifies me to take a picture but is not allowing me to take the picture as it notifies me to do so but yet it shows that “No Check in is required “ so frustrating. Please help me to sort this out .  ",en,  Notifications I have this problem   where it notifies me to take a picture but is not allowing me to take the picture as it notifies me to do so but yet it shows that  No Check in is required   so frustrating  Please help me to sort this out    ,Emotional,frustrat,0.058823529,Negative,,,0,1,0,0,0,0,0
21,8/8/20 12:31,1503978984,Shlonik - شلونك,kw,1.0.5,Abdullah504,1,Too much bugs,"I believe you need better developers team to create this app on a better way , I’m really sad to see this level","  Too much bugs I believe you need better developers team to create this app on a better way , I’m really sad to see this level  ",en,  Too much bugs I believe you need better developers team to create this app on a better way   I m really sad to see this level  ,"Domain_Specific, Emotional","sad, level",0.133333333,Positive,,,1,1,0,0,0,0,0
22,1/8/20 13:47,1503978984,Shlonik - شلونك,us,1.0.5,الصلخدي داعس راس بشار الكلب,1,ليش يا خيي,احنا بدولة عربية و التطبيق حاطين شرحه بالانكليزي مدري ليش ترا نعرف انكليزي بس شنو الهدف حاطينه بالانكليزي 😏😒," Why, my brother, we are in an Arab country, and the application is explained in English. I don’t know why we know English, but what is the goal? ",ar, Why  my brother  we are in an Arab country  and the application is explained in English  I don t know why we know English  but what is the goal  ,"Domain_Specific, Language, Location","countri, arab, english, countri, brother, applic",0.5,Neutral,,,1,0,0,1,1,0,0
23,28/07/2020 23:57,1503978984,Shlonik - شلونك,kw,1.0.5,faresgouda,1,MOHAMED,App go direct to log in without asking for creating account,  MOHAMED App go direct to log in without asking for creating account  ,en,  MOHAMED App go direct to log in without asking for creating account  ,Domain_Specific,account,0.111111111,Negative,,,1,0,0,0,0,0,0
25,25/07/2020 6:29,1503978984,Shlonik - شلونك,kw,1.0.5,azzifff,2,Where is the application form ?,I’m not able to find the form the arrivals are supposed to fill before boarding the flight to Kuwait …,  Where is the application form ? I’m not able to find the form the arrivals are supposed to fill before boarding the flight to Kuwait …  ,en,  Where is the application form   I m not able to find the form the arrivals are supposed to fill before boarding the flight to Kuwait    ,"Domain_Specific, Location","kuwait, applic",0.166666667,Neutral,,,1,0,0,0,1,0,0
27,24/07/2020 19:39,1503978984,Shlonik - شلونك,kw,1.0.5,Rasheed lebanon,1,Doesn’t work,Can’t log in... I’m not receive OTP,  Doesn’t work Can’t log in... I’m not receive OTP  ,en,  Doesn t work Can t log in    I m not receive OTP  ,Domain_Specific,receiv,0.25,Neutral,,,1,0,0,0,0,0,0
28,24/07/2020 17:16,1503978984,Shlonik - شلونك,kw,1.0.5,Sir. Geddon,3,OTP,Trying to log in but I am not receiving the OTP I am using STC,  OTP Trying to log in but I am not receiving the OTP I am using STC  ,en,  OTP Trying to log in but I am not receiving the OTP I am using STC  ,Domain_Specific,receiv,0.142857143,Neutral,,,1,0,0,0,0,0,0
29,23/07/2020 18:02,1503978984,Shlonik - شلونك,kw,1.0.5,بوعبدالله اكرم,2,بعض اعناصر القائمه لا تعمل,"في شاشه طلب مساعدة  تصريح الخروج لا يعمل
حيث تظهر شاشه استشاره طبيه
كذلك عند التسجيل بعد اخذ الصوره لا يظهر خيار المتابعه على الشاشة حيث يجب النزول بالشاشه لاسفل حتى تطهر كلمه الاستمرار او المتابعه
هاتفي ايفون ٧ بلس"," Some menu items do not work on the Request for Help screen, the exit permit does not work
Where a medical consultation screen appears
Likewise, when registering after taking the picture, the follow-up option does not appear on the screen, as you must scroll down the screen until the word continue or follow-up is cleared
My iPhone 7 Plus ",ar, Some menu items do not work on the Request for Help screen  the exit permit does not work Where a medical consultation screen appears Likewise  when registering after taking the picture  the follow up option does not appear on the screen  as you must scroll down the screen until the word continue or follow up is cleared My iPhone   Plus ,Domain_Specific,"follow, medic",0.0625,Positive,,,1,0,0,0,0,0,0
34,8/6/20 12:02,1503978984,Shlonik - شلونك,kw,1.0.4,Rain Bow Candy,1,Can’t get work.,"There isn’t an option to sing up to it,it’s asking us to login directly,which of course it isn’t working because we I’m not yet signed up for me to log in,so how can we use the application if we even can’t get registered?!","  Can’t get work. There isn’t an option to sing up to it,it’s asking us to login directly,which of course it isn’t working because we I’m not yet signed up for me to log in,so how can we use the application if we even can’t get registered?!  ",en,  Can t get work  There isn t an option to sing up to it it s asking us to login directly which of course it isn t working because we I m not yet signed up for me to log in so how can we use the application if we even can t get registered    ,Domain_Specific,applic,0.052631579,Neutral,,,1,0,0,0,0,0,0
35,8/6/20 10:56,1503978984,Shlonik - شلونك,kw,1.0.4,good_Student,1,مراجعة شلونك ):,ما نقدر نسجل شسالفه 🤔, Review of Shlonak): We cannot record the same ,ar, Review of Shlonak   We cannot record the same ,Domain_Specific,record,0.333333333,Neutral,,,1,0,0,0,0,0,0
38,18/05/2020 9:40,1503978984,Shlonik - شلونك,us,1.0.3,Jmharkq8,5,👏🏻👏🏻👏🏻,Thank you for this service!! The hard work that is put into this app is amazing! The app needs a little bit of debugging but overall great app!,  👏🏻👏🏻👏🏻 Thank you for this service!! The hard work that is put into this app is amazing! The app needs a little bit of debugging but overall great app!  ,en,         Thank you for this service   The hard work that is put into this app is amazing  The app needs a little bit of debugging but overall great app   ,Domain_Specific,"servic, servic",0.133333333,Positive,,,1,0,0,0,0,0,0
41,5/5/20 13:51,1503978984,Shlonik - شلونك,us,1.0.2,Asgauana vs,1,حامي الدستور,"برنامج غير دستوري 
This application intellects private information.","  حامي الدستور برنامج غير دستوري 
This application intellects private information.  ",en,                                  This application intellects private information   ,Domain_Specific,applic,0.25,Positive,,,1,0,0,0,0,0,0
42,24/04/2020 15:10,1503978984,Shlonik - شلونك,us,1.0.2,Mohammad Abdulrahman,1,لايوجد خصوصية .,كل فترة يطلبون من زوجتي التصوير ., There is no privacy. Every once in a while they ask my wife to film. ,ar, There is no privacy  Every once in a while they ask my wife to film  ,Privacy,privaci,0.166666667,Negative,,,0,0,0,0,0,1,0
44,23/04/2020 2:46,1503978984,Shlonik - شلونك,us,1.0.0,itshaimn,5,ItsHaimn,"Helpful app this could help 
 a lot of people in Kuwait 👍","  ItsHaimn Helpful app this could help 
 a lot of people in Kuwait 👍  ",en,  ItsHaimn Helpful app this could help   a lot of people in Kuwait    ,Location,kuwait,0.125,Positive,,,0,0,0,0,1,0,0
46,21/04/2020 12:17,1503978984,Shlonik - شلونك,kw,1.0.0,Naoomdav,1,Wont deleted,"I did delete the app but so fare the name still appears instead of the service provided and am not if it really deleted or no 
How come the app could access the ios and change the setting that way ?!!
I need to remove it completely","  Wont deleted I did delete the app but so fare the name still appears instead of the service provided and am not if it really deleted or no 
How come the app could access the ios and change the setting that way ?!!
I need to remove it completely  ",en,  Wont deleted I did delete the app but so fare the name still appears instead of the service provided and am not if it really deleted or no  How come the app could access the ios and change the setting that way     I need to remove it completely  ,Domain_Specific,"servic, servic, remov",0.125,Negative,,,1,0,0,0,0,0,0
48,20/04/2020 10:13,1503978984,Shlonik - شلونك,us,1.0.0,مزنة العتيبي,1,مشكلة,عندي مشكلة في تحديد الموقع وش الحل," I have a problem identifying the location, what is the solution? ",ar, I have a problem identifying the location  what is the solution  ,"Domain_Specific, Privacy","locat, identifi, locat",0.75,Negative,,,1,0,0,0,0,1,0
49,20/04/2020 0:57,1503978984,Shlonik - شلونك,us,1.0.0,Anti-Spamers,1,برنامج فاشل,"فكرة البرنامج انه ينبهك قبل حدوث المشكلة وهذا كلش مو مضمون لا على المحجور المناحش ولا الشخص الذي يقرب من محجور
يوجد تاخير كبير بتلقي التنبيهات حيث ان ممكن تخالط مصاب منحاش من الحجر وما يتم التنبيه على الاثنين الا بعد ما يطيح الفاس بالراس
وللاسف لانك دخلت بياناتك راح يتلونك ويبهدلونك بمجرد انك اقتربت من مريض منحاش من الحجر ويحجرون عليك احتياطاً  وتتبهدل لان البرنامج ما نبهك مبجر 
البرنامج يضمن رد فعل حكومي ولكن متاخر جدا.

يعني لو انا قربت من شخص مريض عادي ارد البيت واعدي كل اهلي وعقب اسبوع يتصلون ويقولون تعال انت واهلك وكل من قرب منك للحجر"," Failed program The idea of ​​the program is that it alerts you before the problem occurs, and this is not guaranteed, neither on the quarantined, nor the person who is close to the quarantined
There is a long delay in receiving alerts, as it is possible for a patient to be mixed with a stone, and the warning is not given to both of them except after the ax topples the head
Unfortunately, because you entered your data, they will recite you and humiliate you as soon as you approached a sick person who was not quarantined, and they quarantine you as a precaution, and you are jubilant because the program did not alert you immediately
The program guarantees a government response, but it is too late.

I mean, if I approached a normal sick person, I would turn back the house and count all my family, and after a week they would call and say: Come, you and your family, and everyone near you to stone ",ar, Failed program The idea of   the program is that it alerts you before the problem occurs  and this is not guaranteed  neither on the quarantined  nor the person who is close to the quarantined There is a long delay in receiving alerts  as it is possible for a patient to be mixed with a stone  and the warning is not given to both of them except after the ax topples the head Unfortunately  because you entered your data  they will recite you and humiliate you as soon as you approached a sick person who was not quarantined  and they quarantine you as a precaution  and you are jubilant because the program did not alert you immediately The program guarantees a government response  but it is too late   I mean  if I approached a normal sick person  I would turn back the house and count all my family  and after a week they would call and say  Come  you and your family  and everyone near you to stone ,"Domain_Specific, Emotional, Privacy","sick, data, enter, receiv, head, normal",0.084507042,Negative,,,1,1,0,0,0,1,0
52,19/04/2020 11:35,1503978984,Shlonik - شلونك,kw,1.0.0,Khaled Madrid,1,التطبيق لا يعمل,التطبيق لا يعمل و لا يسمح لي بالتسجيل, The application does not work The application does not work and does not allow me to register ,ar, The application does not work The application does not work and does not allow me to register ,Domain_Specific,applic,0.111111111,Negative,,,1,0,0,0,0,0,0
60,19/04/2020 9:37,1503978984,Shlonik - شلونك,us,1.0.0,sh_a2z,5,الرقم غير مسجل أو غير صحيح,"هل البرنامج يشمل كل المواطنين والمقيمين في دولة الكويت؟ أم محصور فقط على حالات معينة؟
في كل مره أدخل بياناتي، أستقبل رسالة بأن الرقم غير مسجل أو غير صحيح!
أرجو التوضيح"," The number is not registered or incorrect. Does the program include all citizens and residents of the State of Kuwait? Or is it only limited to specific cases?
Every time I enter my data, I receive a message that the number is not registered or incorrect!
please explain ",ar, The number is not registered or incorrect  Does the program include all citizens and residents of the State of Kuwait  Or is it only limited to specific cases  Every time I enter my data  I receive a message that the number is not registered or incorrect  please explain ,"Domain_Specific, Location, Privacy","kuwait, data, enter, receiv",0.16,Positive,,,1,0,0,0,1,1,0
61,19/04/2020 8:30,1503978984,Shlonik - شلونك,kw,1.0.0,Blaugrana.75,2,تحديث وتحسين التطبيق,"اعتقد التطبيق غير متوافق مع جميع أجهزة أبل (انا مستخدم جهاز أيفون 8) ...

بعد التسجيل وادخال رمز التفعيل ... لم يظهر لي زر أو أي شي للاستمرار أو تم التفعيل"," Update and improve the application I think the application is not compatible with all Apple devices (I am an iPhone 8 user) ...

After registering and entering the activation code ... I didn't see a button or anything to continue or the activation was done ",ar, Update and improve the application I think the application is not compatible with all Apple devices  I am an iPhone   user       After registering and entering the activation code     I didn t see a button or anything to continue or the activation was done ,Domain_Specific,"enter, button, applic",0.15,Positive,,,1,0,0,0,0,0,0
66,18/04/2020 18:30,1503978984,Shlonik - شلونك,us,1.0.0,CreateNickname?IWouldIfICould.,5,متى راح نقدر نستخدمه,متى  راح نقدر نستخدمه احا الي بالكويت علشان لا نتعادى ؟," When will we be able to use it? When will we be able to use it, sometimes in Kuwait, so as not to be hostile? ",ar, When will we be able to use it  When will we be able to use it  sometimes in Kuwait  so as not to be hostile  ,Location,kuwait,0.142857143,Positive,,,0,0,0,0,1,0,0
69,17/04/2020 12:55,1503978984,Shlonik - شلونك,kw,1.0.0,pianokw,1,تفعيل البرنامج,ما نقدر نفعل البرنامج بدون تفعيل خط التلفون الكويتي وانتوا عارفين انه احنا موجودين خارج الكويت ورابطين التفعيل ببطاقه ركوب الطائرة!! الرجاء توضيح هذه النقطة لانه حتى السفارة ليس لديها جواب لهذه المشكلة," Activating the program We cannot do the program without activating the Kuwaiti phone line, and you know that we are outside Kuwait, and the activation is linked to the boarding plane !! Please clarify this point because not even the embassy has an answer to this problem ",ar, Activating the program We cannot do the program without activating the Kuwaiti phone line  and you know that we are outside Kuwait  and the activation is linked to the boarding plane    Please clarify this point because not even the embassy has an answer to this problem ,"Domain_Specific, Location","kuwait, clarifi, outsid, answer",0.173913043,Negative,,,1,0,0,0,1,0,0
