,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,27/10/2020 6:52,my.gov.onegovappstore.mytrace,MyTrace,ms,Azli Zainal,5,"Ada sorang manusia menyalak melalak konon marahkan app ni guna bahasa penjajah kerajaan inggeris kata nya tapi cuba tengok balik ko punya nama pengguna tu aa, ko guna bahasa apa ekkk..?bodoh tu simpan sket lain kali..."," There was a man barking and yelling that it was annoying to use this app using the colonial language of the English government, he said, but try to look back, do you have a username, what language do you use ekkk ..? ",id, There was a man barking and yelling that it was annoying to use this app using the colonial language of the English government  he said  but try to look back  do you have a username  what language do you use ekkk     ,"Emotional, Gender, Language","man, annoy, english, languag",0.210526316,Negative,0,,0,1,1,1,0,0,0
1,26/10/2020 5:42,my.gov.onegovappstore.mytrace,MyTrace,ms,Shaa Fikrii,1,Punca punca phone kene antivirus mcm ni laa.. 24jam nak buka bluetooth dgan lokasi..😅 lagi satu dah on bluetooth dgan lokasi pn tk ley detect..kod nya pun masuk pun trkluar..apa bende laa klau mcmtu baik tk payah buat app ni err😏, The cause of the phone here is the antivirus mcm ni laa .. 24 hours to open bluetooth with the location..😅 another one is on bluetooth with the location pn tk ley detect..the code also came in trkluar..what bende laa klau mcmtu good tk payah for the app by err😏 ,id, The cause of the phone here is the antivirus mcm ni laa       hours to open bluetooth with the location    another one is on bluetooth with the location pn tk ley detect  the code also came in trkluar  what bende laa klau mcmtu good tk payah for the app by err  ,"Domain_Specific, Privacy","locat, locat",0.064516129,Positive,0,,1,0,0,0,0,1,0
2,26/10/2020 1:06,my.gov.onegovappstore.mytrace,MyTrace,en,Ezule Shab,1,Not user freindly. Suddendly start timer without knowing what happen. Feel not save to use this app.,   Not user freindly. Suddendly start timer without knowing what happen. Feel not save to use this app.  ,en,   Not user freindly  Suddendly start timer without knowing what happen  Feel not save to use this app   ,Domain_Specific,timer,0.083333333,Negative,0,,1,0,0,0,0,0,0
3,25/10/2020 15:18,my.gov.onegovappstore.mytrace,MyTrace,en,Fang,1,"Would be great if this was implemented directly into the MySejahtera app. This app constantly kills itself albeit every measures to avoid it being killed by the system, it just doesn't stay. Also, the timer was resets itself upon every exit and re-opening of the app, so I'm not sure whether the app is working correctly or not. This is not a good UI/UX guys to convey the information to the end user.","   Would be great if this was implemented directly into the MySejahtera app. This app constantly kills itself albeit every measures to avoid it being killed by the system, it just doesn't stay. Also, the timer was resets itself upon every exit and re-opening of the app, so I'm not sure whether the app is working correctly or not. This is not a good UI/UX guys to convey the information to the end user.  ",en,   Would be great if this was implemented directly into the MySejahtera app  This app constantly kills itself albeit every measures to avoid it being killed by the system  it just doesn t stay  Also  the timer was resets itself upon every exit and re opening of the app  so I m not sure whether the app is working correctly or not  This is not a good UI UX guys to convey the information to the end user   ,Domain_Specific,"measur, timer",0.054054054,Negative,0,,1,0,0,0,0,0,0
4,23/10/2020 20:54,my.gov.onegovappstore.mytrace,MyTrace,en,Hazizi Faizal,5,GOVERMENT MATTERS FO R ALL MALAYSIAN. NOT SO GOOD BUT THERE IS AN LIBRARY TO REFER TO.,   GOVERMENT MATTERS FO R ALL MALAYSIAN. NOT SO GOOD BUT THERE IS AN LIBRARY TO REFER TO.  ,en,   GOVERMENT MATTERS FO R ALL MALAYSIAN  NOT SO GOOD BUT THERE IS AN LIBRARY TO REFER TO   ,Domain_Specific,gover,0.125,Negative,0,,1,0,0,0,0,0,0
7,19/10/2020 7:07,my.gov.onegovappstore.mytrace,MyTrace,en,nashriqe faruqi,5,Saya tidak mempunyai pandangan kontra tentang applikasi ini., I have no counter views on this application. ,id, I have no counter views on this application  ,Domain_Specific,applic,0.333333333,Negative,0,,1,0,0,0,0,0,0
20,4/10/20 2:05,my.gov.onegovappstore.mytrace,MyTrace,ms,nuraini ayuni,1,untuk apa sbenarnya apps nie.haha.dh download.ingt blh tgk kawasan hotspot.xnaik apa pun., for what actually apps nie.haha.dh download.ingt blh tgk hotspot area.xnaik anything. ,id, for what actually apps nie haha dh download ingt blh tgk hotspot area xnaik anything  ,Location,area,0.076923077,Positive,0,,0,0,0,0,1,0,0
25,30/09/2020 2:23,my.gov.onegovappstore.mytrace,MyTrace,en,fauzan mustaffa,1,"Useless because since it release, they never update this application to fix the bugs. they not using google and apple api. membazir duit rakyat","   Useless because since it release, they never update this application to fix the bugs. they not using google and apple api. membazir duit rakyat  ",en,   Useless because since it release  they never update this application to fix the bugs  they not using google and apple api  membazir duit rakyat  ,Domain_Specific,applic,0.0625,Negative,0,,1,0,0,0,0,0,0
27,16/09/2020 9:52,my.gov.onegovappstore.mytrace,MyTrace,ms,Muhammad Aprizal Bin Abdullah,5,Baik aplikasi ni boleh mambantu mengesan pesakit covid19, Well this application can help track covid19 patients ,id, Well this application can help track covid   patients ,"Domain_Specific, Privacy","track, applic",0.333333333,Positive,0,,1,0,0,0,0,1,0
33,31/08/2020 3:58,my.gov.onegovappstore.mytrace,MyTrace,ms,toy 30,2,Bahasa rasmi di negara malaysia ialah bahasa apa? Cakap bahasa jepun kang kate rakyat lupe bangsa.. What the h...l, What is the official language in Malaysia? Speak Japanese which is said by the people of the nation .. What the h ... l ,id, What is the official language in Malaysia  Speak Japanese which is said by the people of the nation    What the h     l ,"Language, Location","languag, japanes, malaysia",0.3,Positive,0,,0,0,0,1,1,0,0
