,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,21/08/2020 19:31,1508140938,MyTrace,sg,1.0.31,Ong Xiang 王翔,1,OTP not received,Can’t login. Didn’t receive any OTP. I’m using 011 number on XOX.,  OTP not received Can’t login. Didn’t receive any OTP. I’m using 011 number on XOX.  ,en,  OTP not received Can t login  Didn t receive any OTP  I m using     number on XOX   ,Domain_Specific,receiv,0.111111111,Positive,,,1,,,,,0,
2,27/07/2020 6:56,1508140938,MyTrace,my,1.0.31,bahagshshiqo,1,Cannot register,Help me. Already entering my phone number but no otp was sent. So it end up i cant register and login.,  Cannot register Help me. Already entering my phone number but no otp was sent. So it end up i cant register and login.  ,en,  Cannot register Help me  Already entering my phone number but no otp was sent  So it end up i cant register and login   ,Domain_Specific,enter,0.083333333,Negative,,,1,,,,,0,
3,10/7/20 4:48,1508140938,MyTrace,my,1.0.31,Faradiy Faraday,1,Registration,Please have other optionals than just phone number. Ive been waiting for ODP code but never received it. And now I can’t register,  Registration Please have other optionals than just phone number. Ive been waiting for ODP code but never received it. And now I can’t register  ,en,  Registration Please have other optionals than just phone number  Ive been waiting for ODP code but never received it  And now I can t register  ,Domain_Specific,receiv,0.083333333,Positive,,,1,,,,,0,
5,19/06/2020 8:37,1508140938,MyTrace,my,1.0.31,Alief Abd Halim,1,Didn’t receive OTP,Too bad can’t even use the application. Didn’t received OTP.,  Didn’t receive OTP Too bad can’t even use the application. Didn’t received OTP.  ,en,  Didn t receive OTP Too bad can t even use the application  Didn t received OTP   ,Domain_Specific,"receiv, applic",0.25,Negative,,,1,,,,,0,
6,15/06/2020 17:17,1508140938,MyTrace,my,1.0.31,L**g,1,Useless apps,Didn’t receive the OTP code .. already tried many times .. many days ..,  Useless apps Didn’t receive the OTP code .. already tried many times .. many days ..  ,en,  Useless apps Didn t receive the OTP code    already tried many times    many days     ,Domain_Specific,receiv,0.090909091,Negative,,,1,,,,,0,
9,8/6/20 11:32,1508140938,MyTrace,my,1.0.31,Mhdfauzanmus,1,Not running background,"This app not using apple google API, it not run in background and cause battery drain like a water fall","  Not running background This app not using apple google API, it not run in background and cause battery drain like a water fall  ",en,  Not running background This app not using apple google API  it not run in background and cause battery drain like a water fall  ,Domain_Specific,run,0.066666667,Positive,,,1,,,,,0,
13,6/6/20 14:26,1508140938,MyTrace,sg,1.0.31,TZdeHD,1,OTP is not received,OTP is not received after the validation...the app is not sending the phone number to the server to retrieve the OTP,  OTP is not received OTP is not received after the validation...the app is not sending the phone number to the server to retrieve the OTP  ,en,  OTP is not received OTP is not received after the validation   the app is not sending the phone number to the server to retrieve the OTP  ,Domain_Specific,receiv,0.083333333,Positive,,,1,,,,,0,
14,6/6/20 5:32,1508140938,MyTrace,my,1.0.31,rkmxj,1,Register problem,"Why iPhone cannot receive the code, plz fix it!","  Register problem Why iPhone cannot receive the code, plz fix it!  ",en,  Register problem Why iPhone cannot receive the code  plz fix it   ,Domain_Specific,receiv,0.125,Negative,,,1,,,,,0,
16,5/6/20 6:46,1508140938,MyTrace,my,1.0.31,Hye it's me,1,Apps closing by itself,How to do contact tracing when the apps closing on its own when left running in the background. Nedd major improvements or make new one using new API.,  Apps closing by itself How to do contact tracing when the apps closing on its own when left running in the background. Nedd major improvements or make new one using new API.  ,en,  Apps closing by itself How to do contact tracing when the apps closing on its own when left running in the background  Nedd major improvements or make new one using new API   ,Domain_Specific,run,0.055555556,Positive,,,1,,,,,0,
17,2/6/20 14:26,1508140938,MyTrace,my,1.0.31,Masterx585,5,Needed to be on all the time for tracing,"This app when used turns your phone into a tracker, but you can’t use it for other purposes other than tracing. Please make it available to trace as a background app.","  Needed to be on all the time for tracing This app when used turns your phone into a tracker, but you can’t use it for other purposes other than tracing. Please make it available to trace as a background app.  ",en,  Needed to be on all the time for tracing This app when used turns your phone into a tracker  but you can t use it for other purposes other than tracing  Please make it available to trace as a background app   ,Domain_Specific,tracker,0.058823529,Positive,,,1,,,,,0,
