,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
2,8/14/20 3:00,nz.govt.health.covidtracer,NZ COVID Tracer,en,margaret roud,1,All I get is waiting for download it gets no further than that.Waist of battery and time..at least my google location keeps track of where I've been and at what time..,  All I get is waiting for download it gets no further than that.Waist of battery and time..at least my google location keeps track of where I've been and at what time.. ,en,  All I get is waiting for download it gets no further than that Waist of battery and time  at least my google location keeps track of where I ve been and at what time   ,"Domain_Specific, Privacy","locat, track, locat",0.230769231,Negative,0,0,1,0,0,0,0,1,0
3,8/14/20 2:52,nz.govt.health.covidtracer,NZ COVID Tracer,en,Rory Cobb,5,Seems to be humming aolng in the latest version. NZ is on the verge of being the first country in the world to make this form of contact tracing work so do your bit and download and use it.,  Seems to be humming aolng in the latest version. NZ is on the verge of being the first country in the world to make this form of contact tracing work so do your bit and download and use it. ,en,  Seems to be humming aolng in the latest version  NZ is on the verge of being the first country in the world to make this form of contact tracing work so do your bit and download and use it  ,"Language, Location","countri, countri",0.111111111,Neutral,0,0,0,0,0,1,1,0,0
11,8/14/20 1:57,nz.govt.health.covidtracer,NZ COVID Tracer,en,M G,4,"To speed up data collection at testing facilities, why not adding a QR code in 'my profile' section of the app with personal details. So the staff person on site simply need to scan the code and verify that no info are missing. This will minimise time staff and community people are at potential exposure as well as touching papers/pen",  To speed up data collection at testing facilities  why not adding a QR code in 'my profile' section of the app with personal details. So the staff person on site simply need to scan the code and verify that no info are missing. This will minimise time staff and community people are at potential exposure as well as touching papers/pen ,en,  To speed up data collection at testing facilities  why not adding a QR code in  my profile  section of the app with personal details  So the staff person on site simply need to scan the code and verify that no info are missing  This will minimise time staff and community people are at potential exposure as well as touching papers pen ,"Domain_Specific, Privacy","data, section, staff, paper, profil",0.142857143,Negative,0,0,1,0,0,0,0,1,0
18,8/14/20 1:22,nz.govt.health.covidtracer,NZ COVID Tracer,en,kiwirail_ spotter,5,Very useful app to keep track where I've been. Easy to make an account with no problems with detailed instructions which was great. Thanks,  Very useful app to keep track where I've been. Easy to make an account with no problems with detailed instructions which was great. Thanks ,en,  Very useful app to keep track where I ve been  Easy to make an account with no problems with detailed instructions which was great  Thanks ,"Domain_Specific, Privacy","track, account",0.153846154,Positive,0,0,1,0,0,0,0,1,0
20,8/14/20 1:21,nz.govt.health.covidtracer,NZ COVID Tracer,en,Rebecca Barlow,1,The code emailed to me to validate my account doesn't work when i enter it. I've repeatedly asked for a re-send code and it never works until I'm locked out. I want to do the right thing but the app doesn't make it easy,  The code emailed to me to validate my account doesn't work when i enter it. I've repeatedly asked for a re-send code and it never works until I'm locked out. I want to do the right thing but the app doesn't make it easy ,en,  The code emailed to me to validate my account doesn t work when i enter it  I ve repeatedly asked for a re send code and it never works until I m locked out  I want to do the right thing but the app doesn t make it easy ,Domain_Specific,"enter, account",0.105263158,Positive,0,0,1,0,0,0,0,0,0
25,8/14/20 1:05,nz.govt.health.covidtracer,NZ COVID Tracer,en,Ravi Bharathan,4,"Easy to download, register and use. Saves me having to manually enter my details in a register in places like the library.",  Easy to download  register and use. Saves me having to manually enter my details in a register in places like the library. ,en,  Easy to download  register and use  Saves me having to manually enter my details in a register in places like the library  ,Domain_Specific,enter,0.083333333,Positive,0,0,1,0,0,0,0,0,0
29,8/14/20 0:54,nz.govt.health.covidtracer,NZ COVID Tracer,en,sher athwal,1,It's not identifying the barcodes.,  It's not identifying the barcodes. ,en,  It s not identifying the barcodes  ,Domain_Specific,identifi,0.5,Neutral,0,0,1,0,0,0,0,0,0
38,8/13/20 23:06,nz.govt.health.covidtracer,NZ COVID Tracer,en,Zak Marsden,1,Password must be at least 10 characters long? This is the most secure password I have ever needed.. Why? In case someone else wants to record my visit somewhere?,  Password must be at least 10 characters long? This is the most secure password I have ever needed.. Why? In case someone else wants to record my visit somewhere? ,en,  Password must be at least    characters long  This is the most secure password I have ever needed   Why  In case someone else wants to record my visit somewhere  ,"Domain_Specific, Privacy","secur, secur, record",0.176470588,Positive,0,0,1,0,0,0,0,1,0
50,8/13/20 21:45,nz.govt.health.covidtracer,NZ COVID Tracer,en,jonathan scott,1,I can complete install. It doesn't send me the code to my email address,  I can complete install. It doesn't send me the code to my email address ,en,  I can complete install  It doesn t send me the code to my email address ,Domain_Specific,address,0.166666667,Neutral,0,0,1,0,0,0,0,0,0
53,8/13/20 21:03,nz.govt.health.covidtracer,NZ COVID Tracer,en,zyra capili,2,"For some reason when I use my app to scan a QR Code, it doesn't work. I tried focusing it for few seconds but nothing happened",  For some reason when I use my app to scan a QR Code  it doesn't work. I tried focusing it for few seconds but nothing happened ,en,  For some reason when I use my app to scan a QR Code  it doesn t work  I tried focusing it for few seconds but nothing happened ,Domain_Specific,focus,0.083333333,Neutral,0,0,1,0,0,0,0,0,0
