,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,8/13/20 18:57,1511667597,NZ COVID Tracer,nz,1.2.0,DazJG,2,Downloaded when it first came out,"Hi, I happily downloaded this app when it first came out. It was next to useless then and not much better now because it’s slow to use and few businesses have the QR posters. I deleted it and just kept a journal.
I am now finding out that the Government is only making it compulsory for business to display a QR code from the 19th August!
I feel for you as a developer-the govt has not supported you over the 102 days they now seemed to be asleep."," Downloaded when it first came out Hi  I happily downloaded this app when it first came out. It was next to useless then and not much better now because it’s slow to use and few businesses have the QR posters. I deleted it and just kept a journal.
I am now finding out that the Government is only making it compulsory for business to display a QR code from the 19th August!
I feel for you as a developer-the govt has not supported you over the 102 days they now seemed to be asleep. ",en, Downloaded when it first came out Hi  I happily downloaded this app when it first came out  It was next to useless then and not much better now because it s slow to use and few businesses have the QR posters  I deleted it and just kept a journal  I am now finding out that the Government is only making it compulsory for business to display a QR code from the   th August  I feel for you as a developer the govt has not supported you over the     days they now seemed to be asleep  ,Domain_Specific,"display, poster",0.05,Negative,0,,1,0,,0,0,0,0
5,8/13/20 6:15,1511667597,NZ COVID Tracer,nz,1.2.0,harryhennie,1,Doesn’t work,I can’t even register. The keyboard doesn’t appear when I try to enter the verification code. This is with iPhone XR and IOS 13.6, Doesn’t work I can’t even register. The keyboard doesn’t appear when I try to enter the verification code. This is with iPhone XR and IOS 13.6 ,en, Doesn t work I can t even register  The keyboard doesn t appear when I try to enter the verification code  This is with iPhone XR and IOS      ,Domain_Specific,enter,0.083333333,Neutral,0,,1,0,,0,0,0,0
8,8/13/20 4:15,1511667597,NZ COVID Tracer,nz,1.2.0,tekopuru,1,Receiving code,"I accidentally put in the incorrect code initially now the app tells me it an incorrect email. Even when I try to change my password the app tells me there is already an email attached to the app!
How to fix it!"," Receiving code I accidentally put in the incorrect code initially now the app tells me it an incorrect email. Even when I try to change my password the app tells me there is already an email attached to the app!
How to fix it! ",en, Receiving code I accidentally put in the incorrect code initially now the app tells me it an incorrect email  Even when I try to change my password the app tells me there is already an email attached to the app  How to fix it  ,Domain_Specific,"attach, receiv",0.090909091,Negative,0,,1,0,,0,0,0,0
10,8/13/20 3:26,1511667597,NZ COVID Tracer,nz,1.2.0,Gary McNutsac,1,Full of bugs & a waste of time,"The keyboard disappears when you’re supposed to put in your code.

To set up you input your password in two fields. When you tab to the second field to enter your password the characters in the top field disappear. So you wind up entering your password 4 times.

 It says I’ve already got an account connected with my email (I don’t) and it won’t send an email to reset the password to the account it says I have. Checked my spam folder too.

Waste of time"," Full of bugs & a waste of time The keyboard disappears when you’re supposed to put in your code.

To set up you input your password in two fields. When you tab to the second field to enter your password the characters in the top field disappear. So you wind up entering your password 4 times.

 It says I’ve already got an account connected with my email (I don’t) and it won’t send an email to reset the password to the account it says I have. Checked my spam folder too.

Waste of time ",en, Full of bugs   a waste of time The keyboard disappears when you re supposed to put in your code   To set up you input your password in two fields  When you tab to the second field to enter your password the characters in the top field disappear  So you wind up entering your password   times    It says I ve already got an account connected with my email  I don t  and it won t send an email to reset the password to the account it says I have  Checked my spam folder too   Waste of time ,Domain_Specific,"folder, enter, account",0.068181818,Negative,0,,1,0,,0,0,0,0
13,8/13/20 1:25,1511667597,NZ COVID Tracer,nz,1.2.0,Wrightoff,1,Can’t Log in,"Reset Password:
“An account with the given email address does not exist”

Create Account:
“An account with the given email address already exists”

Government had 102 community free days to prepare the app and all they did was talk about how great a job “they” were doing and “doing a little dance”"," Can’t Log in Reset Password:
“An account with the given email address does not exist”

Create Account:
“An account with the given email address already exists”

Government had 102 community free days to prepare the app and all they did was talk about how great a job “they” were doing and “doing a little dance” ",en, Can t Log in Reset Password   An account with the given email address does not exist   Create Account   An account with the given email address already exists   Government had     community free days to prepare the app and all they did was talk about how great a job  they  were doing and  doing a little dance  ,"Domain_Specific, Socio_economic_Status","free, prepar, prepar, account, address",0.178571429,Positive,0,,1,0,,0,0,0,1
15,8/13/20,1511667597,NZ COVID Tracer,au,1.2.0,Bigus Discus,2,Not as straightforward as presented,"I don’t find this app as easy to use as it sounds like it is supposed to be. 
If you scan a QR code at a shop on the inbuilt camera, the camera detects the code but wants to take you to a website, then link to the App Store, before finally linking to the app. I.e., the code doesn’t take you straight from camera to app, which I expect in this day and age, and I think is essential so people find it just simple to use. Once you get to the app, you need to scan the code again as it’s forgotten where you are. But at this point it becomes straight forward: the app tells you where you are and records your visit. But I haven’t yet worked out how to view where I’ve been, because viewing my diary displays an empty screen with a lock symbol at the top, so I guess that doesn’t get unlocked until I hang out with an infected person? Who knows, wait and see I guess.
Hope there’ll be improvements and updates soon :-)"," Not as straightforward as presented I don’t find this app as easy to use as it sounds like it is supposed to be. 
If you scan a QR code at a shop on the inbuilt camera  the camera detects the code but wants to take you to a website  then link to the App Store  before finally linking to the app. I.e.  the code doesn’t take you straight from camera to app  which I expect in this day and age  and I think is essential so people find it just simple to use. Once you get to the app  you need to scan the code again as it’s forgotten where you are. But at this point it becomes straight forward: the app tells you where you are and records your visit. But I haven’t yet worked out how to view where I’ve been  because viewing my diary displays an empty screen with a lock symbol at the top  so I guess that doesn’t get unlocked until I hang out with an infected person? Who knows  wait and see I guess.
Hope there’ll be improvements and updates soon :-) ",en, Not as straightforward as presented I don t find this app as easy to use as it sounds like it is supposed to be   If you scan a QR code at a shop on the inbuilt camera  the camera detects the code but wants to take you to a website  then link to the App Store  before finally linking to the app  I e   the code doesn t take you straight from camera to app  which I expect in this day and age  and I think is essential so people find it just simple to use  Once you get to the app  you need to scan the code again as it s forgotten where you are  But at this point it becomes straight forward  the app tells you where you are and records your visit  But I haven t yet worked out how to view where I ve been  because viewing my diary displays an empty screen with a lock symbol at the top  so I guess that doesn t get unlocked until I hang out with an infected person  Who knows  wait and see I guess  Hope there ll be improvements and updates soon     ,"Age, Domain_Specific","age, record, display, forward, present",0.05952381,Positive,1,,1,0,,0,0,0,0
16,8/12/20 23:21,1511667597,NZ COVID Tracer,nz,1.2.0,Trying is not an option,1,Hopeless - needs more testing,"This app failed at the first hurdle. In IOS 13.6 if you take the focus away to get the number from the confirmation email there is no keyboard to enter the number into the app when you return. The safety of 5 million is at stake here...

Update. I range the support centre. After 20 minutes on hold the answer is that the disappearance of the keyboard is a known problem. The work around is to reset your iPhone (!). Best wait for the developer to roll out an update. Any day soon."," Hopeless - needs more testing This app failed at the first hurdle. In IOS 13.6 if you take the focus away to get the number from the confirmation email there is no keyboard to enter the number into the app when you return. The safety of 5 million is at stake here...

Update. I range the support centre. After 20 minutes on hold the answer is that the disappearance of the keyboard is a known problem. The work around is to reset your iPhone (!). Best wait for the developer to roll out an update. Any day soon. ",en, Hopeless   needs more testing This app failed at the first hurdle  In IOS      if you take the focus away to get the number from the confirmation email there is no keyboard to enter the number into the app when you return  The safety of   million is at stake here     Update  I range the support centre  After    minutes on hold the answer is that the disappearance of the keyboard is a known problem  The work around is to reset your iPhone      Best wait for the developer to roll out an update  Any day soon  ,Domain_Specific,"focus, enter, answer",0.065217391,Neutral,0,,1,0,,0,0,0,0
18,8/12/20 20:15,1511667597,NZ COVID Tracer,nz,1.2.0,Inbedwithmyphone,2,Basic and some bugs,"Took me a few attempts to register for this app as the keyboard would disappear and I needed to restart the app to have it reappear so I could enter data. I almost gave up.  Password requirements are onerous and the password manager doesn’t work with this.  I suspect there are a few 123... type passwords.

Would also be good if you could manually enter a visit for a place that DOES have a QR code (ie if you forget to scan) and have it link to the visitor record for that place so you get a notification if there is a relevant COVID case.  The current option for manual entries seems no better that noting them down in a notebook."," Basic and some bugs Took me a few attempts to register for this app as the keyboard would disappear and I needed to restart the app to have it reappear so I could enter data. I almost gave up.  Password requirements are onerous and the password manager doesn’t work with this.  I suspect there are a few 123... type passwords.

Would also be good if you could manually enter a visit for a place that DOES have a QR code (ie if you forget to scan) and have it link to the visitor record for that place so you get a notification if there is a relevant COVID case.  The current option for manual entries seems no better that noting them down in a notebook. ",en, Basic and some bugs Took me a few attempts to register for this app as the keyboard would disappear and I needed to restart the app to have it reappear so I could enter data  I almost gave up   Password requirements are onerous and the password manager doesn t work with this   I suspect there are a few        type passwords   Would also be good if you could manually enter a visit for a place that DOES have a QR code  ie if you forget to scan  and have it link to the visitor record for that place so you get a notification if there is a relevant COVID case   The current option for manual entries seems no better that noting them down in a notebook  ,"Domain_Specific, Privacy","data, manag, record, manag, enter, visitor",0.103448276,Negative,0,,1,0,,0,0,1,0
21,8/12/20 18:51,1511667597,NZ COVID Tracer,nz,1.2.0,aNicknamw,4,Nearly good enough,Downloaded app early and easily. Not simple to use. Should (have option to) open at camera to avoid more work to check in. Still not enough posters around., Nearly good enough Downloaded app early and easily. Not simple to use. Should (have option to) open at camera to avoid more work to check in. Still not enough posters around. ,en, Nearly good enough Downloaded app early and easily  Not simple to use  Should  have option to  open at camera to avoid more work to check in  Still not enough posters around  ,Domain_Specific,poster,0.052631579,Positive,0,,1,0,,0,0,0,0
25,8/12/20 8:25,1511667597,NZ COVID Tracer,nz,1.2.0,Ashy100,1,Unable to register- buggy,"When I sign up within the app it tells me I have already registered with my email, (which I haven’t) and then when I try to go through the password reset process it tells me there’s no account registered with my email address... 
I have tried multiple email addresses and had the same problem"," Unable to register- buggy When I sign up within the app it tells me I have already registered with my email  (which I haven’t) and then when I try to go through the password reset process it tells me there’s no account registered with my email address... 
I have tried multiple email addresses and had the same problem ",en, Unable to register  buggy When I sign up within the app it tells me I have already registered with my email   which I haven t  and then when I try to go through the password reset process it tells me there s no account registered with my email address     I have tried multiple email addresses and had the same problem ,Domain_Specific,"account, address",0.08,Negative,0,,1,0,,0,0,0,0
