,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
2,25/10/2020 2:19,ph.staysafe.mobileapp,StaySafe PH,en,blez caballero,3,"I just downloaded it. But to make this app more helpful is to display cases locally, eg. Davao City, Digos City, Tagum City, tagbilaran City, etc. Nationwide and worldwide stats maybe alarming, but nothing scares more than local transmission. Tried the app and it is slow.","   I just downloaded it. But to make this app more helpful is to display cases locally, eg. Davao City, Digos City, Tagum City, tagbilaran City, etc. Nationwide and worldwide stats maybe alarming, but nothing scares more than local transmission. Tried the app and it is slow.  ",en,   I just downloaded it  But to make this app more helpful is to display cases locally  eg  Davao City  Digos City  Tagum City  tagbilaran City  etc  Nationwide and worldwide stats maybe alarming  but nothing scares more than local transmission  Tried the app and it is slow   ,"Domain_Specific, Emotional, Location","scare, local, display",0.103448276,Positive,0,0,1,1,0,0,1,0,0
4,24/10/2020 14:13,ph.staysafe.mobileapp,StaySafe PH,en,Michael Lina,1,i live in an area were 10 ppl were confirmed to have covid but in my app there is zero declared cases. the rc143 app shows it.,   i live in an area were 10 ppl were confirmed to have covid but in my app there is zero declared cases. the rc143 app shows it.  ,en,   i live in an area were    ppl were confirmed to have covid but in my app there is zero declared cases  the rc    app shows it   ,Location,area,0.083333333,Neutral,0,0,0,0,0,0,1,0,0
8,21/10/2020 4:49,ph.staysafe.mobileapp,StaySafe PH,en,Glenn Oliver Ferrer,1,The app closes immediately. I tried reinstalling and the result was the same. Unit is Huawei nova 3i. I hope the developer takes note of this.,   The app closes immediately. I tried reinstalling and the result was the same. Unit is Huawei nova 3i. I hope the developer takes note of this.  ,en,   The app closes immediately  I tried reinstalling and the result was the same  Unit is Huawei nova  i  I hope the developer takes note of this   ,Domain_Specific,unit,0.076923077,Positive,0,0,1,0,0,0,0,0,0
10,20/10/2020 0:28,ph.staysafe.mobileapp,StaySafe PH,en,Deo Adel,2,pakilagyan naman ng fingerprint enable yung security para hindi na nag tatype ng pin tapos yung field nyo para sa insert pin napakaliit para sa daliri namin nyemas, please put fingerprint enabled security so you don't have to type a pin then your field for the insert pin is too small for our finger nyemas ,tl, please put fingerprint enabled security so you don t have to type a pin then your field for the insert pin is too small for our finger nyemas ,"Domain_Specific, Privacy","secur, secur, fingerprint, insert",0.307692308,Positive,0,0,1,0,0,0,0,1,0
15,15/10/2020 11:21,ph.staysafe.mobileapp,StaySafe PH,en,Aubrey Jo Candelosas,3,"since this is being promoted for public use, better to align the health declaration information needed in the app. but nonetheless, it is of good use","   since this is being promoted for public use, better to align the health declaration information needed in the app. but nonetheless, it is of good use  ",en,   since this is being promoted for public use  better to align the health declaration information needed in the app  but nonetheless  it is of good use  ,Domain_Specific,align,0.071428571,Positive,0,0,1,0,0,0,0,0,0
27,11/10/20 6:32,ph.staysafe.mobileapp,StaySafe PH,en,Michelle Ann Gonzaga,1,"I just downloaded the app, I was able to make an account but the moment I try to run the app it close and say ""unfortunately the app stop"" . I tried uninstalling and redownload the app but still the same result. please tell me what's happening.","   I just downloaded the app, I was able to make an account but the moment I try to run the app it close and say ""unfortunately the app stop"" . I tried uninstalling and redownload the app but still the same result. please tell me what's happening.  ",en,   I just downloaded the app  I was able to make an account but the moment I try to run the app it close and say  unfortunately the app stop    I tried uninstalling and redownload the app but still the same result  please tell me what s happening   ,Domain_Specific,"run, account",0.086956522,Negative,0,0,1,0,0,0,0,0,0
29,10/10/20 12:56,ph.staysafe.mobileapp,StaySafe PH,en,Richard Lamila,5,Nice application useful,   Nice application useful  ,en,   Nice application useful  ,Domain_Specific,applic,0.333333333,Positive,0,0,1,0,0,0,0,0,0
30,10/10/20 9:39,ph.staysafe.mobileapp,StaySafe PH,en,Calvin Flores,1,"Is this app supposed to be used for the QR codes at SM Malls? Because it always says Location QR code doesn't exist when scanning those at the entrance, supermarket or shops.","   Is this app supposed to be used for the QR codes at SM Malls? Because it always says Location QR code doesn't exist when scanning those at the entrance, supermarket or shops.  ",en,   Is this app supposed to be used for the QR codes at SM Malls  Because it always says Location QR code doesn t exist when scanning those at the entrance  supermarket or shops   ,"Domain_Specific, Privacy","locat, locat",0.111111111,Neutral,0,0,1,0,0,0,0,1,0
39,9/10/20 0:34,ph.staysafe.mobileapp,StaySafe PH,en,Melon & Melon,3,Not working on Huawei phones w/o google services. 😒,   Not working on Huawei phones w/o google services. 😒  ,en,   Not working on Huawei phones w o google services     ,Domain_Specific,"servic, servic",0.333333333,Neutral,0,0,1,0,0,0,0,0,0
46,4/10/20 5:15,ph.staysafe.mobileapp,StaySafe PH,en,juan montoya,1,"For some reason after installing this app , i cannot open my bluetooth, edit the information on the app and the app always hangup. Did you study this app or this is a student project or school assignment.. very disappointed","   For some reason after installing this app , i cannot open my bluetooth, edit the information on the app and the app always hangup. Did you study this app or this is a student project or school assignment.. very disappointed  ",en,   For some reason after installing this app   i cannot open my bluetooth  edit the information on the app and the app always hangup  Did you study this app or this is a student project or school assignment   very disappointed  ,"Age, Domain_Specific","student, school, assign, student",0.210526316,Negative,1,0,1,0,0,0,0,0,0
