,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
4,26/09/2020 2:48,1510534908,StaySafePH,ph,2.0.13,webwires,1,Confirmation Page needed,"A confirmation or splash page needed, to be presented to establishment owners to see to it that inviduals entering are Covid free or passed the standard health protocols. Currently, no confirmation page. Anyone can just manipulate the result and tell the screening staff that they passed health screening.","  Confirmation Page needed A confirmation or splash page needed, to be presented to establishment owners to see to it that inviduals entering are Covid free or passed the standard health protocols. Currently, no confirmation page. Anyone can just manipulate the result and tell the screening staff that they passed health screening.  ",en,  Confirmation Page needed A confirmation or splash page needed  to be presented to establishment owners to see to it that inviduals entering are Covid free or passed the standard health protocols  Currently  no confirmation page  Anyone can just manipulate the result and tell the screening staff that they passed health screening   ,"Domain_Specific, Socio_economic_Status","free, manipul, enter, staff, present",0.161290323,Positive,0,,1,0,0,0,0,0,1
9,16/09/2020 22:47,1510534908,StaySafePH,ph,2.0.11,linarang,1,Need to buy new phone ??????,Why this works on iOS 13. No backward compatibility.,  Need to buy new phone ?????? Why this works on iOS 13. No backward compatibility.  ,en,  Need to buy new phone        Why this works on iOS     No backward compatibility   ,Socio_economic_Status,buy,0.111111111,Negative,0,,0,0,0,0,0,0,1
14,10/9/20 12:07,1510534908,StaySafePH,ph,2.0.10,sitsaron,2,Token Invalid,Can’t proceed with my ‘selfie’/profile pic.,  Token Invalid Can’t proceed with my ‘selfie’/profile pic.  ,en,  Token Invalid Can t proceed with my  selfie  profile pic   ,Domain_Specific,profil,0.166666667,Neutral,0,,1,0,0,0,0,0,0
15,10/9/20 12:03,1510534908,StaySafePH,ph,2.0.10,Brett John,5,STAY SAFE FROM PANDEMIC,"🤎💛🤎 I’m hoping that this application can help us to detect, locate or find those who are confirm COVID19 patient and may this detection might help us to control the problem 🤎💛🤎

🤎💛🤎 GUSTO KO NA GUMALA KASAMA ANG PAMILYA KO AT MGA KAIBIGAN KO ang TAGAL NAMAN KASI MADISCOVER nang ANTIDOTE 🤎💛🤎

🤎💛🤎 GOD’S WILL EVERYTHING WILL BE SAFE AND HAPPU SOON 🤎💛🤎","  STAY SAFE FROM PANDEMIC 🤎💛🤎 I’m hoping that this application can help us to detect, locate or find those who are confirm COVID19 patient and may this detection might help us to control the problem 🤎💛🤎

🤎💛🤎 GUSTO KO NA GUMALA KASAMA ANG PAMILYA KO AT MGA KAIBIGAN KO ang TAGAL NAMAN KASI MADISCOVER nang ANTIDOTE 🤎💛🤎

🤎💛🤎 GOD’S WILL EVERYTHING WILL BE SAFE AND HAPPU SOON 🤎💛🤎  ",en,  STAY SAFE FROM PANDEMIC     I m hoping that this application can help us to detect  locate or find those who are confirm COVID   patient and may this detection might help us to control the problem          GUSTO KO NA GUMALA KASAMA ANG PAMILYA KO AT MGA KAIBIGAN KO ang TAGAL NAMAN KASI MADISCOVER nang ANTIDOTE          GOD S WILL EVERYTHING WILL BE SAFE AND HAPPU SOON      ,"Domain_Specific, Privacy","locat, locat, applic",0.069767442,Positive,0,,1,0,0,0,0,1,0
16,9/9/20 23:14,1510534908,StaySafePH,ph,2.0.10,whytakeforever,1,One Country. Two Tracing Apps. XD,This app takes forever to scan/load.,  One Country. Two Tracing Apps. XD This app takes forever to scan/load.  ,en,  One Country  Two Tracing Apps  XD This app takes forever to scan load   ,"Language, Location","countri, countri",0.181818182,Positive,0,,0,0,0,1,1,0,0
27,3/9/20 13:36,1510534908,StaySafePH,ph,2.0.9,martinccarbonel,1,Token invalid,After posting a selfie and pressing continue it keeps on saying “token invalid”. I changed my selfie a couple of times and it just keeps saying that. What does it mean by Token Invalid? Do I need to pay for this app?! Then you’ll just line your pockets with it. Greedy politicians.,  Token invalid After posting a selfie and pressing continue it keeps on saying “token invalid”. I changed my selfie a couple of times and it just keeps saying that. What does it mean by Token Invalid? Do I need to pay for this app?! Then you’ll just line your pockets with it. Greedy politicians.  ,en,  Token invalid After posting a selfie and pressing continue it keeps on saying  token invalid   I changed my selfie a couple of times and it just keeps saying that  What does it mean by Token Invalid  Do I need to pay for this app   Then you ll just line your pockets with it  Greedy politicians   ,"Domain_Specific, Socio_economic_Status","pay, politician",0.074074074,Negative,0,,1,0,0,0,0,0,1
29,3/9/20 12:48,1510534908,StaySafePH,ph,2.0.9,Kdevera,1,Why do you need the following information,"Read the privacy policy and found this:

Geolocation (if enabled), browser information (type, version, plug-ins), connection details (date, time, length of visit to pages, IP address), device information (device, operating system), activity (pages viewed, searches, scrolling, clicks, mouse-overs, page response time, platforms and referrers), page interaction information (e.g., scrolling, clicks, and mouse-overs), other technical details (downloads, errors) may be collected automatically;

Why the need for page activity, etc? Please enlighten us, otherwise do not collect it. No one will trust an app that lists these as information gathered.","  Why do you need the following information Read the privacy policy and found this:

Geolocation (if enabled), browser information (type, version, plug-ins), connection details (date, time, length of visit to pages, IP address), device information (device, operating system), activity (pages viewed, searches, scrolling, clicks, mouse-overs, page response time, platforms and referrers), page interaction information (e.g., scrolling, clicks, and mouse-overs), other technical details (downloads, errors) may be collected automatically;

Why the need for page activity, etc? Please enlighten us, otherwise do not collect it. No one will trust an app that lists these as information gathered.  ",en,  Why do you need the following information Read the privacy policy and found this   Geolocation  if enabled   browser information  type  version  plug ins   connection details  date  time  length of visit to pages  IP address   device information  device  operating system   activity  pages viewed  searches  scrolling  clicks  mouse overs  page response time  platforms and referrers   page interaction information  e g   scrolling  clicks  and mouse overs   other technical details  downloads  errors  may be collected automatically   Why the need for page activity  etc  Please enlighten us  otherwise do not collect it  No one will trust an app that lists these as information gathered   ,"Domain_Specific, Privacy, Socio_economic_Status","technic, privaci, trust, gather, follow, address",0.083333333,Positive,0,,1,0,0,0,0,1,1
30,3/9/20 10:52,1510534908,StaySafePH,ph,2.0.9,dogonthewall,2,Needs to be consolidated with TraceFast,"I keep getting ""Token Invalid"" when skipping the selfie upload. Also, it's confusing when another app, TraceFast, is officially recommended by Apple in the Philippines for their Exposure Notifications feature.","  Needs to be consolidated with TraceFast I keep getting ""Token Invalid"" when skipping the selfie upload. Also, it's confusing when another app, TraceFast, is officially recommended by Apple in the Philippines for their Exposure Notifications feature.  ",en,  Needs to be consolidated with TraceFast I keep getting  Token Invalid  when skipping the selfie upload  Also  it s confusing when another app  TraceFast  is officially recommended by Apple in the Philippines for their Exposure Notifications feature   ,"Domain_Specific, Emotional, Location","confus, philippin, consolid",0.136363636,Neutral,0,,1,1,0,0,1,0,0
32,3/9/20 5:19,1510534908,StaySafePH,ph,2.0.9,aileenga,1,Cannot login,"Not working. Bug fixed raw pero hindi naman. Already have my account with a registered number pero ayaw naman ma-login sa App. Invalid credentials raw. Fix this! Galaw galaw DOH, IATF!","  Cannot login Not working. Bug fixed raw pero hindi naman. Already have my account with a registered number pero ayaw naman ma-login sa App. Invalid credentials raw. Fix this! Galaw galaw DOH, IATF!  ",en,  Cannot login Not working  Bug fixed raw pero hindi naman  Already have my account with a registered number pero ayaw naman ma login sa App  Invalid credentials raw  Fix this  Galaw galaw DOH  IATF   ,"Domain_Specific, Language","hindi, account",0.076923077,Positive,0,,1,0,0,1,0,0,0
34,2/9/20 4:55,1510534908,StaySafePH,ph,2.0.9,deeznutzhahaha,1,I can’t log in,"I tried creating account on the app, the app doesn’t want me to sign up

I tried logging in into the app, the won’t let me log in either","  I can’t log in I tried creating account on the app, the app doesn’t want me to sign up

I tried logging in into the app, the won’t let me log in either  ",en,  I can t log in I tried creating account on the app  the app doesn t want me to sign up  I tried logging in into the app  the won t let me log in either  ,Domain_Specific,account,0.071428571,Positive,0,,1,0,0,0,0,0,0
