,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,31/10/2020 19:16,1508481566,ProteGO Safe,pl,,Viciousteacher3,1,Lipa totalna i inwigiluje,"Nie instalujcie tego dziadostwa
Nie działa, nie zgłasza komunikatów.
Jak odinstalowałem zostało badziewie w ustawieniach powiadomienie o narażeniu którego nie mogę usunąć.
Chcąc napisać recenzje włączało ekran jak by iPhone się od nowa włączał.
Szpieguje jak nic."," Total lime and surveillance. Don't install this crap
Does not work, reports no messages.
As I uninstalled, there was a bug in the settings of the exposure notification that I can not remove.
Wanting to write reviews, it turned on the screen as if the iPhone would turn on again.
He spies like nothing. ",pl, Total lime and surveillance  Don t install this crap Does not work  reports no messages  As I uninstalled  there was a bug in the settings of the exposure notification that I can not remove  Wanting to write reviews  it turned on the screen as if the iPhone would turn on again  He spies like nothing  ,"Domain_Specific, Privacy","spi, remov, spi",0.115384615,Positive,0,,1,0,0,0,0,1,0
1,30/10/2020 14:43,1508481566,ProteGO Safe,pl,,Sheevik,1,prośba,osoby z zainstalowaną aplikacjom i jednocześnie biorące udział w prospektach auto stycznie zostają wysłanie na przymusową kwarantannę. uprzejmie proszę o odinstalowanie aplikacji przeznaczonej do kontrolowania społeczeństwa., the request of the person with the installed applications and at the same time participating in the prospectus is automatically sent to a compulsory quarantine. please kindly uninstall the application designed to control society. ,pl, the request of the person with the installed applications and at the same time participating in the prospectus is automatically sent to a compulsory quarantine  please kindly uninstall the application designed to control society  ,Domain_Specific,applic,0.055555556,Positive,0,,1,0,0,0,0,0,0
2,30/10/2020 0:43,1508481566,ProteGO Safe,pl,,Romanowow,5,Bardzo dobra!,"Przeszła wszystkie audyty, za granica wszyscy instalują i chronią życie, my tez możemy - tak jak solidarnie protestujemy na ulicach tak solidarnie powinnismy mieć ja zainstalowana żeby chronić siebie i bliskich."," Very good! It has passed all audits, everyone installs and protects lives abroad, we can too - just as we protest in solidarity in the streets, so we should have it installed in solidarity to protect ourselves and our loved ones. ",pl, Very good  It has passed all audits  everyone installs and protects lives abroad  we can too   just as we protest in solidarity in the streets  so we should have it installed in solidarity to protect ourselves and our loved ones  ,Privacy,protect,0.055555556,Positive,0,,0,0,0,0,0,1,0
3,29/10/2020 21:39,1508481566,ProteGO Safe,pl,,Kolabor,3,Problem z iOS 14.1,Nie da się włączyć powiadomień na iOS 14.1 i regionu Polska. Aplikacja jest bezużyteczna w tej chwili! Poprawcie to., IOS 14.1 problem Unable to turn on notifications for iOS 14.1 and Poland region. The app is useless at the moment! Correct it. ,pl, IOS      problem Unable to turn on notifications for iOS      and Poland region  The app is useless at the moment  Correct it  ,Location,"poland, region",0.166666667,Negative,0,,0,0,0,0,1,0,0
4,29/10/2020 15:58,1508481566,ProteGO Safe,pl,,aNeć,1,"Inicjatywa słuszna, szkoda że nie działa","Używam aplikacji od początku sierpnia. Niestety okazało się, że nie spełnia swojej podstawowej funkcji. Dwa tygodnie temu mój mąż otrzymał pozytywny wynik w teście na koronawirusa. Zgodnie z powiadomieniem, które często pojawiało nam się w telefonie zadzwonił na infolinię w celu otrzymania pinu do powiadomienia osób, z którymi miał kontakt. Nikt na infolinii nie był w stanie mu pomóc. Byliśmy wielokrotnie przełączani do innych konsultantów i jedyny numer, którego nie wybraliśmy podczas wielokrotnych telefonów to połączenie z NFZ. Pytaliśmy również w sanepidzie oraz lekarza pierwszego kontaktu. Napisałam e-mail w tej sprawie na adres podany jako pomoc. Nikt nie raczył odpowiedzieć. Minęły dwa tygodnie. Mąż jest już ozdrowieńcem, a my wciąż nie wiemy jak używać aplikacji. Oboje usuwamy bezużyteczne oprogramowanie i będziemy odradzać jego używanie wszystkim znajomym. Wielka szkoda, bo inicjatywa jest słuszna."," The initiative was right, it is a pity that it does not work I have been using the application since the beginning of August. Unfortunately, it turned out that it does not fulfill its basic function. Two weeks ago, my husband tested positive for the coronavirus. According to the notification that often appeared on our phone, he called the hotline in order to receive a pin to notify people with whom he had contact. Nobody on the hotline was able to help him. We were switched to other consultants many times and the only number that we did not dial during multiple calls was the call to the National Health Fund. We also asked the health department and the GP. I wrote an e-mail on this to the address provided as help. Nobody deigned to answer. Two weeks have passed. My husband is already a healer, and we still don't know how to use the app. We both remove useless software and we will advise against using it for everyone we know. It is a pity, because the initiative is right. ",pl, The initiative was right  it is a pity that it does not work I have been using the application since the beginning of August  Unfortunately  it turned out that it does not fulfill its basic function  Two weeks ago  my husband tested positive for the coronavirus  According to the notification that often appeared on our phone  he called the hotline in order to receive a pin to notify people with whom he had contact  Nobody on the hotline was able to help him  We were switched to other consultants many times and the only number that we did not dial during multiple calls was the call to the National Health Fund  We also asked the health department and the GP  I wrote an e mail on this to the address provided as help  Nobody deigned to answer  Two weeks have passed  My husband is already a healer  and we still don t know how to use the app  We both remove useless software and we will advise against using it for everyone we know  It is a pity  because the initiative is right  ,Domain_Specific,"healer, remov, receiv, answer, applic, order, address",0.078651685,Negative,0,,1,0,0,0,0,0,0
7,28/10/2020 20:54,1508481566,ProteGO Safe,pl,4.6.0,Radeuszm,5,Dla mnie git.,"Robi co trzeba, czyli próbuje chronić."," Guitar for me. He does what he has to do, that is, he tries to protect. ",pl, Guitar for me  He does what he has to do  that is  he tries to protect  ,Privacy,protect,0.25,Positive,0,,0,0,0,0,0,1,0
9,27/10/2020 2:24,1508481566,ProteGO Safe,pl,4.6.0,Wiktor Grześko,1,NIE POBIERAJCIE,NIE POBIERAJCIE TEGO! TO WAS ŚLEDZI!," DO NOT DOWNLOAD, DO NOT DOWNLOAD THIS! IT FOLLOWS YOU! ",vi, DO NOT DOWNLOAD  DO NOT DOWNLOAD THIS  IT FOLLOWS YOU  ,Domain_Specific,follow,0.333333333,Neutral,0,,1,0,0,0,0,0,0
10,26/10/2020 23:09,1508481566,ProteGO Safe,pl,4.6.0,nieunteresujsie,1,Nie instalujcie tego,Będą widzieć waszą lokalizacje, Don't install it. They'll see your location ,pl, Don t install it  They ll see your location ,"Domain_Specific, Privacy","locat, locat",0.666666667,Neutral,0,,1,0,0,0,0,1,0
11,26/10/2020 22:47,1508481566,ProteGO Safe,pl,4.6.0,22aka27,1,Propaganda,"Aplikacja służy do inwigilacji obywateli, nie pobierajcie jej bo PiS Was dojedzie!!!"," Propaganda The application is used for surveillance of citizens, do not download it because PiS will get you !!! ",pl, Propaganda The application is used for surveillance of citizens  do not download it because PiS will get you     ,Domain_Specific,applic,0.111111111,Negative,0,,1,0,0,0,0,0,0
12,26/10/2020 21:06,1508481566,ProteGO Safe,pl,4.6.0,Milk and Oreo,3,NIE POBIERAJ!!!,"Nie pobieraj aplikacji bo jest beznadziejna! JeSli uczesTniczysz w gRonie osób, które nAdwyraz dbają o to Jak by się nie zarazić Koronawirusem, przestrzegaj danych zasad i nie pobieraj aplikacji, gdyż śledzi ona twoje położenie i jest bezużyteczna, zawala miejsce."," DO NOT DOWNLOAD !!! Don't download the app because it's hopeless! If you participate in the game of people who care about how not to get infected with Coronavirus, follow the rules and do not download the application, because it tracks your location and is useless, it collapses the place. ",pl, DO NOT DOWNLOAD     Don t download the app because it s hopeless  If you participate in the game of people who care about how not to get infected with Coronavirus  follow the rules and do not download the application  because it tracks your location and is useless  it collapses the place  ,"Domain_Specific, Privacy","locat, track, locat, follow, applic",0.227272727,Negative,0,,1,0,0,0,0,1,0
