,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
4,8/13/20 21:33,com.moi.covid19,EHTERAZ,en,md sarfaraz Alaam,3,I am facing problem with the application last 10 days I'm trying to register 3 defferent smart phone so many times I am Reinstalled the app and 4 defferent mobile number all so changed 3 time calling 109 my complaint all so registered one week ago I am still facing troube not supporting from 109 only given ticket number,  I am facing problem with the application last 10 days I'm trying to register 3 defferent smart phone so many times I am Reinstalled the app and 4 defferent mobile number all so changed 3 time calling 109 my complaint all so registered one week ago I am still facing troube not supporting from 109 only given ticket number ,en,  I am facing problem with the application last    days I m trying to register   defferent smart phone so many times I am Reinstalled the app and   defferent mobile number all so changed   time calling     my complaint all so registered one week ago I am still facing troube not supporting from     only given ticket number ,Domain_Specific,"ticket, applic",0.060606061,Negative,0,0,1,0,0,0,0,0,0
8,8/13/20 15:27,com.moi.covid19,EHTERAZ,en,Jamshid muhammed,1,Not able to register from india,  Not able to register from india ,en,  Not able to register from india ,Location,india,0.333333333,Neutral,0,0,0,0,0,0,1,0,0
12,8/13/20 9:55,com.moi.covid19,EHTERAZ,en,Shymee Paki,1,Startmaker free sing,Starmaker free sing,no,Starmaker free sing,Socio_economic_Status,free,0.333333333,Positive,0,0,0,0,0,0,0,0,1
17,8/12/20 19:32,com.moi.covid19,EHTERAZ,en,Mubeen Dalvi,1,There is a need MOI to review their support desk. Firstly this app forced people to buy a compatible phone and now with all bugs in app your desk want people to buy another sim. From the reviews it is apparent that even after having new sim there is no guarantee the app will get activated. We understand your concern for the system security. However to make life easy for app users pease advise your team to reset the activation counts for genuine users. Thanks.,  There is a need MOI to review their support desk. Firstly this app forced people to buy a compatible phone and now with all bugs in app your desk want people to buy another sim. From the reviews it is apparent that even after having new sim there is no guarantee the app will get activated. We understand your concern for the system security. However to make life easy for app users pease advise your team to reset the activation counts for genuine users. Thanks. ,en,  There is a need MOI to review their support desk  Firstly this app forced people to buy a compatible phone and now with all bugs in app your desk want people to buy another sim  From the reviews it is apparent that even after having new sim there is no guarantee the app will get activated  We understand your concern for the system security  However to make life easy for app users pease advise your team to reset the activation counts for genuine users  Thanks  ,"Emotional, Privacy, Socio_economic_Status","concern, buy, secur, secur",0.083333333,Positive,0,0,0,1,0,0,0,1,1
19,8/12/20 18:13,com.moi.covid19,EHTERAZ,ar,Emad Mostafa Emad Mostafa,1,احتراز كان شغال معايا كويس جدا وفجأه وقف ويظهرلي كلمه تقرير. لغيته وحاولت كتير انزله مش عارف واتصلت ب109 بس مافيش فايده خالص أنا تعبت مش عارف ادخل اي مكان واي لجنه بتقابلني على الطريقة بحلفله إن في مشكله في التطبيق نفسه,Caution was very good with me  and suddenly he stood up and showed a word of report. I language it and I tried a lot to download it  I don’t know and I called 109  but I don’t help it at all. I’m tired  I don’t know.,ar,Caution was very good with me  and suddenly he stood up and showed a word of report  I language it and I tried a lot to download it  I don t know and I called      but I don t help it at all  I m tired  I don t know ,Language,languag,0.058823529,Positive,0,0,0,0,0,1,0,0,0
20,8/12/20 17:51,com.moi.covid19,EHTERAZ,ar,Nabil Hassioui,5,عندي مشكل في التطبيق لا يعمل منذ شهر,I have a problem with the application that has not been working for a month,ar,I have a problem with the application that has not been working for a month,Domain_Specific,applic,0.25,Negative,0,0,1,0,0,0,0,0,0
27,8/12/20 11:06,com.moi.covid19,EHTERAZ,en,Arefin Hridoy,2,This app taken too much charge boring,  This app taken too much charge boring ,en,  This app taken too much charge boring ,Emotional,bore,0.2,Negative,0,0,0,1,0,0,0,0,0
29,8/12/20 7:56,com.moi.covid19,EHTERAZ,en,Novelyn Montorio,2,question mark my status I re stall many times ehteraz and update still question mark my status. I call 109 but the one answer close the line,  question mark my status I re stall many times ehteraz and update still question mark my status. I call 109 but the one answer close the line ,en,  question mark my status I re stall many times ehteraz and update still question mark my status  I call     but the one answer close the line ,Domain_Specific,answer,0.058823529,Negative,0,0,1,0,0,0,0,0,0
36,8/11/20 20:41,com.moi.covid19,EHTERAZ,ar,manaf jedi,1,التطبيق يستهلك بطارية الموبايل,The application consumes the mobile battery,ar,The application consumes the mobile battery,Domain_Specific,applic,0.25,Neutral,0,0,1,0,0,0,0,0,0
38,8/11/20 19:54,com.moi.covid19,EHTERAZ,en,jahangir Alam,4,This app is Disturb.every minutes need to Bluetooth enable and disable.,  This app is Disturb.every minutes need to Bluetooth enable and disable. ,en,  This app is Disturb every minutes need to Bluetooth enable and disable  ,Disability,disabl,0.125,Negative,0,1,0,0,0,0,0,0,0
45,8/11/20 17:58,com.moi.covid19,EHTERAZ,en,Alan John Merto,1,"Poor management. 2 guys were tested the same day. Guy A got positive for Covid so his Etheraz turned Yellow then returned to Green after 8 days of being in quarantine. Guy B was negative but for some reason, his Etheraz is still yellow on his 12th day after getting the negative result. 🙈",  Poor management. 2 guys were tested the same day. Guy A got positive for Covid so his Etheraz turned Yellow then returned to Green after 8 days of being in quarantine. Guy B was negative but for some reason  his Etheraz is still yellow on his 12th day after getting the negative result. 🙈 ,en,  Poor management    guys were tested the same day  Guy A got positive for Covid so his Etheraz turned Yellow then returned to Green after   days of being in quarantine  Guy B was negative but for some reason  his Etheraz is still yellow on his   th day after getting the negative result    ,Domain_Specific,"manag, manag",0.071428571,Negative,0,0,1,0,0,0,0,0,0
49,8/11/20 13:38,com.moi.covid19,EHTERAZ,ar,αнмеd -,3,التطبيق جيد جدا ومهم لأي أنسان علي أرض هذه البلاد لأنه بيعطيك حالة صحتك العامه #لكن عندي سؤال هل التطبيق بيعطيك حالة صحتك صحيح بدون فحص والله إلا تفحص حتي يعطيك الحاله الصحيحة لصحتك الرجاء الرد,The application is very good and important for any person on the land of this country because it gives you the state of your general health # But I have a question: Does the application give you the state of your health is correct without checking and God does not examine until it gives you the correct state of your health Please reply,ar,The application is very good and important for any person on the land of this country because it gives you the state of your general health   But I have a question  Does the application give you the state of your health is correct without checking and God does not examine until it gives you the correct state of your health Please reply,"Domain_Specific, Language, Location","countri, countri, land, import, applic",0.161290323,Positive,0,0,1,0,0,1,1,0,0
54,8/10/20 23:19,com.moi.covid19,EHTERAZ,en,AR.Tube. Bangla,5,Really this apps very good and helpfull thanks Qatar government health services,  Really this apps very good and helpfull thanks Qatar government health services ,en,  Really this apps very good and helpfull thanks Qatar government health services ,"Domain_Specific, Location","qatar, servic, servic",0.3,Positive,0,0,1,0,0,0,1,0,0
59,8/10/20 15:54,com.moi.covid19,EHTERAZ,ar,Rufida Abushehab,1,عادي و ممل,Plain and boring,ar,Plain and boring,Emotional,bore,0.5,Negative,0,0,0,1,0,0,0,0,0
62,8/10/20 11:11,com.moi.covid19,EHTERAZ,en,ruhel amin,5,"I.love.qatar,,& Qatar ministry",  I.love.qatar  & Qatar ministry ,en,  I love qatar    Qatar ministry ,Location,qatar,0.25,Positive,0,0,0,0,0,0,1,0,0
