,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,8/12/20 13:33,1507150431,EHTERAZ,qa,6.1,Drmochachino,2,Bad GPS,The app affect the GPS when its on and cant use google maps or other location apps probably, Bad GPS The app affect the GPS when its on and cant use google maps or other location apps probably ,en, Bad GPS The app affect the GPS when its on and cant use google maps or other location apps probably ,"Domain_Specific, Privacy","locat, gps, locat",0.25,Negative,0,0,1,0,,0,0,1,0
2,8/12/20 7:14,1507150431,EHTERAZ,us,6.1,Mot Ah,4,طلب تحديث,"طلب الابليكشن مني التحديث وعند الموافقة على التحديث لايتم والابليكيشن يتعثر عن العمل .
الجهاز ايفون ٦ اس - شاشة العرض تظهر ناقصة التفاصيل بحيث يظهر فقط لون حالتي ودون اظهار باقي تفاصيل الحالات وشرحها .
تم محو الابليكشن واعادة تنزيله عدة مرات بعد الاتصال بالدعم الفني ولم يحدث اي فرق .
ارجوا النصح","Request to update the application request me to update and when the update is approved  the application will not work.
IPhone 6s - the display screen shows incomplete details  showing only the color of my case without showing the rest of the case details and explaining them.
The application was deleted and re-downloaded several times after calling technical support and it did not make any difference.
Please advise",ar,Request to update the application request me to update and when the update is approved  the application will not work  IPhone  s   the display screen shows incomplete details  showing only the color of my case without showing the rest of the case details and explaining them  The application was deleted and re downloaded several times after calling technical support and it did not make any difference  Please advise,"Domain_Specific, Socio_economic_Status","technic, color, display, approv, applic",0.131578947,Positive,0,0,1,0,,0,0,0,1
3,8/12/20 6:36,1507150431,EHTERAZ,qa,6.1,وليد الحلبي ٣٠٤٦٥٧٢٧,1,خلل في التطبيق,في شي غلط بالتطبيق. عندي سفر نهار السبت و طلبوا مني ساوي فحص قبل السفر. رحت سويت الفحص قالولي يتغير اللون الى ان تطلع النتيجة و على حسب النتيجة يرجع اللون. نتيجتي سلبية و بقي اللون اصفر و بعد ما تغير. على اي اساس لم يتغير؟ من يدفع تغيير موعد الرحلة و تاخيري عن انتهاء الفيزا؟ شو ذنبي اذا اللون لم يتغير ؟ تواصلت مع ١٠٩ و قالو بقدموا شكوى و لم يتواصل معي احد. يرجى التوضيح لان انا ما ذنبي و عندي حالة طارئة في لبنان ضروري سافر !,Application bug in something wrong with the application. I have a Saturday day travel and they asked me to equal a pre-departure check-up. I started the examination and they told me the color will change until the result comes out  and according to the result  the color will return. My result was negative and the color remained yellow and after what was changed. On what basis has not changed? Who pays to change the flight date and delay the expiry of the visa? What is my fault if the color did not change? I contacted 109 and they said they filed a complaint and no one contacted me. Please explain  because I am not my fault and I have an emergency situation in Lebanon. It is necessary to travel!,ar,Application bug in something wrong with the application  I have a Saturday day travel and they asked me to equal a pre departure check up  I started the examination and they told me the color will change until the result comes out  and according to the result  the color will return  My result was negative and the color remained yellow and after what was changed  On what basis has not changed  Who pays to change the flight date and delay the expiry of the visa  What is my fault if the color did not change  I contacted     and they said they filed a complaint and no one contacted me  Please explain  because I am not my fault and I have an emergency situation in Lebanon  It is necessary to travel ,"Domain_Specific, Location, Socio_economic_Status","pay, lebanon, color, equal, applic",0.087719298,Negative,0,0,1,0,,0,1,0,1
5,8/11/20 20:15,1507150431,EHTERAZ,qa,6.1,Elcidmusica,1,Technical Issue Ongoing for 2 Weeks,"Unable to register for 2 weeks, giving different errors- sometimes error please try again, then could not validate API key, or just routes me back to registration page. Troubleshooting steps given aren’t working. Ticket has been created, stilI unresolved. I can’t go out to buy groceries since I need EHTERAZ to enter the establishments.", Technical Issue Ongoing for 2 Weeks Unable to register for 2 weeks  giving different errors- sometimes error please try again  then could not validate API key  or just routes me back to registration page. Troubleshooting steps given aren’t working. Ticket has been created  stilI unresolved. I can’t go out to buy groceries since I need EHTERAZ to enter the establishments. ,en, Technical Issue Ongoing for   Weeks Unable to register for   weeks  giving different errors  sometimes error please try again  then could not validate API key  or just routes me back to registration page  Troubleshooting steps given aren t working  Ticket has been created  stilI unresolved  I can t go out to buy groceries since I need EHTERAZ to enter the establishments  ,"Domain_Specific, Socio_economic_Status","buy, technic, troubleshoot, enter, ticket",0.131578947,Neutral,0,0,1,0,,0,0,0,1
13,8/6/20 17:51,1507150431,EHTERAZ,qa,6,Shamla Riaz,2,Can you please make an option where we can add accounts,This would be really helpful for families that have 3 children and don’t have the finances to buy a phone for each of them., Can you please make an option where we can add accounts This would be really helpful for families that have 3 children and don’t have the finances to buy a phone for each of them. ,en, Can you please make an option where we can add accounts This would be really helpful for families that have   children and don t have the finances to buy a phone for each of them  ,"Age, Domain_Specific, Socio_economic_Status","children, buy, account",0.230769231,Positive,1,0,1,0,,0,0,0,1
21,8/5/20 13:23,1507150431,EHTERAZ,qa,6,Aboud mekdad,1,I need help,Every time I enter the app it says your phone seems to be simulator or jailbroken and it gives 10 seconds then goes out of the app what should I do my phone is iPhone X off, I need help Every time I enter the app it says your phone seems to be simulator or jailbroken and it gives 10 seconds then goes out of the app what should I do my phone is iPhone X off ,en, I need help Every time I enter the app it says your phone seems to be simulator or jailbroken and it gives    seconds then goes out of the app what should I do my phone is iPhone X off ,Domain_Specific,enter,0.055555556,Positive,0,0,1,0,,0,0,0,0
22,8/5/20 12:10,1507150431,EHTERAZ,qa,6,@em*,5,Time and date,Should be enlarged and may be kept within the QR code, Time and date Should be enlarged and may be kept within the QR code ,en, Time and date Should be enlarged and may be kept within the QR code ,Domain_Specific,enlarg,0.125,Neutral,0,0,1,0,,0,0,0,0
26,7/31/20 17:31,1507150431,EHTERAZ,qa,5.1,nailapppp,1,Serves the purpose,The only reason I use this for obvious reasons. Battery consumption is so high that my phone battery performance has been ruined! Poor algorithm used by the developers!!, Serves the purpose The only reason I use this for obvious reasons. Battery consumption is so high that my phone battery performance has been ruined! Poor algorithm used by the developers!! ,en, Serves the purpose The only reason I use this for obvious reasons  Battery consumption is so high that my phone battery performance has been ruined  Poor algorithm used by the developers   ,Domain_Specific,perform,0.055555556,Negative,0,0,1,0,,0,0,0,0
28,7/29/20 8:11,1507150431,EHTERAZ,qa,5.1,Fijogeorgek,1,Poor technical support,"Application is not letting me sign in even though I had registered earlier. I tried calling call center 109 several times, but they say technical team is working on it. So far there is no update even after these many days. Please provide an urgent support.", Poor technical support Application is not letting me sign in even though I had registered earlier. I tried calling call center 109 several times  but they say technical team is working on it. So far there is no update even after these many days. Please provide an urgent support. ,en, Poor technical support Application is not letting me sign in even though I had registered earlier  I tried calling call center     several times  but they say technical team is working on it  So far there is no update even after these many days  Please provide an urgent support  ,"Domain_Specific, Socio_economic_Status","technic, applic",0.068965517,Positive,0,0,1,0,,0,0,0,1
29,7/27/20 13:55,1507150431,EHTERAZ,qa,5.1,Shek Jahed,4,Not supported,"Dear developer,
Greeting!
Please be noted that this app required to have ios13 or above. 
Unfortunately, I’m having iPhone which is not getting ios13 update because of its model. 
In this circumstance, what we mass user can do?
Those residents are planing to back in Qatar in upcoming months they should have this app. 
What is the solution now."," Not supported Dear developer 
Greeting!
Please be noted that this app required to have ios13 or above. 
Unfortunately  I’m having iPhone which is not getting ios13 update because of its model. 
In this circumstance  what we mass user can do?
Those residents are planing to back in Qatar in upcoming months they should have this app. 
What is the solution now. ",en, Not supported Dear developer  Greeting  Please be noted that this app required to have ios   or above   Unfortunately  I m having iPhone which is not getting ios   update because of its model   In this circumstance  what we mass user can do  Those residents are planing to back in Qatar in upcoming months they should have this app   What is the solution now  ,"Domain_Specific, Location","qatar, model",0.071428571,Positive,0,0,1,0,,0,1,0,0
