,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
7,8/12/20 22:19,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,محمد اليماني,1,البرنامج اتعطل ولا تاريخه انتهى ؟!! ما عاد أقدر أدخل للحساب تم إخراجي بدون سبب !!!!,The program has broken down and its history has not ended I can no longer log in to the account. I was fired for no reason !!!!,ar,The program has broken down and its history has not ended I can no longer log in to the account  I was fired for no reason     ,Domain_Specific,account,0.111111111,Negative,0,0,1,0,0,0,0,0,0
53,8/8/20 12:20,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Sulayman Alabasy,5,ممتاز واسأل من الله ان يحفظ لنا المملكه العربيه السعوديه من كل شر و مكروه و ان يحفظها من كيد الأشرار,Excellent and I ask God to protect the Kingdom of Saudi Arabia for us from all evil and hate  and to protect it from the plot of the wicked.,ar,Excellent and I ask God to protect the Kingdom of Saudi Arabia for us from all evil and hate  and to protect it from the plot of the wicked ,"Location, Privacy","saudi arabia, protect",0.230769231,Negative,0,0,0,0,0,0,1,1,0
60,8/7/20 22:40,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,حاتم السيالي,5,اللهم ابعد عن المسلمين والمسلمات الامراض ويشفي جميع مرضى المسلمين,Oh God  keep away from Muslims and Muslim women diseases and heal all the sick Muslims,ar,Oh God  keep away from Muslims and Muslim women diseases and heal all the sick Muslims,"Emotional, Gender","women, sick",0.181818182,Negative,0,0,0,1,1,0,0,0,0
64,8/7/20 16:49,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,دروس خاصة,5,جميل، وفقكم الله وسدد خطاكم,Beautiful  may God bless you and guide you,ar,Beautiful  may God bless you and guide you,Domain_Specific,guid,0.2,Positive,0,0,1,0,0,0,0,0,0
72,8/6/20 15:40,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,ابو شبيب,5,خدمه عامه وهامه مميزه,Distinguished general and important service,ar,Distinguished general and important service,Domain_Specific,"servic, servic, import",0.75,Positive,0,0,1,0,0,0,0,0,0
77,8/6/20 12:13,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,عبدالله الدوسري,5,تطبيق مناسب للوضع الحالي و السابق,A suitable application for the current and previous situation,ar,A suitable application for the current and previous situation,Domain_Specific,applic,0.2,Neutral,0,0,1,0,0,0,0,0,0
78,8/6/20 10:44,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),en,Ali Al-Thawab,1,من بعد التحديث الأخير لا استطيع الدخول لحسابي,After the last update  I cannot log in to my account,ar,After the last update  I cannot log in to my account,Domain_Specific,account,0.25,Neutral,0,0,1,0,0,0,0,0,0
89,8/5/20 11:08,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,عبدالله الشهراني,5,حفظ الله مولاي خادم الحرمين الشرفين ونائبه والشعب السعودي والامه الاسلاميه وانا يرفع هذي الغمه عن الامه ويحفظهم من كل مكروه,May God protect my Lord  the Custodian of the Two Holy Mosques and his deputy  the Saudi people and the Islamic nation  and I lift this grief from the nation and protect them from all harm,ar,May God protect my Lord  the Custodian of the Two Holy Mosques and his deputy  the Saudi people and the Islamic nation  and I lift this grief from the nation and protect them from all harm,"Domain_Specific, Privacy","protect, custodian",0.111111111,Negative,0,0,1,0,0,0,0,1,0
91,8/5/20 7:18,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,Star Ok St Ok,5,تطبيق تثق فيه,An app you trust,ar,An app you trust,Privacy,trust,0.5,Positive,0,0,0,0,0,0,0,1,0
92,8/5/20 6:32,sa.gov.nic.tawakkalna,Tawakkalna (Covid-19 KSA),ar,نايف الحربي,4,تطبيق جيد ... خدم الكل ...,Good application ... served all ...,ar,Good application     served all    ,Domain_Specific,applic,0.333333333,Positive,0,0,1,0,0,0,0,0,0
