,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
12,8/13/20 0:28,sg.gov.tech.bluetrace,TraceTogether,en,Jia Hong Chang,1,"What's missing from this app: usage of the Apple/Google Exposure Notification API. It's much more efficient than the BlueTrace API (also used by Australia's COVIDSafe app) and you see, a handful of countries are using the Apple/Google API for their contact tracing apps.",  What's missing from this app: usage of the Apple/Google Exposure Notification API. It's much more efficient than the BlueTrace API (also used by Australia's COVIDSafe app) and you see  a handful of countries are using the Apple/Google API for their contact tracing apps. ,en,  What s missing from this app  usage of the Apple Google Exposure Notification API  It s much more efficient than the BlueTrace API  also used by Australia s COVIDSafe app  and you see  a handful of countries are using the Apple Google API for their contact tracing apps  ,"Language, Location","countri, australia, countri",0.111111111,Positive,0,0,0,0,0,1,1,0,0
17,8/12/20 10:53,sg.gov.tech.bluetrace,TraceTogether,zh,甘金涛,5,感谢新加坡政府对我的关心,Thank you Singapore government for caring about me,zh-cn,Thank you Singapore government for caring about me,Location,singapor,0.25,Positive,0,0,0,0,0,0,1,0,0
20,8/12/20 4:28,sg.gov.tech.bluetrace,TraceTogether,en,Jun Jie Gan,2,"No option to change NRIC, after converting to PR",  No option to change NRIC  after converting to PR ,en,  No option to change NRIC  after converting to PR ,Domain_Specific,convert,0.2,Negative,0,0,1,0,0,0,0,0,0
28,8/10/20 9:53,sg.gov.tech.bluetrace,TraceTogether,zh,Leong Foo Win,3,别人没开也没用!·电力不夠?我认为可使用跑步手錶跟好·,It’s useless if others don’t open it! · Not enough power? I think you can use a running watch to follow·,zh-cn,It s useless if others don t open it    Not enough power  I think you can use a running watch to follow ,Domain_Specific,"run, follow",0.222222222,Negative,0,0,1,0,0,0,0,0,0
37,8/9/20 12:34,sg.gov.tech.bluetrace,TraceTogether,en,WHITE ROSE,5,"Effective app,we are with SG United",  Effective app we are with SG United ,en,  Effective app we are with SG United ,Domain_Specific,unit,0.25,Positive,0,0,1,0,0,0,0,0,0
39,8/9/20 12:12,sg.gov.tech.bluetrace,TraceTogether,en,Mel 'n John Chan 'n Ku,1,So today the app started sending me notifications to enter into drawings to win vouchers. Not really a background app anymore and kind of feels like it's sending ads.,  So today the app started sending me notifications to enter into drawings to win vouchers. Not really a background app anymore and kind of feels like it's sending ads. ,en,  So today the app started sending me notifications to enter into drawings to win vouchers  Not really a background app anymore and kind of feels like it s sending ads  ,Domain_Specific,enter,0.055555556,Positive,0,0,1,0,0,0,0,0,0
42,8/9/20 11:06,sg.gov.tech.bluetrace,TraceTogether,en,Quek Cheng Kee,5,Easy for senior citizens n those who are not good in.,  Easy for senior citizens n those who are not good in. ,en,  Easy for senior citizens n those who are not good in  ,Age,senior,0.2,Positive,1,0,0,0,0,0,0,0,0
48,8/9/20 1:00,sg.gov.tech.bluetrace,TraceTogether,en,Shawn,1,"Like all the government apps it doesn't work on my Huawei Mate 30 Pro; just because it doesn't pass safety net...GovTech should really redevelop their implementation of security in their apps. I have written an email to the GovTech team, hope your can resolve this asap.",  Like all the government apps it doesn't work on my Huawei Mate 30 Pro; just because it doesn't pass safety net...GovTech should really redevelop their implementation of security in their apps. I have written an email to the GovTech team  hope your can resolve this asap. ,en,  Like all the government apps it doesn t work on my Huawei Mate    Pro  just because it doesn t pass safety net   GovTech should really redevelop their implementation of security in their apps  I have written an email to the GovTech team  hope your can resolve this asap  ,Privacy,"secur, secur",0.083333333,Positive,0,0,0,0,0,0,0,1,0
50,8/8/20 12:12,sg.gov.tech.bluetrace,TraceTogether,en,C.H Chong,1,"Occasionally, the langage change to Tamil. I need to uninstall and reinstall again.",  Occasionally  the langage change to Tamil. I need to uninstall and reinstall again. ,en,  Occasionally  the langage change to Tamil  I need to uninstall and reinstall again  ,Language,tamil,0.142857143,Neutral,0,0,0,0,0,1,0,0,0
55,8/8/20 3:54,sg.gov.tech.bluetrace,TraceTogether,en,Edwin Chin,3,Can you add the feature for us to save safe entry check in location and also compare our safe check in locations with the locations that the covid people went too - send us alert.,  Can you add the feature for us to save safe entry check in location and also compare our safe check in locations with the locations that the covid people went too - send us alert. ,en,  Can you add the feature for us to save safe entry check in location and also compare our safe check in locations with the locations that the covid people went too   send us alert  ,"Domain_Specific, Privacy","locat, locat",0.1,Positive,0,0,1,0,0,0,0,1,0
59,8/7/20 16:59,sg.gov.tech.bluetrace,TraceTogether,en,florence ye,5,"Awesome App! I can easily check in and out from multiple places! Most importantly, can see history of where i have checked on before and how many people i have encountered.",  Awesome App! I can easily check in and out from multiple places! Most importantly  can see history of where i have checked on before and how many people i have encountered. ,en,  Awesome App  I can easily check in and out from multiple places  Most importantly  can see history of where i have checked on before and how many people i have encountered  ,Domain_Specific,import,0.071428571,Positive,0,0,1,0,0,0,0,0,0
62,8/7/20 12:51,sg.gov.tech.bluetrace,TraceTogether,en,JIELIN MA,5,"The app can't update my details. Service was not available. After 2 hours, I reopen the app and my details update successfully.",  The app can't update my details. Service was not available. After 2 hours  I reopen the app and my details update successfully. ,en,  The app can t update my details  Service was not available  After   hours  I reopen the app and my details update successfully  ,Domain_Specific,"servic, servic",0.181818182,Positive,0,0,1,0,0,0,0,0,0
66,8/7/20 7:14,sg.gov.tech.bluetrace,TraceTogether,en,XxNite4LifexX,1,Was forced to install by school,  Was forced to install by school ,en,  Was forced to install by school ,Age,school,0.333333333,Negative,1,0,0,0,0,0,0,0,0
68,8/7/20 3:37,sg.gov.tech.bluetrace,TraceTogether,en,Jessica Keh,2,Not working on huawei p40 pro plus I hv install and uninstall many times but it doesn't work I am unable to receive otp despite app being downloaded,  Not working on huawei p40 pro plus I hv install and uninstall many times but it doesn't work I am unable to receive otp despite app being downloaded ,en,  Not working on huawei p   pro plus I hv install and uninstall many times but it doesn t work I am unable to receive otp despite app being downloaded ,Domain_Specific,receiv,0.058823529,Neutral,0,0,1,0,0,0,0,0,0
