,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
12,7/29/20 4:48,1498276074,TraceTogether,sg,2.1.2,Ns6;771,1,App sent out a message without my knowledge,I think there’s a security loophole in the app that needs to be closed. The app used my messaging app to send out a message to ask my contact list to download it. Please patch the app., App sent out a message without my knowledge I think there’s a security loophole in the app that needs to be closed. The app used my messaging app to send out a message to ask my contact list to download it. Please patch the app. ,en, App sent out a message without my knowledge I think there s a security loophole in the app that needs to be closed  The app used my messaging app to send out a message to ask my contact list to download it  Please patch the app  ,Privacy,"secur, secur",0.083333333,Positive,0,0,0,0,0,0,0,1,0
14,7/28/20 14:22,1498276074,TraceTogether,ca,2.1.2,Disapointed7308,5,I deleted this app not because,I deleted this app not because it doesn’t work I’m sure it works just fine I just want an app created for Canada so that I get the information I need, I deleted this app not because I deleted this app not because it doesn’t work I’m sure it works just fine I just want an app created for Canada so that I get the information I need ,en, I deleted this app not because I deleted this app not because it doesn t work I m sure it works just fine I just want an app created for Canada so that I get the information I need ,Location,canada,0.058823529,Positive,0,0,0,0,0,0,1,0,0
21,7/21/20 12:48,1498276074,TraceTogether,sg,2.1.2,yg4jix,3,Reminder to keep app on,"Thanks for the response. But I don’t mean the Bluetooth is turned off. Sometimes the app might be accidentally closed even if Bluetooth is on. Previously there is alert notifying the app is not running is the background but I don’t see such alerts anymore.
*********

Noticed it doesn’t remind user if the app is closed accidentally anymore. Feels like this is an important feature"," Reminder to keep app on Thanks for the response. But I don’t mean the Bluetooth is turned off. Sometimes the app might be accidentally closed even if Bluetooth is on. Previously there is alert notifying the app is not running is the background but I don’t see such alerts anymore.
*********

Noticed it doesn’t remind user if the app is closed accidentally anymore. Feels like this is an important feature ",en, Reminder to keep app on Thanks for the response  But I don t mean the Bluetooth is turned off  Sometimes the app might be accidentally closed even if Bluetooth is on  Previously there is alert notifying the app is not running is the background but I don t see such alerts anymore             Noticed it doesn t remind user if the app is closed accidentally anymore  Feels like this is an important feature ,Domain_Specific,"import, run",0.057142857,Positive,0,0,1,0,0,0,0,0,0
25,7/19/20 13:44,1498276074,TraceTogether,sg,2.1.2,Rich27375958262,5,Great App,"This app is really great. I especially like the new feature to check in and out at locations. It makes it so seamless. All-in-one. Checking in/out and tracing at the same time. 

Thanks also for all the hard work to make it finally run in the background. Together we will overcome this crisis!"," Great App This app is really great. I especially like the new feature to check in and out at locations. It makes it so seamless. All-in-one. Checking in/out and tracing at the same time. 

Thanks also for all the hard work to make it finally run in the background. Together we will overcome this crisis! ",en, Great App This app is really great  I especially like the new feature to check in and out at locations  It makes it so seamless  All in one  Checking in out and tracing at the same time    Thanks also for all the hard work to make it finally run in the background  Together we will overcome this crisis  ,"Domain_Specific, Privacy","locat, locat, run",0.107142857,Positive,0,0,1,0,0,0,0,1,0
28,7/18/20 8:21,1498276074,TraceTogether,sg,2.1.2,Dreamliner 777,2,Developer needs to be a user,"Apart from occasional bugs (cannot check out) I hope they will improve on the followings from user experience:

1) the home screen takes up half of the screen space and won’t scroll away. It also doesn’t offer any useful info apart from showing an image of three persons with active mobile phones. 

2) home screen should display a list of all checked-in places, instead of showing just the latest one. This allows users to see at once where have they not checked out yet instead of having to check out one by one.  We really have no time for this especially when our hands are occupied with heavy groceries."," Developer needs to be a user Apart from occasional bugs (cannot check out) I hope they will improve on the followings from user experience:

1) the home screen takes up half of the screen space and won’t scroll away. It also doesn’t offer any useful info apart from showing an image of three persons with active mobile phones. 

2) home screen should display a list of all checked-in places  instead of showing just the latest one. This allows users to see at once where have they not checked out yet instead of having to check out one by one.  We really have no time for this especially when our hands are occupied with heavy groceries. ",en, Developer needs to be a user Apart from occasional bugs  cannot check out  I hope they will improve on the followings from user experience      the home screen takes up half of the screen space and won t scroll away  It also doesn t offer any useful info apart from showing an image of three persons with active mobile phones       home screen should display a list of all checked in places  instead of showing just the latest one  This allows users to see at once where have they not checked out yet instead of having to check out one by one   We really have no time for this especially when our hands are occupied with heavy groceries  ,Domain_Specific,"display, imag, follow",0.05,Positive,0,0,1,0,0,0,0,0,0
29,7/18/20 6:49,1498276074,TraceTogether,sg,2.1.2,Jackieee92,5,Finally works on iOS!,I am impressed that the app finally works for iOS users! I am very curious; how did you guys do it? Did Apple finally allow for the bypass or you manage to find a way to bypass it? I’m googling online on this right now!, Finally works on iOS! I am impressed that the app finally works for iOS users! I am very curious; how did you guys do it? Did Apple finally allow for the bypass or you manage to find a way to bypass it? I’m googling online on this right now! ,en, Finally works on iOS  I am impressed that the app finally works for iOS users  I am very curious  how did you guys do it  Did Apple finally allow for the bypass or you manage to find a way to bypass it  I m googling online on this right now  ,"Domain_Specific, Emotional","curious, manag, manag",0.130434783,Positive,0,0,1,1,0,0,0,0,0
32,7/16/20 13:45,1498276074,TraceTogether,sg,2.1.1,7224235866,4,Suggestion: Adding bookmarks of places.,"Adding like bookmarks of the places frequently visited. If I go to work Everyday via a underpass that is located in a mall then out to my office building, I have to fight to scan the QR code every morning with so many other commuters. 

Adding it will just make it easier and I can straight head towards to the staff to show that I have already checked in while walking towards them, Instead of clustering to scan that small QR code.Hopefully it will improve the user friendliness of the app. 

Thanks TraceTogether team for making the app work for Apple users! Great Job!"," Suggestion: Adding bookmarks of places. Adding like bookmarks of the places frequently visited. If I go to work Everyday via a underpass that is located in a mall then out to my office building  I have to fight to scan the QR code every morning with so many other commuters. 

Adding it will just make it easier and I can straight head towards to the staff to show that I have already checked in while walking towards them  Instead of clustering to scan that small QR code.Hopefully it will improve the user friendliness of the app. 

Thanks TraceTogether team for making the app work for Apple users! Great Job! ",en, Suggestion  Adding bookmarks of places  Adding like bookmarks of the places frequently visited  If I go to work Everyday via a underpass that is located in a mall then out to my office building  I have to fight to scan the QR code every morning with so many other commuters    Adding it will just make it easier and I can straight head towards to the staff to show that I have already checked in while walking towards them  Instead of clustering to scan that small QR code Hopefully it will improve the user friendliness of the app    Thanks TraceTogether team for making the app work for Apple users  Great Job  ,"Domain_Specific, Privacy","locat, locat, staff, head",0.066666667,Positive,0,0,1,0,0,0,0,1,0
35,7/13/20 8:55,1498276074,TraceTogether,sg,2.1.1,vlagtr,4,Love the addition of safe entry,"Thanks for the addition of safe entry. It’s useful for checking out. 

Would be more useful if we can help our kids to check in too. Currently we have to use browsers to do it and it’s cumbersome if you are checking in more than one kid.

Also, the image on the home screen is taking up too much real estate."," Love the addition of safe entry Thanks for the addition of safe entry. It’s useful for checking out. 

Would be more useful if we can help our kids to check in too. Currently we have to use browsers to do it and it’s cumbersome if you are checking in more than one kid.

Also  the image on the home screen is taking up too much real estate. ",en, Love the addition of safe entry Thanks for the addition of safe entry  It s useful for checking out    Would be more useful if we can help our kids to check in too  Currently we have to use browsers to do it and it s cumbersome if you are checking in more than one kid   Also  the image on the home screen is taking up too much real estate  ,"Age, Domain_Specific","kid, kid, imag",0.1,Positive,1,0,1,0,0,0,0,0,0
36,7/13/20 8:10,1498276074,TraceTogether,sg,2.1.1,Sibei sian,4,Detect location for SafeEntry check in,"Love the fact now can run in background, great job to the team! :)

I also use the SafeEntry in TraceTogether now, so that I only need to use 1 app. Can this be further improved to allow check in without scanning the QR code? SingPass is able to detect the nearby locations available for check in, which is more convenient than locating the QR code especially at places like the hawker centre which has multiple entry points and QR code not easily found. Hope to see this available in TraceTogether soon. Keep up the great work!"," Detect location for SafeEntry check in Love the fact now can run in background  great job to the team! :)

I also use the SafeEntry in TraceTogether now  so that I only need to use 1 app. Can this be further improved to allow check in without scanning the QR code? SingPass is able to detect the nearby locations available for check in  which is more convenient than locating the QR code especially at places like the hawker centre which has multiple entry points and QR code not easily found. Hope to see this available in TraceTogether soon. Keep up the great work! ",en, Detect location for SafeEntry check in Love the fact now can run in background  great job to the team      I also use the SafeEntry in TraceTogether now  so that I only need to use   app  Can this be further improved to allow check in without scanning the QR code  SingPass is able to detect the nearby locations available for check in  which is more convenient than locating the QR code especially at places like the hawker centre which has multiple entry points and QR code not easily found  Hope to see this available in TraceTogether soon  Keep up the great work  ,"Domain_Specific, Privacy","locat, locat, hawker, run",0.070175439,Positive,0,0,1,0,0,0,0,1,0
38,7/13/20 1:13,1498276074,TraceTogether,sg,2.1.1,Iceice619,1,Not able to log in with new EP,I couldn’t setup the profile even with my new EP. please help to fix., Not able to log in with new EP I couldn’t setup the profile even with my new EP. please help to fix. ,en, Not able to log in with new EP I couldn t setup the profile even with my new EP  please help to fix  ,Domain_Specific,profil,0.083333333,Positive,0,0,1,0,0,0,0,0,0
