,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,8/11/20 11:45,ch.admin.bag.dp3t,SwissCovid,en,Dominik,3,"The app works just fine (at least I suppose so), but please let the user disable the warning notifications for disabled Bluetooth and location. I leave my home once a week and don't want to have Bluetooth and location enabled the other six days, nor these annoying notifications...",  The app works just fine (at least I suppose so)  but please let the user disable the warning notifications for disabled Bluetooth and location. I leave my home once a week and don't want to have Bluetooth and location enabled the other six days  nor these annoying notifications... ,en,  The app works just fine  at least I suppose so   but please let the user disable the warning notifications for disabled Bluetooth and location  I leave my home once a week and don t want to have Bluetooth and location enabled the other six days  nor these annoying notifications    ,"Disability, Domain_Specific, Emotional, Privacy","annoy, locat, disabl, locat",0.153846154,Positive,0,1,1,1,0,0,0,1,0
2,8/10/20 8:41,ch.admin.bag.dp3t,SwissCovid,en,Dan Winter,5,"Works perfect for me, even I really hope that I'll never receive a notification.",  Works perfect for me  even I really hope that I'll never receive a notification. ,en,  Works perfect for me  even I really hope that I ll never receive a notification  ,Domain_Specific,receiv,0.125,Positive,0,0,1,0,0,0,0,0,0
3,8/4/20 20:10,ch.admin.bag.dp3t,SwissCovid,de,René Locher,5,"Die App ist leicht bedienbar und informativ. Leider ist Android 10 bei der Vergabe der Berechtigungen zu wenig spezifisch, so dass man das GPS einschalten muss, damit die App funktioniert, obwohl die App GPS gar nicht braucht. Dafür ist aber nicht die App sondern Google verantwortlich. Obwohl ich vor dem Gebrauch dieser App das GPS nie eingeschaltet hatte, läuft aber mein Pixel 4 nun mit eingeschaltetem GPS und dieser App im Hintergrund nicht merkbar weniger lang! Die App ist in Sachen Datenschutz so sicher und transparent wie sie sein kann. Das wird auch von unabhängigen Experten bestätigt. Klickt auf ""weitere Informationen"" im Google Store und ihr bekommt eine detaillierte Beschreibung darüber, wie die App funktioniert. Es gibt also keine vernünftigen Ausreden, sie nicht zu benützen! Allerdings habe ich trotzdem noch einen Wunsch an die App-Entwickler: Baut doch noch in die App ein Infofenster ein, in welchem die Anzahl täglicher Kontakte der App als Zeitreihe eingetragen wird. Damit könnte man sein eigenes Verhalten in Bezug auf Distanzhalten überprüfen und gegebenenfalls optimieren.","The app is easy to use and informative. Unfortunately  Android 10 is not specific enough when it comes to assigning permissions  so you have to switch on the GPS for the app to work  even though the app doesn't need GPS at all. But Google is not responsible for this  but not the app. Although I had never switched on the GPS before using this app  my Pixel 4 now runs not noticeably less long with the GPS switched on and this app in the background! When it comes to data protection  the app is as secure and transparent as it can be. This is also confirmed by independent experts. Click on ""more information"" in the Google Store and you will get a detailed description of how the app works. So there are no reasonable excuses not to use them! However  I still have a request for the app developers: Build an information window in the app in which the number of daily contacts of the app is entered as a time series. This would allow you to check your own behavior with regard to keeping your distance and optimize it if necessary.",de,The app is easy to use and informative  Unfortunately  Android    is not specific enough when it comes to assigning permissions  so you have to switch on the GPS for the app to work  even though the app doesn t need GPS at all  But Google is not responsible for this  but not the app  Although I had never switched on the GPS before using this app  my Pixel   now runs not noticeably less long with the GPS switched on and this app in the background  When it comes to data protection  the app is as secure and transparent as it can be  This is also confirmed by independent experts  Click on  more information  in the Google Store and you will get a detailed description of how the app works  So there are no reasonable excuses not to use them  However  I still have a request for the app developers  Build an information window in the app in which the number of daily contacts of the app is entered as a time series  This would allow you to check your own behavior with regard to keeping your distance and optimize it if necessary ,"Domain_Specific, Privacy","data, secur, transpar, protect, secur, gps, assign, enter, optim, run",0.11627907,Positive,0,0,1,0,0,0,0,1,0
5,8/4/20 6:20,ch.admin.bag.dp3t,SwissCovid,de,Familie Neff,2,"Zu wenige Updates, zu viele Fehlermeldungen. Vor allem der ständig aufpoppende Hinweis bei nicht Einschalten ist anstrengend.",Too few updates  too many error messages. Above all  the constantly popping notice when not switching on is exhausting.,de,Too few updates  too many error messages  Above all  the constantly popping notice when not switching on is exhausting ,Domain_Specific,exhaust,0.1,Negative,0,0,1,0,0,0,0,0,0
7,8/3/20 20:54,ch.admin.bag.dp3t,SwissCovid,de,Paul Linsmayer,3,"Vielen Dank für die ""wöchentliche Erinnerung"" - ich kriege jedes Mal einen Riesenschreck...! Deaktiviert das bitte und bringt die App auf den gleichen Stand wie die iOS-Version.","Thank you for the ""weekly reminder"" - I get a huge shock every time ...! Please deactivate this and bring the app up to date with the iOS version.",de,Thank you for the  weekly reminder    I get a huge shock every time      Please deactivate this and bring the app up to date with the iOS version ,Emotional,shock,0.066666667,Positive,0,0,0,1,0,0,0,0,0
8,8/3/20 19:03,ch.admin.bag.dp3t,SwissCovid,fr,Frederic Nicod,4,"Cette application a bien été conçue en ce qui concerne la protection des données personnelles. Les avantages d'utiliser cette application sont donc plus importants que les inconvénients et justifient donc son installation. Il est juste dommage que la localisation doive être activée, bien que n'étant pas utilisée en tant que telle par l'application.",This application has been well designed with regard to the protection of personal data. The advantages of using this application are therefore greater than the disadvantages and therefore justify its installation. It's just a shame that localization has to be enabled  although it is not used as such by the app.,fr,This application has been well designed with regard to the protection of personal data  The advantages of using this application are therefore greater than the disadvantages and therefore justify its installation  It s just a shame that localization has to be enabled  although it is not used as such by the app ,"Domain_Specific, Location, Privacy","local, data, protect, applic",0.181818182,Positive,0,0,1,0,0,0,1,1,0
9,8/3/20 17:49,ch.admin.bag.dp3t,SwissCovid,de,Daniel G. Widmer,1,"Die ständige Er.ahnung, auch wenn man zuhause offline ist, nervt",The constant premonition even when you are offline at home is annoying,de,The constant premonition even when you are offline at home is annoying,Emotional,annoy,0.166666667,Negative,0,0,0,1,0,0,0,0,0
12,8/2/20 22:50,ch.admin.bag.dp3t,SwissCovid,nl,Johannes Kingma,2,Alphabet needs our location in order to satisfy their customers: investors. We are led to believe this app does not need acquisition and storage of location. Alphabet will do so nonetheless. Install Location Changer alongside with this.,  Alphabet needs our location in order to satisfy their customers: investors. We are led to believe this app does not need acquisition and storage of location. Alphabet will do so nonetheless. Install Location Changer alongside with this. ,en,  Alphabet needs our location in order to satisfy their customers  investors  We are led to believe this app does not need acquisition and storage of location  Alphabet will do so nonetheless  Install Location Changer alongside with this  ,"Domain_Specific, Privacy","locat, custom, locat, investor, order",0.238095238,Positive,0,0,1,0,0,0,0,1,0
17,8/2/20 0:18,ch.admin.bag.dp3t,SwissCovid,de,Monti Baby,1,Habe die app heruntergeladen viel hat es nicht genutzt. Was mich viel genervt hat ist Standort wo mich überall kontrolliert! Die app finde ich schlichtweise nicht genügend nicht perfekt. Typisch schwizer/in bürger so kontrolliere isch würklich nit schön mich störts es mega. Corona isch normale grippe dass wärs. 👎☹,I downloaded the app a lot and didn't use it. What annoyed me a lot is the location where I control me everywhere! I just don't think the app is perfect enough. Typically swiss citizen so control is really not nice  it bothers me a lot. Corona is normal flu  that's it. 👎☹,de,I downloaded the app a lot and didn t use it  What annoyed me a lot is the location where I control me everywhere  I just don t think the app is perfect enough  Typically swiss citizen so control is really not nice  it bothers me a lot  Corona is normal flu  that s it    ,"Domain_Specific, Emotional, Privacy","annoy, locat, locat, normal",0.166666667,Negative,0,0,1,1,0,0,0,1,0
18,8/1/20 22:12,ch.admin.bag.dp3t,SwissCovid,pt,Davide Pereira marques,3,"Para a aplicação foncionar, toda gente tinha que ser obrigado a ser testado, e se acusasse positivo obrigado a entrar na aplicação. Assim não vejo isto muito certo. É como ter o preservativo na mala 💼 e não usar.",For the phoning application  everyone had to be forced to be tested  and if they were positive  forced to enter the application. So I don't see it very well. It's like having a condom in your bag 💼 and not using it.,pt,For the phoning application  everyone had to be forced to be tested  and if they were positive  forced to enter the application  So I don t see it very well  It s like having a condom in your bag   and not using it ,Domain_Specific,"enter, applic",0.125,Positive,0,0,1,0,0,0,0,0,0
19,8/1/20 19:33,ch.admin.bag.dp3t,SwissCovid,en,Davide Cester,5,It's useful and I don't think it really adds additional privacy risks compared to normal usage of smartphones... so I use it!,  It's useful and I don't think it really adds additional privacy risks compared to normal usage of smartphones... so I use it! ,en,  It s useful and I don t think it really adds additional privacy risks compared to normal usage of smartphones    so I use it  ,"Domain_Specific, Privacy","privaci, normal",0.166666667,Positive,0,0,1,0,0,0,0,1,0
22,8/1/20 9:43,ch.admin.bag.dp3t,SwissCovid,de,Andreas Schlapbach,5,Wichtiges Puzzle Teil gegen Corona.,Important part of the puzzle against Corona.,de,Important part of the puzzle against Corona ,Domain_Specific,import,0.25,Positive,0,0,1,0,0,0,0,0,0
23,8/1/20 9:29,ch.admin.bag.dp3t,SwissCovid,en,AmericanSn1p3r,5,"Es hilft generäl Informiert zu sie, und eifach kei sorge mache ob ich das Coronavirus bechum. Die Äpp macht mich sicherer.",It helps to keep you informed  and you just don't worry if I get the coronavirus. The Äpp makes me safer.,de,It helps to keep you informed  and you just don t worry if I get the coronavirus  The  pp makes me safer ,Emotional,worri,0.111111111,Positive,0,0,0,1,0,0,0,0,0
25,8/1/20 5:09,ch.admin.bag.dp3t,SwissCovid,en,Tobias Kienzler,1,"Dass low energy Bluetooth den Standort braucht macht null Sinn, ""es ist halt so"" reicht nicht. Und wozu jedes Land eine eigene exklusive App braucht die im Zweifelsfall nicht miteinander kommunizieren verstehe ich auch nicht, gerade jetzt wo der (Einkaufs-)Tourismus blüht. Wenn mein Akku nicht schon nach einem halben Tag schlapp machen soll muss ich nun extra die Standortgenauigkeit auf grob stellen und falls ich mal ein Navi brauche extra daran denken GPS wieder zu aktivieren. Furchtbare UX.","The fact that low energy Bluetooth needs the location makes no sense  ""that's just the way it is"" is not enough. And why every country needs its own exclusive app that in case of doubt do not communicate with each other  I do not understand either  especially now that (shopping) tourism is flourishing. If my battery shouldn't run out after half a day  I have to set the location accuracy to coarse and if I need a navigation system  think about reactivating GPS. Terrible UX.",de,The fact that low energy Bluetooth needs the location makes no sense   that s just the way it is  is not enough  And why every country needs its own exclusive app that in case of doubt do not communicate with each other  I do not understand either  especially now that  shopping  tourism is flourishing  If my battery shouldn t run out after half a day  I have to set the location accuracy to coarse and if I need a navigation system  think about reactivating GPS  Terrible UX ,"Domain_Specific, Language, Location, Privacy","countri, countri, locat, gps, locat, communic, run",0.170731707,Negative,0,0,1,0,0,1,1,1,0
27,7/31/20 22:01,ch.admin.bag.dp3t,SwissCovid,fr,Annie Soulé,5,"Application utile pour soi,mais surtout pour les autres!!! Depuis que je l'ai téléchargé,pas eu un seul souci...!!! Donc,très bien.👍🏼👌🏼",Useful application for oneself  but especially for others !!! Since I downloaded it  not a single problem ... !!! So very good.,fr,Useful application for oneself  but especially for others     Since I downloaded it  not a single problem         So very good ,Domain_Specific,applic,0.1,Positive,0,0,1,0,0,0,0,0,0
28,7/31/20 20:34,ch.admin.bag.dp3t,SwissCovid,de,Matthias Schenk,1,"Schade dass die gps Ortung immer eingeschaltet sein muss. Auch noch nach 2 Updates. Mich stört nicht das die covid app auf GSM Zugriff hat, sondern alle anderen Apps.",It's a shame that GPS tracking always has to be switched on. Even after 2 updates. I don't mind that the covid app has access to GSM  but all other apps.,de,It s a shame that GPS tracking always has to be switched on  Even after   updates  I don t mind that the covid app has access to GSM  but all other apps ,Privacy,"track, gps",0.153846154,Negative,0,0,0,0,0,0,0,1,0
