,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
5,7/10/20 17:37,1509275381,SwissCovid,ch,1.0.6,sanji_japan,2,Pas pour les anciens iPhones,"Installé sur 3 iPhones.
- ne fonctionne pas sur 6
- vide la batterie en 6 heures sur un 6S
- OK sur Xs
Donc résultat moyen...","Not for older iPhones Installed on 3 iPhones.
- does not work on 6
- drains the battery in 6 hours on a 6S
- OK on Xs
So average result ...",fr,Not for older iPhones Installed on   iPhones    does not work on     drains the battery in   hours on a  S   OK on Xs So average result    ,Age,older,0.076923077,Positive,1,0,0,0,0,0,0,0,0
9,7/9/20 14:41,1509275381,SwissCovid,ch,1.0.6,oebfcchwo,1,Massiver Akkuverbrauch,"Seit dem 7.7. Morgens wurde auf meinem iPhone6s massiv Strom verbraucht, telefonieren war nicht mehr möglich, Batteriezustand wurde nicht mehr aufgezeichnet, diverse Apps reagierten langsam. Seit der Deinstallation dieser App am Abend vom 8.7. ist wieder alles normal!",Massive battery consumption Since 7.7. In the morning my iPhone6s used massive amounts of electricity  it was no longer possible to make calls  the battery status was no longer recorded  and various apps reacted slowly. Since the uninstallation of this app on the evening of 8.7. everything is normal again!,de,Massive battery consumption Since      In the morning my iPhone s used massive amounts of electricity  it was no longer possible to make calls  the battery status was no longer recorded  and various apps reacted slowly  Since the uninstallation of this app on the evening of      everything is normal again ,Domain_Specific,"record, normal",0.071428571,Negative,0,0,1,0,0,0,0,0,0
10,7/9/20 14:37,1509275381,SwissCovid,ch,1.0.6,Willy vom Hochrhein,5,Eine sinnvolle Sache,"Nachdem dieser Virus weltweit schon soviel Unheil angerichtet hat ist die Lancierung dieser Applikation ein grosser Schritt in Richtung Bewältigung dieser Pandemie. Ein Impfstoff brächte die Lösung aber wer weiss wie lange das noch dauert?
Noch ein Wort der Kritik: wahrscheinlich mit einigem finanziellem und vor allem entwicklungstechnischem Aufwand wurde diese Applikation in recht kurzer Zeit zur Veröffentlichung gebracht. Dass ein Bundesrat und ein Journalist einer ehemals renommierten Wochenzeitung nur Worte der Verachtung für dieses wichtige Werk übrig haben ist beschämend und der Sache nicht würdig!","A sensible thing After this virus has already caused so much harm worldwide  the launch of this application is a big step towards overcoming this pandemic. A vaccine would provide the solution  but who knows how long it will take?
One more word of criticism: this application was brought to publication in a very short time  probably with some financial and  above all  development effort. The fact that a Federal Councilor and a journalist from a formerly renowned weekly newspaper only have words of contempt for this important work is shameful and not worthy of the cause!",de,A sensible thing After this virus has already caused so much harm worldwide  the launch of this application is a big step towards overcoming this pandemic  A vaccine would provide the solution  but who knows how long it will take  One more word of criticism  this application was brought to publication in a very short time  probably with some financial and  above all  development effort  The fact that a Federal Councilor and a journalist from a formerly renowned weekly newspaper only have words of contempt for this important work is shameful and not worthy of the cause ,Domain_Specific,"critic, import, financi, councilor, vaccin, former, journalist, applic",0.153846154,Negative,0,0,1,0,0,0,0,0,0
11,7/9/20 12:38,1509275381,SwissCovid,ch,1.0.6,user ohne Akku,1,Naja,"Also es ist sicher Sinnvoll so eine App herunterladen zu können um sich und andere zu schützen.
Aber diese App verbraucht wahnsinnig viel Akku.
Darum schalte ich sie nun öfters aus um meinen Akku zu sparen,vorallem wenn ich keine Steckdose in der Nähe habe...","Well  it makes sense to be able to download such an app to protect yourself and others.
But this app uses a lot of battery.
That's why I now turn it off more often to save my battery  especially when I don't have a power outlet nearby ...",de,Well  it makes sense to be able to download such an app to protect yourself and others  But this app uses a lot of battery  That s why I now turn it off more often to save my battery  especially when I don t have a power outlet nearby    ,Privacy,protect,0.05,Positive,0,0,0,0,0,0,0,1,0
12,7/9/20 11:14,1509275381,SwissCovid,ch,1.0.6,Elechim73,2,Déçue,"Non seulement cela me descend ma batterie terriblement mais en plus de ça, lors de mes déplacements , je reçois un message qui me dit que les notifications à l’exposition au covid 19 ne sont pas pris en charge par SwissCovid dans cette région.",Disappointed Not only does this take my battery down terribly but on top of that  while traveling  I get a message telling me that notifications for exposure to covid 19 are not supported by SwissCovid in this region.,fr,Disappointed Not only does this take my battery down terribly but on top of that  while traveling  I get a message telling me that notifications for exposure to covid    are not supported by SwissCovid in this region ,Location,region,0.058823529,Negative,0,0,0,0,0,0,1,0,0
13,7/9/20 8:32,1509275381,SwissCovid,ch,1.0.6,Ky_Dah,5,Ladet die App herunter!,"Je mehr Sie benutzen, desto besser!
An alle die Angst haben, wegen ihres Datenschutzes: Ihr wisst schon, dass Google Maps die besuchten Orte speichert, dass Facebook und Instagram für diverse Werbungen den Standort verwenden und auch für anderes, dass Ihr ausserdem bei all diesen social media accounts viel mehr Infos angibt, als bei der SwissCovid-App?

Die App speichert lediglich 14 Tage lang irgendeinen Code, wo Ihr einfach benachrichtigt werdet, dass Ihr in der Nähe von jemandem war, der potenziell oder sogar wirklich positiv ist. That's it! Kein Datum, kein Name nichts.

Die App finde ich toll, bei mir selbst läuft sie nur im Hintergrund und bis jetzt habe ich zum glück noch keine Benachrichtigung!","Download the app! The more you use the better!
To everyone who is afraid  because of their data protection: You already know that Google Maps stores the places you visit  that Facebook and Instagram use the location for various advertisements and also for other things  that you also provide much more information on all these social media accounts than with the SwissCovid app?

The app only saves some code for 14 days where you will simply be notified that you have been around someone who is potentially or even really positive. That's it! No date  no name  nothing.

I think the app is great  it only runs in the background for me and luckily I haven't got any notification yet!",de,Download the app  The more you use the better  To everyone who is afraid  because of their data protection  You already know that Google Maps stores the places you visit  that Facebook and Instagram use the location for various advertisements and also for other things  that you also provide much more information on all these social media accounts than with the SwissCovid app   The app only saves some code for    days where you will simply be notified that you have been around someone who is potentially or even really positive  That s it  No date  no name  nothing   I think the app is great  it only runs in the background for me and luckily I haven t got any notification yet ,"Domain_Specific, Privacy","data, locat, protect, locat, run, account",0.1,Positive,0,0,1,0,0,0,0,1,0
14,7/9/20 8:11,1509275381,SwissCovid,ch,1.0.6,Seven7abc,1,Nein,"Naja wo der Datenschutz klein geschrieben wird, wird der Datenschutz klein geschrieben.",No Well  where data protection is written lowercase  data protection is written lowercase.,de,No Well  where data protection is written lowercase  data protection is written lowercase ,Privacy,"data, protect",0.222222222,Negative,0,0,0,0,0,0,0,1,0
16,7/9/20 5:23,1509275381,SwissCovid,ch,1.0.6,Richie72,2,Belastet Akku extrem bei I phone X,Akkubelastung steigt erheblich bei I phone X,Extremely stressed battery on Iphone X. Battery performance increases significantly on I phone X.,de,Extremely stressed battery on Iphone X  Battery performance increases significantly on I phone X ,"Domain_Specific, Emotional","stress, perform",0.181818182,Negative,0,0,1,1,0,0,0,0,0
17,7/9/20 5:10,1509275381,SwissCovid,ch,1.0.6,MacSMOL,3,Nur auf den neusten iPhones brauchbar,"Lässt sich nicht auf iPhone 6 Plus oder älter installieren .... sehr schade. 
Damit reduziert sich der Nutzen stark.","Can only be used on the latest iPhones. Cannot be installed on iPhone 6 Plus or older .... a shame.
This greatly reduces the benefit.",de,Can only be used on the latest iPhones  Cannot be installed on iPhone   Plus or older      a shame  This greatly reduces the benefit ,"Age, Domain_Specific","older, reduc",0.166666667,Neutral,1,0,1,0,0,0,0,0,0
19,7/9/20 2:31,1509275381,SwissCovid,ch,1.0.6,Reli88,4,Nachrichten der App an mich...,"... bitte nur, wenn wirklich wichtige Neuigkeiten mitzuteilen sind oder dann halt, wenn ich mit infizierten Personen in Kontakt gewesen sein sollte.",Messages from the app to me ... ... please only if there are really important news to report or if I have been in contact with infected people.,de,Messages from the app to me         please only if there are really important news to report or if I have been in contact with infected people ,Domain_Specific,import,0.090909091,Neutral,0,0,1,0,0,0,0,0,0
22,7/8/20 17:05,1509275381,SwissCovid,ch,1.0.6,Pumaise,3,Réseau,Au Brenets cela coupe tout le temps car le réseau saute suisse France,Au Brenets network this cuts all the time because the network jumps Switzerland France,fr,Au Brenets network this cuts all the time because the network jumps Switzerland France,"Domain_Specific, Location","switzerland, franc, network",0.3,Negative,0,0,1,0,0,0,1,0,0
23,7/8/20 14:14,1509275381,SwissCovid,ch,1.0.6,Mandy$2020,1,1 Monat gebraucht und keine Anzeige,Nach mehr als 1 Monat auf meinem Handy und da kam keine Meldung. Glaube das App geht funktioniert nicht richtig oder zu wenige haben es auf dem Handy. Schade - Idee ist super!,Used 1 month and no display After more than 1 month on my cell phone and there was no message. Think the app is not working properly or too few have it on their phone. Too bad - idea is great!,de,Used   month and no display After more than   month on my cell phone and there was no message  Think the app is not working properly or too few have it on their phone  Too bad   idea is great ,Domain_Specific,display,0.066666667,Negative,0,0,1,0,0,0,0,0,0
