,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
7,12/10/20 5:38,com.thaialert.app,MorChana - หมอชนะ,th,วิมล ไกรมาศ,5,โรค.โควิค. มีดังนี้! 1.หายใจติดคัด. 2.หวัด. 3 ป่วย. 4.ถูกไหม/, Disease. COVIC. Is as follows! 1. Intoxicated breathing. 2. Cold. 3. Sickness. 4. Is it right? ,th, Disease  COVIC  Is as follows     Intoxicated breathing     Cold     Sickness     Is it right  ,"Domain_Specific, Emotional","sick, follow",0.25,Neutral,0,,1,1,,0,0,0,0
9,6/10/20 16:18,com.thaialert.app,MorChana - หมอชนะ,th,ธัชชัย พลอยระย้า,5,หาความรู้ใส่หัว, Get knowledge in your head ,th, Get knowledge in your head ,Domain_Specific,head,0.333333333,Neutral,0,,1,0,,0,0,0,0
19,2/8/20 14:19,com.thaialert.app,MorChana - หมอชนะ,en,Phil B,4,Now works in Thai and English. Previous glitch that caused app to stop now fixed.,   Now works in Thai and English. Previous glitch that caused app to stop now fixed.  ,en,   Now works in Thai and English  Previous glitch that caused app to stop now fixed   ,Language,"english, thai",0.222222222,Negative,0,,0,0,,1,0,0,0
20,1/8/20 19:26,com.thaialert.app,MorChana - หมอชนะ,en,เรียนกับลูก By Dr.Games SaintGabriel,1,คือ ถ้าคนไม่ตอบตาม ความจริงก็ จบแล้ว...กลายเป็นคนที่มีโอกาสแพร่เชื้อ เดินเข้าหาคนปกติได้โดยไม่ได้รับการเตือน," That is, if people don't answer honestly, it's over Can walk towards a normal person without warning ",th, That is  if people don t answer honestly  it s over Can walk towards a normal person without warning ,Domain_Specific,"answer, normal",0.222222222,Positive,0,,1,0,,0,0,0,0
31,14/07/2020 8:39,com.thaialert.app,MorChana - หมอชนะ,th,ninnoi yason,1,ห่วยมากๆ จะใช้งานที่ต้องโหลดใหม่ทุกครั้ง เพราะ App ค้างหน้าเดิมเข้าใช้งาน App ไม่ได้ แต่ต้องใช้ทุกวัน เพราะมหาวิทยาลัยบังคับ ไม่งั้นก็เข้าตึกเรียนไม่ได้ ช่วยพัฒนาหน่อย มันเสียเวลา," Very bad, will use the app that has to be reloaded every time because the App freezes the same page, cannot access the App, but must use it every day Because the university forced Otherwise you cannot enter the school building. Help develop, it's a waste of time. ",th, Very bad  will use the app that has to be reloaded every time because the App freezes the same page  cannot access the App  but must use it every day Because the university forced Otherwise you cannot enter the school building  Help develop  it s a waste of time  ,"Age, Domain_Specific","school, enter",0.071428571,Negative,1,,1,0,,0,0,0,0
35,11/7/20 1:41,com.thaialert.app,MorChana - หมอชนะ,en,Nutthapol Asadathorn,5,สามารถใช้ scan ไทยชนะได้ เลย, Can use scan Thai to win ,th, Can use scan Thai to win ,Language,thai,0.25,Positive,0,,0,0,,1,0,0,0
36,8/7/20 1:54,com.thaialert.app,MorChana - หมอชนะ,th,THATCHAI,5,ครูให้โหลดครับ," Teacher, download it. ",th, Teacher  download it  ,Domain_Specific,teacher,0.5,Neutral,0,,1,0,,0,0,0,0
42,24/06/2020 7:46,com.thaialert.app,MorChana - หมอชนะ,th,Chutima Chumchua,2,ไม่ค่อยเห็นประโยชน์ในการใช้แอพนี้ค่ะ ไม่ค่อยเห็นรณรงค์ให้ใช้แอปนี้เท่ากับแอพไทยชนะ ที่ไปที่ไหนให้สแกน น่าจะเอาสองแอพมารวมกันจริงๆ จะได้รู้ว่าที่ที่เราไปทีคนติดเชื้อมั้ย มีความเสี่ยงหรือเปล่าในแอพเดียว," I don't really see any benefits in using this app. Rarely seen a campaign to use this app equal to the Thai app won Where to go, scan Should really put two apps together So that we will know that the place where we go is infected or not Is there a risk in one app? ",th, I don t really see any benefits in using this app  Rarely seen a campaign to use this app equal to the Thai app won Where to go  scan Should really put two apps together So that we will know that the place where we go is infected or not Is there a risk in one app  ,"Domain_Specific, Language","thai, equal, campaign",0.107142857,Positive,0,,1,0,,1,0,0,0
44,23/06/2020 5:08,com.thaialert.app,MorChana - หมอชนะ,th,Dowpen Maopech,1,งง...สรุป ลบทิ้งแล้ว ใช้สแกนตามร้านเอาจะง่ายกว่าค่ะ," Confused ... In summary, delete it and use it to scan at the store, it will be easier to remove. ",th, Confused     In summary  delete it and use it to scan at the store  it will be easier to remove  ,"Domain_Specific, Emotional","confus, remov",0.25,Positive,0,,1,1,,0,0,0,0
48,20/06/2020 5:48,com.thaialert.app,MorChana - หมอชนะ,it,Siam Marci,4,English!,   English!  ,en,   English   ,Language,english,1,Neutral,0,,0,0,,1,0,0,0
51,15/06/2020 23:10,com.thaialert.app,MorChana - หมอชนะ,en,Frank Maas,4,"Why do I have to choose language every time I check in or out, if you already have set the app language to either Thai or English? An overview of last check-ins and check-outs would be helpful to keep track of where to check-out when you in a shopping mall.","   Why do I have to choose language every time I check in or out, if you already have set the app language to either Thai or English? An overview of last check-ins and check-outs would be helpful to keep track of where to check-out when you in a shopping mall.  ",en,   Why do I have to choose language every time I check in or out  if you already have set the app language to either Thai or English  An overview of last check ins and check outs would be helpful to keep track of where to check out when you in a shopping mall   ,"Language, Privacy","english, thai, languag, track",0.166666667,Positive,0,,0,0,,1,0,1,0
53,14/06/2020 11:12,com.thaialert.app,MorChana - หมอชนะ,th,cvvvh cvvh,5,ปะเทดไทยต้องชนะโควิดสู้สู้ทุกทุกคน, Pated Thai must defeat COVID and fight everyone. ,th, Pated Thai must defeat COVID and fight everyone  ,Language,thai,0.142857143,Negative,0,,0,0,,1,0,0,0
