,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,16/07/2020 18:38,1505185420,MorChana - หมอชนะ,th,1.8.1,-[LemonKing ]~,5,For anyone who want English mode,You can change by go to the bottom right menu then select the last choice for switching languages.,  For anyone who want English mode You can change by go to the bottom right menu then select the last choice for switching languages.  ,en,  For anyone who want English mode You can change by go to the bottom right menu then select the last choice for switching languages   ,"Domain_Specific, Language","english, languag, bottom",0.214285714,Positive,0,,1,0,,1,0,0,
2,14/07/2020 14:02,1505185420,MorChana - หมอชนะ,th,1.8.1,rovกากจัดปลัดบอก,1,กินแบตมาก,แบตหมดเร็วมากหลังโหลดแอปนี้, Consumes a lot of battery The battery runs out very quickly after loading this app. ,th, Consumes a lot of battery The battery runs out very quickly after loading this app  ,Domain_Specific,run,0.111111111,Neutral,0,,1,0,,0,0,0,
6,31/05/2020 7:35,1505185420,MorChana - หมอชนะ,th,1.8.1,Faii...corps,1,ห่วยมาก😡,แอปอะไรอ่ะ ทำมาเพื่ออำนวยความสะดวกให้ประชาชน แต่พอเข้าใช้เด้งออกๆ ห่วยมาก," Very bad 😡 What app did it do to facilitate the people? But when entering, bounce off, very bad ",th, Very bad   What app did it do to facilitate the people  But when entering  bounce off  very bad ,Domain_Specific,enter,0.111111111,Negative,0,,1,0,,0,0,0,
7,31/05/2020 6:05,1505185420,MorChana - หมอชนะ,th,1.8.1,แจ้งเตือนซะ,1,แอพหลอกเด็ก,ขนาดติ้กถูกทุกข้อที่มีโอกาสเสี่ยง ยังความเสี่ยงน้อย โถๆ, Apps deceive children with every wrong size at risk. Still a little risky ,th, Apps deceive children with every wrong size at risk  Still a little risky ,Age,children,0.1,Negative,1,,0,0,,0,0,0,
8,27/05/2020 15:59,1505185420,MorChana - หมอชนะ,th,1.8.1,Ios 7.1.2 อัพแล้วเล่นไม่ได้เลน,4,หายเด้งแล้ว,โอเครครับ แก้ไขตัวล่าสุดออกมา เล่นได้ปกติแล้วครับ," Lost, bounced, okay, last modified out. Can play normally. ",th, Lost  bounced  okay  last modified out  Can play normally  ,Domain_Specific,normal,0.142857143,Positive,0,,1,0,,0,0,0,
11,26/05/2020 5:20,1505185420,MorChana - หมอชนะ,th,1.8.0,Izesocity,1,ห่วย,เข้าแอพแล้วเด้งเก่ง นึกว่าเป็นแดนซ์เซอร์ เด้งออกตลอด, Suck into the app and bounce well I thought that it was a dancer that always bounced off. ,th, Suck into the app and bounce well I thought that it was a dancer that always bounced off  ,Domain_Specific,dancer,0.125,Negative,0,,1,0,,0,0,0,
13,26/05/2020 0:39,1505185420,MorChana - หมอชนะ,th,1.8.0,JeabAMillion,1,Cannot open App when updated with English,"The App worked well before update. Once updated application with English supported today, cannot open the application. Please fix ASAP.","  Cannot open App when updated with English The App worked well before update. Once updated application with English supported today, cannot open the application. Please fix ASAP.  ",en,  Cannot open App when updated with English The App worked well before update  Once updated application with English supported today  cannot open the application  Please fix ASAP   ,"Domain_Specific, Language","english, applic",0.1,Positive,0,,1,0,,1,0,0,
14,25/05/2020 23:01,1505185420,MorChana - หมอชนะ,th,1.8.0,Donlawats,3,Program is out if order after new upgrade version,"After new version update, I can’t use this program.","  Program is out if order after new upgrade version After new version update, I can’t use this program.  ",en,  Program is out if order after new upgrade version After new version update  I can t use this program   ,Domain_Specific,order,0.1,Neutral,0,,1,0,,0,0,0,
15,24/05/2020 3:11,1505185420,MorChana - หมอชนะ,us,1.7.0,Terry Dactal,1,no English,you want to track a virus but don’t offer the app in english? viruses unfortunately transcend language,  no English you want to track a virus but don’t offer the app in english? viruses unfortunately transcend language  ,en,  no English you want to track a virus but don t offer the app in english  viruses unfortunately transcend language  ,"Language, Privacy","english, languag, track",0.272727273,Negative,0,,0,0,,1,0,1,
16,18/05/2020 11:20,1505185420,MorChana - หมอชนะ,nl,1.6.0,mthai,2,No English,English please,  No English English please  ,en,  No English English please  ,Language,english,0.333333333,Neutral,0,,0,0,,1,0,0,
