,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,5/15/20 11:04,1505756398,Hayat Eve Sığar,tr,2.0.1,iceserdar,5,İl ilçe vaka sayıları,Şehirlerdeki vaka ve ölüm sayısını il ilçe olarak görülürse iyi olmaz mı,Province district number of cases Wouldn't it be good if the number of cases and deaths in cities is seen as a district district?,tr,Province district number of cases Wouldn t it be good if the number of cases and deaths in cities is seen as a district district ,Location,"district, provinc",0.166666667,Positive,0,0,0,0,0,0,1,0,0
1,5/15/20 8:59,1505756398,Hayat Eve Sığar,tr,2.0.1,T E Z E R,5,Nöbetçi Eczaneler,Bir adım daha gidilip her lokasyonun nöbetçi eczaneleri de yüklenir ve güncel bir şekilde takip edilirse; insanın her daim elinin altında olması gereken uygulamalar içinde üst seviyelere çıkar.,Pharmacies On Duty If we go one step further and load pharmacies of each location and follow them up-to-date; It rises to the top levels in applications that should always be at hand.,tr,Pharmacies On Duty If we go one step further and load pharmacies of each location and follow them up to date  It rises to the top levels in applications that should always be at hand ,"Domain_Specific, Privacy","locat, locat, follow, level, applic",0.3125,Positive,0,0,1,0,0,0,0,1,0
5,5/15/20 5:33,1505756398,Hayat Eve Sığar,tr,2.0.1,tiitiizz,5,Güncelleme olmuyor,"Dünden beri deniyorum,güncelleme gerekli diye uygulama çalışmıyor. Güncellemeyi de yapmıyor:(",Update does not work I have been trying since yesterday  the application does not work because an update is required. It also does not update :(,tr,Update does not work I have been trying since yesterday  the application does not work because an update is required  It also does not update   ,Domain_Specific,applic,0.066666667,Neutral,0,0,1,0,0,0,0,0,0
6,5/15/20 5:00,1505756398,Hayat Eve Sığar,tr,2.0.1,fyztcab,2,Konumum yanlış,Beni Farklı bir yerde gösteriyor evde oturuyorum benim konum geziyor 🤣 şuan dönercide görünüyorum bunun izahı yok bi konum düzenleme getirin 🤦🏻‍♀️,My position is wrong It shows me in a different place  I am sitting at home  my location is traveling 🤣 I am now in the doner shop  there is no explanation for this  bring a location arrangement 🤦🏻‍♀️,tr,My position is wrong It shows me in a different place  I am sitting at home  my location is traveling   I am now in the doner shop  there is no explanation for this  bring a location arrangement      ,"Domain_Specific, Privacy","locat, locat",0.133333333,Negative,0,0,1,0,0,0,0,1,0
8,5/15/20 1:28,1505756398,Hayat Eve Sığar,tr,2.0.1,Black_Zed,5,At gözlüğü takmış muhalefet,At gözlüğü takmış muhalefet. Siz hiç bir şeyi beğenmin olur mu. Beğenirseniz ölürsünüz çünkü. Dünyada covid19 ile en iyi mücadele eden ülkelerden biriyiz. Ama size göre en kötüsü olsun istersiniz. Hükümeti devirmek için hastalığı bile yayarsınız siz.,Opposition wearing blinkers Opposition wearing sunglasses. Would you like anything. Because if you like it  you die. We are one of the countries that fight covid19 best in the world. But for you  you want the worst. You even spread the disease to overthrow the government.,tr,Opposition wearing blinkers Opposition wearing sunglasses  Would you like anything  Because if you like it  you die  We are one of the countries that fight covid   best in the world  But for you  you want the worst  You even spread the disease to overthrow the government ,"Language, Location","countri, countri",0.08,Negative,0,0,0,0,0,1,1,0,0
9,5/15/20 0:16,1505756398,Hayat Eve Sığar,tr,2.0.1,Ölüler dirilerden çalacak,5,YAŞIMI DEĞİŞTİREMİYORUM.,UYGULAMADA YAŞIMI YANLIŞ GİRDİĞİM İÇİN FARKLI GÖRÜYOR VE YAŞIM DEĞİŞMİYOR. YARDIMCI OLUR MUSUNUZ?,I CAN'T CHANGE MY AGE. IN THE APPLICATION  I SEE MY AGE DIFFERENT BECAUSE I ENTER THE WRONG AND THE AGE IS NOT CHANGING. COULD YOU HELP?,tr,I CAN T CHANGE MY AGE  IN THE APPLICATION  I SEE MY AGE DIFFERENT BECAUSE I ENTER THE WRONG AND THE AGE IS NOT CHANGING  COULD YOU HELP ,"Age, Domain_Specific","age, enter, applic",0.230769231,Negative,1,0,1,0,0,0,0,0,0
13,5/14/20 22:34,1505756398,Hayat Eve Sığar,tr,2.0.1,cayirmustafa,1,Rezalet!!!,Ülkenin genel özeti gibi uygulama. Ne yazık ki tüm kamu uygulamalarının genel sorunu çalışmamak. Şurda harcayacakları paradan ne kadarını cebe koyarımın hesabını yaparlarsa olacağı bu...,Disgrace!!! Application as general summary of the country. Unfortunately  the general problem with all public practices is not working. This is what will happen if they make the calculation of how much of the money they will spend here ...,tr,Disgrace    Application as general summary of the country  Unfortunately  the general problem with all public practices is not working  This is what will happen if they make the calculation of how much of the money they will spend here    ,"Domain_Specific, Language, Location","countri, countri, applic",0.176470588,Negative,0,0,1,0,0,1,1,0,0
14,5/14/20 22:31,1505756398,Hayat Eve Sığar,tr,2.0.1,sayhieren,5,"Operatörlerin Dikkatine, Renkler konusu","Tüm operatör kullanıcıları internet paketleri olmasa dahil bu uygulaya giriş yapabilmeli. Sadece bu uygulama için veriyi ücretsiz yapabilirsiniz. Vatandaşımız da herkes uyarıp uygulamayı indirmesini söylesin. Ciddi bir mesele, lütfen...
Renklere gelince, kırmızıdan yeşile doğru yoğunluğun azaldığını anlamayacak kadar cahil olmanız ülkem adına çok üzücü.","Attention to Operators  The issue of Colors All operator users should be able to log into this application  even without internet packages. You can free the data for this application only. Our citizen  everyone should warn and tell him to download the application. Serious matter  please ...
As for the colors  it is very sad for my country that you are too ignorant to realize that the density is decreasing from red to green.",tr,Attention to Operators  The issue of Colors All operator users should be able to log into this application  even without internet packages  You can free the data for this application only  Our citizen  everyone should warn and tell him to download the application  Serious matter  please     As for the colors  it is very sad for my country that you are too ignorant to realize that the density is decreasing from red to green ,"Domain_Specific, Emotional, Language, Location, Privacy, Socio_economic_Status","sad, countri, free, countri, data, color, packag, applic",0.222222222,Negative,0,0,1,1,0,1,1,1,1
16,5/14/20 22:23,1505756398,Hayat Eve Sığar,tr,2.0.1,erke2012,1,ÖNEMLİ,UYGULAMAYI İNDİRDİKTEN SONRA KOD GELMİYOR VE DEVAMLI ATIYOR.,AFTER DOWNLOADING THE IMPORTANT APPLICATION  THE CODE DOES NOT COME AND CONTINUOUS DISCLAIMER.,tr,AFTER DOWNLOADING THE IMPORTANT APPLICATION  THE CODE DOES NOT COME AND CONTINUOUS DISCLAIMER ,Domain_Specific,"import, applic",0.25,Positive,0,0,1,0,0,0,0,0,0
17,5/14/20 22:22,1505756398,Hayat Eve Sığar,tr,2.0.1,mymagnumopus,1,Kod,Telefonuma kod gelmiyor uygulamaya giremiyorum,Code I do not receive a code on my phone  I cannot enter the application,tr,Code I do not receive a code on my phone  I cannot enter the application,Domain_Specific,"enter, receiv, applic",0.5,Neutral,0,0,1,0,0,0,0,0,0
19,5/14/20 22:15,1505756398,Hayat Eve Sığar,tr,2.0.1,merendlgz,2,İphone 6,İphone 6 kullanıcısıyım uygulamaya girdiğimde telefon doğrulama yerinde telefonuma kod gelmiyor,IPhone 6 I am an iPhone 6 user  when I enter the application  my phone does not receive a code at the phone verification site.,tr,IPhone   I am an iPhone   user  when I enter the application  my phone does not receive a code at the phone verification site ,Domain_Specific,"enter, receiv, applic",0.25,Neutral,0,0,1,0,0,0,0,0,0
20,5/14/20 22:13,1505756398,Hayat Eve Sığar,tr,2.0.1,coskun010101,2,Daha kötü oldu,Güncellemeden sonra bazı veriler çalışmadı. Performans artacağına azaldı. Anlamadım,It got worse Some data did not work after the update. Performance decreased rather than increased. I did not understand,tr,It got worse Some data did not work after the update  Performance decreased rather than increased  I did not understand,"Domain_Specific, Privacy","data, perform",0.2,Negative,0,0,1,0,0,0,0,1,0
21,5/14/20 22:07,1505756398,Hayat Eve Sığar,tr,2.0.1,Zarara hissediliriz,5,Doğrulama Adımı geçilemiyor,İlk adımı geçmeyen bir uygulamadan bir şey olmaz.,The Verification Step cannot be passed. Nothing happens from an application that does not pass the first step.,tr,The Verification Step cannot be passed  Nothing happens from an application that does not pass the first step ,Domain_Specific,applic,0.1,Neutral,0,0,1,0,0,0,0,0,0
22,5/14/20 22:00,1505756398,Hayat Eve Sığar,tr,2.0.1,11112222kerem-928,1,Bu nasıl bir iş,Daha doğrulama kodu gelmiyor daha doğrusu aydınlatma metni sayfası görüntülenemiyo ki bizi aydınlatsın bu program dünyanın en saçma uygulamasına ilk sıradan kafadan dalış yapar,How is this a job? More verification code does not come  or rather the illumination text page cannot be displayed so that it enlightens us  this program dives from the first ordinary head to the most absurd application in the world,tr,How is this a job  More verification code does not come  or rather the illumination text page cannot be displayed so that it enlightens us  this program dives from the first ordinary head to the most absurd application in the world,Domain_Specific,"display, head, applic",0.15,Positive,0,0,1,0,0,0,0,0,0
23,5/14/20 21:58,1505756398,Hayat Eve Sığar,tr,2.0.1,sym.mlt,5,👎,Yapacağız uygulamının içine tüküreyim. Kod gelmiyor. Her güncellemede içine ediyorsunuz. Alkişlıyorum sizi. 👏👏👏👏👏👏👏,👎 I spit into the application we will do. The code is not coming. You are into it with every update. I'm getting used to you. 👏👏👏👏👏👏👏,tr,  I spit into the application we will do  The code is not coming  You are into it with every update  I m getting used to you         ,Domain_Specific,applic,0.125,Neutral,0,0,1,0,0,0,0,0,0
24,5/14/20 21:58,1505756398,Hayat Eve Sığar,tr,2.0.1,aserkan.life,1,batarya dusmani,uygulama yavas ve asiri enerji tuketiyor.,The application of the battery charger is slow and consumes excessive energy.,tr,The application of the battery charger is slow and consumes excessive energy ,Domain_Specific,"charger, applic",0.285714286,Positive,0,0,1,0,0,0,0,0,0
27,5/14/20 21:45,1505756398,Hayat Eve Sığar,tr,2.0.1,seda1980,1,Uygulama açılmıyor,Telefona şifre ya geç geliyor yada gelen şifre sürekli yanlış diyor doğru yazmama rağmen,The application does not open.,tr,The application does not open ,Domain_Specific,applic,0.333333333,Neutral,0,0,1,0,0,0,0,0,0
29,5/14/20 21:36,1505756398,Hayat Eve Sığar,tr,2.0.1,Murti1907,1,Yoğunluk alanı,Yoğunluk alanı güncellemeden sonra sorunlu,Density area The density field is problematic after the update,tr,Density area The density field is problematic after the update,Location,area,0.166666667,Negative,0,0,0,0,0,0,1,0,0
30,5/14/20 21:31,1505756398,Hayat Eve Sığar,tr,2.0.1,Öyledeğil,1,Güncelleme,Son gelen güncellemeden sonra proğram hiç çalışmıyor bölgemi bulamıyor haritadaki yerim geliyor kayboluyor yakınlarım sekmesindeki  kayıtlar kendi kendine siliniyor lütfen düzeltin,Update After the last update  my program does not work at all  my location on the map is missing  it disappears and the records in the my relatives tab are deleted by themselves. Please correct it.,tr,Update After the last update  my program does not work at all  my location on the map is missing  it disappears and the records in the my relatives tab are deleted by themselves  Please correct it ,"Domain_Specific, Privacy","locat, record, locat",0.176470588,Negative,0,0,1,0,0,0,0,1,0
32,5/14/20 21:18,1505756398,Hayat Eve Sığar,tr,2.0.1,selem ben türk,5,Güzel,Çok güzel bir uygulama tavsiye ediyorum 👍,Good  I recommend a very good application 👍,tr,Good  I recommend a very good application  ,Domain_Specific,applic,0.2,Positive,0,0,1,0,0,0,0,0,0
33,5/14/20 21:14,1505756398,Hayat Eve Sığar,tr,2.0.1,metinkoca,3,Hata,Uygulamada kod gönder sayfasını aşamıyorum. Kod göndermiyor ve doğrulama ekranına geçiş yapmıyor.,Error I cannot get past the submit code page in the application. It does not send code and does not switch to the verification screen.,tr,Error I cannot get past the submit code page in the application  It does not send code and does not switch to the verification screen ,Domain_Specific,applic,0.071428571,Negative,0,0,1,0,0,0,0,0,0
34,5/14/20 21:09,1505756398,Hayat Eve Sığar,tr,2.0.1,A_D_B_bsb,1,Doğrulama için telefon numarasına kod göndermiyor,Bir önceki sürümde doğrulama kodu geliyordu ama kodu yazacak yer çıkmıyordu. Şimdi ise doğrulama kodunu gönder tuşuna basmama rağmen göndermiyor.,It does not send a code to the phone number for verification. In the previous version  the verification code was received  but there was no place to write the code. Now it doesn't send the verification code even though I press the send button.,tr,It does not send a code to the phone number for verification  In the previous version  the verification code was received  but there was no place to write the code  Now it doesn t send the verification code even though I press the send button ,Domain_Specific,"receiv, button",0.090909091,Negative,0,0,1,0,0,0,0,0,0
35,5/14/20 21:09,1505756398,Hayat Eve Sığar,tr,2.0.1,bagbas,1,Kod gelmiyo,"2-3 gundur giremiyorum app e. Kod gelmiyo !!! Sildim yukledim update, hicbirsey degismedi",The code does not come  I cannot enter the app for 2-3 days e. The code is not coming !!! I deleted  installed update  nothing changed,tr,The code does not come  I cannot enter the app for     days e  The code is not coming     I deleted  installed update  nothing changed,Domain_Specific,enter,0.071428571,Neutral,0,0,1,0,0,0,0,0,0
37,5/14/20 21:01,1505756398,Hayat Eve Sığar,tr,2.0.1,T.C. Öğrenim Görevlisi,2,Detay eksik,Her türlü detay burada verilmeli aklınıza gelen her türlü detay insan merak ediyor paylaşın bilelim ne kadar çok bilirsek o kadar çok dikkat edeceğimizi düşünüyorum,Detail is missing Every detail should be given here  every detail that comes to your mind is curious  let's know  the more we know  the more we think we will pay attention.,tr,Detail is missing Every detail should be given here  every detail that comes to your mind is curious  let s know  the more we know  the more we think we will pay attention ,"Emotional, Socio_economic_Status","curious, pay",0.125,Negative,0,0,0,1,0,0,0,0,1
38,5/14/20 21:01,1505756398,Hayat Eve Sığar,tr,2.0.1,ddrmrtc,5,Yardım,Uygulama süper olmuş ancak ilk yüklememde eşimi ve çocuklarımı eklemiştim ve yakınlarım kısmında görünüyordu hatta aile hekim tarafından sağlık Bakanlığı mesajı ile yakınlarım kısmına eklenmişti şu an hiç kimse eklenemiyor maske talebim de hata veriyor düzeltilebilirse sevinirim,Help The application was superb  but I added my wife and children in my first upload and it appeared in my relatives section  even it was added by the family physician to the section of my relatives with the message of the Ministry of Health.Nobody can be added at the moment.,tr,Help The application was superb  but I added my wife and children in my first upload and it appeared in my relatives section  even it was added by the family physician to the section of my relatives with the message of the Ministry of Health Nobody can be added at the moment ,"Age, Domain_Specific","children, section, applic",0.130434783,Positive,1,0,1,0,0,0,0,0,0
39,5/14/20 20:48,1505756398,Hayat Eve Sığar,tr,2.0.1,Rf1907,1,Açılmıyor,Tel no girin diyor girince mesaj gelmiyor,It does not open  says Enter phone number  no message comes when I enter,tr,It does not open  says Enter phone number  no message comes when I enter,Domain_Specific,enter,0.111111111,Negative,0,0,1,0,0,0,0,0,0
40,5/14/20 20:42,1505756398,Hayat Eve Sığar,tr,2.0.1,elifasel,5,Başarılı,Yeni olmasına rağmen gayet güzel bir uygulama,Successful Although new  it is a very good application,tr,Successful Although new  it is a very good application,Domain_Specific,applic,0.166666667,Positive,0,0,1,0,0,0,0,0,0
42,5/14/20 20:22,1505756398,Hayat Eve Sığar,tr,2.0.1,tufran,5,Uygulama çok şarj yiyo,Uygulama arka planda sürekli açık olduğundan çok şarj yiyor düzeltme şansı varsa düzeltilmeli iyi çalışmalar.,The application is very charged  since the application is constantly open in the background  it should be fixed if there is a chance to fix it.,tr,The application is very charged  since the application is constantly open in the background  it should be fixed if there is a chance to fix it ,Domain_Specific,applic,0.090909091,Neutral,0,0,1,0,0,0,0,0,0
43,5/14/20 20:11,1505756398,Hayat Eve Sığar,tr,2.0.1,Önel,3,Konum,İstanbul Bakırköydeyim. Yoğunluk açıldığında Ankara Beypazarı’nı gösteriyor. 😀,Location Istanbul I am in Bakırköy. When the density is opened  it shows Ankara Beypazarı. 😀,tr,Location Istanbul I am in Bak rk y  When the density is opened  it shows Ankara Beypazar    ,"Domain_Specific, Privacy","locat, locat",0.222222222,Neutral,0,0,1,0,0,0,0,1,0
44,5/14/20 19:00,1505756398,Hayat Eve Sığar,tr,2.0.1,Busece,3,kimlik bilgisi yanlışlığı,"Uygulamada yaş bilgim yanlış.
Düzeltemiyorum. Kimlik bilgim ile kayıt olmama rağmen. Bu konuda yardımcı olurmusunuz?","identity info wrong My age info in the app is wrong.
do not fix it. Even though I registered with my credential. Would you help me with this topic?",tr,identity info wrong My age info in the app is wrong  do not fix it  Even though I registered with my credential  Would you help me with this topic ,Age,age,0.066666667,Negative,1,0,0,0,0,0,0,0,0
46,5/14/20 18:14,1505756398,Hayat Eve Sığar,tr,2.0.1,caganalp,3,Karekod ne ki ?,Karekod ne demek nasıl kullanılıyor ?,What is the data matrix? What does the data matrix mean and how is it used?,tr,What is the data matrix  What does the data matrix mean and how is it used ,Privacy,data,0.142857143,Neutral,0,0,0,0,0,0,0,1,0
47,5/14/20 18:00,1505756398,Hayat Eve Sığar,tr,2.0.1,Topmaniacbou,1,Maske yok,6 hafta önce e devletten maske talep ettim hala gelmedi. Bu uygulama üzerinden maske talep ediyorum hakkınız yok diyor. Ne anladım ben bu işten?,No mask 6 weeks ago  I requested a mask from the government  but still not received. I request a mask over this application and says you have no right. What did I get from this job?,tr,No mask   weeks ago  I requested a mask from the government  but still not received  I request a mask over this application and says you have no right  What did I get from this job ,Domain_Specific,"receiv, applic",0.133333333,Negative,0,0,1,0,0,0,0,0,0
48,5/14/20 17:42,1505756398,Hayat Eve Sığar,tr,2.0.1,burro63,1,Kod gelmiyor,Virüsten öleceğiz hala kod gelmiyor uygulamaya bu nasıl iş,The code is not coming We will die from the virus  still the code is not coming to the application  how does this work?,tr,The code is not coming We will die from the virus  still the code is not coming to the application  how does this work ,Domain_Specific,applic,0.1,Negative,0,0,1,0,0,0,0,0,0
51,5/14/20 17:05,1505756398,Hayat Eve Sığar,tr,2.0.1,mrsbzk,1,Düzgün çalışmıyor,Uygulama içinde farklı alanlara girince ekranda takılı kalıyor . Hiç beğenmedim hiçbir işe yaramıyor,Doesn't work properly When entering different areas within the application it gets stuck on the screen. I never liked it  it does not work,tr,Doesn t work properly When entering different areas within the application it gets stuck on the screen  I never liked it  it does not work,"Domain_Specific, Location","area, enter, applic",0.214285714,Negative,0,0,1,0,0,0,1,0,0
54,5/14/20 16:45,1505756398,Hayat Eve Sığar,tr,2.0.1,kaysı diyarlı,5,Teşekörler sağlık bakanı,Mökemel bir oygulama,Thank you health minister Excellent application,tr,Thank you health minister Excellent application,Domain_Specific,applic,0.2,Positive,0,0,1,0,0,0,0,0,0
55,5/14/20 16:28,1505756398,Hayat Eve Sığar,tr,2.0.1,ayyyyyşe,1,Çok yavaş,Uygulamada açıklar var kayıt bölümünde kayıt olunmadığı halde bu adım gerçekleştirilmiştir diyor sürekli ve harita açılmıyor uygulamanın geliştirilmesi lazım,Very slow There are gaps in the application  it says this step has been carried out even though there is no registration in the registration section  it says that the map does not open continuously and the application needs to be developed.,tr,Very slow There are gaps in the application  it says this step has been carried out even though there is no registration in the registration section  it says that the map does not open continuously and the application needs to be developed ,Domain_Specific,"section, applic",0.1,Negative,0,0,1,0,0,0,0,0,0
59,5/14/20 16:00,1505756398,Hayat Eve Sığar,tr,2.0.1,gökhancngz,2,Kod geç geliyo,Kod çok geç geliyo gelincede girilmiyo,The code is coming late  the code is coming too late  I can't enter when I arrive,tr,The code is coming late  the code is coming too late  I can t enter when I arrive,Domain_Specific,enter,0.125,Neutral,0,0,1,0,0,0,0,0,0
61,5/14/20 15:47,1505756398,Hayat Eve Sığar,tr,2.0.1,Cautioon,1,Uygulama Çalışmıyor.,Şaka gibi... iPhone XS  iOS 13’ün son versiyonunda bu uygulama çalışmıyor. Lütfen uygulamayı geliştirirken başka hatalar ortaya çıkmasını engelleyin,Application Not Working. It's like a joke ... This app doesn't work in the latest version of iPhone XS iOS 13. Please avoid other errors while developing the application,tr,Application Not Working  It s like a joke     This app doesn t work in the latest version of iPhone XS iOS     Please avoid other errors while developing the application,Domain_Specific,applic,0.0625,Positive,0,0,1,0,0,0,0,0,0
62,5/14/20 15:42,1505756398,Hayat Eve Sığar,tr,2.0.1,Daenir000,1,Sisteme kaydolamıyorum,"İlk başta numarayı kabul etmedi, sonra onay mesajını kabul etmedi. Olmamış böyle kritik bir zamanda çıkarttığınız appte bu hatalar.",I cannot register to the system At first it did not accept the number  then it did not accept the confirmation message. These errors did not happen in the app you removed at such a critical time.,tr,I cannot register to the system At first it did not accept the number  then it did not accept the confirmation message  These errors did not happen in the app you removed at such a critical time ,Domain_Specific,"remov, critic",0.142857143,Negative,0,0,1,0,0,0,0,0,0
64,5/14/20 15:34,1505756398,Hayat Eve Sığar,tr,2.0.1,gznertn,1,Onlarca hata,"Güncellemeden sonra bile hata dolu bir app.
Her defasında sinir olup kapatıyorum","Dozens of bugs A bug-filled app even after updating.
Every time I get nervous I turn it off",tr,Dozens of bugs A bug filled app even after updating  Every time I get nervous I turn it off,Emotional,nervous,0.083333333,Negative,0,0,0,1,0,0,0,0,0
65,5/14/20 15:33,1505756398,Hayat Eve Sığar,tr,2.0.1,......0zlm,4,Yoğunluk haritası,Yoğunluk haritasındaki renklerin anlamları  nedir uygulamada açıklaması yok.,Density map What are the meanings of the colors in the density map are not explained in the application.,tr,Density map What are the meanings of the colors in the density map are not explained in the application ,Domain_Specific,"color, applic",0.25,Neutral,0,0,1,0,0,0,0,0,0
67,5/14/20 15:19,1505756398,Hayat Eve Sığar,tr,2.0.1,Triafee,1,Hata,Guncellemeden sonra uygulama hic bir butonu acmiyor,Error after the update the app doesn't open any buttons,tr,Error after the update the app doesn t open any buttons,Domain_Specific,button,0.166666667,Negative,0,0,1,0,0,0,0,0,0
71,5/14/20 14:46,1505756398,Hayat Eve Sığar,tr,2.0.1,niye takma ad gerekli,4,Uygulama açılmıyor,"Uygulama iyi bir amaç için kısa sürede yapıldığı için 4 yıldız verdim ama uygulamayı açamıyorum bile kod göndere tıklıyorum telefon numarasını girip, kod geliyor ama bir sonraki ekrana geçmiyor kod gönder ekranında kalıyor",The application does not open I gave 4 stars because the application was made in a short time for a good purpose  but I cannot open the application.,tr,The application does not open I gave   stars because the application was made in a short time for a good purpose  but I cannot open the application ,Domain_Specific,applic,0.071428571,Positive,0,0,1,0,0,0,0,0,0
73,5/14/20 14:38,1505756398,Hayat Eve Sığar,tr,2.0.1,izzzzzmiiiiirrrrr,2,Maske,"Hala maske alamadım, maske talep et e basıyorum bana 20 yaş altına 65 yaş üstüne vermiyoruz yazısı çıkıyor. Ben 44 yaşındayım...",Mask I still could not buy a mask  I ask for a mask  and it says that we do not give me under 20 years of age above 65. I am 44 years old...,tr,Mask I still could not buy a mask  I ask for a mask  and it says that we do not give me under    years of age above     I am    years old   ,"Age, Socio_economic_Status","age, buy",0.142857143,Neutral,1,0,0,0,0,0,0,0,1
74,5/14/20 14:36,1505756398,Hayat Eve Sığar,tr,2.0.1,20kn20,3,Yavaşlık,Uygulama çok zor açılıyor. Kare kod ne için ? Nasıl? Açıklayıcı anlatımların olması iyi olur. Bir de sürekli farklı sonuçlar veriyor. İki saat ara ile TİSK durumu sarıdan kırmızıya sonra sarıya dönmesi normal mi ? Elinize emeğinize sağlık kolay gelsin .,Slowness Application is difficult to open. What is the QR code for? How? It would be good to have explanatory explanations. And it always gives different results. Is it normal for TİSK status to turn yellow from yellow to yellow after two hours? Good luck with your labor.,tr,Slowness Application is difficult to open  What is the QR code for  How  It would be good to have explanatory explanations  And it always gives different results  Is it normal for T SK status to turn yellow from yellow to yellow after two hours  Good luck with your labor ,Domain_Specific,"normal, applic",0.076923077,Positive,0,0,1,0,0,0,0,0,0
75,5/14/20 14:16,1505756398,Hayat Eve Sığar,tr,2.0.1,gulozturk36,2,Güncelleme & MASKE,"Sürekli güncelle diyor 
Eee güncellemeye basıyorum bir müddet sonra tekrar güncelle diyor 
Maske :1 ay için 5 telsiz şeffaf maske mi veriyor?
Bu arada 20 kuruşluk maskeyi 50 tl ye bir paket satıyorum diyor eczacı ,ilginç ücretsizken bulunmayan maskeler şimdi satış için eczanelerde var","Update & MASK says Continuous update
So I press update  it says update again after a while
Mask: Does it give 5 wires transparent masks for 1 month?
By the way  the pharmacist says that I am selling a 20-cent mask for 50 TL a package  interesting masks that are not available when they are free are now available in pharmacies for sale.",tr,Update   MASK says Continuous update So I press update  it says update again after a while Mask  Does it give   wires transparent masks for   month  By the way  the pharmacist says that I am selling a    cent mask for    TL a package  interesting masks that are not available when they are free are now available in pharmacies for sale ,"Domain_Specific, Privacy, Socio_economic_Status","free, transpar, pharmacist, packag",0.129032258,Positive,0,0,1,0,0,0,0,1,1
76,5/14/20 14:10,1505756398,Hayat Eve Sığar,tr,2.0.1,önemlikonular,1,Önemli: Hesap Silme yok,Hesap silme bölümü yok. Bence en önemli kısım bu.,Important: No Account Deletion There is no account deletion section. I think this is the most important part.,tr,Important  No Account Deletion There is no account deletion section  I think this is the most important part ,Domain_Specific,"section, import, account",0.333333333,Negative,0,0,1,0,0,0,0,0,0
78,5/14/20 14:07,1505756398,Hayat Eve Sığar,tr,2.0.1,daha iyi olmalı aramalar,3,Hızlı olmuş yeterli değil,Faydalımı evet ama o kadar yazılımcımız var daha anlaşılır renklerin anlamları vs ve zorunlu tutulmalı ki gerçek faydası olsun Çin zorunlu olarak uygulama kullandı,It was fast is not enough. Is it useful? Yes  but we have so many software developers more understandable meanings of colors etc.,tr,It was fast is not enough  Is it useful  Yes  but we have so many software developers more understandable meanings of colors etc ,Domain_Specific,color,0.090909091,Positive,0,0,1,0,0,0,0,0,0
79,5/14/20 14:02,1505756398,Hayat Eve Sığar,tr,2.0.1,Ahshsvs,1,👎,Giriş yapmak için kod gönder kısmında takıldı  kod girilecek ekran yok ne denebilirki,👎 It is stuck in the send code to login section  there is no screen to enter a code.,tr,  It is stuck in the send code to login section  there is no screen to enter a code ,Domain_Specific,"section, enter",0.25,Negative,0,0,1,0,0,0,0,0,0
