,Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
4,2/11/20 0:05,uk.nhs.covid19.production,NHS COVID-19,en,Maureen Howe,3,I was told to isolate and I have never been in contact with anyone who has tested positive I am now very nervous about leaving my home,   I was told to isolate and I have never been in contact with anyone who has tested positive I am now very nervous about leaving my home  ,en,   I was told to isolate and I have never been in contact with anyone who has tested positive I am now very nervous about leaving my home  ,Emotional,nervous,0.090909091,Positive,0,0,0,1,0,0,0,0,0
13,1/11/20 21:38,uk.nhs.covid19.production,NHS COVID-19,en,Republican Party,5,NHS covid19 app easy and secure,   NHS covid19 app easy and secure  ,en,   NHS covid   app easy and secure  ,Privacy,"secur, secur",0.4,Positive,0,0,0,0,0,0,0,1,0
16,1/11/20 20:50,uk.nhs.covid19.production,NHS COVID-19,en,Geoff Warrington,1,"There's no way to synchronise across devices, nor is it possible to add a previous visit to a location. I took a picture of a QR code with another device to check in once I had access to my primary device. That check in is several hours out of date.","   There's no way to synchronise across devices, nor is it possible to add a previous visit to a location. I took a picture of a QR code with another device to check in once I had access to my primary device. That check in is several hours out of date.  ",en,   There s no way to synchronise across devices  nor is it possible to add a previous visit to a location  I took a picture of a QR code with another device to check in once I had access to my primary device  That check in is several hours out of date   ,"Domain_Specific, Privacy","locat, locat",0.083333333,Negative,0,0,1,0,0,0,0,1,0
17,1/11/20 20:37,uk.nhs.covid19.production,NHS COVID-19,en,Jill Huggins,1,You can check into a location but not check out again if you are going home. According to the app I was in the hairdresser for 15 hours not the 1 hour I was actually there. Imo useless.,   You can check into a location but not check out again if you are going home. According to the app I was in the hairdresser for 15 hours not the 1 hour I was actually there. Imo useless.  ,en,   You can check into a location but not check out again if you are going home  According to the app I was in the hairdresser for    hours not the   hour I was actually there  Imo useless   ,"Domain_Specific, Privacy","locat, locat, hairdress",0.230769231,Negative,0,0,1,0,0,0,0,1,0
20,1/11/20 20:00,uk.nhs.covid19.production,NHS COVID-19,en,Lindsay Carol Sparrow,3,The check in facility is useful but to change your address/base the only way I could find to change your postcode is to uninstall and reinstall.,   The check in facility is useful but to change your address/base the only way I could find to change your postcode is to uninstall and reinstall.  ,en,   The check in facility is useful but to change your address base the only way I could find to change your postcode is to uninstall and reinstall   ,Domain_Specific,address,0.071428571,Positive,0,0,1,0,0,0,0,0,0
21,1/11/20 19:56,uk.nhs.covid19.production,NHS COVID-19,en,i aykarin,5,"The app does what it should do. If you inspect the exposure notifications (settings>Google>exposure notifications) you can see what's being checked. The backend works well and isn't just spamming packets everywhere. A good deployment. But next time, please tell the non-tech management to adopt the Google/apple framework in the first instance.","   The app does what it should do. If you inspect the exposure notifications (settings>Google>exposure notifications) you can see what's being checked. The backend works well and isn't just spamming packets everywhere. A good deployment. But next time, please tell the non-tech management to adopt the Google/apple framework in the first instance.  ",en,   The app does what it should do  If you inspect the exposure notifications  settings Google exposure notifications  you can see what s being checked  The backend works well and isn t just spamming packets everywhere  A good deployment  But next time  please tell the non tech management to adopt the Google apple framework in the first instance   ,Domain_Specific,"manag, manag",0.0625,Positive,0,0,1,0,0,0,0,0,0
23,1/11/20 19:42,uk.nhs.covid19.production,NHS COVID-19,en,Petr Doležal,5,"Having experience with multiple countries, this app is one of the best efforts out there","   Having experience with multiple countries, this app is one of the best efforts out there  ",en,   Having experience with multiple countries  this app is one of the best efforts out there  ,"Language, Location","countri, countri",0.285714286,Positive,0,0,0,0,0,1,1,0,0
34,1/11/20 16:59,uk.nhs.covid19.production,NHS COVID-19,en,Nicola Hubble,5,"The app is safe and friendly, it does not ask for personnel information only your postcode that the area that you live in","   The app is safe and friendly, it does not ask for personnel information only your postcode that the area that you live in  ",en,   The app is safe and friendly  it does not ask for personnel information only your postcode that the area that you live in  ,Location,area,0.090909091,Positive,0,0,0,0,0,0,1,0,0
37,1/11/20 16:21,uk.nhs.covid19.production,NHS COVID-19,pl,Maciej Rassmus,1,"This country is a joke, IT glitch lol. How incompetent is all this. Utterly ridiculous, guy that was managing database was an ex DVD merchandiser for Blockbuster! UK you are a joke!","   This country is a joke, IT glitch lol. How incompetent is all this. Utterly ridiculous, guy that was managing database was an ex DVD merchandiser for Blockbuster! UK you are a joke!  ",en,   This country is a joke  IT glitch lol  How incompetent is all this  Utterly ridiculous  guy that was managing database was an ex DVD merchandiser for Blockbuster  UK you are a joke   ,"Domain_Specific, Language, Location","countri, countri, uk, manag, manag, merchandis",0.375,Positive,0,0,1,0,0,1,1,0,0
42,1/11/20 15:44,uk.nhs.covid19.production,NHS COVID-19,en,Jason Jones,1,"Just discovered this app can't track your location, if you don't scan a bar code on entering somewhere it won't know where you've been or go, ridiculous. So if you get within Bluetooth range and therefore infection range of someone infected who shouldn't be there, assuming they've updated their symptoms or + test result you'll get an alarm telling you basically: Too late!! We waited months for this? 1 star for the links to info. Installed on 1st day, now uninstalled as pointless.","   Just discovered this app can't track your location, if you don't scan a bar code on entering somewhere it won't know where you've been or go, ridiculous. So if you get within Bluetooth range and therefore infection range of someone infected who shouldn't be there, assuming they've updated their symptoms or + test result you'll get an alarm telling you basically: Too late!! We waited months for this? 1 star for the links to info. Installed on 1st day, now uninstalled as pointless.  ",en,   Just discovered this app can t track your location  if you don t scan a bar code on entering somewhere it won t know where you ve been or go  ridiculous  So if you get within Bluetooth range and therefore infection range of someone infected who shouldn t be there  assuming they ve updated their symptoms or   test result you ll get an alarm telling you basically  Too late   We waited months for this    star for the links to info  Installed on  st day  now uninstalled as pointless   ,"Domain_Specific, Privacy","locat, track, enter, locat",0.097560976,Negative,0,0,1,0,0,0,0,1,0
43,1/11/20 15:44,uk.nhs.covid19.production,NHS COVID-19,en,Phillip Rees,1,Absolutely rubbish. Uses Bluetooth and gives false information. No notifications given when supposedly in contact with a recent positive person. Needs alot more work. Can't think to believe this cost a few £100s to set up let alone 12billion. What a joke. Removed app and not downloading ever again,   Absolutely rubbish. Uses Bluetooth and gives false information. No notifications given when supposedly in contact with a recent positive person. Needs alot more work. Can't think to believe this cost a few £100s to set up let alone 12billion. What a joke. Removed app and not downloading ever again  ,en,   Absolutely rubbish  Uses Bluetooth and gives false information  No notifications given when supposedly in contact with a recent positive person  Needs alot more work  Can t think to believe this cost a few     s to set up let alone   billion  What a joke  Removed app and not downloading ever again  ,"Domain_Specific, Socio_economic_Status","cost, remov",0.068965517,Positive,0,0,1,0,0,0,0,0,1
47,1/11/20 14:12,uk.nhs.covid19.production,NHS COVID-19,en,Sophie Churchill,3,The app is great but today I had a notification saying I came into contact with someone who had the virus but I didn't receive a second notification to say weather to self isolate or not,   The app is great but today I had a notification saying I came into contact with someone who had the virus but I didn't receive a second notification to say weather to self isolate or not  ,en,   The app is great but today I had a notification saying I came into contact with someone who had the virus but I didn t receive a second notification to say weather to self isolate or not  ,Domain_Specific,receiv,0.0625,Positive,0,0,1,0,0,0,0,0,0
59,1/11/20 12:41,uk.nhs.covid19.production,NHS COVID-19,en,Jeff Ellis,5,If you want the best of food and staff this is the place to visit,   If you want the best of food and staff this is the place to visit  ,en,   If you want the best of food and staff this is the place to visit  ,Domain_Specific,staff,0.166666667,Positive,0,0,1,0,0,0,0,0,0
61,1/11/20 12:21,uk.nhs.covid19.production,NHS COVID-19,en,Steve B,1,"Terrible. Spams notifications with no detail then the notification cannot be retrieved. The app does not keep a log of the notifications you receive about possible contact or advice. I receive about 100 notifications a day that just read ""loading..."" which then disappear. Occasionally I get an alert saying I have been exposed but that also disappears and there is no further detail. Embarrassingly bad for any app but scandalous given its importance and £12bn cost. Ridiculous.","   Terrible. Spams notifications with no detail then the notification cannot be retrieved. The app does not keep a log of the notifications you receive about possible contact or advice. I receive about 100 notifications a day that just read ""loading..."" which then disappear. Occasionally I get an alert saying I have been exposed but that also disappears and there is no further detail. Embarrassingly bad for any app but scandalous given its importance and £12bn cost. Ridiculous.  ",en,   Terrible  Spams notifications with no detail then the notification cannot be retrieved  The app does not keep a log of the notifications you receive about possible contact or advice  I receive about     notifications a day that just read  loading     which then disappear  Occasionally I get an alert saying I have been exposed but that also disappears and there is no further detail  Embarrassingly bad for any app but scandalous given its importance and    bn cost  Ridiculous   ,"Domain_Specific, Socio_economic_Status","cost, receiv, import",0.076923077,Negative,0,0,1,0,0,0,0,0,1
62,1/11/20 12:20,uk.nhs.covid19.production,NHS COVID-19,en,Colin Jones,2,I had had to uninstall this app as it keeps causing a 'pop up' to appear saying 'Google play services has stopped working'. Most frustrating.,   I had had to uninstall this app as it keeps causing a 'pop up' to appear saying 'Google play services has stopped working'. Most frustrating.  ,en,   I had had to uninstall this app as it keeps causing a  pop up  to appear saying  Google play services has stopped working   Most frustrating   ,"Domain_Specific, Emotional","frustrat, servic, servic",0.230769231,Negative,0,0,1,1,0,0,0,0,0
72,1/11/20 11:32,uk.nhs.covid19.production,NHS COVID-19,en,David Bannerman,5,Good service. Covid rules closely follow.,   Good service. Covid rules closely follow.  ,en,   Good service  Covid rules closely follow   ,Domain_Specific,"servic, servic, follow",0.5,Positive,0,0,1,0,0,0,0,0,0
76,1/11/20 10:55,uk.nhs.covid19.production,NHS COVID-19,en,Peter Zalewski,1,Completely useless. You don't have any useful information given by the application. I advice you to remove it from your device.,   Completely useless. You don't have any useful information given by the application. I advice you to remove it from your device.  ,en,   Completely useless  You don t have any useful information given by the application  I advice you to remove it from your device   ,Domain_Specific,"remov, applic",0.2,Neutral,0,0,1,0,0,0,0,0,0
84,1/11/20 10:19,uk.nhs.covid19.production,NHS COVID-19,en,Anthony O'Rourke,3,"App should include link to booking a test, and also tell you what tier your area is in and what the local rules are.","   App should include link to booking a test, and also tell you what tier your area is in and what the local rules are.  ",en,   App should include link to booking a test  and also tell you what tier your area is in and what the local rules are   ,Location,"local, area",0.181818182,Neutral,0,0,0,0,0,0,1,0,0
89,1/11/20 9:41,uk.nhs.covid19.production,NHS COVID-19,en,Andrew Garnham,5,Great idea if used properly have seen far too many people just bypassing the qr code when entering venues great for gaining info and keeping up to date. like most things spoiled by the minority who dont follow the rules.,   Great idea if used properly have seen far too many people just bypassing the qr code when entering venues great for gaining info and keeping up to date. like most things spoiled by the minority who dont follow the rules.  ,en,   Great idea if used properly have seen far too many people just bypassing the qr code when entering venues great for gaining info and keeping up to date  like most things spoiled by the minority who do not follow the rules   ,Domain_Specific,"enter, follow",0.083333333,Positive,0,0,1,0,0,0,0,0,0
