,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
1,31/10/2020 23:21,1520427663,NHS COVID-19,gb,,mark1974scd,2,Drains your battery,"Drains your battery and uses up your data ,and keeps messaging me saying my areas risk level had changed when it hasn’t. Also
No point having it now as bodger boris has put us in another lock down so no one will be out","  Drains your battery Drains your battery and uses up your data ,and keeps messaging me saying my areas risk level had changed when it hasn’t. Also
No point having it now as bodger boris has put us in another lock down so no one will be out  ",en,  Drains your battery Drains your battery and uses up your data  and keeps messaging me saying my areas risk level had changed when it hasn t  Also No point having it now as bodger boris has put us in another lock down so no one will be out  ,"Domain_Specific, Location, Privacy","area, data, level",0.136363636,Negative,0,0,1,0,,0,1,1,0
2,31/10/2020 23:08,1520427663,NHS COVID-19,gb,,Tashyptashy,3,It’s ok with potential,"This app would be so much better to have the option to sign out of a venue. If I scan a code for a venue I enter for two minutes ( to pick up a takeaway sandwich), I won’t sign into another venue for a few days later. This means the app will assume I’m in the venue until midnight and I could get a notification to self isolate if a person entered the venue a few hours AFTER I’ve been and gone. 
If this is sorted, the app would be much more accurate and produce finer results to respond to","  It’s ok with potential This app would be so much better to have the option to sign out of a venue. If I scan a code for a venue I enter for two minutes ( to pick up a takeaway sandwich), I won’t sign into another venue for a few days later. This means the app will assume I’m in the venue until midnight and I could get a notification to self isolate if a person entered the venue a few hours AFTER I’ve been and gone. 
If this is sorted, the app would be much more accurate and produce finer results to respond to  ",en,  It s ok with potential This app would be so much better to have the option to sign out of a venue  If I scan a code for a venue I enter for two minutes   to pick up a takeaway sandwich   I won t sign into another venue for a few days later  This means the app will assume I m in the venue until midnight and I could get a notification to self isolate if a person entered the venue a few hours AFTER I ve been and gone   If this is sorted  the app would be much more accurate and produce finer results to respond to  ,Domain_Specific,"respond, enter, finer",0.063829787,Positive,0,0,1,0,,0,0,0,0
5,31/10/2020 19:31,1520427663,NHS COVID-19,gb,,MikeyW93,1,Shambles,Absolute shambles of a government. It’s not an nhs app. It’s a serco app. Own it. Flooded the reviews with bots and AI. Scree this country.,  Shambles Absolute shambles of a government. It’s not an nhs app. It’s a serco app. Own it. Flooded the reviews with bots and AI. Scree this country.  ,en,  Shambles Absolute shambles of a government  It s not an nhs app  It s a serco app  Own it  Flooded the reviews with bots and AI  Scree this country   ,"Language, Location","countri, countri",0.142857143,Neutral,0,0,0,0,,1,1,0,0
7,31/10/2020 19:02,1520427663,NHS COVID-19,gb,,Chris Dyckes,5,Simple to use,Enjoying scanning Qr codes and quick recognition of location.,  Simple to use Enjoying scanning Qr codes and quick recognition of location.  ,en,  Simple to use Enjoying scanning Qr codes and quick recognition of location   ,"Domain_Specific, Privacy","locat, locat",0.222222222,Positive,0,0,1,0,,0,0,1,0
9,31/10/2020 18:20,1520427663,NHS COVID-19,gb,,Kanputt,1,Doesn’t work in the borders,Living in the Scottish border with England I spend time on both sides of the border. I installed the Scottish app which doesn’t work in England so decided to instal the English app this doesn’t work as I had installed the Scottish app totally useless for me!!!,  Doesn’t work in the borders Living in the Scottish border with England I spend time on both sides of the border. I installed the Scottish app which doesn’t work in England so decided to instal the English app this doesn’t work as I had installed the Scottish app totally useless for me!!!  ,en,  Doesn t work in the borders Living in the Scottish border with England I spend time on both sides of the border  I installed the Scottish app which doesn t work in England so decided to instal the English app this doesn t work as I had installed the Scottish app totally useless for me     ,"Domain_Specific, Language","english, border",0.08,Negative,0,0,1,0,,1,0,0,0
10,31/10/2020 17:55,1520427663,NHS COVID-19,gb,,Rikky_007,4,Needs location status adding to Home Screen to determine local risk,"The app works well for status, but when using check in does not allow for a time frame to narrow down time at venue and potentially eliminate being told to isolate when someone else checks in later on the same day leading to a positive contact.","  Needs location status adding to Home Screen to determine local risk The app works well for status, but when using check in does not allow for a time frame to narrow down time at venue and potentially eliminate being told to isolate when someone else checks in later on the same day leading to a positive contact.  ",en,  Needs location status adding to Home Screen to determine local risk The app works well for status  but when using check in does not allow for a time frame to narrow down time at venue and potentially eliminate being told to isolate when someone else checks in later on the same day leading to a positive contact   ,"Domain_Specific, Location, Privacy","local, locat, locat",0.088235294,Positive,0,0,1,0,,0,1,1,0
13,31/10/2020 16:17,1520427663,NHS COVID-19,gb,,Christopherroberts,4,New Button Needed,Could we have a button added to notifications that lets us receive general health information?,  New Button Needed Could we have a button added to notifications that lets us receive general health information?  ,en,  New Button Needed Could we have a button added to notifications that lets us receive general health information   ,Domain_Specific,"receiv, button",0.153846154,Neutral,0,0,1,0,,0,0,0,0
15,31/10/2020 15:45,1520427663,NHS COVID-19,gb,,mikies lunch,5,Not convinced,After knowing four covid people and my daughter being sent home from school there has been no pings on our apps,  Not convinced After knowing four covid people and my daughter being sent home from school there has been no pings on our apps  ,en,  Not convinced After knowing four covid people and my daughter being sent home from school there has been no pings on our apps  ,Age,school,0.090909091,Negative,1,0,0,0,,0,0,0,0
17,31/10/2020 14:13,1520427663,NHS COVID-19,gb,,ianpass12,1,Alarming fake alerts,I have the most updated version and still receive a panic inducing possible exposure notification everyday along side another notification saying everything is fine. This is distressing and I need this fixed or I’ll have to delete the app.,  Alarming fake alerts I have the most updated version and still receive a panic inducing possible exposure notification everyday along side another notification saying everything is fine. This is distressing and I need this fixed or I’ll have to delete the app.  ,en,  Alarming fake alerts I have the most updated version and still receive a panic inducing possible exposure notification everyday along side another notification saying everything is fine  This is distressing and I need this fixed or I ll have to delete the app   ,"Domain_Specific, Emotional","distress, panic, receiv, distress",0.16,Negative,0,0,1,1,,0,0,0,0
19,31/10/2020 13:42,1520427663,NHS COVID-19,gb,,mr dave n,1,Don’t work,Since the update the track and trace don’t work as I’ve gone into 2 places and try to scan the codes and say don’t recognise the code. It worked before the update Please fix,  Don’t work Since the update the track and trace don’t work as I’ve gone into 2 places and try to scan the codes and say don’t recognise the code. It worked before the update Please fix  ,en,  Don t work Since the update the track and trace don t work as I ve gone into   places and try to scan the codes and say don t recognise the code  It worked before the update Please fix  ,Privacy,track,0.052631579,Positive,0,0,0,0,,0,0,1,0
