Review,Rating,Translation,,Age,Disability,Emotional,Gender,Language,Location,Privacy,Socioeconomic,Miscellaneous,,Bug Report,Feature request,User Experience,Other
Why it is showing different numbers of cases in area in different mobiles at same location.,3,Why it is showing different numbers of cases in area in different mobiles at same location.,,,,,,,1,,,,,1,,,
I think there should be Urdu language also.,3,I think there should be Urdu language also.,,,,,,1,,,,,,,1,,
tired of thia. been 3 weeks. still getting there aome wrroe logging you in error. uninstalled and reinstalled. gave all permission. No Vpn. doesn't this work from USA,1,tired of thia. been 3 weeks. still getting there aome wrroe logging you in error. uninstalled and reinstalled. gave all permission. No Vpn. doesn't this work from USA,,,,,,,1,,,,,1,,,
I am not able to set the age in the first test,1,I am not able to set the age in the first test,,1,,,,,,,,,,,,,1
Non sense just data collection,1,Non sense just data collection,,,,,,,,1,,,,,,,1
The app is not designed to include foreign contact number. So those passengers arriving from foreign countries into India who do not have a Indian sim card cannot register on this app. There is no point in downloading the app until then.,1,The app is not designed to include foreign contact number. So those passengers arriving from foreign countries into India who do not have a Indian sim card cannot register on this app. There is no point in downloading the app until then.,,,,,,,1,,,,,,,,1
the app is very good but not working in micromax Q372 model smartphone and my phone is 3g________ Try this app in your 3g smartphone,2,the app is very good but not working in micromax Q372 model smartphone and my phone is 3g________ Try this app in your 3g smartphone,,,,,,,,,1,,,1,,,
"There is a corona positive couple next to next door and you give an update as you are safe till 5kms from your place! Like what is the use of this app if everyone does not switch on their location and bluetooth, nobody is even updating it if they are positive! This is not working!",1,There is a corona positive couple next to next door and you give an update as you are safe till 5kms from your place! Like what is the use of this app if everyone does not switch on their location and bluetooth  nobody is even updating it if they are positive! This is not working!,,,,,,,,1,,,,,,1,
"Don't for useful because not sure location send us in this area near by ... Kilometres corona viruses patients , so this is bakwasssss ______",1,Don't for useful because not sure location send us in this area near by ... Kilometres corona viruses patients   so this is bakwasssss ______,,,,,,,1,,,,,,,,1
"Useless app.. I went out, came home to see who I've been near.. It didn't show any such data... It's just a scam.. Govt. Wants ur data... Don't download it folks",1,Useless app.. I went out  came home to see who I've been near.. It didn't show any such data... It's just a scam.. Govt. Wants ur data... Don't download it folks,,,,,,,,1,,,,,,1,
Covid Death happened back side of my house and still in app showing NO Covid case within 500mtr..then how i trust this app is giving correct picture,1,Covid Death happened back side of my house and still in app showing NO Covid case within 500mtr..then how i trust this app is giving correct picture,,,,,,,,1,,,,,,1,
This app are good but Pakistan haker are fake link viral in whatsapp tho ye Indian government ka app hai na it will be secure..,5,This app are good but Pakistan haker are fake link viral in whatsapp tho ye Indian government ka app hai na it will be secure..,,,,,,,,1,,,,,,,1
"Waste of time ! Doesn't seem to do anything at all, who said that it was for UK, and why should something developed by and for Gibraltar have any relevance for the UK ?",1,"   Waste of time ! Doesn't seem to do anything at all, who said that it was for UK, and why should something developed by and for Gibraltar have any relevance for the UK ?  ",,,,,,,1,,,,,,,1,
"Must include all countries, I noticed that Asian countries are not included here. Overall it's fine, but it's not alarming when we cross through the affected areas of Bahrain. It should have some measurements of indication to stop or go ahead in places where they found the patients. Also, yesterday I visited Manama the most crowded place in Bahrain. I closed car glass No one using mask and huge gatherings on small small roads inside, I was worried too much to see this kind of partial curfew.",2,Must include all countries  I noticed that Asian countries are not included here. Overall it's fine  but it's not alarming when we cross through the affected areas of Bahrain. It should have some measurements of indication to stop or go ahead in places where they found the patients. Also  yesterday I visited Manama the most crowded place in Bahrain. I closed car glass No one using mask and huge gatherings on small small roads inside  I was worried too much to see this kind of partial curfew.,,,,,,,1,,,,,,1,,
Giving this 5 stars because it is in English. Thank you very much for that,5,Giving this 5 stars because it is in English. Thank you very much for that,,,,,,1,,,,,,,,,1
英語学習のために、スマートフォンの言語設定を英語にしています。このアプリで は端末の言語設定がそのまま反映されるので、アプリの言語は自動的に英語になります。 感染者と接触があった場合に、保健所などに画面を提示する必要が出てくる場合があるようですが、英語設定のままでも対応してもらえるのでしょうか？ 日本語でないといけないようであれば、アプリ内で簡単に言語設定を変えられるように仕様変更していただけるといいと思います。,3,For learning English  I am setting the language of my smartphone to English. In this app  the language setting of the device is reflected as it is  so the language of the app is automatically English. It seems that it may be necessary to present the screen to a public health center when there is contact with an infected person. Is it possible to respond even with the English setting? If you have to use Japanese  I would like you to change the specifications so that you can easily change the language setting in the application.,,,,,,1,,,,,,,1,,
"海外在住で、英語設定の海外スマホと居住国が日本以外のGoogleアカウントを用いてインストールしましたが全てスムーズです。気になる点は(1) 英語版の登録名にある""MHLW official""は日本人の私にもハテナ? です (2) アプリ自体はよく英語化されているのですが、スプラッシュスクリーンとアプリ上部のバナーに日本語が残るのは気になります。特に旅行者にとっては読めない文字で書かれたものは何かしら不安を感じます。厳しい言い方をすればアマビエも日本人の間だけで通じる内輪ネタで英語版のスプラッシュスクリーンには相応しくないです。シンプルな英語のみのスプラッシュとバナーにして、アマビエについては別途アプリ内に紹介ページを設けた方がよいと思います。",5,"I live abroad  and the English-language overseas smartphone and my country of residence installed it using a Google account other than Japan  but everything is smooth. Points to be worried about (1) ""MHLW official"" in the English version's registered name is a Japanese even I'm Hatena? (2) The app itself is often translated into English  but the splash screen and the upper part of the app I am worried that Japanese will remain on the banner. In particular  I feel uneasy about what is written in unreadable characters for travelers. To put it strictly  Amabier is an inside story that only Japanese people can understand  and it is not suitable for the English version of the splash screen. It's better to have a simple English-only splash and banner  and to have a separate introduction page in the app for Amabier.",,,,,,1,,,,,,,,,1
"Easy install. I always have Bluetooth off unless connected to headphones, so breaking that habit will be difficult. This doesn't work unless Bluetooth is on. Anyone with privacy concerns, none here, but I hope you have turned of GPS location tracking. I'm not sure those people who are concerned about privacy are even aware their location data is being tracked and stored. See Google Maps TimeLine, which I use. Personally I would favor a more aggressive contact tracing app for the case of Corona.",4,Easy install. I always have Bluetooth off unless connected to headphones  so breaking that habit will be difficult. This doesn't work unless Bluetooth is on. Anyone with privacy concerns  none here  but I hope you have turned of GPS location tracking. I'm not sure those people who are concerned about privacy are even aware their location data is being tracked and stored. See Google Maps TimeLine  which I use. Personally I would favor a more aggressive contact tracing app for the case of Corona.,,,,,,,,1,,,,,,,1
Japan's contact tracing app is one more layer of safety when it comes to the coronavirus. The app works fine on my Pixel 4.,5,Japan's contact tracing app is one more layer of safety when it comes to the coronavirus. The app works fine on my Pixel 4.,,,,,,,,1,,,,,,,1
"No GPS request, good.",5,No GPS request  good.,,,,,,,,1,,,,,,,1
"Asks for GPS location. I uninstalled this app because it kept asking me to enable Google location services, therefore accessing my GPS location. This is in stark contrast to what was claimed.",1,Asks for GPS location. I uninstalled this app because it kept asking me to enable Google location services  therefore accessing my GPS location. This is in stark contrast to what was claimed.,,,,,,,,1,,,,,,,1
