Title,Review,Rating,Translation,,Age,Disability,Emotional,Gender,Language,Location,Socioeconomic,Privacy,Miscellaneous,,Bug Report,Feature Request,User Experience,Other
Doesn’t show the location,If people ‘At Risk’ near my place the info should be able to click and view where exactly is the location so that we can avoid that particular area but there is no option available to click even,2,Doesn’t show the location If people ‘At Risk’ near my place the info should be able to click and view where exactly is the location so that we can avoid that particular area but there is no option available to click even,,,,,,,1,,,,,,1,,
Not relevant,Still has questions about foreign travel. The whole domestic migration and traveling for work is also an area that are high risk. It is not covered yet.,2,Not relevant Still has questions about foreign travel. The whole domestic migration and traveling for work is also an area that are high risk. It is not covered yet.,,,,,,,1,,,,,,,,1
Not able to update my personal info,"Hi Team,
I am not able to proceed when Countries travel in last 30 days appear in personal details.
Device - IPhone 6 
iOS  - 12.4.5",3," Not able to update my personal info Hi Team 
I am not able to proceed when Countries travel in last 30 days appear in personal details.
Device - IPhone 6 
iOS  - 12.4.5 ",,,,,,,1,,,,,1,,,
Great app,Great initiative but not sure how people with no smart phones are covered.,5,Great app Great initiative but not sure how people with no smart phones are covered.,,,,,,,,1,,,,,,,1
Where do you get this data from,"Hi there
I have got a general enquiry. 
How do you get the data 
For say, how do you know that A person standing 500 mts had corona Virus?",5," Where do you get this data from Hi there
I have got a general enquiry. 
How do you get the data 
For say  how do you know that A person standing 500 mts had corona Virus? ",,,,,,,,,1,,,,,,1
Can’t use it,Kindly modify this app for all the countries. I’m in USA and after entering mobile number during initial setup i never received OTP and bcz of it unable to use it. __,3,Can’t use it Kindly modify this app for all the countries. I’m in USA and after entering mobile number during initial setup i never received OTP and bcz of it unable to use it. __,,,,,,,1,,,,,1,,,
"It’s a great app, but I do have a suggestion for iPhones","In the latest update, Apple introduced something called COVID-19 exposure tracking and it works even when the app is not open by exchanging random ids.. I know people are going to be behind you guys for privacy issues but associating your app with this would actually be perfect for iPhone users",4,It’s a great app  but I do have a suggestion for iPhones In the latest update  Apple introduced something called COVID-19 exposure tracking and it works even when the app is not open by exchanging random ids.. I know people are going to be behind you guys for privacy issues but associating your app with this would actually be perfect for iPhone users,,,,,,,,,1,,,,1,,
For iOS 13 or later,Not compatible with older iOS devices unable to have iOS 13 like iPhone 6,3,For iOS 13 or later Not compatible with older iOS devices unable to have iOS 13 like iPhone 6,,,,,,,,1,,,,,,1,
Covid 19 App,This app is useless for me I keep on getting pop ups that I am in a wrong region and this will not support exposure to the virus to go to settings.,1,Covid 19 App This app is useless for me I keep on getting pop ups that I am in a wrong region and this will not support exposure to the virus to go to settings.,,,,,,,1,,,,,,,,1
______ ________,___ __ ___ _____ __ ________ _____ ___ ____ ____ ____ ___ __ ____ _____ _ _______ ___ ____ ______ __ ___ ___ _____ _ _____ ____ ________ _ ______ __ _______ ___ ___ ___ ___ _____ __ _____ ___ ____ __ _________ ______ ______ __ _______ __ _____ ___ ___ _____ _____ ____ _______________ __ ___ ____ __ _____ ____ __ _______,1,A breach of privacy  the first thing that came out about the program  I downloaded it  when I entered it  it asked you to take your position and your movements. This is something that jolts me  but I said  “Come on  go with it.” It is not their minds that the servants do not have work or the things of the house to bring with their spirit ???,,,,,,,,,1,,,,,,1
______ ________,___ __ ___ _____ __ ________ _____ ___ ____ ____ ____ ___ __ ____ _____ _ _______ ___ ____ ______ __ ___ ___ _____ _ _____ ____ ________ _ ______ __ _______ ___ ___ ___ ___ _____ __ _____ ___ ____ __ _________ ______ ______ __ _______ __ _____ ___ ___ _____ _____ ____ _______________ __ ___ ____ __ _____ ____ __ _______,1,A breach of privacy  the first thing that came out about the program  I downloaded it  when I entered it  it asked you to take your position and your movements. This is something that jolts me  but I said  “Come on  go with it.” It is not their minds that the servants do not have work or the things of the house to bring with their spirit ???,,,,,,,,,1,,,,,,1
risk of Privacy and location data misuse,"I like the app and concept 
but i have doubt regrading my privacy and its taking your ID number and mobile number for registration, so great risk of privacy and location data misuse by other government departments",1," risk of Privacy and location data misuse I like the app and concept 
but i have doubt regrading my privacy and its taking your ID number and mobile number for registration  so great risk of privacy and location data misuse by other government departments ",,,,,,,,,1,,,,,,1
________,"__________________________________________________________________________

_____
1. ____________________________________________________________________________________

2. ____________________________________

3. __________________________________________________________",4,"It cannot be evaluated  but it is difficult to evaluate this app because its value is unknown until the notification actually arrives. However  there are some people who say that it is not possible to search  but if it is searched by the Ministry of Health  Labor and Welfare  it will be one shot.

Points to be worried about
1. Since it is premised that the positive judge will voluntarily register  it will be meaningless if it fails or registration is delayed. Also  it seems that you will need to enter the process number  but what happens if you make a mistake? ?

2. As I am worried about battery consumption  I may delete it after using it for a while after it is used up.

3. By the way  should this app always be on? I'm a little worried because I can't really feel how it is working.",,,,1,,,,,,,,,,,1
______,__________________________2_____________________1___________________________________________________________________________________,3,I think it's good  but I think it's a great app because it protects privacy  but I'm worried that contact data will be stored for only 2 weeks. I want it to be about a month. Also  I'm worried that I don't know where to touch. Is it at school or at work or on the train? If we understand that  we will all feel a sense of crisis and think that we will take infection prevention measures.,,,,,,,,,1,,,,,,1
______,"____________________________________________________________________15_____________________________________________________________
_____________________________________________",1,"Hypocrisy app With this  you have to register yourself  few people will self-report yourself  it just gives you a sense of security  nothing to do  let alone become infected late after 15 minutes with the other party It just fuels anxiety. I think that the Ministry of Health and Welfare itself needs to publish the information of infected people as an application.
The idea and method may be good  but since it is personal information only  no one can easily put it on.",,,,,,,,,1,,,,1,,
iPhone6________,iPhone6______OS____________________SIM_________________________________,1,iPhone6 __is not covered  iPhone6 __users can not use it outside the OS. Not good for cheap SIM users without money like me. I want you to pay more attention to the people of the people.,,,,,,,,1,,,,,,,1
_______,___________________________________________________________________________,1,What 's this. The start date is updated daily. I couldn't do such a rudimentary thing  so I was worried whether I could really trust. Everyone in the Ministry of Health  Labor and Welfare  please check it out.,,,,,,,,,1,,,,,,1
____,"_________________________________________________
______________________________________________
__________________________________________",1,"Positive people are meaningless unless the number of registered positive people is displayed. If the number of positive people is zero  there is no such meaningless application.
I think that it is necessary to take measures such as allowing restaurants to enter with the application enabled  especially for restaurants at night.
The government and today's society are too conscious of the human rights and privacy of individual citizens and cannot protect them.",,,,,,,,,1,,,,,,1
____,"______________________
__________________________________________________________________________________________",1,"I deleted it because the usage days had been cleared.
I had installed it because I was willing to cooperate  but the problem was not fixed  the data was cleared without permission  and I was amazed that one company was neglecting a case involving credit  so I will not do it anymore.",,,,,,,,,1,,,,,1,
_____________,"______________________
_App_____________
_______App_____________________________
Bluetooth________________________Bluetooth_________________
Bluetooth_________________________________________Bluetooth________________________________________
_____________________________________________________________

_________
_______
1________
_______________
_______________GPS____________________________________
_______________________________",5,"It is not displayed to those who criticize in the review and it takes time to search
Now it is displayed at the top of the App
I don't think it's related to the government  so this app has nothing to do with it.
There is a story that you can't use it if you turn off Bluetooth  but it's okay if you don't turn off Bluetooth.
If you turn off Bluetooth  the battery will last longer  but that long time with the infected person will not be recorded  and people who have turned off due to turning off Bluetooth may be infected and spread the corona. There is.
You should be able to decide whether to take the battery of your smartphone for a long time or increase the number of infected people to trouble the world or take it.

Review of this application
Easy to set up
It takes less than a minute
I think that is a convenient place
Personal information such as name and phone number  and GPS location information such as GPS will not be used and will not be recorded.
Since it is described in the application  I think that you can use it with confidence",,,,,,,,,1,,,,,,1
