Omar Haggag,,,,,,,,
Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language
2020-08-14 00:17:11,au.gov.health.covidsafe,COVIDSafe,en,Jean Andriunas,1,Keeps dropping out.,  Keeps dropping out. ,en
2020-08-13 11:00:53,au.gov.health.covidsafe,COVIDSafe,en,Bradley Lloyd Jones,1,This app provides minimal data... Why are we only informing people who come within Bluetooth range of a carrier.... Carriers should have this app installed as a system app on their phone... And fined if they leave quarantine... This app is craptacular... It does not even upload data to a central database to track carriers... It just tells people if they have been near someone who should be in quarentene....,  This app provides minimal data... Why are we only informing people who come within Bluetooth range of a carrier.... Carriers should have this app installed as a system app on their phone... And fined if they leave quarantine... This app is craptacular... It does not even upload data to a central database to track carriers... It just tells people if they have been near someone who should be in quarentene.... ,en
2020-08-13 10:44:40,au.gov.health.covidsafe,COVIDSafe,en,Chris,1,Location with update? No thanks,  Location with update? No thanks ,en
2020-08-13 10:21:51,au.gov.health.covidsafe,COVIDSafe,en,Andy Lo,1,Periodically interrupts connection of my Bluetooth devices. Thinking of uninstalling this App.,  Periodically interrupts connection of my Bluetooth devices. Thinking of uninstalling this App. ,en
2020-08-13 10:09:55,au.gov.health.covidsafe,COVIDSafe,en,Mick Taylor,1,App was rushed out to apease the masses that this Goverment had any idea on how to deal with this virus. APP has not appeated to be useful in this regard. Therefore i will remove it.,  App was rushed out to apease the masses that this Goverment had any idea on how to deal with this virus. APP has not appeated to be useful in this regard. Therefore i will remove it. ,en
2020-08-13 09:18:25,au.gov.health.covidsafe,COVIDSafe,en,Ken Williams,1,"Caused so many problems with my phone and interfered with my bluetooth earbubs, fitness watch and notifications. Plus my Samsung Pay keeps opening randomly when the phone locked.",  Caused so many problems with my phone and interfered with my bluetooth earbubs  fitness watch and notifications. Plus my Samsung Pay keeps opening randomly when the phone locked. ,en
2020-08-13 08:44:41,au.gov.health.covidsafe,COVIDSafe,en,David Mitchell,5,For the government,  For the government ,en
2020-08-13 08:13:10,au.gov.health.covidsafe,COVIDSafe,en,James Pierce,2,After latest update unable to use my Bluetooth headphones due to constant cut-outs. Stopping the app fixes that issue.,  After latest update unable to use my Bluetooth headphones due to constant cut-outs. Stopping the app fixes that issue. ,en
2020-08-13 06:20:29,au.gov.health.covidsafe,COVIDSafe,en,Fiona Hore-Lacy,2,"As of today (13/8) I get alerts that the app isn't active. When I open the app, it decides it's active. When I go into settings, I ensure that it can access location at all times. But I still keep getting this alert. It stops being active when I lock the phone.",  As of today (13/8) I get alerts that the app isn't active. When I open the app  it decides it's active. When I go into settings  I ensure that it can access location at all times. But I still keep getting this alert. It stops being active when I lock the phone. ,en
2020-08-12 23:47:11,au.gov.health.covidsafe,COVIDSafe,en,Mick A,1,"Quick way to have everyone uninstall this. ""Only needs bluetooth to run"" 👎Not anymore, was already battery killer now 'gps' required also!? Wait for the conspiracy fire on this update.","  Quick way to have everyone uninstall this. ""Only needs bluetooth to run"" 👎Not anymore  was already battery killer now 'gps' required also!? Wait for the conspiracy fire on this update. ",en
2020-08-12 22:24:38,au.gov.health.covidsafe,COVIDSafe,en,Mihiri Alexander,1,"Best example of how to waste public money. How many contact traces done with this? App needed location access all time. But main purpose is to identify anybody come closer to 1.5m distance.. No logic at all. Battery drains rapidly, So need to charge phone one more time during the day. So many updates since first release, but no evidence of this app is working. Only good thing is keeping few people in job who built this app and staff working for the companies who ran 60+million campaign.",  Best example of how to waste public money. How many contact traces done with this? App needed location access all time. But main purpose is to identify anybody come closer to 1.5m distance.. No logic at all. Battery drains rapidly  So need to charge phone one more time during the day. So many updates since first release  but no evidence of this app is working. Only good thing is keeping few people in job who built this app and staff working for the companies who ran 60+million campaign. ,en
2020-08-12 12:46:16,au.gov.health.covidsafe,COVIDSafe,en,Barbra Wilson,1,"Update 12/08 Oh goody, you added location tracking, eating into my battery life even further 🙄 Would be better if it didn't chew through my battery life. Also while the 'oh no your bluetooth is off!' Warning is cute, it's annoying. Turning off my Bluetooth when at home because I prefer to only charge my phone once a day",  Update 12/08 Oh goody  you added location tracking  eating into my battery life even further 🙄 Would be better if it didn't chew through my battery life. Also while the 'oh no your bluetooth is off!' Warning is cute  it's annoying. Turning off my Bluetooth when at home because I prefer to only charge my phone once a day ,en
2020-08-12 12:34:35,au.gov.health.covidsafe,COVIDSafe,en,Marco W.,5,Thank you Australia for this great initiative. (Edited) Previous bug I experienced seems to be fixed in the latest version.,  Thank you Australia for this great initiative. (Edited) Previous bug I experienced seems to be fixed in the latest version. ,en
2020-08-12 12:33:36,au.gov.health.covidsafe,COVIDSafe,en,Patricia Jee,1,Worked before but now it keeps closing when trying to open the app.,  Worked before but now it keeps closing when trying to open the app. ,en
2020-08-12 08:54:26,au.gov.health.covidsafe,COVIDSafe,en,Luke Emrose,1,Unusable. The recent update requiring location services be turned on makes the battery usage unacceptable and defies the entire point of the app in the first place. Needs major work or no one will use it.,  Unusable. The recent update requiring location services be turned on makes the battery usage unacceptable and defies the entire point of the app in the first place. Needs major work or no one will use it. ,en
2020-08-12 08:28:49,au.gov.health.covidsafe,COVIDSafe,en,Lenny Kahric,5,I can't see a reason why people avoid using this app. Yes is using battery but if it helps following virus is too small price to pay. We are in this together.,  I can't see a reason why people avoid using this app. Yes is using battery but if it helps following virus is too small price to pay. We are in this together. ,en
2020-08-12 07:52:03,au.gov.health.covidsafe,COVIDSafe,en,Andrew Thomas,1,"Edit: added mandatory location tracking, deleted",  Edit: added mandatory location tracking  deleted ,en
2020-08-12 06:30:45,au.gov.health.covidsafe,COVIDSafe,en,Geoff Lohrere,1,The app misses most people because of the 15 minute delay. Total incompetence from the government as usual. No point having it on unless they remove the 15 minute delay.,  The app misses most people because of the 15 minute delay. Total incompetence from the government as usual. No point having it on unless they remove the 15 minute delay. ,en
2020-08-12 00:49:55,au.gov.health.covidsafe,COVIDSafe,en,James S,2,Recent update requires location services to be on all the time. This is a deal breaker for me. I will leave it running and hope it continues to work without it (it has permission to access location so all Bluetooth functions work),  Recent update requires location services to be on all the time. This is a deal breaker for me. I will leave it running and hope it continues to work without it (it has permission to access location so all Bluetooth functions work) ,en
2020-08-12 00:39:32,au.gov.health.covidsafe,COVIDSafe,en,Wow1w,2,"I can understand the need for this app, but at the the moment; the cons outweigh the pros. On paper, using our devices to help pinpoint potential hotspots sounds like a good idea. But due to the fact that the app not only needs to always run in the background (even in power saving), it's constant access to location turning a 4day battery into 6 hours and consistent interruption of Bluetooth devices make this more of a hastle, rather then a utility. Please fix the Bluetooth and battery issues",  I can understand the need for this app  but at the the moment; the cons outweigh the pros. On paper  using our devices to help pinpoint potential hotspots sounds like a good idea. But due to the fact that the app not only needs to always run in the background (even in power saving)  it's constant access to location turning a 4day battery into 6 hours and consistent interruption of Bluetooth devices make this more of a hastle  rather then a utility. Please fix the Bluetooth and battery issues ,en
2020-08-11 23:01:06,au.gov.health.covidsafe,COVIDSafe,en,Alex Dzajko,2,"They said it does not require location services. After recent update, does not work without location services ""on"". Very supportive of the government and the purpose of the app, but I don't allow any app to use my location services unless it is necessary for the use of the app. Your location is not required for the purpose of the app, especially when the government said that it does use your location.","  They said it does not require location services. After recent update  does not work without location services ""on"". Very supportive of the government and the purpose of the app  but I don't allow any app to use my location services unless it is necessary for the use of the app. Your location is not required for the purpose of the app  especially when the government said that it does use your location. ",en
2020-08-11 21:16:57,au.gov.health.covidsafe,COVIDSafe,en,Amone Tapueluelu,5,Ok,Ok,af
2020-08-11 15:07:57,au.gov.health.covidsafe,COVIDSafe,en,David Roy Pearman,1,Just completely unable to set this up. Was working ok until a recent update then it failed. Useless,  Just completely unable to set this up. Was working ok until a recent update then it failed. Useless ,en
2020-08-11 09:38:14,au.gov.health.covidsafe,COVIDSafe,en,Jeremy LPT,2,Disconnects other bluetooth devices such as headphones while app is running,  Disconnects other bluetooth devices such as headphones while app is running ,en
2020-08-11 08:30:18,au.gov.health.covidsafe,COVIDSafe,en,Moana Teressa,1,"Installed on Oppo A52 and couldn't use any browser, uninstalled and reinstalled with the same browser issues... Gave up and uninstalled it.",  Installed on Oppo A52 and couldn't use any browser  uninstalled and reinstalled with the same browser issues... Gave up and uninstalled it. ,en
2020-08-11 08:05:28,au.gov.health.covidsafe,COVIDSafe,en,Brett Worth,1,It's now asking me to turn on location since an update today. I've uninstalled it.,  It's now asking me to turn on location since an update today. I've uninstalled it. ,en
2020-08-11 06:21:58,au.gov.health.covidsafe,COVIDSafe,en,Emma Darlington,2,Causes audio stuttering on galaxy a51 and toyota corolla,  Causes audio stuttering on galaxy a51 and toyota corolla ,en
2020-08-11 05:19:36,au.gov.health.covidsafe,COVIDSafe,en,Robert Sprigg,2,Want to use this app but causes my screen to go black on phone calls sometimes. We have to reboot. It does the same thing to my wife's. We both run Android 9 on Sony Phones. Mine is an XA2 Ultra hers an XA2 Plus. Both pretty new phones we otherwise have zero problems with.,  Want to use this app but causes my screen to go black on phone calls sometimes. We have to reboot. It does the same thing to my wife's. We both run Android 9 on Sony Phones. Mine is an XA2 Ultra hers an XA2 Plus. Both pretty new phones we otherwise have zero problems with. ,en
2020-08-11 03:09:32,au.gov.health.covidsafe,COVIDSafe,en,Kara Longman,1,Now you require my location. This was my biggest fear about downloading the app. I need to protect my whereabouts. So you have made this app useless to me. Uninstalling!,  Now you require my location. This was my biggest fear about downloading the app. I need to protect my whereabouts. So you have made this app useless to me. Uninstalling! ,en
2020-08-11 02:37:26,au.gov.health.covidsafe,COVIDSafe,en,Rodney Doven,1,"This app destroys bluetooth capability. Keeps disconnecting devices and causing audio to drop out on phone calls. If you want people to use the app, please fix the BT interference problems.",  This app destroys bluetooth capability. Keeps disconnecting devices and causing audio to drop out on phone calls. If you want people to use the app  please fix the BT interference problems. ,en
2020-08-11 02:18:15,au.gov.health.covidsafe,COVIDSafe,en,Tin BUI,2,Please explain why it is now asking for location with the latest update?,  Please explain why it is now asking for location with the latest update? ,en
2020-08-10 23:15:21,au.gov.health.covidsafe,COVIDSafe,en,Millie Willcox,1,"App Glitch - Error keeps coming up ""CovidSafe Not Active"" however it definitely is active when I open the app. Restarting phone doesn't fix.","  App Glitch - Error keeps coming up ""CovidSafe Not Active"" however it definitely is active when I open the app. Restarting phone doesn't fix. ",en
2020-08-10 22:59:48,au.gov.health.covidsafe,COVIDSafe,en,Cameron Stack,1,They said it wouldnt track your location and at first it didn't require location data turned on and it worked fine but after a recent update the app says it won't work with location data turned off. Classic Gov app,  They said it wouldnt track your location and at first it didn't require location data turned on and it worked fine but after a recent update the app says it won't work with location data turned off. Classic Gov app ,en
2020-08-10 22:37:39,au.gov.health.covidsafe,COVIDSafe,en,Emily Schultz,3,"Was working fine until latest update, accepted the location settings, but now makes my phone (Pixel 2) crash and restart every time I open Google Maps. Had to uninstall so I could use my phone!",  Was working fine until latest update  accepted the location settings  but now makes my phone (Pixel 2) crash and restart every time I open Google Maps. Had to uninstall so I could use my phone! ,en
