Omar Haggag,,,,,,,,,,
Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language
2020-08-09 23:32:26,1509242894,COVIDSafe,au,1.9,"Jim, Clackton",1,Downloded,I’ve done exactly what the government has asked and downloaded it. I haven’t registered yet as they haven’t asked me to., Downloded I’ve done exactly what the government has asked and downloaded it. I haven’t registered yet as they haven’t asked me to. ,en
2020-08-09 11:25:07,1509242894,COVIDSafe,au,1.9,zaza worth,2,Problem with other devices,My Apple Watch gets disconnected from the phone when the COVID-19 is active. This limits the utility of the app as I prefer to have my watch connected at all times., Problem with other devices My Apple Watch gets disconnected from the phone when the COVID-19 is active. This limits the utility of the app as I prefer to have my watch connected at all times. ,en
2020-08-09 10:30:05,1509242894,COVIDSafe,au,1.9,Flixstix,1,Useless with lock screen issue,I uninstalled this app because there has not been enough transparency about protecting my data. The issue with having the app always on and turning off my lock screen basically makes my iPhone a useless brick when I go out. What if I want to read or write something on my phone while in a cafe? Am I able to take a photo? Is my data safe? What happened to the concept of open government and giving people more options to protect their data? These questions haven’t been answered and so the IT industry disapproves so it’s a PR disaster. Stop telling us we have to use it prescriptively! Just fix it!, Useless with lock screen issue I uninstalled this app because there has not been enough transparency about protecting my data. The issue with having the app always on and turning off my lock screen basically makes my iPhone a useless brick when I go out. What if I want to read or write something on my phone while in a cafe? Am I able to take a photo? Is my data safe? What happened to the concept of open government and giving people more options to protect their data? These questions haven’t been answered and so the IT industry disapproves so it’s a PR disaster. Stop telling us we have to use it prescriptively! Just fix it! ,en
2020-08-09 04:57:59,1509242894,COVIDSafe,au,1.9,Nignaj,1,Only intermittently works.,"There has been no evidence this actually helps with contact tracing. 
The only reason I have this is Dam the Man insisted we download this.
They had a tracing app in the UK which was a failure. Do w3 have the same ."," Only intermittently works. There has been no evidence this actually helps with contact tracing. 
The only reason I have this is Dam the Man insisted we download this.
They had a tracing app in the UK which was a failure. Do w3 have the same . ",en
2020-08-09 00:48:23,1509242894,COVIDSafe,au,1.9,Sultans favorite,5,Amazon Empress,"Great app , but wish it could give info  by state / territories and or suburbs eg Indooroopilly 
And overall state of the nation ..."," Amazon Empress Great app   but wish it could give info  by state / territories and or suburbs eg Indooroopilly 
And overall state of the nation ... ",en
2020-08-08 04:24:59,1509242894,COVIDSafe,au,1.9,ElusiveT,1,If you want More Australian’s to download the app,You need to explainHow the app works in detail. Where uses data resides. How it’s possible for an app which supposedly runs in the background to be able to obtain information from other users of the app on other devices., If you want More Australian’s to download the app You need to explainHow the app works in detail. Where uses data resides. How it’s possible for an app which supposedly runs in the background to be able to obtain information from other users of the app on other devices. ,en
2020-08-07 02:14:59,1509242894,COVIDSafe,au,1.9,Meh145,1,Broke my iPhone,"After installing this application my iPhone X started randomly restarting. I uninstall the application, restarts stopped.", Broke my iPhone After installing this application my iPhone X started randomly restarting. I uninstall the application  restarts stopped. ,en
2020-08-06 06:40:12,1509242894,COVIDSafe,au,1.9,OzNevil,1,Worst app ever,"This app has to be the worst designed app ever, considering what it is for, you would think it worked better.

Every time I open the app, it has been off and I’ve been to a dozen places. What’s the point of an app to run in the background if it doesn’t run in the background??

Also, if you want people to keep track of where they go (bars, shops, etc.) then have a QR code system so people can store locations in the app and upload them if needed.

Sort your sh!t out Australian Health/Govt."," Worst app ever This app has to be the worst designed app ever  considering what it is for  you would think it worked better.

Every time I open the app  it has been off and I’ve been to a dozen places. What’s the point of an app to run in the background if it doesn’t run in the background??

Also  if you want people to keep track of where they go (bars  shops  etc.) then have a QR code system so people can store locations in the app and upload them if needed.

Sort your sh!t out Australian Health/Govt. ",en
2020-08-06 01:45:23,1509242894,COVIDSafe,au,1.9,ExpertReviewerAus iPhone,1,"Not working, possibly useless",Install it anyway to keep them happy. The govt and developer need to eat some humble pie and adopt the Google-Apple API. Until then the app is useless unless you have your iPhone unlocked and the app open on screen all day, Not working  possibly useless Install it anyway to keep them happy. The govt and developer need to eat some humble pie and adopt the Google-Apple API. Until then the app is useless unless you have your iPhone unlocked and the app open on screen all day ,en
2020-08-05 20:38:56,1509242894,COVIDSafe,au,1.9,COOLDUDE123654,5,Make this compulsory,Can’t imagine why this is not compulsory?, Make this compulsory Can’t imagine why this is not compulsory? ,en
2020-08-05 10:49:39,1509242894,COVIDSafe,au,1.9,JOHN LEE 0101,1,Disappointing,The app keep goes inactive on my iphone 11 pro max. Every time i open the app it starts up again - meaning it is not doing anything meaningful while it is inactive., Disappointing The app keep goes inactive on my iphone 11 pro max. Every time i open the app it starts up again - meaning it is not doing anything meaningful while it is inactive. ,en
