Omar Haggag,,,,,,,,
Date,AppID,AppName,Country,Author,Rating,Review,Title Review,Detected Language
2020-08-14 01:56:57,it.ministerodellasalute.immuni,Immuni,it,Filippo Casati,2,"AGGIORNAMENTO Rivedo verso il basso la mia valutazione, perché sono venuto a conoscenza di una caratteristica dell'app a mio parere insensata: essa provvede a fornire segnalazioni SOLO in caso di contatti avvenuti entro il limite di 2 metri con l'ulteriore vincolo che tale contatto superi la durata di 15 minuti! Questa circostanza, unitamente alla scarsa adesione raccolta dall'iniziativa, mi sta inducendo a cestinare Immuni definitivamente. Come molti hanno osservato, la non obbligatorietà rende effimera la efficacia del processo di monitoraggio. Riporto dal sito ufficiale Immuni:.....Immuni usa la tecnologia per le notifiche di esposizione messa a disposizione da Apple e Google. Questa tecnologia determina i requisiti di sistema per scaricare e usare Immuni, e non è compatibile con versioni precedenti di iOS, Android e Google Play Services. Questa tecnologia è usata da tanti altri Paesi (per esempio, Austria, Germania, Irlanda e Svizzera). Senza di essa, ci sarebbero importanti limitazioni tecniche, come l'impossibilità di rilevare in modo affidabile i contatti tra due iPhone. Abbiamo ritenuto preferibile sviluppare un sistema che funzionasse efficacemente sulla maggioranza degli smartphone, invece di uno che funzionasse su ancora più smartphone, ma che fosse molto meno affidabile........Il sistema di notifiche di esposizione si basa su Bluetooth Low Energy. È necessario, quindi, che il Bluetooth sia sempre attivo affinché il sistema possa rilevare i tuoi contatti con gli altri utenti........Tengo spesso il mio smartphone in modalità aereo. Posso continuare a farlo? Sì, l’importante è che tu mantenga il Bluetooth attivo. In questo modo, Immuni continuerà a funzionare come previsto........Posso usare l’app senza connessione a Internet? Immuni non richiede una connessione a Internet continuativa. Tuttavia, l’app ha bisogno di connettersi almeno una volta al giorno per scaricare le informazioni necessarie a controllare se sei stato esposto a utenti potenzialmente contagiosi. Pertanto, assicurati che il tuo smartphone sia connesso a Internet almeno una volta al giorno........Cosa è e come funziona il codice OTP? OTP sta per ""password valida una sola volta"". Viene anche detto ""password usa e getta"". Quando un utente risulta positivo al virus, può decidere di caricare sul server di Immuni le chiavi crittografiche associate al suo dispositivo. Questo processo richiede che l’utente detti il codice OTP che si trova nell'apposita sezione dell'app all’operatore sanitario che gli ha comunicato l’esito del tampone. Il codice verrà validato e l’utente potrà quindi procedere al caricamento. Il codice OTP viene utilizzato soltanto in caso di positività al virus.…….Quali condizioni si devono verificare perché l'app mi avverta di un'esposizione a rischio? Per esempio, a che distanza e per quanto tempo devo essere stato esposto a un utente che poi risulta positivo al virus? Quando due smartphone su cui è installata l’app sono a distanza di qualche metro tra loro iniziano a scambiarsi codici casuali per registrare l’avvenuto contatto. Perché tu riceva una notifica di un'esposizionea rischio non è però sufficiente che il tuo smartphone abbia registrato un contatto con un utente in seguito risultato positivo. Si devono verificare le seguenti condizioni: • L’utente positivo deve aver caricato le sue chiavi crittografiche sul server di Immuni per consentire di avvertire gli utenti a cui è stato esposto • Come stabilito dal Ministero della Salute, l'esposizione deve essere avvenuta a una distanza inferiore ai 2 metri per un tempo superiore ai 15 minuti. Gli smartphone non possono misurare direttamente la distanza a cui avviene un contatto. Quindi, Immuni usa l'attenuazione del segnale Bluetooth Low Energy per ricavarne una stima. Sono stati eseguiti test di calibrazione per rendere questa stima la più affidabile possibile. Tuttavia, la stima non può essere precisa a causa di una serie di fattori di disturbo","UPDATE I review my evaluation downwards  because I became aware of a feature of the app in my opinion senseless: it provides reports ONLY in case of contacts made within the limit of 2 meters with the further constraint that such contact exceed the duration of 15 minutes! This circumstance  together with the low adhesion collected by the initiative  is leading me to trash Immuni definitively. As many have observed  the non-mandatory nature makes the effectiveness of the monitoring process ephemeral. Report from the official Immuni website: ..... Immuni uses the technology for exposure notifications made available by Apple and Google. This technology determines the system requirements for downloading and using Immuni  and is not compatible with older versions of iOS  Android  and Google Play Services. This technology is used by many other countries (for example  Austria  Germany  Ireland and Switzerland). Without it  there would be major technical limitations  such as the inability to reliably detect contacts between two iPhones. We considered it preferable to develop a system that worked effectively on most smartphones  rather than one that worked on even more smartphones  but which was much less reliable ........ The exposure notification system is based on Bluetooth Low Energy . It is therefore necessary that Bluetooth is always active for the system to detect your contacts with other users ........ I often keep my smartphone in airplane mode. Can I continue to do this? Yes  the important thing is that you keep Bluetooth active. In this way  Immuni will continue to function as expected ........ Can I use the app without an Internet connection? Immuni does not require a continuous Internet connection. However  the app needs to connect at least once a day to download the information necessary to check if you have been exposed to potentially contagious users. Therefore  make sure that your smartphone is connected to the Internet at least once a day ........ What is the OTP code and how does it work? OTP stands for ""one-time password"". It is also called a ""disposable password"". When a user tests positive for the virus  they can decide to upload the cryptographic keys associated with their device to the Immuni server. This process requires the user to give the OTP code found in the appropriate section of the app to the health worker who communicated the result of the swab. The code will be validated and the user can then proceed with the upload. The OTP code is used only in case of positive virus. ....... What conditions must be met for the app to warn me of exposure to risk? For example  at what distance and for how long must I have been exposed to a user who then tests positive for the virus? When two smartphones on which the app is installed are at a distance of a few meters from each other  they begin to exchange random codes to record the contact. For you to receive a notification of a risk exposure  however  it is not sufficient that your smartphone has registered a contact with a user who subsequently tested positive. The following conditions must be met: • The positive user must have uploaded his cryptographic keys to the Immuni server to allow it to warn the users to whom he has been exposed • As established by the Ministry of Health  the exposure must have occurred to a distance of less than 2 meters for more than 15 minutes. Smartphones cannot directly measure the distance at which contact occurs. Then  Immuni uses Bluetooth Low Energy signal attenuation to derive an estimate. Calibration tests were performed to make this estimate as reliable as possible. However  the estimate cannot be accurate due to a number of disturbing factors",it
2020-08-14 01:20:59,it.ministerodellasalute.immuni,Immuni,it,Mario Pa,1,App inutile .... visto che si disattiva in continuazione...,Useless app .... since it is deactivated all the time ...,it
2020-08-13 22:15:36,it.ministerodellasalute.immuni,Immuni,it,luca vecchi,4,Manca una sorta di gamification per evitare che una persona la disinstalli. Magari un badge condivisibile per mostrare il tempo attivo,There is no sort of gamification to prevent a person from uninstalling it. Maybe a shareable badge to show active time,it
2020-08-13 22:15:29,it.ministerodellasalute.immuni,Immuni,it,mariangela zona,1,"Non funziona. Non si apre proprio. E l'unica volta che si è aperta, sì e bloccato sulla configurazione bluetooth e poi si è bloccata di nuovo. Voglio essere utile, voglio aiutare. Ma se il sistema è inutilizzabile, diventa impossibile. Dovete renderla utilizzabile anche per i sistemi più vecchi o economici. Altrimenti resta solo una stupida trovata pubblicitaria del governo. Cosa importante c'è qualcuno che risponde a chi ha avuto problemi? O non avete il coraggio di confrontarvi?",Does not work. It just doesn't open. And the only time it opened  yes it stuck on bluetooth setup and then it stuck again. I want to be useful  I want to help. But if the system is unusable  it becomes impossible. You must also make it usable for older or cheaper systems. Otherwise it's just a stupid government publicity stunt. What's important is someone who responds to those who have had problems? Or don't you have the courage to confront yourself?,it
2020-08-13 21:55:30,it.ministerodellasalute.immuni,Immuni,it,Valentina Vecchi,1,"Questa app per me non serve perché non ho nessun sintomi di Coronavirus per fortuna, sto benissimo alla grande come la mia famiglia.",This app is of no use to me because I have no symptoms of Coronavirus fortunately  I am perfectly fine like my family.,it
2020-08-13 21:41:56,it.ministerodellasalute.immuni,Immuni,it,Ruggiero C,1,App inutile se non è obbligatoria per tutti.,Useless app if it is not mandatory for everyone.,it
2020-08-13 21:14:41,it.ministerodellasalute.immuni,Immuni,it,Gabriele Battaglini,5,Per me utile..,Useful for me ..,fr
2020-08-13 20:42:11,it.ministerodellasalute.immuni,Immuni,it,Massimiliano Fiorenza,2,Assolutamente inutile se devo aprirla ogni giorno. Dovrebbe essere sempre attiva di default e non a discrezione dell'utente.,Absolutely useless if I have to open it every day. It should always be on by default and not at the user's discretion.,it
2020-08-13 20:41:35,it.ministerodellasalute.immuni,Immuni,it,Marianna Zedda,5,Secondo me dovrebbe essere obbligatoria e dovrebbe contenere dati e localizzazione. La privacy non viene prima della salute. Fate più pubblicità,In my opinion it should be mandatory and should contain data and localization. Privacy doesn't come before health. Advertise more,it
2020-08-13 19:55:58,it.ministerodellasalute.immuni,Immuni,it,Alessandro Sanguineti,1,"Vorrei sapere se una volta scaricato e messo i dati si può dire funzionante. A me non è arrivata ancora nessuna notifica di nessun genere, e essendo della Liguria lo scaricata il primo giorno. Alessandro",I would like to know if once downloaded and put the data it can be said to be working. I still haven't received any notification of any kind  and being from Liguria I downloaded it on the first day. Alexander,it
