Omar Haggag,,,,,,,,,,
Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language
2020-08-13 05:20:01,1507150431,EHTERAZ,qa,6.1,سعيد البادي,3,البرنامج يستهلك بطاريه الايفون,البرنامج سئ من ناحيه استهلاك أطاقه التلفون يحتر و البطاريه تخلص بسرعه,The program consumes the iPhone's battery. The program is bad in terms of consumption of the phone's power  and the battery is disposed quickly,ar
2020-08-12 13:33:44,1507150431,EHTERAZ,qa,6.1,Drmochachino,2,Bad GPS,The app affect the GPS when its on and cant use google maps or other location apps probably, Bad GPS The app affect the GPS when its on and cant use google maps or other location apps probably ,en
2020-08-12 07:14:53,1507150431,EHTERAZ,us,6.1,Mot Ah,4,طلب تحديث,"طلب الابليكشن مني التحديث وعند الموافقة على التحديث لايتم والابليكيشن يتعثر عن العمل .
الجهاز ايفون ٦ اس - شاشة العرض تظهر ناقصة التفاصيل بحيث يظهر فقط لون حالتي ودون اظهار باقي تفاصيل الحالات وشرحها .
تم محو الابليكشن واعادة تنزيله عدة مرات بعد الاتصال بالدعم الفني ولم يحدث اي فرق .
ارجوا النصح","Request to update the application request me to update and when the update is approved  the application will not work.
IPhone 6s - the display screen shows incomplete details  showing only the color of my case without showing the rest of the case details and explaining them.
The application was deleted and re-downloaded several times after calling technical support and it did not make any difference.
Please advise",ar
2020-08-12 06:36:21,1507150431,EHTERAZ,qa,6.1,وليد الحلبي ٣٠٤٦٥٧٢٧,1,خلل في التطبيق,في شي غلط بالتطبيق. عندي سفر نهار السبت و طلبوا مني ساوي فحص قبل السفر. رحت سويت الفحص قالولي يتغير اللون الى ان تطلع النتيجة و على حسب النتيجة يرجع اللون. نتيجتي سلبية و بقي اللون اصفر و بعد ما تغير. على اي اساس لم يتغير؟ من يدفع تغيير موعد الرحلة و تاخيري عن انتهاء الفيزا؟ شو ذنبي اذا اللون لم يتغير ؟ تواصلت مع ١٠٩ و قالو بقدموا شكوى و لم يتواصل معي احد. يرجى التوضيح لان انا ما ذنبي و عندي حالة طارئة في لبنان ضروري سافر !,Application bug in something wrong with the application. I have a Saturday day travel and they asked me to equal a pre-departure check-up. I started the examination and they told me the color will change until the result comes out  and according to the result  the color will return. My result was negative and the color remained yellow and after what was changed. On what basis has not changed? Who pays to change the flight date and delay the expiry of the visa? What is my fault if the color did not change? I contacted 109 and they said they filed a complaint and no one contacted me. Please explain  because I am not my fault and I have an emergency situation in Lebanon. It is necessary to travel!,ar
2020-08-11 23:07:29,1507150431,EHTERAZ,us,6.1,Arrow wolf,1,It’s not working,"This app is trash, you guys added the passport option and It still won’t log me into ehteraz regardless of my correct information.", It’s not working This app is trash  you guys added the passport option and It still won’t log me into ehteraz regardless of my correct information. ,en
2020-08-11 20:15:10,1507150431,EHTERAZ,qa,6.1,Elcidmusica,1,Technical Issue Ongoing for 2 Weeks,"Unable to register for 2 weeks, giving different errors- sometimes error please try again, then could not validate API key, or just routes me back to registration page. Troubleshooting steps given aren’t working. Ticket has been created, stilI unresolved. I can’t go out to buy groceries since I need EHTERAZ to enter the establishments.", Technical Issue Ongoing for 2 Weeks Unable to register for 2 weeks  giving different errors- sometimes error please try again  then could not validate API key  or just routes me back to registration page. Troubleshooting steps given aren’t working. Ticket has been created  stilI unresolved. I can’t go out to buy groceries since I need EHTERAZ to enter the establishments. ,en
2020-08-08 21:12:46,1507150431,EHTERAZ,qa,6,djkaze,1,Fix your app,Fix your app,Fix your app Fix your app,fr
2020-08-08 16:57:30,1507150431,EHTERAZ,qa,6,shaikha20e20,1,علامة استفهام,يرجى تصحيح اخر تحديث حيث أنه لايظهر الرمز. شكراً.,Question mark Please correct the last update as the symbol does not appear. Thank you.,ar
2020-08-07 23:13:50,1507150431,EHTERAZ,qa,6,yzeidan,3,Cant download on iOS 12.4.8,"I can’t download on I phone 6
Last iOS update for iPhone 6 is iOS 12.4.8 
But it need iOS 13"," Cant download on iOS 12.4.8 I can’t download on I phone 6
Last iOS update for iPhone 6 is iOS 12.4.8 
But it need iOS 13 ",en
2020-08-07 12:15:05,1507150431,EHTERAZ,us,6,Sn8zzy,1,Don’t enforce it on us if you can’t fix it,"Worst app ever. My mother hasn’t been able to go to the hospital or supermarket ever since we had to use the app. We complained for 4 months and still nothing has happened. They keep telling us they will call back within 48 hours and they never do. They created the app within a few days but they can’t fix it for months???its impossible that they have all this technology without being able to create another app that actually works. If the app doesn’t work, don’t enforce it on the people and make it mandatory. Simple as that.", Don’t enforce it on us if you can’t fix it Worst app ever. My mother hasn’t been able to go to the hospital or supermarket ever since we had to use the app. We complained for 4 months and still nothing has happened. They keep telling us they will call back within 48 hours and they never do. They created the app within a few days but they can’t fix it for months???its impossible that they have all this technology without being able to create another app that actually works. If the app doesn’t work  don’t enforce it on the people and make it mandatory. Simple as that. ,en
