Omar Haggag,,,,,,,,,,
Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language
2020-05-15 11:04:25,1505756398,Hayat Eve Sığar,tr,2.0.1,iceserdar,5,İl ilçe vaka sayıları,Şehirlerdeki vaka ve ölüm sayısını il ilçe olarak görülürse iyi olmaz mı,Province district number of cases Wouldn't it be good if the number of cases and deaths in cities is seen as a district district?,tr
2020-05-15 08:59:14,1505756398,Hayat Eve Sığar,tr,2.0.1,T E Z E R,5,Nöbetçi Eczaneler,Bir adım daha gidilip her lokasyonun nöbetçi eczaneleri de yüklenir ve güncel bir şekilde takip edilirse; insanın her daim elinin altında olması gereken uygulamalar içinde üst seviyelere çıkar.,Pharmacies On Duty If we go one step further and load pharmacies of each location and follow them up-to-date; It rises to the top levels in applications that should always be at hand.,tr
2020-05-15 08:50:25,1505756398,Hayat Eve Sığar,tr,2.0.1,Aaatillaaaa,3,Sorun var,"Güncelleme yaptım. Bilgiler uçtu. Sildim, yenşden yükledim bu sefer giriş bile yapamıyorum",There is a problem I updated. The information flew. I deleted  reinstalled this time I can't even login,tr
2020-05-15 08:14:11,1505756398,Hayat Eve Sığar,tr,2.0.1,vitamin0606,3,Güncelleme olmuyor,Güncelleme olmuyor,There is no update There is no update,tr
2020-05-15 06:50:42,1505756398,Hayat Eve Sığar,tr,2.0.1,svslifb,1,Çok şarj yiyor,Günde maximum 2 kere şarj ettiğim telefon 3 bazen dört kere şarj eder oldum. Maske talep işi olmasa 5 dakika tutmayacağım sileceğim.,It eats a lot of charge. I charge the phone 3 times or four times a day. I will not keep it for 5 minutes if it weren't for the mask request.,tr
2020-05-15 05:33:12,1505756398,Hayat Eve Sığar,tr,2.0.1,tiitiizz,5,Güncelleme olmuyor,"Dünden beri deniyorum,güncelleme gerekli diye uygulama çalışmıyor. Güncellemeyi de yapmıyor:(",Update does not work I have been trying since yesterday  the application does not work because an update is required. It also does not update :(,tr
2020-05-15 05:00:33,1505756398,Hayat Eve Sığar,tr,2.0.1,fyztcab,2,Konumum yanlış,Beni Farklı bir yerde gösteriyor evde oturuyorum benim konum geziyor 🤣 şuan dönercide görünüyorum bunun izahı yok bi konum düzenleme getirin 🤦🏻‍♀️,My position is wrong It shows me in a different place  I am sitting at home  my location is traveling 🤣 I am now in the doner shop  there is no explanation for this  bring a location arrangement 🤦🏻‍♀️,tr
2020-05-15 01:51:17,1505756398,Hayat Eve Sığar,tr,2.0.1,RealEmpAll,3,Sayılar,Sadece yoğunluk değil sayıları da gösterin lütfen.,Numbers Please show not only the density but also the numbers.,tr
2020-05-15 01:28:34,1505756398,Hayat Eve Sığar,tr,2.0.1,Black_Zed,5,At gözlüğü takmış muhalefet,At gözlüğü takmış muhalefet. Siz hiç bir şeyi beğenmin olur mu. Beğenirseniz ölürsünüz çünkü. Dünyada covid19 ile en iyi mücadele eden ülkelerden biriyiz. Ama size göre en kötüsü olsun istersiniz. Hükümeti devirmek için hastalığı bile yayarsınız siz.,Opposition wearing blinkers Opposition wearing sunglasses. Would you like anything. Because if you like it  you die. We are one of the countries that fight covid19 best in the world. But for you  you want the worst. You even spread the disease to overthrow the government.,tr
2020-05-15 00:16:49,1505756398,Hayat Eve Sığar,tr,2.0.1,Ölüler dirilerden çalacak,5,YAŞIMI DEĞİŞTİREMİYORUM.,UYGULAMADA YAŞIMI YANLIŞ GİRDİĞİM İÇİN FARKLI GÖRÜYOR VE YAŞIM DEĞİŞMİYOR. YARDIMCI OLUR MUSUNUZ?,I CAN'T CHANGE MY AGE. IN THE APPLICATION  I SEE MY AGE DIFFERENT BECAUSE I ENTER THE WRONG AND THE AGE IS NOT CHANGING. COULD YOU HELP?,tr
2020-05-14 23:45:01,1505756398,Hayat Eve Sığar,tr,2.0.1,bluemx12,3,Giriş olmuyor,İlk yüklediğimde de kayıtta sorun yaşamıştım şimdi güncellemesi geldi yapınca yine giriş sağlayamıyorum,It is not logging in. I had a problem with the registration when I first uploaded it  now I cannot log in again when I update it.,tr
2020-05-14 23:11:13,1505756398,Hayat Eve Sığar,tr,2.0.1,Gkyzndnmv,5,En çok hangi şekilde yayılıyor.,"En fazla hangi şekilde yayıldığıyla ilgili bilgilendirme yapılırsa iyi olur..Para mı, kargolar mı,insan temasımı, yiyecekler mi vs.",In what way is it most spread? It would be better to be informed about how it spreads the most. Is it money  cargo  human contact  food etc.,tr
2020-05-14 23:04:13,1505756398,Hayat Eve Sığar,tr,2.0.1,harmorist,3,Telefon numarası kısmında takılıyor,Son güncellemeden sonra telefon numarası kısmında kod göndere basıyorum fakat hiç bir etkileşim yok. Telefona kod gelmiyor. Kod gelmediği gibi o ekrandan sonraki adıma da geçilmiyor!,It gets stuck in the phone number section. After the last update  I press send the code in the phone number section  but there is no interaction. There is no code on the phone. Just as there is no code  it is not possible to proceed to the next step from that screen!,tr
2020-05-14 22:34:27,1505756398,Hayat Eve Sığar,tr,2.0.1,cayirmustafa,1,Rezalet!!!,Ülkenin genel özeti gibi uygulama. Ne yazık ki tüm kamu uygulamalarının genel sorunu çalışmamak. Şurda harcayacakları paradan ne kadarını cebe koyarımın hesabını yaparlarsa olacağı bu...,Disgrace!!! Application as general summary of the country. Unfortunately  the general problem with all public practices is not working. This is what will happen if they make the calculation of how much of the money they will spend here ...,tr
2020-05-14 22:31:11,1505756398,Hayat Eve Sığar,tr,2.0.1,sayhieren,5,"Operatörlerin Dikkatine, Renkler konusu","Tüm operatör kullanıcıları internet paketleri olmasa dahil bu uygulaya giriş yapabilmeli. Sadece bu uygulama için veriyi ücretsiz yapabilirsiniz. Vatandaşımız da herkes uyarıp uygulamayı indirmesini söylesin. Ciddi bir mesele, lütfen...
Renklere gelince, kırmızıdan yeşile doğru yoğunluğun azaldığını anlamayacak kadar cahil olmanız ülkem adına çok üzücü.","Attention to Operators  The issue of Colors All operator users should be able to log into this application  even without internet packages. You can free the data for this application only. Our citizen  everyone should warn and tell him to download the application. Serious matter  please ...
As for the colors  it is very sad for my country that you are too ignorant to realize that the density is decreasing from red to green.",tr
2020-05-14 22:28:54,1505756398,Hayat Eve Sığar,tr,2.0.1,busragulec,4,Kod gelmiyor,Kod göndermiyor bir türlü olmuyor.,The code does not come. It does not send the code.,tr
2020-05-14 22:23:23,1505756398,Hayat Eve Sığar,tr,2.0.1,erke2012,1,ÖNEMLİ,UYGULAMAYI İNDİRDİKTEN SONRA KOD GELMİYOR VE DEVAMLI ATIYOR.,AFTER DOWNLOADING THE IMPORTANT APPLICATION  THE CODE DOES NOT COME AND CONTINUOUS DISCLAIMER.,tr
2020-05-14 22:22:13,1505756398,Hayat Eve Sığar,tr,2.0.1,mymagnumopus,1,Kod,Telefonuma kod gelmiyor uygulamaya giremiyorum,Code I do not receive a code on my phone  I cannot enter the application,tr
2020-05-14 22:21:54,1505756398,Hayat Eve Sığar,tr,2.0.1,muhtar😅,1,Numara,Numarayı onaylamıyor kod için,Number Doesn't confirm number for code,tr
